timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,850.7,946.0,890.0,944.6
100.0,853.0,944.0,890.0,943.0
200.0,853.0,944.0,890.0,944.8
300.0,842.0,944.0,895.0,955.0
400.0,842.0,950.0,895.0,948.1
500.0,842.0,950.0,895.0,943.0
600.0,842.0,950.0,895.0,943.0
700.0,845.2,944.0,890.0,955.0
800.0,846.3,950.0,890.0,943.0
900.0,847.2,950.0,895.0,945.5
1000.0,853.0,944.0,895.0,953.9
1100.0,843.5,944.0,895.0,943.0
1200.0,853.0,944.0,895.0,955.0
1300.0,842.0,950.0,895.0,943.0
1400.0,842.0,950.0,895.0,943.0
1500.0,853.0,944.0,895.0,953.3
1600.0,842.0,944.4,895.0,947.6
1700.0,842.0,950.0,890.0,955.0
1800.0,853.0,944.0,895.0,955.0
1900.0,853.0,949.3,890.0,955.0
2000.0,847.0,944.0,890.0,943.0
2100.0,853.0,950.0,895.0,946.4
2200.0,842.0,944.0,890.0,943.0
2300.0,842.0,950.0,895.0,952.7
2400.0,846.7,947.8,895.0,950.7
2500.0,853.0,950.0,890.0,943.0
2600.0,853.0,944.0,890.0,943.0
2700.0,843.6,944.0,895.0,944.2
2800.0,853.0,944.0,890.0,943.0
2900.0,853.0,944.0,895.0,949.2
3000.0,842.8,950.0,895.0,943.0
3100.0,851.1,944.0,891.3,955.0
3200.0,853.0,950.0,895.0,943.0
3300.0,842.0,949.1,895.0,949.6
3400.0,842.0,950.0,895.0,943.0
3500.0,848.0,944.0,890.0,943.0
3600.0,842.0,950.0,895.0,943.7
3700.0,842.0,950.0,895.0,948.0
3800.0,853.0,950.0,890.0,950.5
3900.0,842.0,944.0,890.0,955.0
4000.0,842.0,950.0,895.0,943.0
4100.0,842.0,950.0,890.0,955.0
4200.0,842.0,950.0,895.0,951.4
4300.0,842.0,950.0,895.0,943.0
4400.0,842.8,949.5,890.0,943.0
4500.0,846.9,944.0,895.0,955.0
4600.0,851.9,944.0,891.7,953.0
4700.0,842.0,950.0,890.0,955.0
4800.0,846.7,944.0,895.0,955.0
4900.0,842.0,944.0,895.0,943.0
5000.0,853.0,950.0,895.0,943.0
5100.0,853.0,944.0,895.0,943.0
5200.0,853.0,944.0,895.0,955.0
5300.0,842.0,950.0,895.0,955.0
5400.0,842.0,944.0,890.0,955.0
5500.0,845.6,944.0,895.0,943.0
5600.0,842.0,950.0,890.0,943.0
5700.0,853.0,944.0,890.0,951.4
5800.0,853.0,944.0,890.0,955.0
5900.0,844.9,944.0,890.0,945.1
6000.0,850.1,944.0,895.0,943.0
6100.0,843.0,944.0,890.0,952.9
6200.0,842.0,950.0,895.0,955.0
6300.0,848.4,944.0,895.0,954.8
6400.0,843.7,944.0,890.0,955.0
