timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,849.0,950.0,892.0,949.8
100.0,849.0,945.0,892.0,947.0
200.0,854.0,945.0,899.0,959.7
300.0,849.0,945.0,892.0,962.0
400.0,854.0,945.0,892.0,962.0
500.0,851.9,950.0,899.0,962.0
600.0,851.7,946.3,892.0,959.5
700.0,854.0,945.0,892.0,960.6
800.0,854.0,950.0,892.0,947.0
900.0,854.0,950.0,899.0,947.0
1000.0,849.0,945.0,892.0,962.0
1100.0,854.0,945.0,892.0,962.0
1200.0,849.0,950.0,892.0,947.0
1300.0,849.0,945.0,899.0,947.0
1400.0,854.0,950.0,892.0,962.0
1500.0,854.0,948.2,899.0,947.0
1600.0,854.0,945.0,892.0,948.0
1700.0,854.0,945.0,892.0,962.0
1800.0,854.0,950.0,892.0,949.8
1900.0,849.0,949.1,899.0,948.6
2000.0,854.0,950.0,899.0,962.0
2100.0,849.0,945.0,899.0,956.5
2200.0,854.0,945.0,899.0,953.5
2300.0,849.0,948.2,892.0,947.0
2400.0,850.9,945.0,894.7,947.0
2500.0,849.0,945.0,892.0,947.0
2600.0,853.1,950.0,899.0,947.0
2700.0,854.0,950.0,892.0,947.0
2800.0,854.0,945.0,892.0,962.0
2900.0,854.0,945.0,895.6,951.2
3000.0,854.0,945.0,899.0,947.0
3100.0,854.0,945.0,899.0,947.0
3200.0,849.0,945.0,899.0,947.0
3300.0,849.0,950.0,892.0,949.5
3400.0,854.0,945.0,899.0,958.0
3500.0,854.0,950.0,892.3,959.4
3600.0,854.0,947.2,899.0,947.0
3700.0,849.0,945.0,892.0,947.0
3800.0,849.0,950.0,892.0,962.0
3900.0,849.0,945.0,899.0,962.0
4000.0,849.5,949.3,892.0,947.0
4100.0,850.2,950.0,898.2,962.0
4200.0,849.0,948.3,892.0,947.0
4300.0,851.3,950.0,892.6,947.0
4400.0,849.0,950.0,892.0,962.0
4500.0,854.0,947.6,899.0,957.3
4600.0,851.6,945.0,892.0,950.9
4700.0,849.0,945.0,892.0,947.0
4800.0,849.0,949.8,895.3,952.0
4900.0,854.0,950.0,899.0,949.8
5000.0,854.0,948.4,899.0,962.0
5100.0,849.0,950.0,899.0,947.0
5200.0,854.0,950.0,892.2,947.0
5300.0,849.0,945.0,899.0,961.9
5400.0,854.0,950.0,892.0,961.0
5500.0,849.0,945.0,893.2,947.0
5600.0,849.0,945.0,899.0,947.0
5700.0,849.0,945.0,892.0,949.1
5800.0,854.0,945.0,892.0,950.3
5900.0,852.2,945.0,892.0,962.0
6000.0,854.0,950.0,898.2,962.0
6100.0,854.0,950.0,899.0,947.3
6200.0,849.0,946.7,899.0,961.7
6300.0,854.0,945.0,899.0,955.7
6400.0,849.0,950.0,894.3,947.0
6500.0,849.0,950.0,892.0,947.0
6600.0,849.0,950.0,892.0,962.0
6700.0,849.0,950.0,892.0,950.6
6800.0,851.2,945.0,899.0,947.0
6900.0,854.0,950.0,898.5,950.4
7000.0,849.6,948.3,892.0,952.8
7100.0,849.0,946.2,899.0,947.0
7200.0,849.0,945.0,894.7,959.3
7300.0,849.0,950.0,895.3,961.4
7400.0,854.0,950.0,892.0,948.8
7500.0,849.0,948.4,898.0,947.7
7600.0,849.2,950.0,892.0,962.0
7700.0,849.0,950.0,899.0,962.0
7800.0,854.0,950.0,892.0,956.9
7900.0,854.0,950.0,892.0,962.0
8000.0,854.0,945.0,899.0,947.0
8100.0,849.0,945.0,899.0,947.0
8200.0,854.0,950.0,892.0,947.0
8300.0,854.0,949.4,899.0,962.0
8400.0,852.9,950.0,892.0,947.0
8500.0,849.0,945.3,892.0,962.0
8600.0,849.0,949.5,892.0,958.3
8700.0,849.0,950.0,899.0,947.0
8800.0,854.0,945.0,899.0,959.3
8900.0,849.0,945.0,899.0,947.0
9000.0,849.0,950.0,892.0,947.0
9100.0,849.0,950.0,892.0,947.0
9200.0,854.0,945.0,892.4,962.0
