timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,795.0,943.0,890.2,946.7
100.0,810.0,937.0,891.0,939.8
200.0,787.0,937.9,891.0,934.9
300.0,804.3,935.6,879.9,962.1
400.0,805.0,929.0,891.0,956.4
500.0,810.0,943.0,891.0,946.7
600.0,810.0,936.0,875.1,951.1
700.0,788.5,943.0,885.9,951.1
800.0,787.0,929.0,868.9,895.9
900.0,810.0,943.0,879.3,932.2
1000.0,792.6,943.0,891.0,956.8
1100.0,810.0,932.7,891.0,955.7
1200.0,787.0,939.4,883.4,924.4
1300.0,803.0,929.0,890.2,941.7
1400.0,796.4,943.0,889.0,958.7
1500.0,810.0,938.9,891.0,959.0
1600.0,810.0,938.9,891.0,933.1
1700.0,797.2,932.9,874.1,940.7
1800.0,794.2,943.0,891.0,912.3
1900.0,810.0,943.0,878.0,950.9
2000.0,808.0,929.0,891.0,966.0
2100.0,788.2,929.0,866.5,921.7
2200.0,810.0,943.0,891.0,929.8
2300.0,806.6,943.0,871.5,966.0
2400.0,787.0,929.0,863.2,894.4
2500.0,808.0,929.0,888.3,914.4
2600.0,787.0,935.5,866.6,935.2
2700.0,804.6,933.5,890.0,921.0
2800.0,787.0,943.0,883.9,934.0
2900.0,797.9,943.0,890.6,940.8
3000.0,806.2,935.9,870.7,953.8
3100.0,787.0,929.8,864.7,915.1
3200.0,788.8,930.6,886.9,911.9
3300.0,810.0,929.0,873.4,950.0
3400.0,793.3,929.0,871.5,946.8
3500.0,794.2,935.0,862.0,906.5
3600.0,791.8,943.0,865.8,906.6
3700.0,807.4,943.0,880.9,960.8
3800.0,802.1,943.0,891.0,966.0
3900.0,802.1,932.2,868.2,937.4
4000.0,804.5,943.0,891.0,966.0
4100.0,790.1,943.0,891.0,952.0
4200.0,810.0,940.6,891.0,929.3
4300.0,798.8,941.6,891.0,949.7
4400.0,789.5,929.0,891.0,927.9
4500.0,807.6,943.0,891.0,958.1
4600.0,787.5,943.0,866.0,913.1
4700.0,801.5,930.6,887.4,956.9
4800.0,794.9,929.0,891.0,966.0
4900.0,810.0,929.0,886.3,965.0
5000.0,810.0,932.3,891.0,929.1
5100.0,797.0,935.7,874.2,946.6
5200.0,791.2,943.0,889.6,913.4
5300.0,808.0,929.0,891.0,953.3
5400.0,799.2,929.0,882.6,934.5
5500.0,809.9,929.0,885.1,948.2
5600.0,810.0,943.0,891.0,946.3
5700.0,803.6,929.0,891.0,908.8
5800.0,810.0,940.1,891.0,942.1
5900.0,787.0,929.0,862.0,907.8
6000.0,805.5,929.0,891.0,966.0
6100.0,794.5,941.1,877.7,919.3
6200.0,794.3,938.4,891.0,935.8
6300.0,801.1,936.0,881.4,962.2
6400.0,810.0,943.0,882.3,962.3
6500.0,798.2,943.0,891.0,944.0
6600.0,793.8,938.3,891.0,934.9
6700.0,793.5,943.0,871.4,922.6
6800.0,787.0,929.0,879.7,893.9
6900.0,789.5,929.0,865.8,914.5
7000.0,796.9,941.4,867.1,891.3
7100.0,803.9,929.0,886.4,935.6
7200.0,799.3,929.1,886.5,954.3
7300.0,810.0,929.4,887.2,966.0
7400.0,810.0,936.3,891.0,966.0
7500.0,810.0,942.0,891.0,956.9
7600.0,801.4,929.0,878.3,947.7
7700.0,793.4,934.4,891.0,927.7
7800.0,794.6,929.0,883.4,927.8
7900.0,810.0,943.0,891.0,956.4
8000.0,810.0,929.0,887.2,945.7
8100.0,788.8,943.0,862.0,916.4
8200.0,801.6,929.0,873.6,962.7
8300.0,810.0,941.8,873.9,966.0
8400.0,804.1,938.5,891.0,954.5
8500.0,807.3,935.3,887.3,965.5
8600.0,810.0,939.9,882.0,952.3
8700.0,795.0,943.0,873.2,938.4
8800.0,792.6,943.0,876.6,922.1
8900.0,810.0,929.0,886.9,932.8
9000.0,810.0,943.0,882.0,938.6
9100.0,807.9,941.2,888.4,946.3
9200.0,810.0,935.9,891.0,951.3
9300.0,790.1,943.0,873.4,934.2
9400.0,810.0,943.0,890.5,940.6
9500.0,810.0,938.8,878.0,949.7
9600.0,800.1,943.0,874.9,929.3
9700.0,806.1,943.0,890.0,966.0
9800.0,804.4,939.9,887.1,946.5
9900.0,789.9,935.4,881.6,905.5
10000.0,796.0,929.0,891.0,930.0
10100.0,810.0,943.0,891.0,924.0
10200.0,804.4,929.0,873.1,929.1
10300.0,789.8,931.6,862.0,932.1
10400.0,808.2,940.7,891.0,954.8
10500.0,809.2,943.0,891.0,943.3
10600.0,803.7,943.0,871.8,957.9
10700.0,810.0,943.0,891.0,945.7
10800.0,792.3,931.7,891.0,952.3
10900.0,799.7,943.0,885.9,929.5
11000.0,810.0,943.0,890.2,966.0
11100.0,810.0,929.0,890.4,934.0
11200.0,810.0,934.6,891.0,930.2
11300.0,804.1,937.3,891.0,952.7
11400.0,809.9,943.0,890.1,957.5
11500.0,807.3,943.0,891.0,927.5
11600.0,810.0,934.7,891.0,961.1
11700.0,799.2,943.0,891.0,923.3
11800.0,799.0,938.0,891.0,936.9
11900.0,787.0,930.3,882.7,933.3
12000.0,796.8,943.0,891.0,938.4
12100.0,806.5,932.4,872.8,926.8
12200.0,810.0,943.0,888.3,946.8
12300.0,801.1,936.6,880.0,941.8
12400.0,809.5,934.8,891.0,934.9
12500.0,810.0,943.0,891.0,956.9
12600.0,810.0,929.0,871.1,946.0
12700.0,804.1,931.2,878.1,917.7
12800.0,792.2,943.0,862.0,901.1
12900.0,810.0,933.8,870.3,947.0
13000.0,787.0,943.0,868.4,909.1
13100.0,787.0,929.0,865.8,927.0
13200.0,790.9,943.0,885.8,934.3
13300.0,810.0,929.0,891.0,930.2
13400.0,810.0,943.0,885.6,935.9
13500.0,789.1,929.0,862.0,912.6
13600.0,800.1,943.0,871.1,907.4
13700.0,787.0,938.8,864.8,907.3
13800.0,800.2,943.0,891.0,930.0
13900.0,790.9,929.0,862.9,886.0
14000.0,798.6,943.0,880.3,945.2
14100.0,792.5,941.1,880.7,917.9
14200.0,810.0,933.0,891.0,953.4
14300.0,800.4,929.0,872.9,939.6
14400.0,810.0,943.0,877.3,933.0
14500.0,795.0,929.0,891.0,955.5
14600.0,796.5,943.0,891.0,953.6
14700.0,787.0,929.0,862.0,895.9
14800.0,810.0,929.0,891.0,924.3
14900.0,803.8,943.0,891.0,944.5
15000.0,802.7,937.8,885.7,926.3
15100.0,796.2,943.0,865.0,886.0
15200.0,808.7,943.0,891.0,955.8
15300.0,793.4,929.0,868.9,948.3
15400.0,800.8,933.1,890.6,963.4
15500.0,805.6,943.0,881.8,933.6
