timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,815.0,944.0,890.0,977.2
100.0,815.0,941.0,894.0,961.0
200.0,810.0,941.0,890.0,961.0
300.0,815.0,944.0,890.0,963.7
400.0,815.0,944.0,895.0,962.6
500.0,810.0,941.0,894.6,961.0
600.0,810.0,941.0,890.0,961.0
700.0,813.1,944.0,892.6,978.0
800.0,810.0,944.0,890.0,961.0
900.0,812.4,942.9,890.0,961.0
1000.0,815.0,944.0,890.0,962.5
1100.0,810.0,941.0,890.0,978.0
1200.0,815.0,941.0,895.0,970.1
1300.0,815.0,941.0,895.0,966.6
1400.0,815.0,941.0,890.0,961.0
1500.0,815.0,943.8,895.0,966.5
1600.0,815.0,942.0,892.6,967.5
1700.0,815.0,941.0,895.0,973.2
1800.0,815.0,941.0,890.0,972.9
1900.0,811.8,944.0,895.0,961.0
2000.0,815.0,941.0,895.0,961.0
2100.0,810.0,941.0,895.0,967.0
2200.0,810.0,944.0,890.0,978.0
2300.0,810.0,944.0,890.0,961.5
2400.0,810.0,944.0,892.8,978.0
2500.0,810.0,944.0,890.0,978.0
2600.0,812.2,944.0,895.0,978.0
2700.0,815.0,943.9,890.0,961.0
2800.0,810.0,944.0,895.0,978.0
2900.0,810.0,944.0,895.0,978.0
3000.0,810.0,944.0,890.0,961.0
3100.0,815.0,944.0,890.0,978.0
3200.0,810.0,941.0,890.0,978.0
3300.0,815.0,943.6,894.9,978.0
3400.0,815.0,944.0,890.0,961.0
3500.0,812.0,944.0,891.1,978.0
3600.0,815.0,941.0,893.7,961.0
3700.0,815.0,944.0,895.0,978.0
3800.0,815.0,944.0,894.2,963.5
3900.0,810.0,944.0,895.0,972.3
4000.0,810.0,944.0,890.0,976.4
4100.0,810.0,944.0,895.0,961.0
4200.0,815.0,941.0,895.0,961.0
4300.0,810.0,941.0,890.0,961.9
4400.0,815.0,941.0,890.0,976.3
4500.0,815.0,944.0,895.0,978.0
4600.0,810.0,943.3,890.0,973.5
4700.0,810.0,941.0,890.0,961.0
4800.0,810.0,941.0,895.0,967.3
4900.0,810.0,944.0,890.0,969.4
5000.0,810.0,943.8,895.0,978.0
5100.0,810.6,941.0,895.0,978.0
5200.0,810.0,944.0,895.0,965.1
5300.0,810.0,941.8,895.0,978.0
5400.0,815.0,941.0,891.6,965.0
5500.0,815.0,944.0,890.0,978.0
5600.0,815.0,944.0,895.0,978.0
5700.0,815.0,943.3,890.0,978.0
5800.0,810.0,941.0,895.0,978.0
5900.0,810.0,944.0,890.0,978.0
6000.0,815.0,941.0,890.0,972.4
6100.0,810.0,944.0,895.0,968.5
6200.0,810.3,944.0,890.0,965.0
6300.0,815.0,941.0,892.2,961.0
6400.0,810.0,944.0,890.0,978.0
6500.0,810.0,941.0,895.0,978.0
6600.0,815.0,941.0,890.0,961.0
6700.0,810.0,944.0,894.9,961.0
6800.0,814.3,944.0,890.0,978.0
6900.0,810.0,944.0,890.0,961.0
7000.0,810.0,941.0,890.0,978.0
7100.0,815.0,943.7,895.0,974.3
7200.0,810.0,944.0,895.0,971.5
7300.0,810.0,944.0,890.0,978.0
7400.0,810.0,941.0,890.0,972.7
7500.0,810.0,944.0,895.0,978.0
7600.0,810.6,941.0,890.0,978.0
7700.0,810.0,941.0,894.5,968.7
7800.0,811.1,944.0,890.0,978.0
7900.0,815.0,941.0,895.0,978.0
8000.0,815.0,944.0,890.0,961.1
8100.0,815.0,944.0,895.0,967.7
8200.0,815.0,944.0,895.0,978.0
8300.0,810.0,941.0,895.0,978.0
8400.0,815.0,944.0,891.6,977.9
8500.0,810.0,941.2,895.0,970.2
8600.0,815.0,941.0,895.0,978.0
8700.0,810.0,941.0,890.0,974.4
8800.0,815.0,944.0,895.0,975.5
8900.0,810.0,944.0,894.5,963.5
9000.0,810.0,944.0,892.6,965.8
9100.0,815.0,943.4,890.0,961.0
9200.0,810.0,944.0,890.0,978.0
9300.0,810.0,944.0,895.0,978.0
9400.0,815.0,944.0,895.0,970.3
9500.0,815.0,944.0,892.9,969.3
9600.0,815.0,944.0,890.0,966.6
9700.0,810.0,944.0,895.0,978.0
9800.0,815.0,944.0,894.7,961.0
9900.0,810.0,941.0,890.0,978.0
10000.0,811.1,941.0,890.0,978.0
10100.0,810.0,941.0,890.0,970.3
10200.0,813.2,941.0,890.0,961.0
10300.0,810.0,944.0,895.0,978.0
10400.0,810.0,941.0,890.0,961.0
10500.0,810.0,944.0,890.0,963.9
10600.0,810.0,941.0,892.8,961.0
10700.0,810.0,941.0,895.0,978.0
10800.0,810.6,944.0,890.0,961.0
10900.0,815.0,943.8,895.0,961.0
11000.0,810.0,944.0,895.0,978.0
11100.0,810.0,941.0,894.3,961.0
11200.0,815.0,941.0,890.0,967.8
11300.0,815.0,944.0,895.0,961.0
11400.0,812.6,944.0,895.0,964.5
11500.0,814.3,941.0,895.0,966.9
11600.0,812.2,941.0,890.8,961.5
11700.0,810.0,944.0,890.0,968.9
11800.0,815.0,941.0,890.0,978.0
11900.0,815.0,941.0,890.0,961.0
12000.0,810.0,944.0,895.0,969.9
12100.0,815.0,941.0,895.0,961.9
12200.0,815.0,941.0,894.6,964.6
12300.0,815.0,944.0,891.8,978.0
12400.0,815.0,941.0,890.0,967.1
12500.0,810.0,941.0,894.7,961.0
12600.0,810.6,941.0,895.0,976.9
12700.0,815.0,944.0,895.0,961.0
12800.0,810.0,941.0,890.0,961.0
12900.0,815.0,944.0,890.0,978.0
13000.0,810.0,944.0,890.0,962.0
13100.0,815.0,944.0,890.0,978.0
13200.0,810.0,941.7,892.7,969.0
13300.0,810.0,941.0,895.0,978.0
13400.0,810.0,941.0,890.0,977.7
13500.0,815.0,941.0,895.0,961.0
13600.0,815.0,944.0,895.0,970.9
13700.0,810.0,941.0,895.0,974.1
13800.0,813.2,942.2,890.0,965.6
13900.0,813.4,944.0,895.0,978.0
14000.0,810.0,941.0,895.0,971.3
14100.0,812.1,941.0,890.0,963.2
14200.0,815.0,941.0,890.0,972.3
14300.0,810.0,941.0,895.0,978.0
14400.0,815.0,941.0,895.0,978.0
14500.0,810.0,941.0,895.0,978.0
14600.0,810.0,941.0,895.0,966.6
14700.0,810.0,944.0,895.0,973.9
14800.0,815.0,941.0,892.8,961.0
14900.0,815.0,941.0,890.0,963.2
15000.0,813.1,941.0,895.0,978.0
15100.0,815.0,941.0,890.0,963.1
15200.0,815.0,941.0,890.0,968.4
15300.0,815.0,944.0,895.0,971.5
15400.0,810.0,944.0,890.0,961.0
15500.0,815.0,944.0,895.0,978.0
15600.0,815.0,941.0,895.0,976.9
15700.0,815.0,941.0,893.6,961.0
15800.0,810.0,941.0,895.0,961.0
15900.0,810.0,941.0,890.0,961.0
16000.0,810.0,944.0,895.0,961.0
16100.0,810.0,944.0,890.0,977.0
16200.0,814.6,944.0,890.0,973.9
16300.0,815.0,943.7,895.0,975.2
16400.0,815.0,944.0,890.0,978.0
16500.0,815.0,944.0,895.0,972.0
16600.0,815.0,944.0,890.0,961.0
16700.0,815.0,944.0,890.0,961.0
16800.0,810.0,941.0,890.0,961.0
16900.0,815.0,944.0,895.0,963.2
17000.0,812.7,944.0,895.0,974.0
17100.0,815.0,941.0,890.0,973.6
17200.0,810.0,944.0,890.0,978.0
17300.0,815.0,944.0,890.0,978.0
17400.0,815.0,944.0,894.1,974.7
17500.0,810.0,941.0,890.0,972.0
17600.0,812.7,944.0,895.0,961.0
17700.0,810.0,944.0,895.0,966.3
17800.0,815.0,941.0,890.9,978.0
17900.0,810.0,944.0,895.0,963.7
18000.0,812.0,941.0,890.0,978.0
18100.0,811.1,944.0,895.0,975.8
18200.0,815.0,941.0,890.0,978.0
18300.0,815.0,941.0,890.0,961.0
18400.0,815.0,942.5,895.0,973.3
18500.0,815.0,944.0,895.0,961.0
18600.0,810.0,941.0,892.1,978.0
18700.0,815.0,944.0,890.0,978.0
18800.0,815.0,944.0,890.0,978.0
18900.0,815.0,944.0,895.0,961.0
19000.0,813.0,944.0,892.0,978.0
19100.0,810.0,941.0,895.0,973.0
19200.0,815.0,944.0,895.0,974.5
19300.0,815.0,944.0,890.0,961.0
19400.0,811.4,941.0,890.0,978.0
19500.0,815.0,944.0,892.4,961.0
19600.0,810.0,941.0,895.0,961.6
19700.0,814.0,941.0,890.0,971.4
19800.0,815.0,942.6,895.0,961.0
19900.0,815.0,944.0,895.0,972.3
20000.0,810.0,941.0,890.0,961.0
20100.0,810.0,941.0,895.0,978.0
20200.0,810.0,944.0,890.0,978.0
20300.0,813.5,941.0,895.0,978.0
20400.0,813.4,941.0,890.0,978.0
20500.0,815.0,944.0,895.0,961.0
20600.0,815.0,941.0,895.0,978.0
20700.0,810.0,941.0,890.0,967.8
20800.0,815.0,941.0,890.0,961.0
20900.0,810.0,944.0,895.0,975.0
21000.0,810.0,941.0,890.0,962.7
21100.0,815.0,941.0,895.0,978.0
21200.0,810.0,941.0,895.0,971.1
21300.0,810.0,941.0,890.0,961.0
21400.0,815.0,941.0,890.0,972.3
21500.0,810.0,941.0,890.0,969.2
21600.0,810.0,941.0,895.0,977.3
21700.0,815.0,944.0,890.0,978.0
21800.0,815.0,941.0,890.0,978.0
21900.0,815.0,941.0,890.0,961.0
22000.0,815.0,941.0,895.0,978.0
22100.0,810.0,944.0,895.0,964.5
22200.0,815.0,941.0,895.0,975.3
22300.0,810.0,942.2,895.0,961.0
22400.0,815.0,941.0,895.0,978.0
22500.0,815.0,941.0,890.0,978.0
22600.0,811.1,941.0,890.0,968.7
22700.0,810.0,944.0,895.0,974.4
22800.0,815.0,941.0,895.0,977.1
22900.0,810.0,941.0,895.0,978.0
23000.0,812.2,944.0,893.4,978.0
23100.0,815.0,941.0,895.0,961.0
23200.0,815.0,941.0,895.0,970.7
23300.0,810.0,941.0,895.0,978.0
23400.0,815.0,941.0,895.0,974.6
23500.0,810.0,944.0,893.0,966.4
23600.0,812.2,941.0,890.0,972.9
23700.0,810.0,941.0,895.0,963.7
23800.0,810.0,942.5,895.0,961.0
23900.0,810.0,944.0,890.0,961.0
24000.0,815.0,941.0,890.0,969.0
24100.0,810.0,943.4,890.0,976.7
24200.0,815.0,941.0,891.3,963.7
24300.0,815.0,941.0,890.0,978.0
