timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,815.0,942.0,896.0,977.0
100.0,812.0,944.0,893.0,985.6
200.0,815.0,943.9,896.0,985.7
300.0,812.0,942.0,896.0,992.0
400.0,812.0,944.0,896.0,978.1
500.0,812.0,942.0,896.0,985.3
600.0,812.0,942.0,896.0,977.0
700.0,812.0,944.0,896.0,985.8
800.0,815.0,944.0,893.8,992.0
900.0,812.0,942.0,896.0,992.0
1000.0,812.0,942.0,893.0,982.2
1100.0,812.0,942.0,896.0,992.0
1200.0,812.0,942.0,893.0,984.0
1300.0,815.0,944.0,896.0,992.0
1400.0,815.0,942.0,893.0,985.4
1500.0,815.0,944.0,893.0,992.0
1600.0,815.0,944.0,893.0,992.0
1700.0,815.0,942.0,896.0,988.1
1800.0,812.0,944.0,893.0,992.0
1900.0,815.0,942.0,893.0,992.0
2000.0,812.0,942.0,893.0,977.0
2100.0,815.0,944.0,893.0,979.7
2200.0,812.5,942.0,896.0,977.0
2300.0,815.0,942.0,896.0,978.8
2400.0,815.0,944.0,893.0,983.4
2500.0,815.0,942.0,895.8,977.0
2600.0,815.0,942.0,893.0,977.0
2700.0,812.0,944.0,893.0,986.2
2800.0,812.0,944.0,893.0,992.0
2900.0,812.0,944.0,896.0,992.0
3000.0,815.0,944.0,896.0,977.0
3100.0,812.0,942.0,896.0,977.0
3200.0,814.8,942.0,893.0,992.0
3300.0,812.0,944.0,893.0,980.5
3400.0,812.0,942.0,893.0,977.0
3500.0,812.0,942.0,896.0,985.7
3600.0,815.0,944.0,894.5,977.0
3700.0,815.0,944.0,893.0,977.0
3800.0,815.0,944.0,893.0,980.7
3900.0,812.0,942.0,893.0,990.4
4000.0,815.0,942.0,893.0,977.0
4100.0,812.0,942.0,896.0,992.0
4200.0,812.0,944.0,893.0,989.5
4300.0,812.0,942.0,896.0,992.0
4400.0,815.0,944.0,896.0,977.0
4500.0,812.0,942.0,893.0,990.4
4600.0,813.9,944.0,896.0,977.0
4700.0,815.0,942.0,893.0,980.0
4800.0,812.0,942.0,893.0,985.1
4900.0,812.0,942.0,896.0,979.7
5000.0,812.0,942.0,896.0,977.0
5100.0,815.0,944.0,896.0,992.0
5200.0,812.0,942.0,893.0,986.4
5300.0,812.0,944.0,896.0,992.0
5400.0,812.0,942.0,896.0,982.7
5500.0,812.0,944.0,896.0,992.0
5600.0,815.0,942.0,896.0,977.0
5700.0,815.0,942.0,896.0,977.0
5800.0,812.6,944.0,893.0,981.2
5900.0,815.0,942.0,896.0,977.0
6000.0,815.0,944.0,896.0,992.0
6100.0,812.0,944.0,893.0,984.3
6200.0,815.0,944.0,896.0,992.0
6300.0,812.0,944.0,893.0,992.0
6400.0,815.0,944.0,896.0,989.6
6500.0,812.0,942.0,893.0,985.5
6600.0,815.0,944.0,893.4,977.0
6700.0,812.0,943.5,893.0,990.8
6800.0,812.0,942.0,896.0,979.6
6900.0,812.0,942.0,893.0,985.3
7000.0,812.0,942.0,895.8,992.0
7100.0,814.4,942.0,893.0,977.0
7200.0,815.0,942.3,893.0,990.4
7300.0,815.0,944.0,893.0,992.0
7400.0,812.0,944.0,896.0,992.0
7500.0,815.0,942.0,893.0,989.9
7600.0,812.0,944.0,893.0,992.0
7700.0,815.0,944.0,896.0,992.0
7800.0,812.0,944.0,894.5,977.0
7900.0,814.3,942.0,896.0,980.2
8000.0,812.0,944.0,893.0,977.0
8100.0,812.0,942.0,893.6,977.0
8200.0,815.0,942.0,896.0,988.3
8300.0,815.0,942.0,893.0,978.6
8400.0,815.0,942.0,896.0,983.9
8500.0,815.0,942.0,896.0,992.0
8600.0,815.0,944.0,896.0,992.0
8700.0,812.0,944.0,896.0,977.0
8800.0,812.0,944.0,896.0,992.0
8900.0,812.0,942.0,893.0,977.0
9000.0,815.0,942.0,894.2,992.0
9100.0,815.0,942.0,894.0,977.0
9200.0,812.0,942.0,896.0,977.0
9300.0,812.0,942.0,893.0,992.0
9400.0,815.0,942.0,896.0,984.0
9500.0,812.0,944.0,896.0,992.0
9600.0,815.0,944.0,893.0,992.0
9700.0,812.0,942.0,896.0,979.8
9800.0,812.0,944.0,896.0,989.8
9900.0,812.0,944.0,893.0,990.6
10000.0,815.0,942.0,893.1,977.0
10100.0,812.0,944.0,896.0,991.7
10200.0,815.0,942.0,894.6,977.0
10300.0,815.0,942.0,896.0,977.0
10400.0,815.0,943.5,896.0,982.4
10500.0,812.0,942.0,893.0,977.0
10600.0,812.0,944.0,893.1,989.5
10700.0,815.0,944.0,893.0,981.8
10800.0,815.0,942.0,894.3,992.0
10900.0,812.1,944.0,893.0,977.0
11000.0,812.0,942.0,893.0,989.0
