timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,812.0,942.0,896.0,989.0
100.0,812.0,944.0,896.0,973.0
200.0,813.4,944.0,893.0,981.5
300.0,812.0,942.0,893.0,989.0
400.0,815.0,942.0,893.0,973.0
500.0,815.0,944.0,893.0,989.0
600.0,815.0,944.0,894.1,976.8
700.0,812.0,944.0,896.0,979.9
800.0,812.0,942.0,896.0,989.0
900.0,812.0,944.0,893.0,989.0
1000.0,815.0,942.5,896.0,980.8
1100.0,815.0,942.0,893.0,988.8
1200.0,815.0,942.0,894.8,980.9
1300.0,815.0,944.0,893.0,989.0
1400.0,812.0,944.0,896.0,982.6
1500.0,812.5,944.0,896.0,973.0
1600.0,815.0,942.0,896.0,989.0
1700.0,815.0,942.0,896.0,973.0
1800.0,812.0,942.0,893.0,985.4
1900.0,812.0,944.0,896.0,978.0
2000.0,815.0,944.0,893.0,973.0
2100.0,815.0,942.6,896.0,973.0
2200.0,815.0,942.0,893.0,982.4
2300.0,812.6,942.0,893.0,989.0
2400.0,812.0,942.0,895.0,989.0
2500.0,815.0,942.0,896.0,989.0
2600.0,812.0,944.0,896.0,979.8
2700.0,812.0,942.0,896.0,979.5
2800.0,815.0,942.0,896.0,980.4
2900.0,815.0,944.0,896.0,982.4
3000.0,815.0,942.0,893.0,978.9
3100.0,815.0,942.0,894.9,985.0
3200.0,812.0,944.0,896.0,988.5
3300.0,815.0,944.0,893.0,982.3
3400.0,815.0,944.0,896.0,976.4
3500.0,812.0,943.3,893.0,973.0
3600.0,815.0,942.0,896.0,983.4
3700.0,812.0,942.0,896.0,973.0
3800.0,815.0,944.0,896.0,989.0
3900.0,815.0,942.0,896.0,979.1
4000.0,812.0,944.0,896.0,989.0
4100.0,812.0,943.5,896.0,980.6
4200.0,812.0,942.0,896.0,989.0
4300.0,815.0,944.0,896.0,989.0
4400.0,812.0,944.0,896.0,987.5
4500.0,815.0,944.0,896.0,989.0
4600.0,815.0,944.0,896.0,989.0
4700.0,812.0,942.0,893.0,975.9
4800.0,812.0,942.0,894.5,989.0
4900.0,812.0,944.0,893.0,973.0
5000.0,813.3,942.0,893.0,985.5
5100.0,812.0,942.0,893.0,973.0
5200.0,812.6,942.0,896.0,988.3
5300.0,812.0,944.0,893.0,973.0
5400.0,812.0,944.0,895.6,989.0
5500.0,815.0,943.4,896.0,989.0
5600.0,815.0,944.0,893.0,989.0
5700.0,812.0,942.0,894.1,980.3
5800.0,812.0,942.0,896.0,973.0
5900.0,815.0,942.0,896.0,988.7
6000.0,814.5,944.0,896.0,977.0
6100.0,815.0,942.0,896.0,987.9
6200.0,815.0,942.0,895.3,989.0
6300.0,815.0,942.0,896.0,989.0
6400.0,815.0,942.0,893.0,986.2
6500.0,815.0,942.0,893.0,988.1
6600.0,812.0,942.0,893.0,989.0
6700.0,815.0,942.0,893.0,983.7
6800.0,815.0,942.0,895.7,974.6
6900.0,812.0,942.0,893.0,973.0
7000.0,812.0,944.0,893.0,976.4
7100.0,815.0,944.0,896.0,980.6
7200.0,812.0,942.0,893.0,989.0
7300.0,812.0,943.2,896.0,982.1
7400.0,813.1,942.0,895.1,977.1
7500.0,812.0,942.0,893.0,973.0
7600.0,815.0,944.0,896.0,989.0
7700.0,815.0,942.0,893.0,973.0
7800.0,815.0,942.0,896.0,989.0
7900.0,815.0,942.0,893.0,989.0
8000.0,812.8,944.0,896.0,973.0
8100.0,815.0,942.0,896.0,989.0
8200.0,812.0,942.0,893.0,973.0
8300.0,812.0,944.0,896.0,989.0
8400.0,812.0,942.0,893.0,973.0
8500.0,812.0,942.0,896.0,989.0
8600.0,812.0,942.0,896.0,973.0
8700.0,815.0,942.0,896.0,973.0
8800.0,812.0,944.0,893.0,986.6
8900.0,812.0,944.0,896.0,985.7
9000.0,815.0,942.0,896.0,989.0
9100.0,815.0,944.0,893.0,978.1
9200.0,812.0,942.0,893.0,989.0
9300.0,813.6,944.0,893.0,974.0
9400.0,815.0,944.0,896.0,973.0
9500.0,812.0,944.0,893.0,973.0
9600.0,812.0,944.0,893.0,986.2
9700.0,812.0,942.0,896.0,973.0
9800.0,812.0,944.0,893.0,989.0
9900.0,815.0,944.0,896.0,973.0
10000.0,812.0,944.0,896.0,986.1
10100.0,815.0,942.0,895.4,973.6
10200.0,812.0,942.0,896.0,973.0
10300.0,815.0,942.0,893.0,973.0
10400.0,812.0,944.0,896.0,989.0
10500.0,812.0,942.0,896.0,989.0
10600.0,812.0,944.0,896.0,989.0
10700.0,815.0,944.0,893.0,983.7
10800.0,812.0,944.0,893.0,989.0
10900.0,815.0,944.0,893.0,980.8
11000.0,813.9,944.0,896.0,973.0
11100.0,815.0,944.0,893.0,973.0
11200.0,812.0,944.0,896.0,973.0
11300.0,812.0,942.0,893.0,976.7
11400.0,815.0,942.0,895.4,989.0
11500.0,812.0,944.0,893.0,973.0
11600.0,812.0,944.0,893.0,981.1
11700.0,812.7,942.0,896.0,983.7
11800.0,814.2,942.0,893.0,989.0
11900.0,812.0,942.0,893.0,989.0
12000.0,812.0,944.0,896.0,989.0
12100.0,815.0,942.0,893.0,973.0
12200.0,812.0,944.0,893.0,980.5
12300.0,815.0,942.0,893.0,989.0
12400.0,812.0,944.0,893.0,989.0
12500.0,812.0,942.0,896.0,973.0
12600.0,814.2,942.0,893.0,989.0
12700.0,815.0,944.0,896.0,989.0
12800.0,815.0,944.0,896.0,973.0
12900.0,815.0,942.0,893.0,973.0
13000.0,812.0,942.0,896.0,989.0
13100.0,815.0,942.0,896.0,985.1
13200.0,812.0,942.0,893.0,989.0
13300.0,812.0,942.0,893.0,977.7
13400.0,812.0,942.0,896.0,989.0
13500.0,812.0,942.0,896.0,989.0
13600.0,815.0,944.0,896.0,979.7
13700.0,815.0,944.0,893.0,973.0
13800.0,815.0,942.0,896.0,986.8
13900.0,812.0,942.0,896.0,989.0
14000.0,815.0,944.0,893.0,973.0
14100.0,815.0,944.0,896.0,985.2
14200.0,812.0,942.0,896.0,989.0
14300.0,814.3,944.0,893.0,973.0
14400.0,815.0,942.0,896.0,985.8
14500.0,815.0,944.0,896.0,989.0
14600.0,812.8,944.0,896.0,973.0
14700.0,812.0,944.0,893.0,988.4
14800.0,815.0,944.0,893.0,973.0
14900.0,815.0,942.0,893.0,973.0
15000.0,815.0,944.0,896.0,978.0
15100.0,812.0,942.0,893.0,989.0
15200.0,815.0,944.0,893.0,976.7
15300.0,815.0,943.6,893.0,983.6
15400.0,812.0,944.0,893.0,989.0
15500.0,812.0,942.0,896.0,973.0
15600.0,812.0,944.0,896.0,973.0
15700.0,815.0,942.0,893.0,973.0
15800.0,812.0,944.0,893.0,973.0
15900.0,812.0,942.0,896.0,989.0
16000.0,812.0,944.0,893.0,973.0
16100.0,815.0,944.0,896.0,977.4
16200.0,815.0,944.0,896.0,989.0
16300.0,815.0,942.0,896.0,973.0
16400.0,812.0,944.0,896.0,984.7
16500.0,812.0,944.0,896.0,975.0
16600.0,812.0,942.0,893.0,989.0
16700.0,812.0,942.0,893.0,973.0
16800.0,812.0,944.0,893.9,975.7
16900.0,815.0,944.0,893.0,974.0
17000.0,815.0,942.0,894.9,989.0
17100.0,812.0,942.0,896.0,973.0
17200.0,812.0,942.0,893.0,982.2
17300.0,815.0,942.0,896.0,973.0
17400.0,813.7,943.1,896.0,989.0
17500.0,815.0,944.0,893.0,989.0
17600.0,815.0,944.0,893.8,984.4
17700.0,815.0,942.0,893.0,973.2
17800.0,812.1,944.0,893.0,977.0
17900.0,812.0,942.0,893.0,973.0
18000.0,812.0,944.0,893.0,973.0
18100.0,812.0,942.0,893.0,974.9
18200.0,812.0,942.0,896.0,989.0
18300.0,812.0,942.0,896.0,973.0
18400.0,812.0,944.0,893.0,989.0
18500.0,815.0,942.0,893.0,989.0
18600.0,815.0,942.4,895.8,973.5
18700.0,815.0,944.0,893.0,989.0
18800.0,815.0,942.0,893.0,974.2
18900.0,812.0,942.0,893.0,973.0
19000.0,812.0,944.0,895.0,980.6
19100.0,812.0,944.0,896.0,974.8
19200.0,812.0,944.0,896.0,989.0
19300.0,815.0,944.0,893.0,973.0
19400.0,812.0,944.0,893.0,985.8
19500.0,812.0,944.0,893.0,976.6
19600.0,812.0,944.0,896.0,984.8
19700.0,815.0,942.0,896.0,973.2
19800.0,815.0,942.0,893.0,989.0
19900.0,813.3,942.0,896.0,984.7
20000.0,812.2,944.0,896.0,985.7
20100.0,812.0,942.0,893.0,989.0
20200.0,815.0,944.0,896.0,978.1
20300.0,815.0,942.0,896.0,973.0
20400.0,812.0,942.0,895.2,989.0
20500.0,815.0,944.0,896.0,984.4
20600.0,815.0,942.0,893.7,973.0
20700.0,815.0,944.0,893.0,989.0
20800.0,812.0,942.0,893.0,982.1
20900.0,813.0,942.0,896.0,973.0
21000.0,812.0,944.0,893.0,984.0
21100.0,812.0,944.0,893.0,973.0
21200.0,815.0,942.0,896.0,973.0
21300.0,815.0,944.0,893.0,973.0
21400.0,812.0,944.0,893.0,977.4
21500.0,815.0,942.0,893.0,980.8
21600.0,815.0,944.0,896.0,973.0
21700.0,815.0,944.0,896.0,989.0
21800.0,815.0,942.0,893.0,989.0
21900.0,812.0,942.0,893.7,989.0
22000.0,815.0,942.0,896.0,977.8
22100.0,812.0,942.0,896.0,973.0
22200.0,812.0,942.0,896.0,979.5
22300.0,812.0,942.0,896.0,973.0
22400.0,815.0,942.0,893.0,974.7
22500.0,815.0,942.0,893.0,977.1
22600.0,812.0,944.0,893.0,986.6
22700.0,815.0,944.0,893.0,989.0
22800.0,815.0,942.0,896.0,984.9
22900.0,812.0,944.0,893.0,973.0
23000.0,812.0,942.0,893.0,973.0
23100.0,812.0,942.0,893.0,988.7
23200.0,815.0,942.0,893.0,973.0
23300.0,815.0,944.0,896.0,976.2
23400.0,812.0,942.0,893.0,973.0
23500.0,812.0,944.0,896.0,973.0
23600.0,812.0,942.0,894.4,989.0
23700.0,812.0,942.0,893.0,989.0
23800.0,812.0,944.0,893.0,973.0
23900.0,812.0,942.0,896.0,989.0
24000.0,812.0,942.0,893.0,973.0
24100.0,815.0,944.0,896.0,989.0
24200.0,812.0,944.0,896.0,983.9
24300.0,812.0,942.0,893.0,989.0
24400.0,815.0,942.0,895.7,989.0
24500.0,812.0,944.0,893.0,973.0
24600.0,815.0,942.0,893.0,973.0
24700.0,815.0,942.0,896.0,989.0
24800.0,812.0,942.0,896.0,979.8
24900.0,815.0,944.0,896.0,983.5
25000.0,815.0,944.0,896.0,986.6
25100.0,812.0,942.0,893.0,976.3
25200.0,815.0,944.0,896.0,973.0
25300.0,814.3,944.0,896.0,973.0
25400.0,812.0,944.0,893.0,988.4
25500.0,812.0,942.0,894.0,989.0
25600.0,812.4,942.0,896.0,977.8
25700.0,815.0,942.0,896.0,979.6
25800.0,815.0,943.6,893.3,973.6
25900.0,815.0,944.0,893.0,979.2
26000.0,815.0,942.2,896.0,989.0
26100.0,815.0,942.0,896.0,975.8
26200.0,812.0,942.0,896.0,976.5
26300.0,812.0,942.0,893.0,989.0
26400.0,812.0,942.0,893.0,977.9
26500.0,815.0,942.0,896.0,984.7
26600.0,815.0,944.0,896.0,985.0
26700.0,812.0,942.0,893.0,989.0
26800.0,812.0,942.0,896.0,983.9
26900.0,812.0,944.0,893.0,989.0
27000.0,815.0,944.0,893.0,989.0
27100.0,815.0,942.0,896.0,973.0
27200.0,812.0,944.0,893.0,989.0
27300.0,815.0,944.0,896.0,989.0
27400.0,815.0,942.0,893.0,973.0
27500.0,812.0,943.0,896.0,978.5
27600.0,813.0,944.0,896.0,989.0
27700.0,815.0,942.0,893.0,973.0
27800.0,815.0,942.0,896.0,983.2
27900.0,812.7,942.0,896.0,989.0
28000.0,812.0,942.0,893.0,973.0
28100.0,815.0,942.0,893.5,982.5
28200.0,815.0,942.0,893.7,975.3
28300.0,812.0,944.0,896.0,973.0
28400.0,812.0,943.1,893.0,978.8
28500.0,812.0,944.0,893.0,987.6
28600.0,812.0,942.0,893.0,973.0
28700.0,812.0,944.0,895.2,989.0
28800.0,815.0,942.0,893.0,981.1
28900.0,815.0,942.0,896.0,973.0
29000.0,812.0,944.0,896.0,979.1
29100.0,815.0,942.0,896.0,989.0
29200.0,815.0,942.0,896.0,979.8
29300.0,812.0,942.0,894.2,989.0
29400.0,815.0,944.0,893.0,975.0
29500.0,815.0,944.0,896.0,973.0
29600.0,812.0,942.0,893.0,973.0
29700.0,812.0,944.0,896.0,989.0
29800.0,812.0,944.0,896.0,989.0
29900.0,812.0,942.0,893.0,989.0
30000.0,815.0,942.0,893.0,989.0
30100.0,815.0,944.0,893.0,973.0
30200.0,812.0,942.0,893.0,989.0
30300.0,812.0,942.0,896.0,982.6
30400.0,812.0,942.0,893.0,977.8
30500.0,812.0,942.0,894.3,986.7
30600.0,815.0,942.0,896.0,982.0
30700.0,815.0,942.0,896.0,973.0
30800.0,815.0,944.0,893.0,976.5
30900.0,815.0,942.0,894.1,973.0
31000.0,815.0,942.0,893.0,973.0
31100.0,815.0,942.0,896.0,986.5
31200.0,812.0,942.0,896.0,973.0
31300.0,812.0,944.0,893.0,983.1
31400.0,815.0,942.0,896.0,988.0
31500.0,812.0,944.0,893.0,973.0
31600.0,812.0,942.0,896.0,973.4
31700.0,815.0,944.0,896.0,973.0
31800.0,814.3,944.0,896.0,989.0
31900.0,812.0,942.0,893.0,979.3
32000.0,812.3,942.0,896.0,976.9
32100.0,812.0,944.0,896.0,984.6
32200.0,815.0,942.0,896.0,973.7
32300.0,815.0,942.0,893.0,973.0
32400.0,815.0,942.0,893.0,989.0
32500.0,815.0,942.0,893.0,989.0
32600.0,815.0,944.0,896.0,989.0
32700.0,812.0,942.0,893.0,989.0
32800.0,815.0,942.0,896.0,973.0
32900.0,815.0,942.0,896.0,980.6
33000.0,815.0,942.0,896.0,973.0
33100.0,812.0,942.0,895.8,989.0
33200.0,812.0,942.0,893.0,989.0
33300.0,815.0,944.0,893.0,978.7
33400.0,812.0,944.0,896.0,973.0
33500.0,812.0,944.0,896.0,989.0
33600.0,815.0,944.0,896.0,973.0
33700.0,812.0,942.0,896.0,973.0
33800.0,812.5,944.0,896.0,989.0
33900.0,812.0,942.0,896.0,989.0
34000.0,812.0,944.0,893.0,981.8
34100.0,812.0,944.0,896.0,983.5
34200.0,812.0,944.0,896.0,989.0
34300.0,812.0,944.0,896.0,986.2
