timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,764.0,873.0,802.8,810.0
100.0,764.0,879.0,807.0,798.0
200.0,767.5,873.0,802.3,806.0
300.0,772.0,873.0,796.0,810.0
400.0,770.1,879.0,796.0,810.0
500.0,764.0,873.0,807.0,804.2
600.0,764.0,873.0,796.0,808.3
700.0,772.0,873.0,807.0,810.0
800.0,772.0,873.0,796.0,801.2
900.0,764.0,879.0,807.0,802.0
1000.0,764.0,879.0,796.0,798.0
1100.0,770.3,875.2,796.0,810.0
1200.0,764.0,879.0,796.0,808.1
1300.0,772.0,879.0,796.0,810.0
1400.0,772.0,879.0,807.0,810.0
1500.0,772.0,879.0,803.1,809.1
1600.0,766.6,873.4,797.6,799.0
1700.0,772.0,879.0,807.0,798.0
1800.0,764.0,879.0,800.6,810.0
1900.0,764.1,873.0,807.0,802.0
2000.0,772.0,873.0,807.0,810.0
2100.0,772.0,873.0,802.7,808.6
2200.0,767.1,879.0,796.0,810.0
2300.0,772.0,875.1,807.0,808.6
2400.0,772.0,873.0,803.6,799.8
2500.0,767.9,873.8,807.0,798.0
2600.0,772.0,879.0,796.0,810.0
2700.0,764.0,875.8,796.0,810.0
2800.0,765.4,879.0,796.0,799.8
2900.0,772.0,876.0,807.0,810.0
3000.0,764.0,879.0,797.0,809.3
3100.0,764.0,879.0,796.0,798.0
3200.0,764.6,873.0,807.0,810.0
3300.0,772.0,879.0,796.0,810.0
3400.0,770.5,873.0,807.0,803.5
3500.0,764.9,873.0,800.9,798.0
3600.0,771.6,873.0,796.0,809.6
3700.0,772.0,879.0,796.5,799.7
3800.0,769.4,873.0,807.0,803.4
3900.0,772.0,879.0,805.3,804.8
4000.0,764.0,876.9,801.5,807.1
4100.0,764.0,879.0,796.4,798.9
4200.0,764.0,879.0,807.0,810.0
4300.0,772.0,877.7,807.0,801.6
4400.0,772.0,879.0,802.9,798.0
4500.0,764.0,876.6,796.0,798.0
4600.0,772.0,879.0,807.0,801.4
4700.0,768.4,878.2,801.6,798.0
4800.0,769.9,873.0,796.0,810.0
4900.0,767.5,873.0,806.8,810.0
5000.0,772.0,879.0,807.0,810.0
5100.0,764.0,879.0,799.2,810.0
5200.0,772.0,879.0,796.0,808.6
5300.0,765.2,873.2,805.6,810.0
5400.0,772.0,879.0,807.0,798.0
5500.0,764.0,878.3,796.0,810.0
5600.0,772.0,873.0,796.0,810.0
5700.0,772.0,873.0,807.0,798.6
5800.0,772.0,873.0,796.0,798.0
5900.0,772.0,879.0,807.0,810.0
6000.0,764.0,875.7,796.0,801.3
6100.0,772.0,879.0,796.0,801.4
6200.0,766.2,873.0,805.6,810.0
6300.0,764.0,875.6,801.3,810.0
6400.0,772.0,877.7,807.0,798.0
6500.0,764.0,879.0,803.8,799.9
6600.0,764.0,873.0,807.0,801.2
6700.0,764.0,873.0,796.8,809.5
6800.0,772.0,873.0,807.0,810.0
6900.0,769.1,879.0,807.0,807.7
7000.0,772.0,873.0,807.0,798.0
7100.0,772.0,879.0,796.0,810.0
7200.0,764.0,879.0,801.3,798.0
7300.0,772.0,879.0,803.3,798.0
7400.0,772.0,873.6,807.0,810.0
7500.0,764.0,879.0,803.8,801.1
7600.0,772.0,873.0,807.0,798.0
7700.0,772.0,875.9,807.0,798.0
7800.0,764.0,879.0,807.0,799.3
7900.0,772.0,873.0,807.0,810.0
8000.0,772.0,873.0,800.2,798.0
8100.0,772.0,873.0,807.0,798.0
8200.0,772.0,879.0,796.0,798.0
8300.0,769.6,879.0,804.2,801.7
8400.0,772.0,873.0,798.1,810.0
8500.0,764.0,873.0,807.0,810.0
8600.0,764.0,879.0,796.0,810.0
8700.0,764.0,879.0,807.0,800.8
8800.0,764.0,873.0,797.5,801.4
8900.0,772.0,873.0,807.0,804.0
9000.0,764.0,879.0,796.0,798.0
9100.0,764.0,879.0,801.7,804.8
9200.0,764.0,873.2,796.0,798.0
9300.0,765.4,879.0,807.0,798.0
9400.0,772.0,879.0,798.4,798.0
9500.0,772.0,879.0,799.2,810.0
9600.0,772.0,873.0,796.0,810.0
9700.0,769.2,873.0,807.0,808.0
9800.0,769.3,873.0,807.0,805.7
9900.0,768.3,879.0,796.0,805.8
10000.0,764.0,873.0,807.0,810.0
10100.0,772.0,879.0,796.0,805.2
10200.0,764.0,879.0,801.5,802.3
10300.0,764.2,873.0,807.0,804.3
10400.0,764.0,873.0,807.0,803.8
10500.0,765.1,873.0,796.0,804.4
10600.0,772.0,873.0,801.9,798.0
10700.0,764.0,879.0,796.0,810.0
10800.0,772.0,879.0,807.0,798.0
10900.0,765.3,874.4,796.0,798.0
11000.0,770.5,879.0,798.7,798.0
11100.0,772.0,873.0,796.0,801.7
11200.0,764.0,875.5,806.9,802.5
11300.0,772.0,873.0,796.0,810.0
11400.0,764.0,879.0,807.0,798.0
11500.0,772.0,873.0,799.4,810.0
11600.0,772.0,879.0,801.0,810.0
11700.0,772.0,873.0,796.0,798.0
11800.0,767.0,879.0,807.0,810.0
11900.0,767.7,879.0,796.0,810.0
12000.0,772.0,879.0,807.0,810.0
12100.0,764.0,879.0,807.0,810.0
12200.0,764.0,879.0,796.0,798.0
12300.0,772.0,879.0,796.0,803.4
12400.0,771.3,873.0,796.0,810.0
12500.0,772.0,879.0,796.0,809.2
12600.0,771.4,879.0,807.0,798.0
12700.0,764.0,873.0,806.9,799.8
12800.0,766.0,873.0,807.0,803.1
12900.0,772.0,873.0,801.0,798.0
13000.0,764.0,877.5,796.0,807.4
13100.0,772.0,873.0,807.0,798.0
13200.0,764.0,879.0,807.0,806.1
13300.0,764.0,873.0,807.0,809.1
13400.0,765.4,879.0,807.0,810.0
13500.0,772.0,878.5,805.3,810.0
13600.0,764.0,877.7,797.3,810.0
13700.0,772.0,879.0,804.7,810.0
13800.0,764.0,873.0,796.0,806.6
13900.0,764.0,873.0,796.0,804.3
14000.0,764.0,879.0,796.0,810.0
14100.0,764.0,879.0,799.6,810.0
14200.0,764.0,873.0,807.0,801.5
14300.0,764.0,874.2,807.0,803.8
14400.0,772.0,873.0,796.0,798.0
14500.0,772.0,879.0,800.4,810.0
14600.0,764.0,873.0,798.9,798.0
14700.0,769.2,873.0,806.7,810.0
14800.0,772.0,878.6,807.0,810.0
14900.0,764.0,879.0,807.0,810.0
15000.0,764.0,879.0,796.0,798.0
15100.0,772.0,879.0,796.0,810.0
15200.0,764.0,873.0,807.0,798.0
15300.0,772.0,873.0,796.0,810.0
15400.0,764.0,873.0,796.0,810.0
15500.0,764.0,873.0,796.0,808.3
15600.0,769.0,879.0,796.0,804.7
15700.0,772.0,879.0,796.0,803.9
15800.0,770.8,873.0,796.0,810.0
15900.0,764.0,879.0,801.5,799.9
16000.0,772.0,879.0,803.1,798.0
16100.0,771.8,878.7,796.2,808.0
16200.0,772.0,873.0,800.5,810.0
16300.0,770.2,873.0,807.0,807.6
16400.0,770.3,873.0,807.0,798.7
16500.0,764.0,873.0,796.0,810.0
16600.0,771.9,876.2,796.0,806.4
16700.0,768.2,873.0,796.0,803.5
16800.0,772.0,876.5,806.9,810.0
16900.0,764.0,873.0,807.0,800.3
17000.0,764.0,873.0,803.2,799.2
17100.0,770.5,873.0,807.0,810.0
17200.0,772.0,873.0,803.2,799.7
17300.0,770.6,879.0,807.0,800.1
17400.0,764.0,875.5,799.0,805.5
17500.0,764.0,873.0,802.5,800.7
17600.0,770.2,873.0,798.3,810.0
17700.0,766.8,879.0,796.0,798.4
17800.0,768.3,873.0,796.0,805.2
17900.0,764.0,879.0,796.0,801.5
18000.0,765.4,879.0,799.1,798.0
18100.0,772.0,875.0,801.0,803.4
18200.0,772.0,879.0,796.0,810.0
18300.0,764.0,873.0,804.4,798.0
18400.0,764.0,873.0,796.0,810.0
18500.0,764.0,873.0,807.0,809.3
18600.0,772.0,879.0,807.0,798.0
18700.0,767.5,873.0,807.0,810.0
18800.0,772.0,873.0,796.0,810.0
18900.0,764.0,873.0,796.0,808.4
19000.0,772.0,879.0,796.0,810.0
19100.0,764.0,879.0,807.0,810.0
19200.0,772.0,879.0,796.0,810.0
19300.0,772.0,879.0,796.0,798.0
19400.0,764.0,879.0,796.0,798.0
19500.0,772.0,879.0,796.0,810.0
19600.0,764.0,873.0,799.8,806.2
19700.0,764.0,876.9,796.0,806.3
19800.0,764.0,879.0,807.0,810.0
19900.0,772.0,873.0,800.2,810.0
20000.0,766.2,874.9,801.7,804.2
20100.0,764.0,879.0,797.8,810.0
20200.0,764.0,878.2,806.2,810.0
20300.0,764.0,879.0,807.0,807.9
20400.0,770.7,873.0,800.3,798.0
20500.0,764.0,879.0,803.3,810.0
20600.0,772.0,873.0,807.0,810.0
20700.0,764.0,873.0,807.0,798.0
20800.0,764.0,879.0,806.6,800.7
20900.0,770.1,875.2,807.0,798.9
21000.0,772.0,873.1,802.4,803.5
21100.0,772.0,879.0,796.0,810.0
21200.0,764.0,879.0,807.0,799.9
21300.0,764.0,879.0,807.0,804.6
21400.0,764.0,879.0,807.0,798.1
21500.0,764.0,873.0,796.0,802.1
21600.0,771.1,873.0,803.5,798.0
21700.0,764.0,876.4,798.9,810.0
21800.0,767.0,879.0,797.7,808.5
21900.0,772.0,873.0,807.0,810.0
22000.0,772.0,879.0,807.0,810.0
22100.0,764.0,879.0,796.0,800.6
22200.0,772.0,873.0,797.3,798.0
22300.0,772.0,873.0,796.0,798.0
22400.0,772.0,873.0,807.0,798.0
22500.0,772.0,879.0,801.1,810.0
22600.0,769.2,879.0,800.2,798.0
22700.0,771.3,873.0,796.0,810.0
22800.0,764.0,873.0,803.5,810.0
22900.0,764.2,879.0,796.0,809.9
23000.0,764.0,878.1,796.0,805.7
23100.0,772.0,879.0,807.0,810.0
23200.0,764.8,879.0,806.5,798.0
23300.0,764.0,879.0,796.0,810.0
23400.0,764.0,873.0,796.0,798.2
23500.0,765.5,879.0,796.0,808.3
23600.0,770.0,879.0,796.0,809.5
23700.0,767.6,879.0,796.0,798.0
23800.0,764.0,873.0,801.7,798.5
23900.0,764.0,873.0,805.4,810.0
24000.0,772.0,879.0,802.3,810.0
24100.0,772.0,876.3,796.0,810.0
24200.0,764.0,873.0,805.3,798.0
24300.0,768.0,879.0,796.0,810.0
24400.0,766.3,879.0,804.5,810.0
24500.0,764.0,877.5,806.2,805.2
24600.0,772.0,879.0,797.5,810.0
24700.0,767.8,873.0,796.0,798.0
24800.0,772.0,878.1,796.8,810.0
24900.0,764.0,873.0,800.6,810.0
25000.0,769.8,873.0,807.0,810.0
