timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,804.0,936.0,866.4,962.9
100.0,751.8,899.4,827.2,822.4
200.0,778.7,907.7,840.1,869.5
300.0,748.0,895.0,840.2,816.2
400.0,783.5,931.7,865.2,956.2
500.0,796.1,936.0,878.2,962.5
600.0,772.1,925.9,856.2,913.4
700.0,782.1,912.0,882.3,942.2
800.0,804.0,936.0,876.6,957.5
900.0,787.9,920.2,869.8,922.9
1000.0,787.9,931.6,859.9,948.8
1100.0,782.9,932.9,879.9,920.6
1200.0,785.0,936.0,874.5,953.0
1300.0,766.9,903.8,836.9,797.0
1400.0,786.4,936.0,872.9,943.9
1500.0,789.9,936.0,874.2,976.0
1600.0,804.0,921.9,888.0,976.0
1700.0,772.6,936.0,875.2,914.3
1800.0,759.1,902.9,847.1,885.1
1900.0,768.7,933.4,858.5,899.2
2000.0,786.8,929.8,867.8,897.1
2100.0,795.0,923.6,884.8,955.3
2200.0,784.6,934.5,879.5,952.3
2300.0,775.7,903.1,856.2,903.2
2400.0,795.4,936.0,888.0,968.6
2500.0,803.9,926.8,888.0,956.2
2600.0,761.7,895.0,834.8,839.5
2700.0,749.2,895.0,845.3,809.2
2800.0,753.3,895.0,826.1,805.1
2900.0,785.0,936.0,870.5,968.8
3000.0,796.3,911.4,856.5,901.9
3100.0,771.5,908.7,847.8,870.8
3200.0,768.3,925.4,855.7,881.1
3300.0,787.8,923.3,888.0,976.0
3400.0,758.6,920.3,839.7,888.2
3500.0,804.0,917.6,870.4,965.1
3600.0,789.9,920.1,861.9,912.6
3700.0,799.6,929.1,863.3,932.8
3800.0,785.5,936.0,875.9,976.0
3900.0,804.0,936.0,862.8,953.2
4000.0,750.7,895.0,828.0,825.2
4100.0,768.5,915.1,848.9,921.9
4200.0,798.4,936.0,888.0,974.7
4300.0,804.0,925.4,878.6,976.0
4400.0,763.4,920.5,865.4,878.7
4500.0,783.0,923.3,874.7,931.5
4600.0,788.6,917.4,888.0,932.9
4700.0,782.9,911.2,888.0,953.2
4800.0,777.0,933.2,867.2,939.2
4900.0,768.1,895.0,852.0,813.7
5000.0,748.0,904.3,844.4,805.9
5100.0,799.8,936.0,887.0,934.0
5200.0,786.9,918.9,868.3,976.0
5300.0,763.7,895.2,835.6,812.1
5400.0,768.3,919.0,857.5,863.6
5500.0,794.6,915.9,877.9,921.0
5600.0,794.5,935.4,874.1,944.0
5700.0,801.6,928.1,864.0,948.4
5800.0,776.8,916.0,872.7,935.7
5900.0,766.0,936.0,864.6,908.8
6000.0,785.3,936.0,882.5,933.8
6100.0,784.6,934.6,879.1,955.0
6200.0,758.0,902.3,856.1,899.4
6300.0,781.2,905.0,855.6,861.9
6400.0,804.0,920.3,878.9,954.4
6500.0,788.2,903.9,840.7,881.1
6600.0,800.6,936.0,873.8,969.4
6700.0,780.3,905.4,848.3,884.4
6800.0,798.6,936.0,888.0,966.7
6900.0,798.0,934.0,885.6,976.0
7000.0,788.3,915.4,865.9,934.1
7100.0,794.8,908.9,861.2,941.1
7200.0,804.0,934.9,887.6,976.0
7300.0,780.9,913.0,854.3,927.0
7400.0,800.1,936.0,888.0,941.0
7500.0,748.0,895.0,825.0,798.5
7600.0,772.6,926.4,870.1,914.7
7700.0,748.0,895.0,834.8,808.1
7800.0,771.4,926.9,855.6,896.6
7900.0,785.4,936.0,886.5,976.0
8000.0,789.7,915.9,860.0,939.3
8100.0,801.9,914.4,882.2,949.4
8200.0,801.5,933.6,869.1,924.6
8300.0,804.0,936.0,877.7,973.0
8400.0,751.9,895.0,825.0,810.5
8500.0,773.0,911.2,841.0,829.0
8600.0,768.8,895.0,843.5,833.4
8700.0,770.8,906.8,861.9,926.6
8800.0,782.1,914.5,876.6,910.5
8900.0,795.7,936.0,871.4,976.0
9000.0,773.9,905.9,826.2,814.7
9100.0,804.0,915.5,869.8,953.2
9200.0,794.0,936.0,865.4,952.7
9300.0,804.0,936.0,885.5,971.0
9400.0,764.0,911.9,849.1,797.7
9500.0,789.2,936.0,866.7,942.2
9600.0,798.5,936.0,872.5,920.4
9700.0,768.2,895.4,837.6,814.8
9800.0,749.7,908.1,849.8,801.6
9900.0,790.8,936.0,885.7,959.7
10000.0,766.0,908.1,853.8,879.0
10100.0,790.3,936.0,871.2,922.5
10200.0,777.3,915.5,876.4,960.5
10300.0,767.1,895.0,835.6,835.8
10400.0,804.0,932.8,873.7,976.0
10500.0,776.1,900.8,866.8,881.4
10600.0,779.2,907.2,838.8,890.4
10700.0,804.0,936.0,888.0,976.0
10800.0,748.0,899.2,838.1,797.3
10900.0,804.0,927.0,888.0,969.0
11000.0,781.0,923.0,882.1,900.6
11100.0,791.4,927.8,883.5,957.4
11200.0,796.2,924.8,882.9,973.5
11300.0,748.0,906.1,848.8,815.1
11400.0,748.0,902.2,853.7,818.2
11500.0,795.3,936.0,880.1,942.3
11600.0,802.3,916.6,885.6,976.0
11700.0,787.0,914.1,874.8,919.6
11800.0,804.0,936.0,878.4,975.3
11900.0,774.8,907.9,871.4,916.5
12000.0,802.3,915.7,878.6,917.5
12100.0,748.0,895.0,825.0,819.4
12200.0,787.3,924.1,888.0,974.0
12300.0,794.5,927.0,888.0,976.0
12400.0,792.3,922.6,879.5,962.2
12500.0,804.0,936.0,873.2,950.3
12600.0,787.9,936.0,887.5,942.8
12700.0,784.4,905.6,859.9,919.8
12800.0,782.4,936.0,875.4,942.8
12900.0,789.2,934.0,857.7,884.2
13000.0,802.2,927.1,887.0,949.5
13100.0,759.9,905.2,866.3,876.3
13200.0,799.7,936.0,875.1,936.0
13300.0,791.0,928.5,878.9,923.6
13400.0,774.0,918.0,849.5,900.5
13500.0,792.4,927.9,882.1,976.0
13600.0,804.0,916.7,870.7,976.0
13700.0,787.2,907.0,852.7,888.4
13800.0,802.7,918.7,860.5,942.4
13900.0,797.0,919.7,888.0,955.0
14000.0,764.4,921.4,847.5,865.6
14100.0,762.4,933.3,867.6,887.5
14200.0,759.8,895.0,845.0,823.1
14300.0,784.6,935.9,888.0,948.5
14400.0,775.8,928.2,875.9,925.7
14500.0,748.0,895.0,832.1,822.0
14600.0,800.0,915.8,860.3,921.5
14700.0,796.2,936.0,861.6,936.3
14800.0,793.9,936.0,882.9,962.5
14900.0,776.9,923.3,876.2,930.9
15000.0,772.2,921.5,857.4,878.4
15100.0,791.4,936.0,882.2,957.8
15200.0,748.0,895.0,835.9,797.0
15300.0,774.1,905.3,843.7,812.6
15400.0,765.8,912.3,849.1,903.6
15500.0,787.5,932.8,872.0,966.0
15600.0,786.8,933.8,868.1,958.0
15700.0,748.0,895.0,840.5,810.6
15800.0,777.6,928.1,874.0,934.7
15900.0,773.3,904.3,874.1,899.7
16000.0,765.5,921.3,835.3,841.5
16100.0,791.3,919.4,872.7,942.2
16200.0,769.9,902.9,853.2,812.8
16300.0,795.8,922.2,857.5,921.6
16400.0,748.0,912.1,832.5,809.1
16500.0,785.2,929.2,865.6,897.6
16600.0,748.0,895.0,843.2,811.9
16700.0,788.6,927.0,848.7,891.3
16800.0,779.8,928.2,886.6,940.5
16900.0,787.0,921.7,879.7,953.3
17000.0,791.8,936.0,865.6,960.4
17100.0,768.2,909.9,876.7,908.1
17200.0,769.9,910.6,831.2,817.9
17300.0,796.1,923.7,886.5,976.0
17400.0,804.0,936.0,868.5,972.8
17500.0,750.7,902.9,846.1,827.6
17600.0,795.8,922.8,854.3,930.2
17700.0,749.1,913.8,832.9,809.8
17800.0,770.2,904.1,855.1,885.9
17900.0,764.0,929.0,860.3,932.0
18000.0,796.4,936.0,876.5,958.2
18100.0,764.2,923.4,860.3,885.3
18200.0,780.0,912.6,853.0,937.1
