timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,809.0,936.0,890.1,981.7
100.0,810.3,941.0,885.0,969.0
200.0,814.6,941.0,894.0,985.0
300.0,809.0,936.0,885.0,976.5
400.0,809.0,941.0,885.0,978.7
500.0,812.9,936.0,893.2,985.0
600.0,809.0,941.0,894.0,977.8
700.0,812.1,940.0,885.0,969.0
800.0,810.3,936.0,889.6,982.4
900.0,818.0,936.0,887.3,983.1
1000.0,809.0,936.0,885.0,969.0
1100.0,812.7,936.0,885.2,981.6
1200.0,811.5,941.0,889.6,982.4
1300.0,818.0,936.0,894.0,985.0
1400.0,809.0,941.0,885.0,976.2
1500.0,809.0,936.0,885.0,969.0
1600.0,809.0,941.0,894.0,969.0
1700.0,810.3,941.0,885.0,985.0
1800.0,818.0,936.0,894.0,985.0
1900.0,809.0,941.0,894.0,969.0
2000.0,813.3,936.0,894.0,969.0
2100.0,810.6,941.0,894.0,969.0
2200.0,817.2,941.0,887.6,979.6
2300.0,809.0,936.0,885.0,969.0
2400.0,809.0,941.0,892.8,981.0
2500.0,818.0,941.0,894.0,975.0
2600.0,809.0,941.0,885.0,978.3
2700.0,818.0,936.0,885.0,984.9
2800.0,809.0,936.0,885.0,985.0
2900.0,809.0,936.0,894.0,969.0
3000.0,809.0,940.6,885.0,969.0
3100.0,809.0,939.7,885.0,978.7
3200.0,818.0,941.0,894.0,980.3
3300.0,811.3,940.9,885.0,973.2
3400.0,818.0,936.0,894.0,970.2
3500.0,818.0,941.0,892.0,969.0
3600.0,809.0,941.0,885.0,977.5
3700.0,811.6,937.1,894.0,980.4
3800.0,818.0,941.0,894.0,974.3
3900.0,818.0,936.0,885.0,969.0
4000.0,809.0,941.0,885.0,969.0
4100.0,809.0,941.0,894.0,985.0
4200.0,818.0,941.0,885.0,969.0
4300.0,818.0,941.0,894.0,969.0
4400.0,814.5,936.0,885.0,969.0
4500.0,818.0,936.0,894.0,985.0
4600.0,818.0,936.0,885.0,976.3
4700.0,818.0,936.0,894.0,969.0
4800.0,816.8,936.0,894.0,969.0
4900.0,818.0,936.0,894.0,972.1
5000.0,813.8,941.0,894.0,985.0
5100.0,809.0,936.0,894.0,977.6
5200.0,816.1,941.0,885.0,979.6
5300.0,813.5,940.0,885.0,969.0
5400.0,818.0,936.0,890.3,985.0
5500.0,813.7,940.6,887.8,985.0
5600.0,818.0,941.0,893.6,985.0
5700.0,818.0,936.0,890.7,975.8
5800.0,817.0,941.0,885.0,975.6
5900.0,810.4,936.0,891.5,969.0
6000.0,818.0,941.0,885.0,977.5
6100.0,809.0,936.0,894.0,985.0
6200.0,809.0,941.0,894.0,985.0
6300.0,818.0,941.0,894.0,977.3
6400.0,818.0,941.0,894.0,969.0
6500.0,817.6,936.0,894.0,980.6
6600.0,818.0,936.3,894.0,985.0
6700.0,812.8,936.0,894.0,985.0
6800.0,818.0,941.0,885.0,982.2
6900.0,809.0,941.0,894.0,972.4
7000.0,818.0,941.0,889.3,984.3
7100.0,815.9,936.3,894.0,982.4
7200.0,811.5,941.0,885.0,969.8
7300.0,818.0,941.0,885.0,985.0
7400.0,809.0,936.0,885.0,969.0
7500.0,818.0,936.0,885.0,985.0
7600.0,809.0,941.0,894.0,969.0
7700.0,809.0,936.0,894.0,969.0
7800.0,809.0,936.0,894.0,985.0
7900.0,809.0,936.0,885.0,983.8
8000.0,809.0,941.0,885.0,975.2
8100.0,809.0,936.0,885.0,985.0
8200.0,809.0,941.0,890.5,985.0
8300.0,818.0,941.0,885.0,969.0
8400.0,810.3,936.0,885.0,981.5
8500.0,815.1,937.1,885.0,969.0
8600.0,818.0,941.0,885.0,973.4
8700.0,814.0,941.0,894.0,981.0
8800.0,815.6,941.0,894.0,970.3
8900.0,818.0,936.0,894.0,985.0
9000.0,818.0,936.0,885.0,985.0
9100.0,809.0,941.0,885.0,985.0
9200.0,818.0,941.0,885.0,969.0
9300.0,809.0,941.0,888.3,969.0
9400.0,818.0,936.0,885.0,985.0
9500.0,809.0,941.0,885.0,969.0
9600.0,818.0,936.0,885.0,983.3
9700.0,818.0,936.0,885.0,971.2
9800.0,818.0,936.5,894.0,984.3
9900.0,809.0,941.0,885.0,969.0
10000.0,809.0,941.0,891.8,969.0
10100.0,818.0,936.0,885.0,985.0
10200.0,818.0,936.0,890.3,969.9
10300.0,809.0,941.0,894.0,977.7
10400.0,811.3,936.0,894.0,969.0
10500.0,809.0,936.4,894.0,974.4
10600.0,809.0,938.5,885.0,985.0
10700.0,818.0,936.0,885.0,981.0
10800.0,809.8,936.0,894.0,985.0
10900.0,815.4,936.0,894.0,984.8
11000.0,812.2,936.0,894.0,977.7
11100.0,809.0,938.0,894.0,985.0
11200.0,809.0,941.0,885.0,969.0
11300.0,817.1,936.0,890.9,969.0
11400.0,818.0,941.0,885.0,969.0
11500.0,818.0,941.0,894.0,969.0
11600.0,809.0,936.0,892.2,969.0
11700.0,815.9,936.0,885.0,969.0
11800.0,809.0,941.0,885.0,969.0
11900.0,814.8,936.0,894.0,974.8
12000.0,818.0,936.7,885.0,985.0
12100.0,818.0,936.0,893.2,973.3
12200.0,809.0,937.0,889.0,985.0
12300.0,809.0,941.0,885.0,984.8
12400.0,809.0,936.0,889.1,985.0
12500.0,809.2,936.0,886.1,969.0
12600.0,809.0,940.4,890.8,975.7
12700.0,809.0,936.0,887.9,971.2
12800.0,814.9,937.8,885.0,978.1
12900.0,814.5,941.0,894.0,981.6
13000.0,809.0,941.0,894.0,985.0
13100.0,809.0,936.0,894.0,985.0
13200.0,818.0,936.0,890.9,985.0
13300.0,809.0,939.7,891.2,973.2
13400.0,809.2,936.0,887.6,969.0
13500.0,809.0,940.2,885.0,969.0
13600.0,817.9,938.2,885.0,969.0
13700.0,809.0,941.0,886.1,985.0
13800.0,818.0,936.0,891.5,971.4
13900.0,813.0,936.0,894.0,985.0
14000.0,809.0,941.0,894.0,977.7
14100.0,813.0,941.0,894.0,977.8
14200.0,818.0,936.0,891.7,969.0
14300.0,809.0,941.0,885.0,972.7
14400.0,818.0,936.0,894.0,973.7
14500.0,818.0,936.0,894.0,981.7
14600.0,818.0,936.0,894.0,969.0
14700.0,818.0,936.0,885.0,969.0
14800.0,809.0,936.0,887.5,985.0
14900.0,818.0,940.9,885.0,969.0
15000.0,818.0,941.0,889.0,985.0
15100.0,816.0,936.0,894.0,985.0
15200.0,809.0,941.0,894.0,985.0
15300.0,818.0,936.0,894.0,969.0
15400.0,809.0,941.0,885.0,969.0
15500.0,809.0,941.0,885.0,982.0
15600.0,817.2,941.0,885.3,974.1
15700.0,809.0,936.0,894.0,969.6
15800.0,809.0,936.0,887.4,985.0
15900.0,809.0,936.0,885.0,969.0
16000.0,818.0,936.0,894.0,985.0
16100.0,809.0,939.2,893.8,985.0
16200.0,818.0,936.0,894.0,969.0
16300.0,809.0,936.0,885.0,969.0
16400.0,809.0,936.0,885.0,985.0
16500.0,818.0,936.0,885.0,985.0
16600.0,812.9,941.0,894.0,969.0
16700.0,809.0,941.0,885.0,969.0
16800.0,818.0,936.0,894.0,983.9
16900.0,814.6,941.0,894.0,972.7
17000.0,818.0,941.0,885.0,975.5
17100.0,818.0,936.0,894.0,979.2
17200.0,809.0,941.0,885.0,985.0
17300.0,809.0,936.0,885.0,981.7
17400.0,818.0,941.0,886.2,969.0
17500.0,809.0,937.5,885.0,969.0
17600.0,809.0,941.0,885.0,985.0
17700.0,809.0,941.0,885.0,985.0
17800.0,818.0,941.0,894.0,981.2
17900.0,809.0,941.0,894.0,985.0
18000.0,818.0,941.0,894.0,982.1
18100.0,818.0,936.0,894.0,973.6
18200.0,813.9,936.0,885.0,969.0
18300.0,809.0,941.0,894.0,985.0
18400.0,818.0,937.7,893.3,985.0
18500.0,818.0,936.0,885.0,979.1
18600.0,814.3,941.0,892.3,969.0
18700.0,818.0,941.0,885.0,969.0
18800.0,809.0,941.0,885.0,985.0
