timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,818.1,887.8,846.0,709.5
100.0,822.0,904.7,830.1,625.0
200.0,818.2,880.7,795.6,469.6
300.0,808.6,900.5,846.0,597.0
400.0,826.4,905.0,797.4,530.0
500.0,817.8,905.0,824.2,628.2
600.0,829.0,905.0,842.4,713.5
700.0,802.4,901.4,815.4,530.3
800.0,810.4,885.2,802.6,482.5
900.0,808.4,892.9,829.5,598.1
1000.0,803.9,900.0,805.7,547.4
1100.0,829.0,902.6,844.5,648.9
1200.0,806.8,896.5,800.0,489.4
1300.0,819.0,905.0,828.6,691.3
1400.0,812.8,905.0,824.0,666.4
1500.0,829.0,900.7,810.1,552.0
1600.0,790.0,870.5,789.0,449.1
1700.0,801.9,905.0,810.8,583.1
1800.0,824.8,887.5,798.2,478.8
1900.0,818.8,905.0,833.3,643.6
2000.0,795.4,867.0,800.1,453.1
2100.0,818.1,889.3,804.7,496.9
2200.0,814.5,888.9,839.6,622.4
2300.0,829.0,896.2,821.7,545.6
2400.0,826.3,904.4,831.7,687.3
2500.0,815.8,876.7,789.0,463.8
2600.0,793.9,867.0,806.9,470.3
2700.0,801.7,884.3,807.3,483.7
2800.0,794.0,881.4,789.0,450.7
2900.0,829.0,901.8,824.3,594.1
3000.0,829.0,905.0,846.0,710.1
3100.0,816.5,905.0,823.8,628.9
3200.0,829.0,903.5,838.8,631.0
3300.0,810.1,905.0,846.0,714.1
3400.0,829.0,897.1,801.3,535.4
3500.0,807.8,867.0,807.7,477.4
3600.0,797.0,876.0,789.0,474.6
3700.0,805.1,873.1,789.0,467.9
3800.0,810.8,892.3,794.7,473.3
3900.0,793.6,867.0,800.7,443.8
4000.0,816.1,900.3,846.0,606.0
4100.0,817.5,896.0,841.5,698.0
4200.0,807.3,903.9,817.8,520.5
4300.0,811.7,905.0,846.0,714.9
4400.0,815.7,889.1,832.7,598.7
4500.0,821.0,898.5,842.1,649.3
4600.0,813.0,882.4,804.1,520.2
4700.0,829.0,891.6,842.4,632.4
4800.0,825.9,905.0,846.0,641.7
4900.0,803.5,879.4,836.4,584.5
5000.0,817.0,905.0,833.2,614.3
5100.0,824.3,894.8,818.5,535.4
5200.0,796.6,871.4,792.9,454.2
5300.0,800.7,875.5,804.8,441.3
5400.0,809.2,867.0,789.0,479.9
5500.0,798.6,878.2,789.0,441.0
5600.0,801.9,884.9,830.1,593.7
5700.0,808.3,867.0,806.5,458.5
5800.0,829.0,896.6,820.1,489.5
5900.0,819.6,890.4,838.9,708.2
6000.0,824.5,897.8,827.9,716.0
6100.0,794.6,872.9,802.0,463.7
6200.0,809.6,905.0,846.0,700.2
6300.0,803.5,877.2,825.3,533.1
6400.0,819.0,905.0,841.7,687.1
6500.0,828.7,894.3,835.6,635.3
6600.0,829.0,905.0,828.3,626.9
6700.0,810.4,901.9,811.0,588.4
6800.0,829.0,901.3,823.9,663.7
6900.0,819.9,905.0,846.0,704.0
7000.0,829.0,905.0,833.6,647.1
7100.0,829.0,905.0,833.6,701.7
7200.0,824.5,876.3,809.2,549.9
7300.0,808.4,867.0,789.0,464.1
7400.0,801.3,867.0,789.0,443.4
7500.0,818.7,894.1,834.7,660.3
7600.0,813.2,885.6,823.1,645.6
7700.0,798.0,867.9,789.0,447.6
7800.0,813.0,879.7,823.7,533.1
7900.0,825.3,904.7,816.6,566.2
8000.0,811.6,905.0,846.0,686.7
8100.0,807.6,905.0,823.2,552.4
8200.0,825.3,882.4,818.6,533.9
8300.0,814.4,905.0,837.1,677.7
8400.0,815.7,876.1,804.7,460.4
8500.0,811.5,882.9,826.2,549.7
8600.0,828.2,905.0,827.7,545.3
8700.0,821.6,899.2,818.6,537.8
8800.0,820.5,903.0,815.9,505.5
8900.0,802.0,881.8,830.0,581.7
9000.0,829.0,885.5,822.5,556.6
9100.0,829.0,884.6,846.0,651.9
9200.0,829.0,905.0,846.0,643.8
9300.0,803.9,905.0,827.6,548.0
9400.0,789.2,867.0,789.0,441.0
9500.0,829.0,897.8,841.5,701.2
9600.0,829.0,905.0,825.7,655.3
9700.0,821.4,892.5,829.8,664.3
9800.0,811.9,873.6,820.1,538.7
9900.0,805.6,895.7,846.0,649.4
10000.0,818.0,898.7,821.1,608.0
10100.0,829.0,879.3,792.2,496.6
10200.0,826.2,881.5,807.7,473.8
10300.0,818.3,886.8,806.1,474.5
10400.0,813.0,905.0,825.3,650.0
10500.0,829.0,905.0,841.0,696.9
10600.0,807.2,890.7,846.0,626.4
10700.0,826.7,899.6,790.6,484.8
10800.0,829.0,905.0,846.0,692.7
10900.0,827.7,874.5,821.4,593.7
11000.0,829.0,905.0,846.0,705.8
11100.0,805.6,901.8,816.3,601.3
11200.0,820.4,905.0,836.8,611.4
11300.0,812.1,890.0,846.0,707.7
11400.0,814.1,870.1,796.3,472.5
11500.0,803.1,884.0,789.0,448.0
11600.0,829.0,905.0,840.3,643.4
11700.0,829.0,905.0,825.7,610.5
11800.0,813.4,893.1,830.3,692.2
11900.0,807.9,905.0,817.2,622.8
12000.0,811.5,900.9,804.6,540.7
12100.0,829.0,905.0,836.8,678.1
12200.0,797.9,880.2,800.0,441.0
12300.0,809.8,887.4,846.0,617.8
12400.0,816.4,871.0,811.0,478.9
12500.0,826.7,905.0,846.0,662.5
12600.0,805.6,895.7,827.8,681.9
12700.0,811.1,896.5,825.5,685.6
12800.0,815.9,905.0,842.7,627.1
12900.0,829.0,905.0,846.0,706.0
13000.0,819.7,898.2,820.4,514.2
13100.0,825.9,905.0,808.4,527.9
13200.0,829.0,905.0,846.0,711.3
13300.0,808.4,875.2,824.9,525.2
13400.0,820.6,905.0,846.0,640.6
13500.0,818.8,905.0,833.5,716.0
13600.0,807.6,879.9,805.7,452.8
13700.0,794.1,867.0,789.0,442.3
13800.0,829.0,903.6,823.4,656.2
13900.0,802.9,880.4,808.0,542.0
14000.0,813.0,867.0,798.9,443.7
14100.0,794.8,891.8,804.9,476.4
14200.0,813.3,876.8,813.2,534.6
14300.0,829.0,904.6,834.9,696.0
14400.0,813.6,895.0,821.4,644.1
14500.0,808.7,883.5,813.6,487.4
14600.0,809.0,882.1,829.9,602.6
14700.0,829.0,887.3,839.2,685.7
14800.0,814.3,891.1,846.0,644.4
14900.0,827.6,885.8,810.1,543.9
15000.0,822.2,888.4,829.5,618.1
15100.0,829.0,905.0,828.6,632.9
15200.0,828.1,867.0,816.9,493.0
15300.0,806.0,893.4,813.9,475.1
15400.0,829.0,888.1,834.9,645.6
15500.0,801.6,881.6,802.5,484.5
15600.0,823.6,905.0,838.6,651.5
15700.0,808.6,898.1,823.5,611.2
15800.0,823.1,905.0,822.9,608.3
15900.0,827.0,890.2,827.2,660.2
16000.0,819.0,894.7,844.1,653.4
16100.0,829.0,884.9,826.1,657.9
16200.0,822.3,905.0,810.4,586.9
16300.0,799.8,885.4,836.8,595.5
16400.0,813.0,883.5,817.5,473.2
16500.0,825.9,889.2,846.0,716.0
16600.0,823.2,889.9,830.7,644.2
16700.0,802.6,880.2,801.3,508.0
16800.0,823.7,905.0,846.0,700.7
16900.0,815.3,871.7,799.5,468.8
17000.0,819.4,905.0,846.0,678.4
17100.0,814.2,897.6,829.5,628.8
17200.0,824.6,904.9,821.5,612.5
17300.0,793.4,878.2,789.0,446.9
17400.0,811.7,901.3,822.2,643.5
17500.0,815.5,893.7,834.5,623.7
17600.0,809.6,890.9,843.5,606.1
17700.0,816.0,871.7,821.9,514.2
17800.0,820.2,905.0,846.0,708.0
17900.0,808.1,867.0,793.7,472.5
18000.0,825.2,898.5,812.3,550.8
18100.0,816.3,905.0,846.0,651.5
18200.0,806.6,877.8,820.4,543.3
18300.0,802.2,885.3,813.9,506.4
18400.0,814.2,905.0,846.0,707.1
18500.0,829.0,892.1,846.0,653.5
18600.0,809.5,867.9,813.4,473.3
18700.0,829.0,905.0,845.7,654.5
18800.0,819.5,898.6,846.0,712.6
18900.0,829.0,900.2,846.0,716.0
19000.0,818.0,905.0,830.4,644.0
19100.0,829.0,901.3,845.7,606.0
19200.0,810.0,885.1,800.9,541.1
19300.0,809.7,875.4,804.9,538.3
19400.0,829.0,894.3,827.5,602.0
19500.0,818.0,867.5,797.0,465.1
19600.0,804.9,878.3,812.5,482.4
19700.0,812.0,895.7,805.7,476.1
19800.0,789.2,867.0,789.0,449.7
19900.0,809.2,903.3,813.1,495.1
20000.0,826.4,885.6,823.1,546.0
20100.0,804.8,885.4,807.1,535.6
20200.0,827.8,905.0,836.4,632.6
20300.0,808.4,891.8,833.9,674.3
20400.0,824.7,899.4,817.6,548.9
20500.0,795.1,869.8,789.0,441.0
20600.0,829.0,905.0,827.7,605.0
20700.0,810.2,888.0,829.9,705.6
20800.0,808.8,905.0,818.8,616.2
20900.0,813.7,888.7,830.0,609.1
21000.0,795.3,880.4,801.6,476.4
21100.0,791.7,881.3,789.0,441.0
21200.0,817.4,905.0,845.5,662.4
21300.0,814.6,905.0,826.2,599.7
21400.0,829.0,889.9,833.9,711.4
21500.0,819.6,904.2,846.0,692.3
21600.0,811.0,867.0,794.8,463.1
