timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,810.2,891.0,837.0,680.7
100.0,809.0,891.0,847.7,664.2
200.0,816.1,891.0,837.0,622.1
300.0,824.8,894.5,845.7,759.9
400.0,827.2,900.6,853.6,835.7
500.0,810.0,891.0,837.0,681.0
600.0,832.5,901.0,859.0,752.5
700.0,809.0,893.6,848.5,668.2
800.0,825.5,891.0,837.0,697.1
900.0,832.5,891.0,849.5,791.4
1000.0,836.0,908.3,841.9,859.6
1100.0,816.3,897.3,854.3,771.1
1200.0,818.5,905.8,850.1,778.7
1300.0,824.2,901.7,841.8,824.9
1400.0,809.0,891.0,859.0,767.5
1500.0,825.3,902.1,855.6,820.0
1600.0,813.6,898.9,859.0,849.8
1700.0,809.0,891.0,856.8,767.5
1800.0,809.0,893.5,837.0,793.9
1900.0,836.0,894.8,852.8,844.1
2000.0,809.0,896.7,858.4,775.0
2100.0,815.7,891.0,859.0,813.2
2200.0,817.4,891.0,852.1,730.4
2300.0,826.2,891.0,837.0,731.3
2400.0,826.3,896.0,859.0,713.2
2500.0,823.9,891.0,857.7,806.8
2600.0,821.7,893.0,852.2,689.2
2700.0,822.5,891.0,839.9,835.2
2800.0,809.0,902.1,850.0,844.7
2900.0,833.7,905.6,854.6,615.3
3000.0,827.8,895.5,850.3,675.0
3100.0,830.5,903.7,848.1,825.0
3200.0,816.3,906.0,837.0,689.6
3300.0,809.9,900.1,858.2,817.2
3400.0,809.2,910.0,859.0,819.5
3500.0,822.8,910.0,849.7,660.6
3600.0,825.4,905.8,846.3,728.0
3700.0,827.7,910.0,845.5,858.4
3800.0,809.0,891.0,853.3,696.1
3900.0,834.2,904.8,859.0,844.4
4000.0,824.0,891.0,855.9,731.4
4100.0,825.8,908.0,849.5,618.6
4200.0,809.0,898.9,837.0,762.1
4300.0,825.6,904.5,856.3,726.7
4400.0,833.7,910.0,859.0,844.6
4500.0,809.0,897.5,852.3,700.6
4600.0,823.6,910.0,843.2,824.9
4700.0,816.6,891.0,848.0,590.1
4800.0,821.9,908.2,859.0,838.4
4900.0,836.0,910.0,859.0,864.8
5000.0,809.0,909.0,859.0,722.3
5100.0,819.8,897.8,848.8,845.6
5200.0,833.1,910.0,858.4,782.4
5300.0,811.4,891.0,838.4,668.3
5400.0,813.5,895.6,841.3,672.4
5500.0,834.4,893.4,844.1,816.6
5600.0,809.0,891.0,847.9,715.1
5700.0,809.0,891.0,837.0,649.5
5800.0,809.0,908.3,848.6,712.0
5900.0,811.2,897.1,859.0,825.3
6000.0,809.0,891.0,842.1,841.7
6100.0,836.0,904.2,859.0,722.3
6200.0,813.0,891.0,841.6,786.7
6300.0,836.0,904.7,859.0,852.2
6400.0,809.4,894.5,837.0,715.7
6500.0,809.0,900.7,837.0,637.2
6600.0,809.0,891.0,855.5,689.0
6700.0,809.0,894.8,859.0,779.0
6800.0,811.9,898.5,856.0,768.0
6900.0,816.5,910.0,854.8,861.1
7000.0,810.6,891.0,837.0,647.2
7100.0,813.6,891.0,837.0,851.0
7200.0,809.0,903.4,847.3,687.0
7300.0,809.0,891.1,859.0,726.4
7400.0,820.6,910.0,857.9,863.8
7500.0,827.1,906.6,837.9,818.9
7600.0,828.1,895.9,859.0,791.0
7700.0,811.7,897.2,854.2,827.9
7800.0,809.0,899.4,849.9,776.9
7900.0,815.7,906.3,859.0,779.5
8000.0,823.1,891.0,837.0,728.2
8100.0,809.0,906.1,859.0,727.8
8200.0,811.6,910.0,859.0,814.9
8300.0,835.1,904.9,848.8,737.4
8400.0,836.0,910.0,852.6,854.9
8500.0,836.0,910.0,859.0,767.5
8600.0,827.1,907.7,837.2,673.4
8700.0,820.2,908.6,859.0,808.2
8800.0,811.4,891.0,859.0,740.3
8900.0,827.6,910.0,840.5,858.8
9000.0,809.0,891.0,857.9,778.7
9100.0,809.0,898.6,843.0,780.2
9200.0,809.4,910.0,854.3,802.1
9300.0,825.9,904.9,853.0,830.9
9400.0,824.5,896.9,859.0,862.6
9500.0,817.1,903.0,854.9,772.5
9600.0,816.2,900.0,857.9,737.6
9700.0,813.6,910.0,850.2,751.7
9800.0,836.0,900.2,838.3,832.6
9900.0,819.9,903.5,837.0,648.2
10000.0,827.8,891.2,859.0,739.0
10100.0,836.0,900.2,859.0,849.1
10200.0,809.0,891.0,837.0,682.0
10300.0,836.0,891.0,859.0,755.6
10400.0,826.6,910.0,851.0,784.6
10500.0,809.4,891.0,844.1,773.1
10600.0,825.7,891.0,849.6,847.3
10700.0,833.5,891.0,853.2,800.1
10800.0,828.4,892.6,859.0,707.9
10900.0,823.1,891.0,850.8,770.2
11000.0,836.0,906.5,849.8,842.8
11100.0,815.8,891.0,850.4,752.4
11200.0,809.0,891.0,859.0,804.4
11300.0,816.5,894.5,852.4,683.5
11400.0,809.0,891.0,838.9,832.7
11500.0,809.0,905.5,853.6,725.7
11600.0,836.0,910.0,848.4,866.0
11700.0,824.0,891.0,838.0,810.9
11800.0,822.1,910.0,845.1,854.2
11900.0,825.0,891.0,850.1,786.6
12000.0,809.0,896.7,837.0,821.1
12100.0,834.2,910.0,837.0,590.2
12200.0,826.6,910.0,850.8,747.6
12300.0,816.6,910.0,840.9,762.2
12400.0,812.9,891.0,844.9,776.8
