timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,417.0,761.9,495.0,544.4
100.0,417.0,763.0,495.0,564.3
200.0,420.0,758.0,498.9,550.4
300.0,420.0,758.0,499.4,559.9
400.0,420.0,763.0,495.0,541.1
500.0,419.8,763.0,499.5,538.1
600.0,417.0,758.0,497.4,528.1
700.0,420.0,758.0,495.0,536.1
800.0,417.0,763.0,496.0,523.0
900.0,418.9,763.0,499.3,557.4
1000.0,420.0,758.0,499.8,540.4
1100.0,419.2,758.0,502.0,546.9
1200.0,417.0,761.7,502.0,523.0
1300.0,417.0,758.0,496.7,536.1
1400.0,420.0,760.0,499.6,548.0
1500.0,417.0,763.0,499.2,533.3
1600.0,420.0,760.2,498.4,555.2
1700.0,420.0,759.0,495.0,545.9
1800.0,420.0,758.0,498.8,558.2
1900.0,417.0,763.0,497.3,537.0
2000.0,418.6,760.7,495.0,528.1
2100.0,417.2,761.2,502.0,545.0
2200.0,419.2,762.3,502.0,562.6
2300.0,417.9,760.8,500.3,531.9
2400.0,420.0,758.0,495.0,535.2
2500.0,417.0,763.0,498.3,542.1
2600.0,418.5,758.0,495.0,539.7
2700.0,417.0,763.0,495.0,529.6
2800.0,420.0,763.0,495.0,560.1
2900.0,417.0,763.0,496.6,552.9
3000.0,417.0,763.0,500.2,556.7
3100.0,417.0,763.0,502.0,556.9
3200.0,417.0,763.0,495.0,549.6
3300.0,420.0,758.0,501.9,560.2
3400.0,417.0,759.0,499.8,526.8
3500.0,417.8,763.0,502.0,562.9
3600.0,417.0,763.0,499.5,566.8
3700.0,420.0,758.0,497.4,541.0
3800.0,417.0,758.0,501.3,560.6
3900.0,417.0,758.0,502.0,559.5
4000.0,417.0,759.6,495.0,574.0
4100.0,420.0,763.0,495.0,544.0
4200.0,417.0,763.0,495.3,528.1
4300.0,420.0,758.0,502.0,532.9
4400.0,417.0,763.0,502.0,571.1
4500.0,417.0,758.0,495.0,538.3
4600.0,420.0,758.0,502.0,546.2
4700.0,420.0,758.0,502.0,546.2
4800.0,417.0,761.8,495.0,525.2
4900.0,419.2,758.0,495.0,542.5
5000.0,420.0,763.0,502.0,550.5
5100.0,417.0,763.0,495.0,553.3
5200.0,417.0,758.0,497.4,530.1
5300.0,419.7,758.0,495.0,541.2
5400.0,420.0,763.0,499.0,543.7
5500.0,417.2,763.0,495.0,545.4
5600.0,417.1,758.6,495.0,553.5
5700.0,420.0,758.0,502.0,533.4
5800.0,417.0,758.0,495.0,530.3
5900.0,417.0,758.0,497.8,537.5
6000.0,417.0,758.0,495.0,542.1
6100.0,417.0,763.0,502.0,559.5
6200.0,417.0,758.0,500.4,555.5
6300.0,420.0,758.0,502.0,527.8
6400.0,420.0,763.0,500.4,560.7
6500.0,419.5,763.0,499.0,527.2
6600.0,417.0,760.6,502.0,544.2
6700.0,417.0,763.0,495.0,540.3
6800.0,418.9,758.0,495.0,529.2
6900.0,420.0,763.0,495.0,560.5
7000.0,420.0,763.0,498.7,527.0
7100.0,417.0,763.0,496.2,533.9
7200.0,420.0,758.0,502.0,548.1
7300.0,417.0,758.0,501.6,528.4
7400.0,420.0,763.0,502.0,560.1
7500.0,417.0,763.0,497.7,539.8
7600.0,417.6,763.0,495.0,550.7
7700.0,420.0,763.0,495.0,538.5
7800.0,420.0,763.0,502.0,555.3
7900.0,420.0,758.0,502.0,541.3
8000.0,419.1,763.0,499.1,540.6
8100.0,417.0,763.0,500.7,535.9
8200.0,420.0,763.0,498.5,546.3
8300.0,417.6,758.0,496.3,547.4
8400.0,420.0,763.0,495.6,562.2
8500.0,420.0,761.7,502.0,564.4
8600.0,420.0,761.4,495.0,546.5
8700.0,417.0,758.0,497.0,528.1
