timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,536.8,772.7,659.0,737.0
100.0,539.8,755.4,639.3,747.7
200.0,540.4,767.6,653.6,757.0
300.0,542.0,763.4,656.1,739.2
400.0,536.0,754.9,641.7,753.8
500.0,542.0,773.3,650.7,747.2
600.0,536.4,777.0,658.1,757.0
700.0,536.0,774.2,643.9,745.6
800.0,542.0,771.4,644.7,752.4
900.0,536.0,765.7,643.4,738.8
1000.0,536.4,777.0,659.0,746.3
1100.0,542.0,756.5,626.9,749.4
1200.0,542.0,764.3,644.8,751.8
1300.0,536.0,777.0,659.0,750.3
1400.0,536.0,750.0,617.0,748.8
1500.0,538.1,768.8,655.7,742.4
1600.0,536.4,765.4,644.5,737.0
1700.0,537.4,759.0,629.8,743.3
1800.0,542.0,777.0,650.8,743.1
1900.0,542.0,757.1,630.6,752.5
2000.0,542.0,777.0,659.0,743.7
2100.0,542.0,772.3,643.2,754.6
2200.0,542.0,777.0,654.6,756.7
2300.0,542.0,750.0,623.0,754.6
2400.0,538.7,767.3,637.4,748.7
2500.0,536.0,777.0,646.8,747.6
2600.0,541.0,770.9,649.4,743.1
2700.0,536.0,761.3,626.8,749.3
2800.0,542.0,777.0,659.0,742.6
2900.0,536.0,750.0,630.8,740.4
3000.0,536.0,757.3,635.2,747.6
3100.0,537.8,757.9,627.5,756.4
3200.0,542.0,777.0,640.4,757.0
3300.0,542.0,770.9,632.4,746.7
3400.0,536.5,750.0,628.7,757.0
3500.0,536.0,777.0,640.0,757.0
3600.0,542.0,756.1,641.8,737.8
3700.0,537.9,755.5,627.4,756.0
3800.0,542.0,773.1,641.5,753.4
3900.0,542.0,761.8,656.7,752.9
4000.0,536.0,761.6,643.4,747.2
4100.0,539.5,777.0,659.0,757.0
4200.0,542.0,752.3,634.7,757.0
4300.0,540.3,777.0,646.4,757.0
4400.0,542.0,764.6,632.0,737.0
4500.0,536.0,753.1,634.0,744.6
4600.0,542.0,755.8,629.7,753.2
4700.0,539.5,777.0,645.2,749.6
4800.0,536.0,760.4,641.9,737.0
4900.0,537.2,763.0,641.9,740.1
5000.0,536.0,777.0,653.2,740.4
5100.0,542.0,758.7,643.1,755.4
5200.0,542.0,766.2,650.5,741.6
5300.0,542.0,766.2,627.3,737.0
5400.0,540.9,765.6,627.8,742.9
5500.0,537.1,750.0,617.0,753.9
5600.0,536.0,772.0,639.6,742.2
5700.0,542.0,756.0,640.8,753.2
