timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,662.3,933.0,695.4,496.8
100.0,645.9,933.0,696.8,464.1
200.0,595.8,897.0,665.4,332.4
300.0,666.2,919.7,697.8,428.3
400.0,657.5,914.9,691.8,515.2
500.0,661.6,918.0,689.2,379.3
600.0,649.3,908.3,674.9,443.3
700.0,599.6,897.0,675.7,323.0
800.0,646.1,909.4,685.1,387.4
900.0,626.2,897.0,669.0,368.3
1000.0,655.1,929.9,695.0,509.6
1100.0,634.7,901.5,663.5,441.7
1200.0,661.2,933.0,699.8,482.2
1300.0,614.5,904.0,672.2,433.1
1400.0,643.1,903.6,691.6,485.3
1500.0,638.5,899.9,677.8,393.2
1600.0,607.9,926.2,665.0,443.4
1700.0,605.3,903.3,658.0,408.3
1800.0,673.3,906.7,704.4,450.7
1900.0,644.5,919.0,689.7,402.8
2000.0,658.6,918.9,677.3,380.5
2100.0,632.5,899.9,687.2,508.0
2200.0,670.7,913.4,695.9,556.1
2300.0,648.5,918.7,696.5,420.5
2400.0,606.8,920.5,663.6,325.4
2500.0,651.4,926.1,708.0,510.5
2600.0,654.9,917.6,685.1,424.5
2700.0,664.9,914.8,694.8,481.4
2800.0,656.4,909.1,675.8,394.7
2900.0,636.7,897.0,671.2,388.7
3000.0,632.0,897.0,676.1,379.0
3100.0,668.0,932.9,696.3,437.1
3200.0,604.7,897.0,666.3,331.1
3300.0,666.6,933.0,697.7,550.8
3400.0,656.2,904.3,707.1,445.9
3500.0,649.4,928.8,700.2,439.7
3600.0,638.2,909.3,675.2,407.6
3700.0,645.6,924.8,677.2,530.9
3800.0,589.0,903.1,653.0,327.8
3900.0,661.7,925.6,671.5,416.1
4000.0,627.2,927.8,677.7,412.7
4100.0,617.2,918.4,658.9,398.2
4200.0,626.4,918.6,677.6,490.7
4300.0,646.9,901.4,697.7,434.7
4400.0,670.2,933.0,697.3,536.3
4500.0,644.8,901.8,703.2,455.6
4600.0,627.5,897.0,653.0,367.0
4700.0,621.2,927.2,675.5,424.7
4800.0,649.5,912.2,682.0,472.0
4900.0,657.1,911.0,686.8,434.5
5000.0,637.1,922.6,673.2,394.5
5100.0,654.7,910.4,704.6,461.9
5200.0,646.1,915.6,701.1,462.1
5300.0,646.8,904.3,688.3,541.7
5400.0,636.9,907.9,665.0,456.2
5500.0,659.2,902.1,688.2,424.4
5600.0,589.0,905.0,663.2,331.2
5700.0,610.1,897.0,653.0,345.1
5800.0,676.0,929.9,693.8,521.2
5900.0,669.3,900.6,682.2,464.8
6000.0,615.9,899.8,653.0,415.8
6100.0,589.0,897.0,676.4,338.0
6200.0,644.5,929.6,661.2,478.1
6300.0,647.8,904.0,673.5,421.8
6400.0,641.0,925.1,678.7,423.4
6500.0,630.3,897.0,661.1,433.8
6600.0,641.4,907.7,673.2,484.5
6700.0,630.8,897.0,660.4,421.5
6800.0,668.2,933.0,686.3,499.4
6900.0,648.0,897.6,694.4,419.7
7000.0,661.5,897.0,675.1,373.1
7100.0,595.6,897.0,653.0,330.7
7200.0,647.4,928.9,677.7,506.4
7300.0,609.5,905.2,663.5,397.4
7400.0,590.1,912.9,663.1,332.2
7500.0,666.1,933.0,690.5,553.8
7600.0,663.4,906.6,709.0,515.3
7700.0,589.0,911.0,665.3,330.5
7800.0,649.8,924.3,687.4,432.4
7900.0,595.3,897.0,658.9,343.9
8000.0,589.0,897.0,673.7,324.4
8100.0,618.3,897.0,660.5,386.1
8200.0,618.3,897.0,673.0,378.3
8300.0,676.0,933.0,701.8,534.2
8400.0,639.4,915.4,693.5,433.4
8500.0,639.2,920.6,689.6,413.5
8600.0,649.7,905.3,686.2,435.2
8700.0,607.9,897.0,673.1,422.6
8800.0,598.6,897.0,663.2,331.3
8900.0,610.8,907.0,666.9,418.4
9000.0,665.1,929.8,705.5,472.3
9100.0,589.0,897.0,682.9,323.0
9200.0,626.6,915.2,667.8,439.6
9300.0,621.4,923.4,672.5,413.1
9400.0,619.5,912.2,677.9,421.9
9500.0,648.4,932.5,673.0,507.0
9600.0,603.7,910.3,653.0,349.6
9700.0,628.1,905.7,655.2,373.5
9800.0,613.9,913.1,659.1,419.3
9900.0,657.3,933.0,709.0,467.0
10000.0,638.9,910.7,665.3,390.9
10100.0,660.5,913.3,709.0,558.8
10200.0,624.9,904.5,667.2,420.4
10300.0,639.9,922.2,665.0,475.3
10400.0,619.3,916.7,709.0,443.3
10500.0,654.7,906.1,695.3,541.1
10600.0,636.1,920.9,667.9,389.4
10700.0,652.8,926.6,684.8,472.2
10800.0,654.2,920.3,686.5,468.2
