timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,700.0,963.6,794.2,869.1
100.0,691.0,964.0,775.0,875.5
200.0,646.6,922.8,727.1,622.3
300.0,692.9,964.0,777.4,854.3
400.0,647.1,916.3,709.9,548.9
500.0,680.2,930.3,751.6,798.6
600.0,687.6,954.5,798.0,895.9
700.0,656.2,941.1,734.8,748.9
800.0,668.5,934.9,750.0,760.0
900.0,684.0,942.9,771.2,889.0
1000.0,673.1,964.0,763.4,807.4
1100.0,665.6,938.6,769.3,812.2
1200.0,643.8,921.5,709.0,609.2
1300.0,675.5,936.5,770.4,814.6
1400.0,695.0,942.9,793.3,897.4
1500.0,694.7,946.8,781.6,873.1
1600.0,690.1,948.2,798.0,903.1
1700.0,700.0,963.7,798.0,897.4
1800.0,677.5,933.2,756.9,788.3
1900.0,700.0,943.9,793.6,896.8
2000.0,648.6,916.0,711.6,542.4
2100.0,689.8,962.6,798.0,906.0
2200.0,699.2,964.0,785.6,878.7
2300.0,697.7,959.8,790.1,886.8
2400.0,644.7,937.0,725.2,610.4
2500.0,635.0,916.0,710.9,601.8
2600.0,674.4,943.7,753.4,811.5
2700.0,674.7,962.5,773.3,873.4
2800.0,656.0,949.8,756.0,742.0
2900.0,687.4,954.9,776.0,867.8
3000.0,697.6,962.0,791.2,906.0
3100.0,684.6,946.7,775.6,819.5
3200.0,666.5,957.0,749.6,752.5
3300.0,671.8,948.4,769.0,852.4
3400.0,685.7,964.0,798.0,906.0
3500.0,700.0,964.0,791.7,906.0
3600.0,641.7,928.6,706.3,552.9
3700.0,685.2,953.7,784.3,888.8
3800.0,700.0,964.0,798.0,905.9
3900.0,657.7,938.2,750.2,714.5
4000.0,687.2,960.3,787.1,889.2
4100.0,666.9,941.2,739.1,731.5
4200.0,646.2,931.9,726.3,567.1
4300.0,700.0,964.0,795.0,884.2
4400.0,669.5,922.7,746.8,732.2
4500.0,658.9,942.3,737.7,704.8
4600.0,688.9,948.6,756.8,824.9
4700.0,685.4,947.1,787.3,842.3
4800.0,684.9,964.0,780.3,872.2
4900.0,693.2,947.5,798.0,882.0
5000.0,638.7,918.3,713.9,571.8
5100.0,679.4,940.6,775.3,847.6
5200.0,695.9,964.0,786.1,880.9
5300.0,695.3,964.0,792.8,906.0
5400.0,671.9,940.8,776.3,859.0
5500.0,664.1,925.8,729.4,696.5
5600.0,676.7,950.5,775.1,818.7
5700.0,673.2,931.0,753.8,783.5
5800.0,652.0,937.5,740.8,793.4
5900.0,680.6,964.0,771.1,814.1
6000.0,667.8,941.2,766.2,804.2
6100.0,683.4,959.7,783.7,895.4
6200.0,676.1,941.9,769.2,835.0
6300.0,680.9,964.0,796.8,875.5
6400.0,656.7,938.4,744.3,690.5
6500.0,690.3,964.0,798.0,906.0
6600.0,700.0,964.0,785.9,901.4
6700.0,700.0,944.0,798.0,893.9
6800.0,683.0,954.5,772.9,893.9
6900.0,700.0,963.9,783.2,860.9
7000.0,635.0,920.3,733.0,622.1
7100.0,635.0,916.3,733.7,652.9
7200.0,682.7,944.1,788.7,863.2
7300.0,670.2,940.8,740.2,714.5
7400.0,669.2,944.1,755.7,751.5
7500.0,649.0,919.8,717.9,627.2
7600.0,682.7,944.6,778.6,895.3
7700.0,669.2,957.3,751.6,799.9
7800.0,657.7,960.6,749.2,781.5
7900.0,654.3,933.9,728.4,679.6
8000.0,700.0,962.1,798.0,900.9
8100.0,679.7,945.1,784.0,858.8
8200.0,688.3,948.5,777.2,892.5
8300.0,682.3,938.6,770.3,794.1
8400.0,661.8,933.2,736.5,763.3
8500.0,698.3,949.2,773.6,867.3
8600.0,635.0,916.0,714.3,616.6
8700.0,686.4,950.9,773.4,864.4
8800.0,684.2,964.0,787.9,880.9
8900.0,690.0,959.7,778.8,870.2
9000.0,644.7,935.2,741.1,690.0
9100.0,666.1,950.4,748.3,717.0
9200.0,641.1,916.0,725.9,563.0
9300.0,676.3,962.2,747.4,761.6
9400.0,691.4,940.8,768.8,833.8
9500.0,684.1,960.3,798.0,906.0
9600.0,658.2,944.7,749.2,736.2
9700.0,700.0,962.2,793.7,886.2
9800.0,700.0,963.9,789.7,897.3
9900.0,680.3,950.8,798.0,878.9
10000.0,661.7,937.2,740.0,774.0
10100.0,679.9,955.1,778.2,829.9
10200.0,680.0,960.8,798.0,873.7
10300.0,690.0,960.0,789.8,900.1
10400.0,691.8,942.0,787.3,863.8
10500.0,681.6,959.2,787.7,878.4
10600.0,669.6,949.9,770.6,835.4
10700.0,687.5,943.1,773.4,847.8
10800.0,687.3,941.2,797.2,863.4
10900.0,665.3,959.7,757.4,813.0
11000.0,698.2,942.6,798.0,882.6
11100.0,676.7,945.0,772.7,868.4
11200.0,668.0,964.0,768.2,822.5
11300.0,670.3,948.9,746.8,763.8
11400.0,662.1,943.5,752.0,805.4
11500.0,700.0,962.1,783.9,901.7
11600.0,637.5,916.0,716.4,614.6
11700.0,700.0,961.7,787.9,889.4
11800.0,671.1,941.0,777.9,818.6
11900.0,657.8,931.9,768.3,806.4
12000.0,669.9,959.2,765.4,777.3
12100.0,662.0,927.7,718.9,698.3
12200.0,680.3,931.4,766.3,804.8
12300.0,681.4,941.6,787.1,884.3
12400.0,663.4,955.6,773.2,828.4
12500.0,658.4,925.7,736.1,708.2
12600.0,695.4,948.6,785.7,900.9
12700.0,700.0,964.0,793.8,895.1
