timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,698.0,966.8,800.0,923.0
100.0,697.0,967.0,800.0,923.0
200.0,697.0,965.0,800.0,923.0
300.0,697.0,965.0,805.0,923.0
400.0,705.0,965.0,800.0,923.0
500.0,705.0,967.0,800.0,924.1
600.0,705.0,967.0,805.0,925.0
700.0,697.0,967.0,800.0,926.3
800.0,697.0,965.0,805.0,928.8
900.0,697.0,965.0,805.0,931.0
1000.0,701.3,967.0,800.0,924.0
1100.0,697.0,965.0,800.0,923.1
1200.0,697.0,965.0,805.0,931.0
1300.0,705.0,965.0,800.0,923.0
1400.0,705.0,967.0,800.0,923.0
1500.0,705.0,965.0,800.0,923.0
1600.0,705.0,967.0,805.0,923.0
1700.0,704.1,965.0,805.0,925.2
1800.0,705.0,967.0,805.0,931.0
1900.0,699.6,967.0,805.0,926.2
2000.0,697.0,967.0,800.0,931.0
2100.0,697.0,965.0,805.0,924.1
2200.0,705.0,965.0,805.0,926.1
2300.0,702.6,967.0,800.0,923.0
2400.0,697.0,965.0,802.0,930.8
2500.0,705.0,965.0,805.0,931.0
2600.0,698.3,965.0,800.0,923.0
2700.0,705.0,965.0,800.0,928.4
2800.0,705.0,967.0,803.5,923.0
2900.0,705.0,967.0,805.0,923.0
3000.0,697.0,965.0,800.0,924.3
3100.0,705.0,965.0,800.0,931.0
3200.0,705.0,967.0,800.0,931.0
3300.0,702.6,965.0,805.0,931.0
3400.0,703.5,965.0,805.0,931.0
3500.0,705.0,967.0,805.0,931.0
3600.0,697.5,967.0,800.2,931.0
3700.0,697.0,965.0,805.0,923.0
3800.0,699.1,967.0,800.0,923.0
3900.0,697.0,967.0,805.0,923.0
4000.0,697.4,965.0,800.0,923.0
4100.0,698.4,967.0,800.0,923.0
4200.0,697.0,967.0,805.0,931.0
4300.0,697.0,967.0,805.0,923.0
4400.0,697.0,965.0,800.0,923.0
4500.0,705.0,965.0,805.0,929.2
4600.0,697.0,967.0,801.5,931.0
4700.0,701.9,967.0,805.0,928.7
4800.0,697.0,965.0,801.8,923.0
4900.0,705.0,965.0,800.0,931.0
5000.0,697.1,967.0,804.0,925.2
5100.0,705.0,967.0,805.0,923.0
5200.0,705.0,967.0,805.0,931.0
