timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,514.0,748.0,643.0,637.4
100.0,506.0,748.0,637.5,644.0
200.0,514.0,744.0,643.0,634.4
300.0,512.0,743.0,643.0,630.0
400.0,506.0,748.0,636.0,637.4
500.0,514.0,748.0,636.8,642.0
600.0,506.0,744.2,641.9,644.0
700.0,506.0,743.0,636.0,635.7
800.0,506.0,748.0,636.0,640.9
900.0,514.0,748.0,643.0,638.6
1000.0,506.0,743.0,643.0,644.0
1100.0,506.0,743.0,636.8,630.2
1200.0,506.0,748.0,643.0,634.9
1300.0,508.8,748.0,636.0,644.0
1400.0,506.0,748.0,643.0,644.0
1500.0,513.4,748.0,643.0,644.0
1600.0,506.0,744.9,636.0,632.2
1700.0,506.0,748.0,636.0,631.2
1800.0,512.9,748.0,643.0,634.8
1900.0,508.7,747.1,640.1,642.3
2000.0,506.0,743.0,636.0,633.1
2100.0,511.4,743.0,636.0,644.0
2200.0,506.0,748.0,639.0,634.3
2300.0,510.9,743.0,636.0,640.9
2400.0,506.4,748.0,641.1,644.0
2500.0,509.5,743.0,636.0,630.0
2600.0,506.0,743.0,636.0,631.6
2700.0,506.0,743.0,638.3,634.7
2800.0,513.9,744.2,643.0,638.5
2900.0,506.0,748.0,639.3,644.0
3000.0,510.3,743.0,636.0,644.0
3100.0,506.0,743.0,636.0,644.0
3200.0,514.0,743.0,643.0,635.5
3300.0,514.0,748.0,639.9,644.0
3400.0,509.5,743.0,643.0,644.0
3500.0,514.0,743.0,643.0,630.0
3600.0,506.1,748.0,636.0,644.0
3700.0,514.0,748.0,643.0,644.0
3800.0,506.0,743.0,636.8,630.0
3900.0,512.1,748.0,636.7,635.7
4000.0,513.4,743.0,636.0,630.0
4100.0,513.7,745.7,643.0,644.0
4200.0,506.0,748.0,643.0,630.0
4300.0,512.4,748.0,636.2,630.7
4400.0,509.7,743.0,636.0,644.0
4500.0,514.0,744.0,643.0,633.0
4600.0,506.0,748.0,643.0,630.0
4700.0,506.0,744.7,641.8,640.2
4800.0,507.1,748.0,641.5,644.0
4900.0,507.1,743.0,636.0,640.3
5000.0,512.5,747.1,636.0,640.2
5100.0,506.0,748.0,643.0,644.0
5200.0,513.0,748.0,639.6,644.0
5300.0,506.0,748.0,636.0,644.0
5400.0,514.0,748.0,643.0,635.9
5500.0,506.0,745.8,643.0,644.0
5600.0,514.0,748.0,643.0,633.1
5700.0,513.7,748.0,637.8,630.0
5800.0,514.0,745.1,636.2,630.0
5900.0,511.7,743.0,637.9,644.0
6000.0,512.8,747.6,643.0,630.0
6100.0,506.1,743.0,643.0,639.0
6200.0,506.0,743.0,636.0,642.1
6300.0,506.0,748.0,640.9,630.0
6400.0,506.0,748.0,641.0,644.0
6500.0,506.0,743.0,636.0,632.2
6600.0,514.0,747.3,638.4,638.5
6700.0,506.0,743.0,636.0,644.0
6800.0,514.0,743.0,636.0,631.5
6900.0,510.4,748.0,639.2,630.0
7000.0,511.7,748.0,636.4,644.0
7100.0,513.5,743.0,639.2,630.0
7200.0,514.0,743.0,641.1,631.0
7300.0,506.0,747.9,636.0,642.8
7400.0,513.2,748.0,636.0,636.9
7500.0,508.7,743.0,636.0,632.3
7600.0,514.0,748.0,636.1,630.7
7700.0,513.1,743.0,636.0,630.0
7800.0,506.5,748.0,637.7,644.0
7900.0,514.0,743.0,643.0,630.0
8000.0,514.0,748.0,636.0,635.0
8100.0,512.8,743.0,639.0,644.0
8200.0,514.0,743.0,636.0,637.6
8300.0,512.4,743.0,636.0,631.1
8400.0,506.0,743.4,643.0,639.0
8500.0,510.4,748.0,638.9,636.2
8600.0,514.0,744.7,641.5,630.5
8700.0,514.0,743.0,636.0,644.0
8800.0,513.1,748.0,636.0,643.8
8900.0,514.0,745.0,643.0,633.7
9000.0,507.7,743.0,636.0,634.3
9100.0,506.0,748.0,643.0,636.4
9200.0,514.0,748.0,643.0,644.0
9300.0,507.3,748.0,639.5,630.0
9400.0,511.6,743.0,641.4,632.0
9500.0,506.0,743.0,637.0,630.0
9600.0,514.0,743.0,643.0,644.0
9700.0,506.0,743.0,641.0,642.6
9800.0,506.0,743.0,636.6,642.6
9900.0,506.0,743.0,636.0,642.1
10000.0,506.0,743.0,643.0,630.0
10100.0,514.0,743.0,636.0,630.0
10200.0,506.0,747.7,636.0,641.9
10300.0,509.9,743.0,636.0,633.7
10400.0,506.0,743.0,639.4,639.9
10500.0,512.7,748.0,641.0,637.5
10600.0,510.2,748.0,643.0,643.2
10700.0,512.2,743.0,643.0,630.0
10800.0,510.0,748.0,636.0,630.0
10900.0,509.4,748.0,636.0,644.0
11000.0,508.3,748.0,636.0,644.0
11100.0,506.0,743.0,643.0,644.0
11200.0,506.0,748.0,638.6,631.6
11300.0,506.0,748.0,643.0,630.0
11400.0,506.0,743.0,643.0,630.0
11500.0,506.0,743.0,640.6,630.0
11600.0,510.9,743.0,643.0,635.8
11700.0,513.2,745.1,643.0,634.0
11800.0,506.0,743.0,637.9,644.0
11900.0,507.7,743.0,643.0,631.3
12000.0,506.0,748.0,641.4,630.0
12100.0,507.1,748.0,636.0,642.2
12200.0,511.4,748.0,637.6,638.9
12300.0,506.0,748.0,636.0,630.0
12400.0,514.0,748.0,638.8,635.7
12500.0,506.0,748.0,643.0,643.6
12600.0,506.0,743.0,636.0,636.0
12700.0,510.2,748.0,636.3,644.0
12800.0,510.5,748.0,643.0,634.4
12900.0,511.9,745.6,636.0,630.0
13000.0,514.0,743.0,636.0,644.0
13100.0,507.3,743.0,636.0,631.6
13200.0,514.0,743.0,638.6,636.4
13300.0,514.0,748.0,643.0,643.3
13400.0,514.0,748.0,636.0,630.0
13500.0,514.0,744.4,643.0,630.0
13600.0,506.0,748.0,643.0,644.0
13700.0,512.5,748.0,643.0,630.0
13800.0,514.0,748.0,636.0,644.0
13900.0,506.0,748.0,638.1,644.0
14000.0,511.5,743.0,636.0,644.0
14100.0,506.0,743.0,643.0,638.8
14200.0,507.6,743.0,643.0,644.0
14300.0,506.0,748.0,643.0,642.2
14400.0,506.0,748.0,636.0,644.0
14500.0,506.6,745.6,636.0,630.0
14600.0,511.2,748.0,636.0,640.6
14700.0,514.0,748.0,643.0,636.3
14800.0,508.3,748.0,643.0,633.5
14900.0,506.0,743.2,636.0,630.0
15000.0,512.8,748.0,640.0,644.0
15100.0,510.3,748.0,636.0,644.0
15200.0,506.0,743.0,636.0,644.0
15300.0,512.4,743.0,638.9,644.0
15400.0,514.0,748.0,638.9,632.9
15500.0,513.3,743.0,636.0,637.7
15600.0,506.0,748.0,636.0,638.4
15700.0,506.0,747.0,636.0,631.6
15800.0,509.1,748.0,636.0,634.8
