timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,502.0,738.0,630.0,621.8
100.0,507.0,744.0,638.0,631.0
200.0,502.0,739.8,630.0,621.0
300.0,507.0,738.0,638.0,631.0
400.0,504.8,744.0,637.0,631.0
500.0,505.8,741.1,636.8,621.0
600.0,506.4,744.0,638.0,624.0
700.0,507.0,744.0,630.0,624.8
800.0,502.0,741.2,630.0,631.0
900.0,507.0,740.9,638.0,625.8
1000.0,502.0,744.0,638.0,621.0
1100.0,502.0,744.0,638.0,621.0
1200.0,507.0,738.0,637.6,630.4
1300.0,505.8,744.0,630.0,621.0
1400.0,507.0,744.0,630.0,631.0
1500.0,507.0,739.3,630.0,621.0
1600.0,503.2,744.0,638.0,621.0
1700.0,507.0,744.0,630.6,621.0
1800.0,507.0,739.9,638.0,631.0
1900.0,503.6,738.0,638.0,631.0
2000.0,503.4,738.0,638.0,621.0
2100.0,502.0,738.0,630.0,631.0
2200.0,504.9,744.0,635.8,631.0
2300.0,507.0,738.0,630.0,621.0
2400.0,505.4,744.0,630.0,621.0
2500.0,504.1,738.0,637.0,629.5
2600.0,507.0,744.0,632.8,621.0
2700.0,502.0,738.0,631.4,624.7
2800.0,507.0,738.0,638.0,621.0
2900.0,506.9,744.0,633.3,631.0
3000.0,507.0,744.0,633.7,627.0
3100.0,502.0,738.0,634.5,621.0
3200.0,507.0,744.0,633.3,629.8
3300.0,502.5,738.0,637.4,624.7
3400.0,507.0,738.0,632.1,631.0
3500.0,507.0,744.0,631.9,622.3
3600.0,502.3,738.0,630.0,631.0
3700.0,507.0,738.0,632.5,621.0
3800.0,507.0,743.9,630.0,626.5
3900.0,502.0,744.0,630.0,621.0
4000.0,504.4,738.0,630.0,621.7
4100.0,502.0,740.4,632.4,621.0
4200.0,504.6,738.0,638.0,621.0
4300.0,507.0,738.0,638.0,631.0
4400.0,502.0,744.0,630.0,631.0
4500.0,507.0,738.0,630.0,631.0
4600.0,507.0,744.0,631.8,626.0
4700.0,505.3,744.0,630.0,621.0
4800.0,502.0,744.0,637.9,630.0
4900.0,502.2,738.0,638.0,624.3
5000.0,507.0,744.0,638.0,631.0
5100.0,503.7,738.0,638.0,621.0
5200.0,502.0,744.0,630.0,621.0
5300.0,502.0,740.8,635.4,631.0
