timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,501.0,728.7,621.8,610.6
100.0,497.0,731.0,623.0,615.0
200.0,497.0,731.0,618.0,615.0
300.0,501.0,727.0,617.0,615.0
400.0,499.0,731.0,617.0,604.0
500.0,501.0,730.1,623.0,610.9
600.0,501.0,727.0,623.0,605.6
700.0,497.2,727.0,619.4,615.0
800.0,497.0,727.0,623.0,615.0
900.0,501.0,727.0,622.0,611.6
1000.0,501.0,727.0,623.0,604.0
1100.0,501.0,727.9,617.0,615.0
1200.0,501.0,731.0,620.2,615.0
1300.0,501.0,731.0,623.0,615.0
1400.0,501.0,727.0,621.4,604.0
1500.0,501.0,731.0,617.0,615.0
1600.0,497.0,727.0,621.8,604.0
1700.0,501.0,727.0,617.0,612.7
1800.0,501.0,731.0,618.3,604.0
1900.0,500.9,727.0,617.0,605.6
2000.0,499.7,727.0,623.0,604.0
2100.0,501.0,727.0,617.0,604.0
2200.0,501.0,731.0,623.0,615.0
2300.0,501.0,731.0,622.5,604.3
2400.0,497.0,727.0,619.5,608.8
2500.0,497.0,727.0,620.8,611.8
2600.0,501.0,731.0,623.0,604.0
2700.0,497.0,731.0,617.0,615.0
2800.0,499.2,730.7,617.0,604.0
2900.0,497.0,727.0,623.0,608.9
3000.0,497.0,727.0,623.0,607.3
3100.0,499.4,729.4,617.0,615.0
3200.0,497.2,727.0,622.4,612.0
3300.0,501.0,727.0,617.0,610.7
3400.0,498.4,728.2,617.0,615.0
3500.0,501.0,727.0,622.6,604.0
3600.0,497.5,727.0,617.0,608.2
3700.0,499.7,727.0,617.0,614.7
3800.0,498.1,731.0,617.0,612.2
3900.0,497.0,729.4,623.0,613.9
4000.0,501.0,731.0,617.0,612.8
4100.0,500.3,727.0,623.0,604.4
4200.0,497.0,731.0,617.0,604.0
4300.0,501.0,727.0,623.0,615.0
4400.0,497.0,727.0,623.0,615.0
4500.0,501.0,727.0,623.0,605.1
4600.0,497.0,727.0,623.0,604.0
4700.0,501.0,731.0,621.2,615.0
4800.0,497.0,727.0,623.0,615.0
4900.0,500.4,727.0,618.2,604.0
5000.0,501.0,731.0,622.7,615.0
5100.0,499.7,727.0,617.9,604.2
5200.0,497.0,727.0,619.7,615.0
5300.0,497.0,731.0,623.0,604.0
5400.0,501.0,731.0,621.3,604.9
5500.0,501.0,727.0,622.5,609.6
5600.0,499.2,727.0,617.0,611.4
5700.0,501.0,727.0,617.0,606.0
5800.0,497.0,727.0,621.6,615.0
5900.0,497.0,729.4,621.0,607.3
6000.0,501.0,731.0,619.6,615.0
6100.0,497.0,727.0,623.0,604.8
6200.0,497.0,731.0,618.3,615.0
6300.0,497.0,731.0,617.0,604.0
6400.0,497.0,727.0,622.6,609.7
6500.0,501.0,727.0,617.0,614.5
6600.0,497.0,731.0,622.2,609.0
6700.0,501.0,727.0,617.0,611.1
6800.0,501.0,728.4,618.1,615.0
6900.0,497.0,731.0,623.0,613.9
7000.0,501.0,727.0,617.0,615.0
7100.0,501.0,727.0,620.9,604.0
7200.0,501.0,731.0,617.0,604.0
7300.0,501.0,729.7,623.0,606.0
7400.0,500.1,731.0,623.0,613.1
7500.0,497.0,727.0,623.0,604.0
7600.0,497.0,727.0,617.0,615.0
7700.0,501.0,729.6,619.1,607.1
7800.0,500.2,731.0,623.0,612.2
7900.0,497.0,729.9,622.4,615.0
8000.0,501.0,727.0,617.0,615.0
8100.0,497.0,727.3,617.0,604.0
8200.0,497.0,727.0,623.0,607.0
8300.0,501.0,731.0,623.0,604.0
8400.0,501.0,731.0,617.0,604.5
8500.0,501.0,727.0,623.0,615.0
8600.0,500.8,727.0,623.0,604.0
8700.0,497.0,727.0,617.0,609.1
8800.0,497.0,731.0,623.0,604.7
8900.0,501.0,729.4,621.1,611.4
9000.0,501.0,731.0,623.0,604.0
9100.0,501.0,731.0,617.0,615.0
9200.0,501.0,731.0,623.0,604.0
9300.0,501.0,731.0,623.0,615.0
9400.0,501.0,731.0,623.0,605.5
9500.0,501.0,731.0,617.0,607.9
9600.0,497.0,731.0,617.0,614.3
9700.0,501.0,731.0,617.0,604.0
9800.0,501.0,731.0,623.0,604.0
9900.0,497.0,727.0,623.0,604.0
10000.0,501.0,731.0,617.0,604.0
