timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,724.0,879.0,676.5,501.0
100.0,729.4,867.0,647.9,463.3
200.0,742.0,871.5,662.4,457.3
300.0,738.6,879.0,656.7,458.8
400.0,742.0,877.8,669.9,474.2
500.0,725.9,867.0,663.6,482.9
600.0,724.0,867.0,650.2,448.8
700.0,724.0,867.0,662.7,458.7
800.0,728.6,867.0,666.9,483.9
900.0,741.0,867.0,645.7,461.8
1000.0,730.2,879.0,670.2,466.1
1100.0,726.5,867.0,673.9,474.2
1200.0,742.0,879.0,644.7,466.5
1300.0,736.5,867.0,678.0,482.6
1400.0,724.0,879.0,669.3,459.2
1500.0,731.4,879.0,678.0,478.7
1600.0,730.8,870.0,678.0,480.3
1700.0,726.8,867.0,668.6,467.5
1800.0,742.0,867.0,639.8,453.5
1900.0,742.0,877.3,641.3,456.4
2000.0,724.8,873.3,652.8,438.4
2100.0,742.0,874.5,659.5,451.8
2200.0,724.0,879.0,662.6,492.3
2300.0,732.0,867.0,648.5,449.5
2400.0,734.5,879.0,668.3,478.6
2500.0,742.0,867.0,649.3,483.5
2600.0,733.1,868.8,671.9,477.6
2700.0,738.4,879.0,678.0,471.9
2800.0,724.0,867.0,672.3,510.0
2900.0,724.3,879.0,672.5,438.5
3000.0,724.3,879.0,677.8,453.2
3100.0,742.0,870.2,669.1,444.7
3200.0,724.0,874.0,678.0,475.3
3300.0,724.9,878.3,645.5,470.1
3400.0,732.3,879.0,654.3,451.9
3500.0,735.4,867.0,642.0,459.9
3600.0,724.0,873.1,669.3,445.3
3700.0,733.6,867.0,666.3,463.5
3800.0,742.0,869.5,648.1,453.6
3900.0,724.0,873.5,675.3,485.2
4000.0,735.4,872.1,678.0,476.0
4100.0,740.5,877.1,674.1,442.2
4200.0,738.8,871.0,666.0,458.8
4300.0,736.4,879.0,678.0,482.1
4400.0,741.1,874.2,649.9,472.2
4500.0,726.0,876.3,672.7,454.7
4600.0,729.9,873.1,674.2,454.1
4700.0,728.7,867.0,641.3,451.2
4800.0,742.0,867.0,634.0,459.2
4900.0,741.0,871.0,661.8,470.6
5000.0,724.3,871.8,657.2,437.2
5100.0,742.0,871.0,663.3,449.0
5200.0,735.6,877.9,664.6,472.6
5300.0,724.0,879.0,673.1,493.2
5400.0,724.0,867.0,673.1,459.5
5500.0,742.0,867.0,656.1,455.4
5600.0,727.0,867.0,661.0,433.7
5700.0,728.5,867.0,659.3,430.5
5800.0,740.7,867.0,676.1,472.5
5900.0,733.4,877.6,678.0,471.6
6000.0,733.3,867.0,634.2,458.3
6100.0,735.2,879.0,673.7,475.2
6200.0,742.0,867.0,663.8,437.3
6300.0,724.0,877.3,658.1,469.7
6400.0,742.0,870.7,669.6,450.5
6500.0,729.2,875.0,634.0,460.5
6600.0,741.5,875.9,676.6,476.6
