timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,679.4,843.0,637.9,437.7
100.0,680.8,843.0,637.2,407.4
200.0,678.0,855.0,642.0,413.4
300.0,680.9,855.0,629.0,406.1
400.0,688.8,843.0,642.0,402.1
500.0,683.2,852.2,638.9,422.8
600.0,688.1,846.7,641.6,442.1
700.0,691.6,854.9,642.0,421.3
800.0,692.0,843.0,642.0,437.7
900.0,692.0,847.8,636.2,394.9
1000.0,692.0,843.0,629.0,388.4
1100.0,688.6,845.2,642.0,410.0
1200.0,692.0,849.3,635.4,399.5
1300.0,678.0,851.5,633.5,435.7
1400.0,678.0,843.0,629.0,393.1
1500.0,679.7,843.0,629.0,427.0
1600.0,678.0,855.0,641.6,421.0
1700.0,692.0,851.4,631.3,440.2
1800.0,678.0,843.0,636.5,389.6
1900.0,680.6,843.0,629.7,434.8
2000.0,692.0,843.0,639.5,383.4
2100.0,682.7,854.2,642.0,383.4
2200.0,692.0,855.0,642.0,417.1
2300.0,692.0,855.0,629.0,434.0
2400.0,683.4,855.0,642.0,435.5
2500.0,678.0,843.0,637.8,382.9
2600.0,679.6,854.3,633.4,385.8
2700.0,692.0,847.4,642.0,423.1
2800.0,686.7,843.0,632.3,438.0
2900.0,680.4,855.0,642.0,436.5
3000.0,692.0,846.6,639.8,402.2
3100.0,692.0,855.0,640.5,428.2
3200.0,688.6,846.5,642.0,405.2
3300.0,682.4,850.7,633.8,394.1
3400.0,684.6,847.7,629.0,417.8
3500.0,684.4,855.0,642.0,425.8
3600.0,692.0,843.0,629.0,379.2
3700.0,681.4,853.2,642.0,387.6
3800.0,678.0,843.0,642.0,408.4
3900.0,683.0,843.0,642.0,419.6
4000.0,692.0,843.0,642.0,426.6
4100.0,678.0,847.9,629.0,403.9
4200.0,692.0,855.0,638.2,414.6
4300.0,678.0,843.4,630.8,425.9
4400.0,692.0,855.0,642.0,435.5
4500.0,692.0,850.8,642.0,434.0
4600.0,692.0,843.0,642.0,396.9
4700.0,685.2,843.0,639.4,397.6
4800.0,692.0,848.1,638.8,426.3
4900.0,692.0,843.0,629.0,395.5
5000.0,686.0,848.1,642.0,402.5
5100.0,688.7,844.7,637.3,424.8
5200.0,678.0,855.0,642.0,436.3
5300.0,678.0,843.0,630.8,401.2
5400.0,680.8,843.0,640.9,401.8
5500.0,692.0,848.9,636.8,393.0
5600.0,692.0,843.9,629.0,400.5
5700.0,691.1,855.0,631.9,425.2
5800.0,679.1,855.0,642.0,405.2
5900.0,681.0,843.0,629.0,424.7
6000.0,678.9,855.0,642.0,411.2
6100.0,681.0,843.0,629.0,409.2
6200.0,692.0,843.0,640.3,411.6
6300.0,690.9,843.0,642.0,391.1
6400.0,678.0,852.6,642.0,435.8
6500.0,692.0,843.2,642.0,431.4
6600.0,678.0,852.3,640.4,386.6
6700.0,678.0,843.0,642.0,396.0
6800.0,678.0,855.0,630.1,433.2
6900.0,692.0,849.5,642.0,428.4
7000.0,678.0,854.6,634.7,390.0
7100.0,679.6,855.0,629.0,392.9
7200.0,678.0,844.7,642.0,390.3
7300.0,678.0,843.0,632.4,454.2
7400.0,692.0,843.0,629.0,395.0
7500.0,679.2,849.3,638.3,398.6
7600.0,692.0,855.0,642.0,412.8
7700.0,678.0,855.0,642.0,393.0
7800.0,692.0,843.0,629.0,408.0
7900.0,692.0,843.0,631.8,423.0
8000.0,692.0,848.5,629.0,414.9
8100.0,692.0,843.0,629.0,383.3
8200.0,683.7,843.0,640.5,423.7
8300.0,689.3,852.4,629.0,409.5
8400.0,678.0,843.0,642.0,417.9
8500.0,688.0,845.8,629.0,407.5
8600.0,692.0,843.0,629.4,400.1
8700.0,678.0,843.0,630.0,412.4
8800.0,685.6,855.0,642.0,422.1
8900.0,678.0,852.6,639.5,438.5
9000.0,687.9,855.0,642.0,442.5
9100.0,678.3,852.1,642.0,422.9
9200.0,692.0,843.0,629.0,431.2
9300.0,680.4,843.0,630.5,408.9
9400.0,682.8,851.3,642.0,430.5
9500.0,678.0,853.5,629.0,407.5
9600.0,683.3,843.0,629.6,400.7
9700.0,692.0,843.0,642.0,426.8
9800.0,678.0,846.9,635.4,389.9
9900.0,692.0,843.0,629.0,407.5
10000.0,680.8,843.0,638.9,401.5
10100.0,692.0,847.0,642.0,410.2
10200.0,683.8,855.0,642.0,426.5
10300.0,678.9,845.9,635.2,417.3
10400.0,678.8,843.0,629.0,402.3
10500.0,692.0,849.0,636.2,393.4
10600.0,690.2,847.8,635.1,409.1
10700.0,678.0,843.0,640.3,412.4
10800.0,678.2,848.6,629.0,402.4
10900.0,686.0,843.0,637.5,419.6
11000.0,678.0,843.0,635.6,397.9
11100.0,678.0,843.0,640.7,389.3
11200.0,678.0,843.0,629.0,383.7
11300.0,692.0,848.3,642.0,418.5
11400.0,692.0,843.0,633.0,419.1
11500.0,692.0,851.6,631.7,408.8
11600.0,678.3,853.9,639.4,436.5
11700.0,692.0,848.8,642.0,411.3
11800.0,692.0,850.5,642.0,420.2
11900.0,678.0,855.0,637.6,430.2
12000.0,687.2,843.0,629.0,398.9
12100.0,692.0,855.0,629.0,378.0
12200.0,678.9,855.0,631.6,430.6
12300.0,689.9,855.0,634.6,449.5
12400.0,678.0,843.1,642.0,427.4
12500.0,692.0,843.0,642.0,388.7
12600.0,684.6,855.0,634.0,409.8
12700.0,679.1,855.0,636.1,432.4
12800.0,678.0,843.0,642.0,455.0
12900.0,678.0,843.0,632.7,407.7
13000.0,684.6,849.7,633.2,445.5
13100.0,678.0,855.0,633.9,407.5
13200.0,678.0,852.7,642.0,445.5
13300.0,681.1,852.8,642.0,418.7
13400.0,692.0,843.0,629.0,399.3
13500.0,692.0,855.0,639.8,397.5
13600.0,692.0,843.0,629.0,408.1
13700.0,687.7,843.0,629.0,430.1
13800.0,679.2,845.9,637.7,421.6
13900.0,692.0,855.0,641.1,389.1
14000.0,684.8,846.8,629.0,397.0
14100.0,685.9,855.0,634.5,426.1
14200.0,692.0,855.0,629.6,391.5
14300.0,692.0,843.0,642.0,392.6
14400.0,678.0,843.0,629.8,403.0
14500.0,690.1,855.0,640.7,454.6
14600.0,678.0,848.0,642.0,433.1
14700.0,686.2,855.0,629.0,412.4
14800.0,678.0,847.8,642.0,436.0
14900.0,685.0,849.7,642.0,431.2
15000.0,688.4,843.0,632.3,403.6
15100.0,691.4,848.3,642.0,421.8
15200.0,692.0,843.0,642.0,395.6
15300.0,692.0,845.1,642.0,410.0
