timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,411.7,687.2,390.6,354.5
100.0,401.7,691.9,380.1,344.4
200.0,409.7,689.1,376.4,388.1
300.0,383.7,666.0,356.9,309.5
400.0,403.6,675.5,365.9,411.6
500.0,415.3,694.4,391.2,360.4
600.0,422.9,700.5,383.1,394.4
700.0,400.2,677.0,360.5,349.0
800.0,409.3,707.8,384.2,379.0
900.0,403.6,691.1,393.4,337.2
1000.0,414.5,692.7,395.8,353.3
1100.0,414.7,699.1,395.4,374.6
1200.0,406.8,702.5,382.5,377.3
1300.0,401.8,666.0,369.8,350.8
1400.0,424.0,682.7,384.8,380.1
1500.0,406.2,699.9,396.0,359.8
1600.0,419.3,699.4,370.7,367.8
1700.0,412.2,698.0,396.0,374.5
1800.0,412.5,694.3,381.1,334.3
1900.0,426.2,697.2,379.8,416.1
2000.0,397.7,690.6,376.4,361.2
2100.0,407.9,698.0,385.2,356.3
2200.0,394.7,669.4,356.1,338.9
2300.0,411.5,701.4,396.0,379.3
2400.0,411.1,684.4,366.7,357.6
2500.0,416.0,708.0,385.8,374.4
2600.0,401.5,688.6,382.7,354.5
2700.0,423.1,697.2,389.2,365.3
2800.0,412.2,683.7,381.6,368.0
2900.0,426.8,705.6,385.7,365.8
3000.0,405.7,684.3,372.9,347.3
3100.0,407.4,686.5,374.3,348.2
3200.0,412.5,708.0,395.0,376.6
3300.0,424.9,708.0,382.0,393.3
3400.0,400.4,692.1,374.9,353.3
3500.0,434.0,708.0,388.4,401.9
3600.0,398.2,691.5,394.3,320.7
3700.0,421.5,697.4,371.2,386.6
3800.0,413.1,689.9,374.7,347.2
3900.0,409.1,690.2,384.7,352.6
4000.0,411.9,686.0,373.1,353.6
4100.0,408.7,681.3,378.8,344.8
4200.0,407.4,701.1,382.9,376.8
4300.0,414.3,695.1,372.6,357.0
4400.0,399.8,684.4,378.6,338.6
4500.0,404.5,674.1,368.7,337.4
4600.0,418.3,708.0,394.7,377.2
4700.0,427.6,687.8,377.6,374.9
4800.0,417.5,677.5,378.1,349.2
4900.0,406.2,690.0,378.6,352.2
5000.0,422.2,683.2,370.7,346.3
5100.0,404.4,679.9,385.5,353.2
5200.0,426.5,695.7,394.1,419.0
5300.0,410.0,692.6,384.9,352.8
5400.0,411.1,697.4,395.9,342.3
5500.0,413.3,694.1,392.6,360.4
5600.0,396.4,676.9,357.0,357.6
5700.0,424.6,688.7,381.7,372.8
5800.0,413.8,705.5,396.0,378.7
5900.0,396.1,677.8,363.7,332.0
6000.0,420.5,707.9,387.1,385.8
6100.0,419.9,696.7,381.7,368.9
6200.0,392.3,666.0,358.9,341.2
6300.0,418.9,708.0,386.1,398.0
6400.0,392.1,677.6,357.3,317.1
6500.0,426.0,684.3,389.5,367.9
6600.0,415.6,689.9,396.0,382.8
6700.0,402.9,694.6,372.5,351.1
6800.0,402.2,671.0,376.3,359.0
6900.0,383.9,679.2,354.0,313.0
7000.0,417.3,690.4,383.2,380.6
7100.0,421.0,708.0,382.8,415.9
7200.0,395.5,666.7,359.4,387.9
7300.0,405.7,694.0,379.2,359.2
7400.0,419.5,694.4,387.8,368.9
7500.0,388.6,669.1,360.2,309.6
7600.0,394.6,684.6,370.2,343.8
7700.0,434.0,702.1,378.8,404.0
7800.0,411.2,708.0,386.1,372.9
7900.0,425.6,703.4,391.4,399.5
8000.0,404.2,676.8,371.8,409.1
8100.0,404.5,683.0,357.8,333.0
8200.0,417.2,708.0,394.4,368.3
8300.0,395.8,682.7,359.0,325.2
8400.0,429.2,699.9,388.5,364.8
8500.0,407.1,698.9,373.6,339.4
8600.0,413.5,706.2,393.9,342.8
8700.0,409.5,688.6,367.4,356.1
8800.0,407.0,689.7,381.9,360.0
8900.0,405.4,698.1,394.1,373.6
9000.0,415.4,683.8,373.5,375.4
9100.0,414.9,690.0,384.8,351.1
9200.0,382.0,674.5,354.0,326.0
9300.0,404.8,682.5,377.8,351.3
9400.0,411.7,699.4,372.4,364.4
9500.0,413.4,686.0,383.6,336.9
9600.0,414.1,699.6,374.5,369.6
9700.0,401.0,680.8,360.6,350.4
9800.0,398.5,668.4,354.0,368.8
9900.0,418.7,701.4,377.4,357.9
10000.0,406.9,696.9,396.0,363.1
10100.0,401.8,688.5,367.8,411.9
10200.0,408.1,696.4,381.2,352.1
10300.0,414.2,700.4,375.9,354.9
10400.0,403.9,683.0,393.1,342.6
10500.0,393.4,688.9,358.4,333.6
10600.0,424.4,705.7,388.9,380.8
10700.0,412.8,692.3,385.8,384.0
10800.0,408.7,708.0,387.7,364.2
10900.0,425.7,708.0,379.0,406.5
11000.0,405.2,691.1,381.4,347.3
11100.0,415.7,681.5,382.7,371.1
11200.0,399.9,708.0,390.9,341.0
11300.0,408.0,692.2,382.4,384.7
11400.0,412.6,708.0,396.0,376.8
11500.0,416.7,708.0,390.0,388.7
11600.0,401.1,681.1,373.8,355.3
11700.0,418.7,708.0,386.4,408.5
11800.0,418.2,708.0,386.2,381.6
11900.0,411.9,708.0,391.7,371.6
12000.0,415.9,689.6,381.2,354.1
12100.0,419.6,708.0,375.7,403.4
12200.0,426.7,706.2,379.4,370.9
12300.0,407.1,685.8,380.6,367.1
12400.0,388.1,673.4,368.1,343.8
12500.0,425.5,706.1,376.2,399.2
12600.0,405.3,708.0,391.1,387.2
12700.0,426.7,695.4,384.7,399.2
12800.0,405.0,691.4,371.1,364.0
12900.0,424.2,706.2,382.4,362.3
13000.0,408.1,702.0,381.8,346.6
13100.0,419.0,688.2,392.8,369.4
13200.0,409.1,698.7,380.5,351.2
13300.0,416.6,695.4,387.9,372.6
13400.0,432.2,698.9,393.1,423.0
