timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,227.0,394.0,190.0,302.0
100.0,228.0,394.0,190.0,305.0
200.0,228.0,394.0,191.0,307.0
300.0,228.0,395.0,191.0,309.0
400.0,228.0,394.0,191.0,310.0
500.0,228.0,394.0,192.0,310.0
600.0,228.0,395.0,192.0,310.0
700.0,229.0,395.0,192.0,310.0
800.0,228.0,394.0,192.0,309.0
900.0,229.0,395.0,192.0,307.0
1000.0,229.0,394.0,192.0,306.0
1100.0,228.0,394.0,192.0,305.0
1200.0,229.0,394.0,192.0,302.0
1300.0,229.0,393.0,192.0,301.0
1400.0,228.0,394.0,192.0,299.0
1500.0,228.0,393.0,191.0,298.0
1600.0,228.0,394.0,191.0,297.0
1700.0,228.0,394.0,190.0,297.0
1800.0,228.0,394.0,191.0,296.0
1900.0,228.0,394.0,192.0,297.0
2000.0,228.0,393.0,191.0,295.0
2100.0,228.0,393.0,191.0,296.0
2200.0,228.0,393.0,192.0,296.0
2300.0,227.0,393.0,191.0,296.0
2400.0,228.0,393.0,191.0,294.0
2500.0,227.0,393.0,191.0,295.0
2600.0,228.0,394.0,191.0,293.0
2700.0,228.0,392.0,191.0,292.0
2800.0,227.0,392.0,192.0,293.0
2900.0,228.0,392.0,191.0,292.0
3000.0,227.0,392.0,191.0,292.0
3100.0,227.0,393.0,191.0,292.0
3200.0,227.0,392.0,192.0,290.0
3300.0,226.0,392.0,191.0,290.0
3400.0,227.0,392.0,191.0,290.0
3500.0,227.0,392.0,191.0,290.0
3600.0,227.0,392.0,191.0,290.0
3700.0,227.0,391.0,191.0,290.0
3800.0,226.0,391.0,191.0,289.0
3900.0,227.0,392.0,191.0,288.0
4000.0,226.0,391.0,190.0,287.0
4100.0,227.0,391.0,190.0,286.0
4200.0,227.0,391.0,191.0,286.0
4300.0,226.0,390.0,191.0,285.0
4400.0,225.0,391.0,191.0,282.0
4500.0,225.0,391.0,190.0,280.0
4600.0,225.0,390.0,190.0,279.0
4700.0,226.0,391.0,189.0,277.0
4800.0,226.0,391.0,190.0,276.0
4900.0,226.0,391.0,190.0,277.0
5000.0,225.0,391.0,189.0,278.0
5100.0,225.0,392.0,190.0,279.0
5200.0,226.0,393.0,190.0,283.0
5300.0,225.0,393.0,191.0,286.0
5400.0,226.0,393.0,192.0,290.0
5500.0,226.0,395.0,193.0,293.0
5600.0,226.0,395.0,192.0,298.0
5700.0,226.0,396.0,193.0,302.0
5800.0,226.0,397.0,193.0,307.0
5900.0,227.0,397.0,193.0,309.0
6000.0,228.0,398.0,194.0,313.0
6100.0,227.0,400.0,194.0,317.0
6200.0,228.0,400.0,195.0,322.0
6300.0,228.0,401.0,195.0,325.0
6400.0,228.0,401.0,196.0,329.0
6500.0,229.0,402.0,196.0,330.0
6600.0,228.0,402.0,195.0,332.0
6700.0,229.0,403.0,196.0,334.0
6800.0,229.0,403.0,197.0,336.0
6900.0,229.0,403.0,196.0,339.0
7000.0,229.0,403.0,197.0,339.0
7100.0,229.0,403.0,197.0,343.0
7200.0,230.0,404.0,197.0,346.0
7300.0,230.0,404.0,197.0,349.0
7400.0,230.0,405.0,198.0,354.0
7500.0,231.0,405.0,198.0,359.0
7600.0,231.0,405.0,199.0,363.0
7700.0,231.0,406.0,199.0,367.0
7800.0,231.0,407.0,200.0,371.0
7900.0,231.0,407.0,200.0,372.0
8000.0,231.0,407.0,201.0,374.0
8100.0,232.0,407.0,200.0,377.0
8200.0,232.0,407.0,200.0,374.0
8300.0,233.0,406.0,202.0,374.0
8400.0,232.0,406.0,201.0,371.0
8500.0,232.0,405.0,202.0,371.0
8600.0,232.0,406.0,202.0,368.0
8700.0,233.0,405.0,202.0,365.0
8800.0,233.0,406.0,201.0,364.0
8900.0,232.0,406.0,201.0,360.0
9000.0,232.0,406.0,201.0,359.0
9100.0,233.0,405.0,200.0,355.0
9200.0,232.0,405.0,201.0,352.0
9300.0,232.0,404.0,201.0,348.0
9400.0,233.0,404.0,200.0,347.0
9500.0,233.0,404.0,201.0,344.0
9600.0,232.0,403.0,200.0,342.0
9700.0,233.0,403.0,200.0,340.0
9800.0,233.0,403.0,201.0,338.0
9900.0,232.0,404.0,200.0,334.0
10000.0,232.0,404.0,200.0,332.0
10100.0,232.0,404.0,200.0,332.0
10200.0,232.0,404.0,200.0,332.0
10300.0,232.0,404.0,200.0,331.0
10400.0,232.0,404.0,200.0,333.0
10500.0,232.0,403.0,199.0,332.0
10600.0,232.0,403.0,199.0,333.0
10700.0,233.0,404.0,200.0,334.0
10800.0,232.0,405.0,200.0,334.0
10900.0,233.0,405.0,199.0,336.0
11000.0,233.0,405.0,199.0,337.0
11100.0,233.0,405.0,199.0,339.0
11200.0,233.0,405.0,200.0,341.0
11300.0,232.0,406.0,200.0,343.0
11400.0,233.0,405.0,200.0,344.0
11500.0,233.0,405.0,200.0,346.0
11600.0,233.0,405.0,200.0,349.0
11700.0,232.0,405.0,200.0,350.0
