timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,231.6,390.0,195.3,294.9
100.0,225.0,390.0,190.6,280.9
200.0,251.6,424.1,210.3,249.7
300.0,231.4,390.0,193.3,293.4
400.0,248.9,419.9,200.5,257.8
500.0,245.6,437.6,215.1,282.5
600.0,255.9,469.0,234.0,354.0
700.0,251.9,443.9,223.1,385.8
800.0,250.9,439.5,217.4,276.9
900.0,247.2,434.9,210.2,256.4
1000.0,247.5,427.1,214.0,302.7
1100.0,243.9,451.4,224.9,374.4
1200.0,242.9,432.2,204.5,258.4
1300.0,259.0,461.9,222.4,369.1
1400.0,255.5,456.2,230.8,423.9
1500.0,233.6,403.4,198.9,376.8
1600.0,249.1,460.1,220.7,383.5
1700.0,236.1,417.9,206.9,382.1
1800.0,259.0,464.2,226.5,416.1
1900.0,250.6,444.3,213.4,383.9
2000.0,255.4,462.4,226.7,338.5
2100.0,246.8,430.6,215.7,309.3
2200.0,249.2,445.2,212.6,392.6
2300.0,227.6,391.5,194.2,297.5
2400.0,229.5,393.0,189.9,303.0
2500.0,256.7,431.7,217.6,280.8
2600.0,250.1,454.7,207.1,379.2
2700.0,259.0,452.3,234.0,379.7
2800.0,251.8,424.3,207.7,257.7
2900.0,248.0,432.5,208.8,310.8
3000.0,244.8,430.5,200.0,311.2
3100.0,246.0,428.5,209.5,249.1
3200.0,256.7,469.0,232.1,400.6
3300.0,244.2,435.6,200.2,309.8
3400.0,237.3,440.5,201.8,369.4
3500.0,248.6,444.9,215.5,277.8
3600.0,239.1,425.4,217.4,325.2
3700.0,237.8,427.6,207.2,364.9
3800.0,242.4,420.3,206.3,258.5
3900.0,256.6,442.4,224.1,337.1
4000.0,254.8,435.2,220.3,286.6
4100.0,237.8,424.9,197.4,251.1
4200.0,243.4,453.6,226.2,370.4
4300.0,243.7,433.0,202.2,271.7
4400.0,245.3,435.9,209.7,302.8
4500.0,240.4,427.4,217.0,331.7
4600.0,240.6,421.4,197.6,251.3
4700.0,251.4,451.8,221.9,369.6
4800.0,244.9,429.4,204.3,266.3
4900.0,254.7,467.3,231.0,381.1
5000.0,244.8,442.7,214.1,273.2
5100.0,242.9,427.2,198.5,250.5
5200.0,255.6,469.0,230.2,350.8
5300.0,242.5,419.8,215.0,294.1
5400.0,242.0,431.3,205.8,295.1
5500.0,246.4,428.4,207.0,289.2
5600.0,257.9,459.5,231.9,419.7
5700.0,250.9,443.8,215.4,301.9
5800.0,248.1,427.2,211.9,250.1
5900.0,247.6,429.7,207.6,268.2
6000.0,238.2,434.7,204.6,410.4
6100.0,242.8,434.8,204.5,287.1
6200.0,259.0,441.0,220.9,299.8
6300.0,244.0,436.4,210.2,305.7
6400.0,228.2,397.5,195.4,294.1
6500.0,242.5,439.1,209.5,379.7
6600.0,239.8,437.5,204.6,330.3
6700.0,247.9,440.8,211.6,340.5
6800.0,246.9,438.8,208.7,315.2
6900.0,225.0,393.2,189.0,278.2
7000.0,250.1,455.3,210.4,378.0
7100.0,245.6,433.2,206.8,278.7
7200.0,255.6,452.0,218.2,296.3
7300.0,246.6,426.5,209.4,282.3
