timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,517.9,827.9,546.9,426.1
100.0,505.7,782.0,481.8,387.3
200.0,471.6,791.0,495.8,305.0
300.0,517.4,796.8,476.1,383.9
400.0,508.6,767.6,478.9,381.7
500.0,592.6,878.0,611.0,559.7
600.0,506.9,793.9,478.9,389.9
700.0,503.5,764.0,477.6,389.1
800.0,511.7,787.3,487.6,392.0
900.0,532.9,782.6,498.3,402.6
1000.0,497.6,792.6,479.6,415.5
1100.0,525.0,798.4,492.5,448.4
1200.0,604.0,865.4,600.1,585.5
1300.0,519.0,825.9,545.3,401.3
1400.0,500.8,787.7,469.8,389.0
1500.0,509.2,791.9,492.1,399.9
1600.0,490.9,784.2,480.4,349.2
1700.0,510.5,775.8,476.8,399.0
1800.0,510.7,776.5,483.7,397.0
1900.0,488.1,778.9,481.4,354.9
2000.0,597.9,878.0,601.4,559.2
2100.0,525.3,770.3,494.2,426.6
2200.0,508.8,777.1,481.0,378.4
2300.0,498.3,786.7,484.2,383.1
2400.0,492.9,764.0,476.8,388.7
2500.0,569.6,869.9,601.9,491.4
2600.0,535.8,799.2,493.3,433.8
2700.0,501.0,793.0,505.1,382.4
2800.0,496.6,766.3,498.1,355.2
2900.0,504.3,782.5,483.4,380.4
3000.0,504.1,784.5,477.8,378.8
3100.0,489.7,776.6,470.7,379.8
3200.0,496.7,775.5,479.2,377.5
3300.0,503.1,764.0,469.7,387.1
3400.0,505.9,786.2,474.2,393.8
3500.0,502.7,768.7,471.0,366.3
3600.0,492.2,781.8,501.8,407.9
3700.0,478.4,775.3,473.3,385.6
3800.0,495.1,776.3,476.6,403.2
3900.0,493.3,778.0,488.4,401.9
4000.0,581.8,878.0,592.7,542.5
4100.0,525.1,791.0,490.9,418.8
4200.0,588.7,872.7,601.6,558.3
4300.0,571.4,840.4,587.3,462.8
4400.0,502.5,770.4,482.3,357.6
4500.0,598.3,876.6,611.0,572.7
4600.0,492.1,775.3,477.1,394.2
4700.0,491.6,790.7,500.6,422.1
4800.0,492.8,784.0,477.9,397.7
4900.0,512.4,769.0,491.4,403.7
5000.0,505.3,773.0,466.0,392.5
5100.0,496.0,785.3,482.9,361.3
5200.0,506.8,786.9,470.9,423.8
5300.0,511.2,768.0,478.8,375.2
5400.0,584.3,862.1,598.6,569.8
5500.0,529.2,836.2,558.3,437.5
5600.0,486.5,764.0,497.6,379.1
5700.0,492.2,765.1,474.2,383.2
5800.0,509.6,768.7,470.4,415.8
5900.0,486.4,786.8,483.7,373.7
6000.0,594.1,861.7,600.7,586.4
6100.0,475.6,785.4,495.1,385.6
6200.0,498.1,765.5,466.0,343.8
6300.0,515.8,808.0,534.3,399.4
6400.0,510.3,772.8,483.3,401.8
6500.0,477.3,789.7,491.2,336.0
6600.0,501.2,774.6,473.8,351.9
6700.0,501.8,787.0,484.2,421.2
6800.0,523.6,780.0,498.6,443.7
6900.0,482.6,764.5,477.8,358.6
7000.0,490.6,778.9,472.2,405.0
7100.0,486.1,769.0,494.1,375.4
7200.0,512.7,764.0,471.7,394.5
7300.0,501.8,771.4,470.4,366.2
7400.0,492.7,764.0,471.4,395.8
7500.0,480.4,804.3,502.5,320.3
7600.0,483.5,775.0,515.1,426.2
7700.0,512.6,782.2,482.1,405.9
7800.0,497.4,776.8,480.4,398.8
7900.0,524.3,779.9,483.6,430.3
8000.0,517.4,792.2,485.1,420.5
8100.0,575.5,851.9,599.1,498.3
8200.0,499.8,764.0,484.8,384.3
8300.0,506.4,772.3,483.9,391.0
8400.0,597.4,872.5,611.0,546.9
8500.0,503.6,797.7,471.3,401.0
8600.0,500.9,806.6,527.8,335.2
8700.0,504.8,765.3,470.3,390.1
8800.0,503.4,794.1,480.2,379.4
8900.0,520.0,782.3,484.5,397.8
9000.0,479.8,799.6,495.4,310.2
9100.0,503.3,771.0,511.8,381.2
9200.0,493.5,791.7,497.0,377.6
9300.0,526.9,816.7,534.2,406.4
9400.0,494.5,792.9,524.0,331.2
9500.0,489.7,764.9,478.8,366.2
9600.0,500.5,782.1,484.0,403.6
9700.0,513.8,800.4,487.3,401.0
9800.0,491.5,789.2,482.5,404.4
9900.0,485.6,767.4,498.0,359.3
10000.0,522.9,827.2,549.3,410.9
10100.0,482.8,764.0,487.0,358.5
10200.0,506.2,770.2,474.5,381.4
10300.0,482.8,768.7,471.3,339.0
10400.0,484.5,786.4,495.7,366.6
10500.0,506.0,788.7,473.0,403.8
10600.0,501.8,765.7,475.4,421.5
10700.0,498.7,779.8,495.5,369.8
10800.0,492.1,764.0,469.9,341.7
10900.0,487.5,789.7,501.5,310.4
11000.0,510.6,828.1,535.5,390.9
11100.0,495.1,809.6,507.3,333.6
11200.0,501.8,765.1,480.0,400.1
11300.0,535.7,788.1,495.8,430.5
11400.0,492.8,766.5,469.3,389.6
11500.0,578.4,864.6,602.5,519.1
11600.0,590.6,878.0,602.5,572.7
11700.0,502.2,764.0,466.0,351.6
11800.0,492.0,776.3,472.2,398.7
11900.0,524.5,783.5,493.3,398.4
12000.0,521.0,768.6,477.2,403.8
12100.0,473.4,764.0,468.0,328.0
12200.0,504.3,789.7,475.0,398.3
12300.0,484.6,810.4,514.0,335.2
12400.0,485.4,765.4,474.1,343.4
12500.0,491.9,771.4,490.8,360.3
12600.0,486.3,783.9,504.5,360.5
12700.0,479.2,778.1,481.9,406.0
12800.0,495.3,764.0,477.5,410.3
12900.0,514.8,778.7,484.5,410.1
13000.0,490.1,776.6,467.9,348.6
13100.0,480.8,764.0,480.5,353.8
13200.0,485.9,782.7,466.0,384.8
13300.0,531.0,845.2,554.4,407.8
13400.0,474.7,774.0,479.2,390.9
13500.0,497.8,795.4,532.4,347.2
13600.0,538.9,828.6,556.0,422.0
13700.0,488.5,774.0,471.9,327.3
13800.0,486.7,764.0,466.2,346.8
13900.0,499.3,798.9,494.9,395.8
14000.0,511.6,799.8,476.9,405.9
14100.0,495.3,770.8,493.2,382.1
14200.0,479.5,772.5,499.9,378.0
14300.0,502.5,777.2,483.6,419.2
14400.0,503.2,779.9,480.9,395.3
14500.0,520.0,806.6,541.4,364.8
14600.0,477.0,764.0,472.0,325.1
14700.0,495.9,776.7,469.6,399.2
14800.0,488.6,777.6,472.0,395.7
14900.0,487.7,771.9,481.1,356.1
15000.0,490.3,777.4,490.0,351.3
15100.0,499.6,799.3,481.1,406.8
15200.0,501.2,772.4,476.5,399.2
15300.0,528.4,834.9,547.9,408.1
15400.0,494.4,764.6,466.0,395.0
15500.0,498.2,764.0,479.3,387.3
15600.0,604.0,878.0,596.6,578.5
15700.0,511.7,767.4,490.6,396.6
15800.0,526.6,786.4,490.0,441.8
15900.0,596.6,856.0,611.0,568.9
16000.0,495.5,786.0,474.8,402.8
16100.0,496.3,780.3,471.4,395.8
16200.0,515.1,817.3,534.2,412.7
16300.0,505.9,774.5,476.9,393.3
16400.0,494.8,778.2,470.9,392.3
16500.0,484.5,771.3,492.9,384.3
16600.0,526.2,842.6,553.6,432.3
16700.0,599.4,878.0,605.8,581.4
16800.0,523.2,797.6,486.8,397.5
16900.0,507.2,795.1,486.4,392.2
17000.0,587.0,878.0,605.7,583.0
17100.0,528.6,827.5,546.4,441.9
17200.0,586.9,855.7,598.3,540.8
17300.0,569.1,832.8,592.6,462.2
17400.0,482.0,781.1,492.9,383.1
17500.0,522.1,800.6,488.0,416.9
17600.0,513.2,818.6,537.7,369.1
17700.0,496.2,771.5,476.5,395.1
17800.0,498.5,810.5,523.0,338.5
17900.0,480.7,793.3,499.9,311.6
18000.0,493.6,784.6,469.6,403.4
18100.0,586.5,878.0,603.0,572.6
18200.0,500.1,766.7,476.1,415.3
18300.0,532.1,788.3,488.6,426.9
18400.0,499.8,767.7,478.4,406.6
18500.0,514.2,765.3,472.3,414.1
18600.0,541.0,819.9,550.5,422.7
18700.0,528.8,791.7,490.9,424.9
18800.0,494.6,775.3,475.3,399.2
18900.0,488.7,765.9,474.3,352.2
19000.0,597.8,868.5,611.0,580.6
19100.0,495.9,774.6,487.1,362.5
19200.0,496.8,780.6,479.8,384.5
19300.0,483.5,765.2,491.1,343.2
19400.0,498.3,764.4,485.1,346.2
19500.0,491.5,778.9,492.3,382.6
19600.0,485.2,783.4,489.1,373.0
19700.0,482.7,785.1,478.8,386.6
19800.0,525.9,784.3,492.6,448.1
19900.0,559.1,857.1,589.7,443.9
20000.0,489.9,767.7,481.1,396.1
20100.0,604.0,871.2,611.0,589.0
20200.0,562.3,832.9,585.3,432.4
20300.0,493.2,764.0,466.0,343.7
20400.0,481.4,784.9,518.3,325.5
20500.0,482.0,766.6,479.5,372.6
20600.0,520.1,780.1,480.6,405.3
20700.0,484.4,777.7,497.2,372.5
20800.0,557.0,821.9,565.4,403.1
20900.0,506.2,764.0,472.7,394.0
21000.0,470.3,777.1,480.1,333.3
21100.0,521.6,782.9,477.4,384.5
21200.0,508.1,784.7,486.7,400.8
21300.0,527.8,822.7,560.4,433.0
21400.0,527.7,820.6,553.6,423.8
21500.0,492.8,789.2,530.9,339.5
21600.0,496.1,779.0,497.6,361.3
21700.0,498.7,764.0,466.8,356.6
21800.0,519.3,792.6,478.3,408.4
21900.0,505.7,774.2,478.8,387.3
22000.0,494.8,784.4,492.1,348.9
22100.0,587.6,869.6,609.4,552.5
22200.0,519.9,793.7,492.5,402.8
22300.0,517.2,795.0,480.8,370.0
22400.0,519.9,813.0,539.4,401.6
22500.0,601.2,877.7,603.6,575.6
22600.0,522.3,817.7,537.5,391.7
22700.0,493.6,791.4,500.3,394.9
22800.0,495.8,782.6,507.8,380.3
22900.0,496.1,787.9,466.0,360.5
23000.0,584.8,872.0,611.0,563.4
23100.0,597.2,852.2,601.9,553.6
23200.0,481.6,785.9,524.0,337.8
23300.0,472.2,787.7,492.5,322.5
23400.0,487.6,769.4,466.0,346.0
23500.0,502.0,777.8,513.5,392.9
23600.0,507.6,774.5,486.2,389.5
23700.0,510.0,781.7,487.4,406.2
23800.0,513.9,784.7,497.2,450.6
23900.0,527.7,773.6,491.9,443.3
24000.0,493.2,764.0,474.8,388.2
24100.0,527.3,775.0,476.8,406.6
24200.0,523.6,791.3,495.6,406.8
24300.0,503.2,790.1,474.6,390.9
24400.0,495.5,764.0,467.2,397.8
24500.0,518.8,799.1,490.7,420.3
24600.0,521.9,796.6,486.7,437.3
24700.0,473.7,792.6,496.7,311.0
24800.0,572.5,843.9,587.4,494.7
24900.0,522.3,830.8,531.8,392.6
25000.0,537.0,840.4,575.4,399.4
25100.0,496.5,775.3,499.5,419.3
25200.0,573.9,855.7,590.4,512.8
25300.0,518.0,784.6,482.0,423.3
25400.0,539.1,817.4,546.5,445.9
25500.0,510.7,771.7,468.0,392.4
25600.0,488.4,785.6,474.8,402.0
25700.0,496.9,787.8,490.7,346.8
25800.0,579.7,853.2,595.3,492.2
25900.0,533.1,839.1,564.2,435.6
26000.0,486.8,764.0,498.9,372.2
26100.0,500.1,764.0,468.0,382.7
26200.0,525.8,816.1,540.7,407.0
26300.0,584.6,876.4,594.2,542.9
26400.0,591.5,878.0,598.6,576.9
26500.0,579.9,871.8,588.0,497.8
26600.0,560.7,847.5,585.3,478.5
26700.0,492.3,773.5,466.4,391.8
26800.0,534.2,792.9,488.7,435.8
26900.0,484.1,764.0,471.4,336.7
27000.0,489.0,783.7,479.5,390.3
27100.0,552.1,826.3,566.1,401.4
27200.0,525.8,786.1,493.5,402.6
27300.0,599.0,878.0,610.1,568.1
27400.0,600.4,856.5,611.0,548.1
27500.0,515.8,783.2,484.0,451.5
27600.0,502.7,775.7,482.5,391.7
27700.0,493.5,784.0,466.9,383.3
27800.0,493.4,784.2,477.6,408.5
27900.0,498.7,777.8,483.9,416.0
28000.0,536.9,777.1,482.5,425.6
28100.0,519.1,777.3,488.9,397.4
28200.0,492.4,784.2,485.9,370.4
28300.0,497.2,786.6,469.7,408.1
28400.0,498.0,774.0,479.0,388.8
