timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,495.5,780.5,451.0,388.1
100.0,470.2,749.8,449.0,322.7
200.0,479.1,752.6,436.8,333.2
300.0,489.7,769.9,449.1,394.8
400.0,499.4,788.0,458.0,412.0
500.0,498.8,779.2,453.5,407.8
600.0,451.1,744.2,428.2,301.2
700.0,473.5,772.8,442.7,369.4
800.0,464.2,716.3,419.7,343.2
900.0,455.2,728.2,442.4,344.8
1000.0,447.2,721.8,429.6,349.7
1100.0,440.4,732.3,417.0,314.2
1200.0,445.5,729.7,428.5,308.2
1300.0,493.4,774.3,446.3,392.1
1400.0,471.4,746.1,445.7,352.8
1500.0,474.4,767.2,457.0,398.0
1600.0,456.1,742.2,427.3,388.2
1700.0,447.9,749.4,443.3,343.6
1800.0,483.5,785.4,444.8,381.6
1900.0,485.4,762.3,456.6,366.9
2000.0,475.9,765.0,451.5,402.8
2100.0,472.3,764.7,449.6,376.4
2200.0,482.5,757.6,440.9,348.4
2300.0,483.5,757.0,453.9,361.5
2400.0,451.3,719.8,430.9,299.3
2500.0,480.3,766.0,460.0,401.2
2600.0,448.6,729.5,434.1,343.6
2700.0,501.0,779.0,453.4,406.8
2800.0,453.5,715.2,435.3,312.9
2900.0,485.8,752.9,460.0,355.6
3000.0,487.2,763.1,447.3,376.8
3100.0,496.5,749.9,459.6,379.8
3200.0,476.3,760.6,442.0,346.0
3300.0,495.6,769.3,460.0,390.5
3400.0,482.8,748.3,452.1,346.5
3500.0,447.5,732.7,437.8,349.5
3600.0,451.7,748.2,429.4,294.4
3700.0,483.5,784.4,446.3,388.3
3800.0,455.0,730.3,422.3,346.7
3900.0,495.3,788.0,456.7,410.0
4000.0,454.4,741.2,430.0,348.6
4100.0,482.8,775.5,454.2,355.5
4200.0,452.1,722.4,427.1,326.7
4300.0,432.0,713.0,419.7,322.7
4400.0,432.0,718.6,424.6,327.3
4500.0,453.0,732.1,431.5,362.1
4600.0,453.8,735.9,422.2,326.5
4700.0,446.3,721.0,421.4,310.7
4800.0,450.5,738.6,430.0,332.3
4900.0,451.2,736.0,422.7,324.2
5000.0,480.9,763.7,447.4,360.9
5100.0,448.7,716.0,430.3,323.5
5200.0,486.8,775.2,460.0,401.4
5300.0,441.5,722.0,424.5,369.7
5400.0,461.0,728.7,431.9,342.3
5500.0,447.8,720.1,425.0,394.0
5600.0,460.6,720.6,433.1,338.2
5700.0,461.9,742.7,446.3,340.1
5800.0,494.4,788.0,460.0,404.9
5900.0,476.6,746.9,444.9,356.0
6000.0,483.0,778.6,452.5,386.2
6100.0,498.9,788.0,450.0,388.6
6200.0,485.8,756.1,451.7,398.3
6300.0,460.2,759.1,436.7,310.1
6400.0,461.5,731.0,424.2,360.7
6500.0,448.4,746.4,435.8,339.4
6600.0,482.3,768.2,454.9,394.9
6700.0,458.1,760.3,432.9,298.4
6800.0,485.2,760.4,446.5,379.4
6900.0,479.0,768.9,458.1,371.4
7000.0,446.1,733.0,434.2,324.7
7100.0,487.4,762.1,454.7,368.1
7200.0,493.3,750.9,460.0,383.8
7300.0,482.9,758.5,442.6,402.1
7400.0,441.4,736.7,422.4,300.7
7500.0,465.9,719.4,434.7,384.1
7600.0,453.1,730.5,426.1,339.4
7700.0,471.3,743.0,437.9,334.2
7800.0,482.0,752.1,448.3,355.0
7900.0,448.3,714.5,423.3,320.3
8000.0,445.6,750.5,423.6,295.8
8100.0,495.0,788.0,450.2,398.6
8200.0,439.8,728.8,421.7,324.2
8300.0,482.3,759.2,456.5,382.2
8400.0,492.3,747.8,444.1,369.4
8500.0,493.6,783.0,460.0,386.9
8600.0,438.5,713.0,426.9,307.1
