timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,507.0,776.0,673.8,691.8
100.0,512.4,776.0,675.0,694.8
200.0,507.0,770.0,675.0,699.6
300.0,513.7,776.0,668.0,692.8
400.0,507.0,776.0,675.0,696.1
500.0,512.7,776.0,668.0,689.4
600.0,516.0,776.0,670.4,696.9
700.0,507.0,776.0,668.0,684.0
800.0,515.0,770.0,675.0,701.4
900.0,516.0,770.0,671.7,684.0
1000.0,514.1,771.2,673.1,702.0
1100.0,507.0,776.0,672.5,692.8
1200.0,507.0,776.0,675.0,696.5
1300.0,507.0,776.0,675.0,699.5
1400.0,507.0,770.0,675.0,700.8
1500.0,512.9,776.0,672.9,684.5
1600.0,516.0,776.0,668.0,698.1
1700.0,508.4,776.0,675.0,702.0
1800.0,514.0,770.0,668.0,694.3
1900.0,513.6,776.0,675.0,689.0
2000.0,507.0,776.0,671.8,691.8
2100.0,507.0,776.0,675.0,688.0
2200.0,516.0,776.0,668.0,692.4
2300.0,516.0,776.0,668.0,696.2
2400.0,510.9,770.0,668.0,695.1
2500.0,513.2,776.0,668.0,686.0
2600.0,516.0,774.6,668.0,684.0
2700.0,507.0,770.0,675.0,684.0
2800.0,516.0,772.9,675.0,702.0
2900.0,507.0,770.0,668.0,692.2
3000.0,512.0,775.2,668.0,684.0
3100.0,507.0,770.0,675.0,696.2
3200.0,514.8,770.0,675.0,702.0
3300.0,507.0,770.0,675.0,684.0
3400.0,511.0,770.0,673.0,702.0
3500.0,514.6,776.0,668.0,685.3
3600.0,516.0,770.0,675.0,687.2
3700.0,507.0,776.0,668.0,700.1
3800.0,513.5,770.0,668.0,698.3
3900.0,512.9,770.0,675.0,702.0
4000.0,516.0,770.0,668.0,684.0
4100.0,513.0,770.0,668.0,694.0
4200.0,516.0,776.0,672.5,701.7
4300.0,513.2,776.0,668.6,702.0
4400.0,516.0,770.0,668.0,693.7
4500.0,507.0,776.0,675.0,697.7
4600.0,516.0,776.0,675.0,688.6
4700.0,514.2,774.3,675.0,687.8
4800.0,516.0,770.0,669.2,702.0
4900.0,515.1,772.4,675.0,702.0
5000.0,516.0,776.0,675.0,698.2
5100.0,511.2,770.0,675.0,702.0
5200.0,507.0,773.8,668.0,684.0
5300.0,516.0,776.0,675.0,694.9
5400.0,516.0,770.4,668.0,686.2
5500.0,507.0,776.0,675.0,692.5
5600.0,511.0,776.0,675.0,695.4
5700.0,507.0,770.0,675.0,702.0
5800.0,507.0,770.0,675.0,698.5
5900.0,508.2,774.6,668.0,696.0
6000.0,509.2,776.0,675.0,698.5
6100.0,516.0,776.0,668.0,691.1
6200.0,508.2,770.0,675.0,693.0
6300.0,508.3,770.0,672.9,684.0
6400.0,507.0,770.0,668.0,690.3
6500.0,508.4,770.0,675.0,690.1
6600.0,516.0,776.0,675.0,699.0
6700.0,515.5,776.0,675.0,689.8
6800.0,512.1,770.0,672.0,685.6
6900.0,507.2,774.3,668.0,702.0
7000.0,514.7,773.7,668.0,702.0
7100.0,516.0,773.7,674.9,696.9
7200.0,507.0,770.0,675.0,692.4
7300.0,516.0,771.6,668.0,694.2
7400.0,513.2,770.0,675.0,695.7
7500.0,516.0,770.2,675.0,692.1
7600.0,510.3,770.0,668.0,684.0
7700.0,511.2,770.0,675.0,700.7
7800.0,512.3,776.0,668.0,702.0
7900.0,507.0,773.3,668.0,701.8
8000.0,512.9,770.0,668.5,693.2
8100.0,516.0,771.1,668.0,692.6
8200.0,515.9,773.0,675.0,698.3
8300.0,514.2,770.0,670.7,689.5
8400.0,512.1,776.0,673.8,690.2
8500.0,508.1,770.3,668.0,686.6
8600.0,515.7,776.0,675.0,690.5
8700.0,512.9,770.0,675.0,701.2
8800.0,507.0,770.0,668.0,701.5
8900.0,516.0,772.1,674.7,690.9
9000.0,508.1,770.0,668.0,685.6
9100.0,507.0,776.0,668.0,689.2
9200.0,511.4,776.0,668.0,684.0
9300.0,516.0,776.0,673.1,699.2
9400.0,516.0,770.0,668.0,689.0
9500.0,513.2,773.4,668.0,692.7
9600.0,507.0,772.1,675.0,685.8
9700.0,512.9,770.0,675.0,693.0
9800.0,512.0,776.0,675.0,702.0
9900.0,511.2,776.0,675.0,700.7
10000.0,514.9,776.0,668.0,698.5
10100.0,516.0,770.0,675.0,684.0
10200.0,509.1,772.3,668.0,700.3
10300.0,516.0,776.0,675.0,696.6
10400.0,516.0,772.4,668.0,696.4
10500.0,507.0,770.0,668.0,684.6
10600.0,512.9,776.0,675.0,684.0
10700.0,516.0,770.0,668.0,684.0
10800.0,507.0,776.0,671.0,689.5
10900.0,516.0,776.0,668.1,702.0
11000.0,507.0,776.0,668.0,684.0
11100.0,516.0,775.9,675.0,686.0
11200.0,507.0,774.7,675.0,686.4
11300.0,516.0,776.0,673.6,698.5
11400.0,511.8,770.0,668.0,695.7
11500.0,508.4,773.5,668.0,684.0
11600.0,516.0,770.0,675.0,693.8
11700.0,507.0,770.0,668.0,684.0
11800.0,507.0,776.0,668.2,697.3
11900.0,516.0,776.0,675.0,701.9
12000.0,513.5,770.0,668.0,693.2
12100.0,508.3,776.0,675.0,692.7
12200.0,515.0,775.0,668.2,684.0
12300.0,516.0,771.4,675.0,694.2
12400.0,507.0,774.8,675.0,701.5
12500.0,515.2,772.7,675.0,690.7
12600.0,515.5,773.4,675.0,702.0
12700.0,511.9,770.0,675.0,684.5
12800.0,516.0,770.0,675.0,684.0
12900.0,507.0,776.0,668.6,702.0
13000.0,514.3,776.0,668.0,701.0
13100.0,511.9,770.0,675.0,696.8
13200.0,507.0,776.0,668.0,684.0
13300.0,516.0,770.0,675.0,694.9
13400.0,509.9,770.0,675.0,688.7
13500.0,507.0,771.1,671.5,688.3
13600.0,516.0,770.0,668.0,702.0
13700.0,516.0,776.0,675.0,688.6
13800.0,516.0,770.0,668.0,702.0
13900.0,516.0,776.0,673.6,699.3
14000.0,516.0,770.0,674.2,694.1
14100.0,516.0,771.9,675.0,702.0
14200.0,508.3,776.0,675.0,684.0
14300.0,516.0,770.0,668.0,684.4
14400.0,516.0,773.6,673.1,697.7
14500.0,516.0,776.0,674.5,702.0
14600.0,511.9,770.0,668.0,684.0
14700.0,507.6,770.0,673.1,684.0
14800.0,516.0,772.3,668.0,687.6
14900.0,510.1,776.0,668.0,691.6
15000.0,507.0,776.0,675.0,684.0
15100.0,516.0,775.1,668.0,702.0
15200.0,516.0,776.0,675.0,698.6
15300.0,516.0,776.0,668.0,685.8
15400.0,508.9,770.0,668.0,684.0
15500.0,513.0,776.0,674.7,702.0
15600.0,507.0,776.0,671.8,696.7
