timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,508.0,767.0,665.9,686.0
100.0,501.0,772.0,664.0,676.0
200.0,501.6,772.0,664.0,686.0
300.0,508.0,767.0,664.0,676.0
400.0,506.3,770.9,667.8,686.0
500.0,505.1,767.0,664.0,676.0
600.0,502.6,767.0,670.0,676.0
700.0,501.0,767.0,670.0,676.3
800.0,503.6,768.0,670.0,676.0
900.0,507.0,772.0,664.0,686.0
1000.0,507.9,772.0,664.1,686.0
1100.0,508.0,772.0,664.0,676.0
1200.0,508.0,772.0,664.4,686.0
1300.0,501.0,771.3,667.4,686.0
1400.0,501.0,767.0,670.0,679.8
1500.0,508.0,772.0,670.0,681.6
1600.0,501.0,772.0,664.0,686.0
1700.0,508.0,767.6,667.2,684.3
1800.0,508.0,767.0,669.6,676.0
1900.0,507.8,772.0,664.0,677.8
2000.0,502.2,767.0,670.0,686.0
2100.0,508.0,767.0,670.0,677.2
2200.0,508.0,772.0,670.0,686.0
2300.0,501.0,767.0,664.6,683.9
2400.0,501.0,771.1,664.0,684.2
2500.0,508.0,767.0,664.0,678.3
2600.0,508.0,767.0,670.0,682.7
2700.0,508.0,767.0,670.0,683.4
2800.0,503.8,767.0,670.0,676.0
2900.0,508.0,767.0,664.0,686.0
3000.0,501.0,767.0,664.4,676.0
3100.0,506.8,767.0,664.0,686.0
3200.0,508.0,767.0,670.0,686.0
3300.0,501.0,767.0,670.0,676.0
3400.0,501.3,767.0,670.0,684.1
3500.0,508.0,767.0,664.0,685.9
3600.0,501.5,772.0,664.0,679.1
3700.0,501.0,772.0,665.8,676.0
3800.0,501.0,772.0,664.0,678.2
3900.0,501.0,767.0,669.4,680.0
4000.0,505.9,769.4,670.0,686.0
4100.0,501.0,772.0,664.0,686.0
4200.0,505.3,767.0,664.0,686.0
4300.0,505.0,767.0,664.0,676.0
4400.0,501.0,769.7,664.0,678.9
4500.0,505.3,772.0,669.3,686.0
4600.0,501.0,767.0,664.0,686.0
4700.0,505.5,772.0,667.9,676.0
4800.0,508.0,772.0,670.0,676.0
4900.0,508.0,767.0,664.0,686.0
5000.0,501.0,767.0,664.0,686.0
5100.0,508.0,772.0,670.0,683.7
5200.0,507.9,767.0,664.0,686.0
5300.0,501.0,768.8,670.0,684.1
5400.0,501.0,768.7,664.0,682.3
5500.0,501.0,772.0,667.3,678.5
5600.0,508.0,767.0,670.0,676.0
5700.0,508.0,771.9,670.0,676.0
5800.0,501.6,769.3,668.5,686.0
5900.0,501.0,767.5,664.0,677.2
6000.0,508.0,767.6,670.0,686.0
6100.0,508.0,772.0,670.0,685.1
6200.0,503.2,768.6,666.6,676.0
6300.0,501.0,767.0,670.0,678.5
6400.0,508.0,767.0,670.0,676.0
6500.0,501.8,768.8,664.0,676.5
6600.0,501.0,772.0,664.0,686.0
6700.0,503.3,772.0,670.0,686.0
6800.0,508.0,767.0,670.0,686.0
6900.0,501.0,769.3,664.8,686.0
7000.0,508.0,767.0,664.0,676.0
7100.0,501.0,767.0,664.0,676.0
7200.0,501.0,772.0,670.0,685.3
7300.0,504.2,772.0,664.5,676.0
7400.0,501.0,767.0,664.0,686.0
7500.0,503.9,770.8,670.0,677.4
7600.0,501.0,772.0,664.0,684.7
7700.0,508.0,767.0,670.0,680.9
7800.0,508.0,772.0,667.7,680.0
7900.0,501.0,772.0,670.0,685.3
8000.0,501.0,767.0,664.0,676.0
8100.0,508.0,769.5,664.0,676.4
8200.0,508.0,772.0,670.0,676.0
8300.0,508.0,771.5,664.0,676.0
8400.0,506.2,767.0,664.0,682.9
8500.0,501.0,772.0,670.0,686.0
8600.0,501.0,772.0,664.0,676.0
8700.0,506.4,767.0,670.0,685.0
8800.0,501.0,772.0,664.0,682.5
8900.0,503.7,767.0,664.0,676.0
9000.0,502.6,772.0,664.0,676.0
9100.0,501.0,772.0,670.0,676.9
9200.0,501.0,772.0,669.5,686.0
9300.0,501.0,767.0,670.0,676.0
9400.0,505.8,772.0,664.0,686.0
9500.0,501.0,767.0,664.0,676.0
9600.0,508.0,772.0,664.0,686.0
9700.0,501.0,772.0,664.0,682.1
9800.0,508.0,768.8,664.0,679.3
9900.0,508.0,767.0,664.0,676.0
