timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,249.7,494.5,242.5,330.1
100.0,243.0,486.0,237.2,275.4
200.0,240.0,486.0,243.1,313.0
300.0,242.8,486.0,241.4,293.4
400.0,246.0,489.0,246.5,310.8
500.0,247.7,497.2,251.5,329.6
600.0,240.0,486.0,241.7,299.6
700.0,247.6,507.6,249.7,386.5
800.0,240.6,503.2,242.9,338.0
900.0,242.3,496.9,241.5,303.5
1000.0,240.4,496.8,237.0,304.9
1100.0,250.0,501.8,252.6,358.6
1200.0,241.7,494.0,250.1,333.8
1300.0,244.7,501.3,245.3,339.2
1400.0,240.0,507.7,243.9,390.3
1500.0,246.9,497.8,250.1,372.3
1600.0,244.7,500.6,242.7,337.4
1700.0,247.1,486.0,242.2,309.0
1800.0,248.5,486.0,240.4,274.4
1900.0,248.7,486.0,240.9,327.9
2000.0,245.9,486.0,242.3,290.8
2100.0,241.1,497.3,244.5,289.2
2200.0,250.0,510.0,252.1,404.2
2300.0,241.3,487.0,243.4,273.9
2400.0,242.4,493.9,237.7,330.3
2500.0,242.3,488.8,239.1,294.0
2600.0,242.7,486.0,243.7,308.6
2700.0,240.7,486.0,246.4,295.9
2800.0,244.1,496.6,249.8,301.1
2900.0,240.0,494.4,242.8,340.8
3000.0,246.0,510.0,253.4,400.0
3100.0,243.5,508.4,251.4,404.9
3200.0,241.6,486.0,245.2,283.6
3300.0,248.5,493.6,238.2,315.1
3400.0,240.4,492.7,243.5,298.3
3500.0,249.2,504.7,248.7,333.5
3600.0,243.7,503.4,247.7,329.6
3700.0,245.7,486.0,242.2,287.0
3800.0,241.4,491.5,237.0,320.5
3900.0,244.6,500.6,243.3,314.2
4000.0,244.9,510.0,255.6,382.5
4100.0,244.7,505.5,251.2,374.8
4200.0,246.8,490.9,252.3,324.3
4300.0,246.7,509.2,247.7,359.8
4400.0,245.5,490.4,241.5,295.4
4500.0,240.0,496.2,242.5,297.0
4600.0,246.2,494.2,248.9,315.0
4700.0,241.1,499.2,248.5,384.0
4800.0,246.6,486.0,243.8,276.0
4900.0,250.0,498.4,249.1,391.3
5000.0,250.0,500.7,243.9,375.9
5100.0,240.0,490.5,243.4,285.6
5200.0,250.0,498.7,252.5,367.4
5300.0,242.7,496.5,244.7,331.9
5400.0,242.8,491.9,240.4,301.3
5500.0,245.0,501.5,249.0,315.3
5600.0,250.0,499.8,256.0,350.8
5700.0,246.1,495.7,245.0,302.6
5800.0,241.4,490.8,246.3,337.0
5900.0,244.9,490.2,245.5,297.6
6000.0,246.2,507.9,254.8,358.8
6100.0,250.0,502.9,255.4,392.0
6200.0,240.7,499.3,243.9,367.0
6300.0,246.5,510.0,252.5,379.7
6400.0,250.0,505.7,257.2,376.3
6500.0,249.8,486.0,246.3,304.6
6600.0,242.4,492.6,251.8,377.8
6700.0,241.6,498.4,253.3,332.3
6800.0,246.4,491.8,237.0,288.4
6900.0,244.6,494.0,248.2,326.8
7000.0,243.4,499.0,242.4,291.7
7100.0,247.9,494.2,243.8,297.8
7200.0,250.0,498.5,253.9,380.7
7300.0,243.3,504.9,242.9,345.4
7400.0,248.7,493.0,242.9,311.9
7500.0,250.0,496.0,248.2,343.5
7600.0,244.7,491.0,241.0,329.3
7700.0,244.3,505.9,248.3,329.1
7800.0,240.0,499.7,244.6,335.6
7900.0,240.8,486.0,242.6,296.1
8000.0,245.4,486.0,252.1,323.1
8100.0,250.0,507.7,255.3,387.3
8200.0,248.4,508.7,255.2,382.7
8300.0,246.8,488.0,243.7,294.9
8400.0,246.2,496.4,240.5,365.7
8500.0,245.6,507.4,245.7,330.5
8600.0,240.3,490.1,237.8,339.0
8700.0,249.8,486.0,245.9,301.5
8800.0,242.1,490.9,239.6,286.5
8900.0,244.7,486.0,240.5,303.8
9000.0,244.2,486.0,240.0,277.5
9100.0,245.2,499.1,251.5,399.1
9200.0,249.9,501.4,250.3,302.6
9300.0,248.8,510.0,246.8,378.3
9400.0,247.7,498.2,245.6,332.4
9500.0,240.0,486.2,239.2,317.1
9600.0,250.0,508.6,248.7,350.2
9700.0,242.1,510.0,248.3,358.1
9800.0,249.9,496.0,246.3,335.1
9900.0,241.8,495.3,250.2,382.7
10000.0,244.2,494.3,260.0,365.7
10100.0,240.2,497.7,240.9,314.0
10200.0,240.0,495.2,243.0,384.3
10300.0,250.0,504.8,260.0,378.6
10400.0,240.0,486.0,243.9,300.0
10500.0,242.6,493.3,244.5,319.8
10600.0,245.8,503.6,250.8,363.2
10700.0,247.3,490.3,251.4,340.5
10800.0,243.4,488.3,243.2,291.7
10900.0,248.1,491.9,251.6,335.1
11000.0,241.8,501.7,251.0,325.6
11100.0,240.1,486.0,243.2,310.8
11200.0,245.4,507.3,245.8,377.3
11300.0,240.0,490.6,237.0,330.7
11400.0,240.7,496.7,242.5,296.4
11500.0,240.6,487.1,253.3,335.8
11600.0,250.0,507.7,245.8,335.7
11700.0,244.4,491.4,242.0,298.3
11800.0,250.0,496.3,245.0,316.3
11900.0,241.1,486.5,243.7,282.9
12000.0,250.0,510.0,255.8,393.9
12100.0,247.6,492.9,244.3,276.6
12200.0,243.3,496.5,239.4,346.5
12300.0,250.0,489.8,246.8,341.0
12400.0,243.7,499.5,241.3,374.2
12500.0,243.8,500.1,245.1,299.0
12600.0,245.8,510.0,255.2,347.1
12700.0,250.0,510.0,252.5,397.1
12800.0,244.5,486.0,237.0,321.9
12900.0,245.9,503.0,250.9,363.3
13000.0,242.7,487.8,240.3,335.2
13100.0,246.2,495.4,245.4,287.5
13200.0,240.7,486.0,237.0,300.7
13300.0,240.3,498.5,241.7,315.0
13400.0,240.0,486.3,238.8,350.9
13500.0,244.8,489.9,252.0,334.9
13600.0,243.9,486.0,237.6,298.7
13700.0,245.2,491.7,237.6,321.7
13800.0,247.9,492.4,249.1,333.4
13900.0,248.9,506.6,256.1,379.1
14000.0,241.8,486.0,237.0,303.0
14100.0,240.4,501.1,246.8,321.0
14200.0,246.5,494.0,244.1,270.0
14300.0,242.0,492.4,237.9,308.4
14400.0,240.0,486.0,240.3,326.8
14500.0,241.9,502.0,239.1,325.5
14600.0,244.7,486.0,245.4,334.6
14700.0,250.0,492.5,246.9,292.1
14800.0,245.6,489.3,238.0,299.0
14900.0,249.4,504.1,251.2,409.0
15000.0,240.8,488.8,241.8,311.3
15100.0,246.5,486.0,241.7,290.4
15200.0,240.2,508.6,249.7,361.8
15300.0,250.0,510.0,253.4,385.8
15400.0,244.8,493.9,242.2,337.2
15500.0,240.5,491.4,237.0,300.3
15600.0,250.0,510.0,252.5,388.6
15700.0,243.5,505.4,239.4,337.9
15800.0,240.5,488.2,238.1,318.3
15900.0,248.7,494.2,246.3,329.8
16000.0,248.6,488.7,239.9,308.5
16100.0,247.8,506.4,252.2,397.2
16200.0,244.6,491.8,248.7,325.4
16300.0,240.0,489.7,242.5,301.9
16400.0,247.4,500.1,252.5,336.5
16500.0,246.5,499.7,247.6,304.0
16600.0,245.0,486.0,238.6,309.1
16700.0,241.1,486.0,245.0,282.7
16800.0,247.4,488.7,245.0,331.2
16900.0,243.3,486.0,242.0,294.4
17000.0,240.0,509.1,245.1,358.0
17100.0,243.1,502.1,241.4,281.2
17200.0,250.0,488.2,248.2,318.6
17300.0,243.2,486.0,237.0,331.9
17400.0,240.0,492.4,242.6,296.3
17500.0,241.5,486.9,242.2,303.7
17600.0,244.7,488.1,238.1,340.7
17700.0,243.2,493.9,237.0,332.1
17800.0,249.5,501.1,244.9,338.3
17900.0,249.1,498.9,242.4,337.2
18000.0,247.2,500.4,255.5,374.6
18100.0,248.2,495.6,246.2,301.1
18200.0,240.0,486.0,238.8,293.6
18300.0,244.5,492.7,247.9,284.4
18400.0,244.5,486.0,243.2,331.9
18500.0,242.2,502.2,240.5,291.2
18600.0,245.1,493.6,251.6,330.7
18700.0,250.0,506.2,242.6,351.6
18800.0,250.0,510.0,257.0,389.9
18900.0,248.8,507.1,247.4,383.6
19000.0,246.7,509.3,256.8,397.4
19100.0,240.0,489.8,242.9,355.4
19200.0,243.9,494.8,245.7,328.2
19300.0,243.6,496.3,251.0,326.1
19400.0,250.0,510.0,251.7,404.7
19500.0,244.2,501.3,248.4,327.8
19600.0,245.0,505.2,252.3,344.2
19700.0,240.0,486.0,253.4,346.1
