timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,275.0,543.0,270.0,430.0
100.0,276.0,542.0,270.0,431.0
200.0,276.0,542.0,270.0,429.0
300.0,276.0,541.0,270.0,426.0
400.0,276.0,541.0,270.0,425.0
500.0,276.0,541.0,270.0,422.0
600.0,275.0,540.0,270.0,421.0
700.0,276.0,539.0,271.0,418.0
800.0,276.0,539.0,270.0,416.0
900.0,276.0,539.0,270.0,413.0
1000.0,276.0,538.0,270.0,411.0
1100.0,276.0,537.0,269.0,408.0
1200.0,276.0,537.0,270.0,406.0
1300.0,275.0,536.0,269.0,403.0
1400.0,276.0,536.0,269.0,400.0
1500.0,276.0,535.0,270.0,398.0
1600.0,276.0,534.0,269.0,394.0
1700.0,276.0,534.0,268.0,391.0
1800.0,276.0,533.0,269.0,388.0
1900.0,276.0,533.0,268.0,386.0
2000.0,276.0,532.0,267.0,382.0
2100.0,276.0,532.0,267.0,378.0
2200.0,276.0,531.0,267.0,377.0
2300.0,275.0,531.0,267.0,372.0
2400.0,275.0,530.0,267.0,368.0
2500.0,275.0,530.0,266.0,366.0
2600.0,275.0,529.0,266.0,362.0
2700.0,275.0,529.0,266.0,359.0
2800.0,276.0,529.0,266.0,357.0
2900.0,276.0,530.0,265.0,353.0
3000.0,275.0,529.0,265.0,351.0
3100.0,276.0,530.0,265.0,350.0
3200.0,275.0,529.0,265.0,350.0
3300.0,275.0,530.0,264.0,349.0
3400.0,275.0,530.0,264.0,349.0
3500.0,275.0,530.0,264.0,351.0
3600.0,274.0,530.0,264.0,353.0
3700.0,275.0,529.0,264.0,353.0
3800.0,275.0,531.0,263.0,355.0
3900.0,274.0,530.0,264.0,356.0
4000.0,275.0,531.0,264.0,356.0
4100.0,274.0,531.0,265.0,357.0
4200.0,274.0,532.0,264.0,359.0
4300.0,274.0,532.0,264.0,360.0
4400.0,275.0,532.0,265.0,362.0
4500.0,275.0,532.0,265.0,364.0
4600.0,274.0,532.0,265.0,365.0
4700.0,274.0,532.0,265.0,365.0
4800.0,275.0,531.0,266.0,367.0
4900.0,274.0,531.0,266.0,368.0
5000.0,275.0,531.0,266.0,366.0
5100.0,275.0,531.0,266.0,365.0
5200.0,274.0,531.0,266.0,364.0
5300.0,275.0,530.0,265.0,360.0
5400.0,275.0,530.0,266.0,359.0
5500.0,275.0,530.0,265.0,356.0
5600.0,275.0,529.0,265.0,353.0
5700.0,275.0,528.0,265.0,351.0
5800.0,274.0,529.0,264.0,348.0
5900.0,275.0,527.0,264.0,346.0
6000.0,275.0,528.0,265.0,344.0
6100.0,274.0,528.0,264.0,342.0
6200.0,275.0,527.0,264.0,340.0
6300.0,274.0,527.0,263.0,337.0
6400.0,274.0,527.0,263.0,335.0
6500.0,274.0,526.0,264.0,333.0
6600.0,274.0,526.0,264.0,332.0
6700.0,274.0,526.0,264.0,330.0
6800.0,274.0,526.0,263.0,329.0
6900.0,273.0,526.0,263.0,329.0
7000.0,274.0,526.0,263.0,329.0
7100.0,274.0,525.0,263.0,328.0
7200.0,273.0,525.0,262.0,329.0
7300.0,273.0,525.0,264.0,327.0
7400.0,274.0,524.0,263.0,329.0
7500.0,274.0,524.0,264.0,330.0
7600.0,273.0,524.0,263.0,331.0
7700.0,273.0,525.0,264.0,333.0
7800.0,273.0,525.0,263.0,335.0
7900.0,273.0,525.0,264.0,337.0
8000.0,273.0,525.0,264.0,340.0
8100.0,274.0,525.0,264.0,341.0
8200.0,273.0,526.0,264.0,345.0
8300.0,273.0,526.0,264.0,346.0
8400.0,273.0,525.0,265.0,348.0
8500.0,273.0,525.0,265.0,350.0
8600.0,273.0,525.0,264.0,350.0
8700.0,273.0,524.0,265.0,349.0
8800.0,273.0,524.0,264.0,347.0
8900.0,273.0,524.0,264.0,346.0
9000.0,273.0,523.0,264.0,342.0
9100.0,273.0,522.0,263.0,341.0
9200.0,272.0,522.0,263.0,338.0
9300.0,273.0,522.0,262.0,335.0
9400.0,272.0,521.0,262.0,331.0
9500.0,273.0,521.0,262.0,328.0
9600.0,272.0,520.0,262.0,324.0
9700.0,273.0,520.0,262.0,320.0
9800.0,272.0,519.0,260.0,318.0
9900.0,272.0,519.0,260.0,315.0
10000.0,271.0,519.0,260.0,313.0
10100.0,272.0,518.0,260.0,310.0
10200.0,271.0,518.0,259.0,308.0
10300.0,272.0,517.0,258.0,306.0
10400.0,271.0,517.0,258.0,303.0
10500.0,272.0,516.0,259.0,302.0
10600.0,270.0,516.0,258.0,299.0
10700.0,270.0,516.0,258.0,297.0
10800.0,271.0,515.0,258.0,295.0
10900.0,271.0,515.0,257.0,293.0
11000.0,271.0,514.0,257.0,292.0
11100.0,271.0,514.0,257.0,291.0
11200.0,271.0,514.0,257.0,289.0
11300.0,270.0,513.0,257.0,287.0
11400.0,270.0,513.0,256.0,287.0
11500.0,270.0,513.0,256.0,285.0
11600.0,271.0,512.0,256.0,282.0
11700.0,270.0,513.0,255.0,281.0
11800.0,269.0,512.0,255.0,280.0
11900.0,269.0,511.0,253.0,279.0
12000.0,269.0,511.0,254.0,275.0
12100.0,270.0,510.0,254.0,276.0
12200.0,270.0,510.0,253.0,274.0
12300.0,269.0,510.0,252.0,272.0
12400.0,269.0,510.0,252.0,271.0
12500.0,269.0,509.0,253.0,270.0
12600.0,269.0,509.0,252.0,269.0
12700.0,269.0,509.0,252.0,267.0
12800.0,269.0,508.0,252.0,267.0
12900.0,268.0,508.0,251.0,265.0
13000.0,269.0,508.0,251.0,264.0
13100.0,269.0,507.0,251.0,262.0
13200.0,268.0,507.0,250.0,260.0
13300.0,268.0,507.0,251.0,260.0
13400.0,268.0,507.0,249.0,258.0
13500.0,268.0,507.0,250.0,258.0
13600.0,268.0,506.0,249.0,258.0
13700.0,268.0,506.0,249.0,257.0
13800.0,267.0,505.0,249.0,256.0
13900.0,267.0,505.0,249.0,255.0
14000.0,267.0,506.0,249.0,254.0
14100.0,267.0,504.0,248.0,252.0
14200.0,266.0,504.0,247.0,252.0
14300.0,267.0,504.0,248.0,252.0
14400.0,267.0,504.0,248.0,252.0
14500.0,266.0,503.0,246.0,251.0
14600.0,266.0,503.0,247.0,250.0
14700.0,266.0,502.0,246.0,251.0
14800.0,266.0,502.0,246.0,250.0
14900.0,265.0,503.0,246.0,248.0
15000.0,266.0,501.0,246.0,247.0
15100.0,265.0,501.0,245.0,247.0
15200.0,265.0,501.0,245.0,246.0
15300.0,265.0,501.0,245.0,246.0
15400.0,264.0,501.0,245.0,243.0
15500.0,265.0,500.0,245.0,244.0
15600.0,265.0,500.0,244.0,244.0
15700.0,265.0,499.0,244.0,243.0
15800.0,264.0,500.0,244.0,241.0
15900.0,264.0,499.0,243.0,242.0
16000.0,265.0,499.0,244.0,241.0
16100.0,264.0,499.0,244.0,242.0
16200.0,264.0,499.0,242.0,242.0
16300.0,264.0,499.0,243.0,241.0
16400.0,263.0,498.0,242.0,242.0
16500.0,264.0,498.0,243.0,242.0
16600.0,264.0,499.0,243.0,242.0
16700.0,263.0,498.0,243.0,242.0
16800.0,262.0,498.0,242.0,242.0
16900.0,263.0,498.0,242.0,242.0
17000.0,263.0,497.0,241.0,243.0
17100.0,263.0,497.0,242.0,243.0
17200.0,263.0,496.0,242.0,243.0
17300.0,262.0,497.0,241.0,243.0
17400.0,262.0,496.0,242.0,244.0
17500.0,263.0,495.0,240.0,243.0
17600.0,263.0,496.0,241.0,243.0
17700.0,262.0,495.0,241.0,243.0
17800.0,262.0,495.0,241.0,243.0
17900.0,262.0,495.0,240.0,242.0
