timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,270.2,494.8,239.5,261.9
100.0,277.9,532.8,258.8,340.3
200.0,264.4,491.4,238.4,238.0
300.0,275.8,533.8,262.4,390.6
400.0,292.4,558.0,282.8,436.4
500.0,288.3,549.9,276.6,393.8
600.0,267.8,508.9,257.5,369.5
700.0,279.0,527.1,260.5,348.7
800.0,265.8,494.4,244.0,273.1
900.0,273.4,518.5,266.6,334.0
1000.0,263.9,508.3,248.9,348.0
1100.0,266.5,544.8,259.0,445.8
1200.0,278.9,544.0,267.4,443.5
1300.0,285.8,556.7,276.4,395.8
1400.0,259.0,492.9,238.1,256.4
1500.0,278.7,513.9,258.7,333.7
1600.0,276.3,527.9,258.7,355.8
1700.0,264.7,495.8,240.9,238.0
1800.0,274.7,518.8,262.5,369.6
1900.0,269.1,500.6,245.0,255.7
2000.0,275.3,523.1,267.8,328.9
2100.0,262.6,492.2,236.2,255.3
2200.0,261.6,492.8,242.7,243.9
2300.0,293.0,547.9,283.0,382.9
2400.0,259.2,507.6,241.9,238.0
2500.0,270.1,536.3,261.6,457.5
2600.0,271.3,501.3,244.0,287.4
2700.0,293.0,549.1,283.0,391.9
2800.0,261.1,492.9,241.8,266.1
2900.0,267.0,507.5,241.4,251.3
3000.0,269.1,526.1,249.8,379.5
3100.0,284.3,542.8,273.2,396.0
3200.0,272.0,497.6,240.7,258.5
3300.0,265.7,491.0,242.7,273.0
3400.0,286.6,555.1,275.8,425.7
3500.0,274.3,511.2,260.5,330.5
3600.0,270.1,510.8,253.6,269.4
3700.0,277.4,507.6,253.2,303.4
3800.0,274.8,525.9,259.9,329.1
3900.0,276.1,523.9,255.7,326.9
4000.0,277.0,540.3,262.3,397.0
4100.0,266.6,527.3,262.8,430.3
4200.0,263.1,493.5,243.7,270.6
4300.0,278.2,514.4,260.8,338.4
4400.0,260.6,518.6,238.6,329.4
4500.0,268.1,522.1,265.8,327.1
4600.0,272.7,534.2,256.8,409.7
4700.0,270.4,519.5,249.3,298.0
4800.0,275.8,524.3,255.2,366.6
4900.0,274.0,522.2,263.5,381.6
5000.0,263.9,505.0,247.9,326.4
5100.0,281.1,530.1,267.6,376.6
5200.0,271.5,518.2,258.9,327.7
5300.0,264.4,491.0,238.0,260.9
5400.0,259.0,508.2,240.3,286.1
5500.0,261.6,501.0,245.7,326.2
5600.0,285.9,555.8,271.3,392.8
5700.0,273.2,529.6,255.0,358.1
5800.0,264.4,491.0,236.0,251.4
5900.0,259.0,506.0,242.6,284.4
6000.0,279.2,529.7,257.3,389.2
6100.0,270.0,510.9,243.4,247.4
6200.0,264.7,498.9,236.9,257.1
6300.0,268.6,518.9,251.7,301.6
6400.0,288.6,543.6,277.6,415.1
6500.0,265.6,504.6,237.6,285.0
6600.0,283.1,538.7,265.1,388.2
6700.0,266.9,497.8,247.3,264.9
6800.0,260.4,511.9,243.3,329.8
6900.0,270.2,515.1,260.3,309.3
7000.0,270.6,530.0,266.3,365.6
7100.0,264.7,491.9,238.8,266.3
7200.0,279.5,526.7,253.5,363.4
7300.0,288.2,548.3,273.9,382.8
7400.0,272.2,514.9,250.6,308.3
7500.0,260.2,493.9,243.3,271.4
7600.0,259.6,495.2,240.5,272.2
7700.0,260.2,491.0,236.0,259.0
7800.0,267.6,511.3,248.9,288.3
7900.0,282.7,545.8,279.4,451.1
8000.0,289.2,558.0,283.0,386.6
8100.0,275.7,521.9,262.0,335.0
8200.0,273.8,529.8,266.7,427.4
8300.0,272.1,524.7,252.5,358.8
8400.0,274.3,530.1,251.6,324.4
8500.0,280.4,511.3,258.0,336.0
8600.0,276.7,529.9,255.2,350.9
8700.0,260.6,495.3,238.7,290.8
8800.0,264.7,493.7,247.6,250.4
8900.0,259.0,497.6,243.0,245.0
9000.0,278.4,530.1,267.8,392.8
9100.0,264.5,495.0,241.7,246.6
9200.0,279.7,529.7,254.4,349.9
9300.0,287.7,558.0,283.0,390.4
9400.0,289.6,544.2,283.0,442.9
9500.0,278.1,517.1,257.0,315.4
9600.0,259.4,499.6,237.2,254.6
9700.0,266.1,496.3,242.7,318.4
9800.0,260.0,504.2,237.9,262.3
9900.0,267.1,515.7,246.3,337.1
10000.0,269.4,502.0,251.6,274.9
10100.0,282.4,545.1,283.0,460.0
10200.0,272.0,542.9,257.6,442.4
10300.0,270.1,491.0,242.8,240.5
10400.0,265.2,495.2,238.1,239.6
10500.0,276.3,525.1,261.5,371.8
10600.0,281.5,558.0,283.0,453.8
10700.0,279.5,539.2,270.9,383.0
10800.0,276.3,530.1,260.8,341.7
10900.0,271.8,532.6,252.0,335.2
11000.0,272.0,518.2,250.3,305.2
11100.0,263.4,506.8,245.9,330.9
11200.0,260.8,507.8,242.6,248.9
11300.0,284.6,554.7,283.0,453.8
11400.0,278.2,536.6,264.5,381.3
11500.0,277.8,510.9,256.4,340.8
11600.0,271.8,512.4,257.9,325.6
11700.0,274.3,522.7,263.1,382.0
11800.0,269.6,495.3,244.6,250.1
11900.0,273.7,521.2,260.7,340.4
12000.0,266.6,541.5,252.4,406.1
12100.0,259.0,491.0,236.0,251.2
12200.0,272.9,526.1,256.4,333.1
12300.0,277.7,540.3,267.3,387.1
12400.0,280.7,524.0,254.1,343.1
12500.0,264.6,525.9,248.8,353.8
12600.0,283.0,547.5,276.4,425.2
12700.0,274.0,545.2,261.1,443.2
12800.0,269.8,543.8,261.2,460.0
12900.0,271.9,530.2,263.8,451.6
13000.0,286.4,550.9,280.7,416.4
13100.0,271.4,517.6,252.8,411.6
13200.0,268.5,521.6,258.0,389.5
13300.0,292.4,548.3,283.0,388.1
13400.0,290.5,556.6,282.7,385.9
13500.0,272.2,517.7,260.8,358.3
13600.0,259.0,491.0,240.1,241.3
13700.0,278.9,527.8,250.5,316.9
13800.0,269.9,518.6,260.2,365.1
13900.0,260.9,508.8,243.0,325.8
14000.0,293.0,558.0,279.6,401.6
14100.0,274.0,505.6,247.4,301.6
14200.0,261.4,497.3,236.2,239.4
14300.0,269.9,530.4,253.2,330.1
14400.0,262.2,512.8,245.4,329.9
14500.0,283.5,547.5,279.8,448.5
14600.0,259.8,508.0,250.0,321.9
14700.0,277.4,528.6,269.0,378.6
14800.0,288.7,555.6,271.8,370.0
14900.0,260.8,511.7,250.7,351.7
15000.0,280.0,546.5,270.2,432.8
15100.0,262.4,497.7,240.1,279.0
15200.0,281.5,551.8,275.0,428.6
15300.0,270.9,518.8,250.4,314.0
15400.0,279.7,532.9,262.3,359.4
15500.0,273.2,515.4,252.8,301.0
15600.0,270.5,499.7,249.7,268.1
15700.0,277.4,528.4,254.0,349.8
15800.0,272.9,530.1,250.0,373.8
15900.0,263.0,497.8,236.0,252.9
16000.0,281.0,525.3,252.5,324.9
16100.0,269.3,519.3,257.0,359.8
16200.0,275.6,524.3,258.3,376.7
16300.0,275.8,532.3,260.3,348.3
16400.0,272.3,515.7,265.5,324.5
16500.0,293.0,558.0,279.0,433.8
16600.0,261.0,504.3,242.5,294.2
16700.0,285.8,545.3,276.5,394.6
16800.0,260.5,505.4,244.9,275.6
16900.0,274.0,523.6,264.3,365.2
17000.0,263.6,503.4,239.2,324.1
17100.0,269.3,519.6,252.6,366.7
17200.0,273.3,529.6,259.8,326.8
17300.0,273.3,518.3,256.2,316.0
17400.0,281.2,533.1,262.2,359.6
17500.0,261.9,507.1,251.4,254.1
17600.0,272.9,536.1,274.2,418.5
17700.0,267.6,502.6,244.5,289.4
17800.0,281.1,547.6,268.4,373.4
17900.0,264.8,499.5,240.7,318.2
18000.0,286.4,558.0,280.0,405.9
18100.0,266.2,503.8,247.6,287.7
18200.0,275.3,530.0,257.9,319.2
18300.0,265.3,504.8,245.3,247.5
18400.0,278.8,538.3,263.7,390.8
18500.0,268.3,510.3,256.1,303.3
18600.0,259.0,509.3,240.8,272.4
18700.0,270.1,520.5,252.3,341.1
18800.0,265.8,503.8,252.8,285.1
18900.0,287.5,554.1,283.0,387.5
19000.0,270.3,492.7,240.9,242.7
19100.0,267.7,514.0,249.3,272.9
19200.0,271.2,533.8,260.0,351.3
19300.0,268.6,524.5,260.1,402.2
19400.0,275.4,522.8,268.2,345.9
19500.0,267.9,504.1,249.1,289.8
19600.0,278.3,529.0,264.7,438.3
19700.0,261.7,520.1,250.1,402.4
19800.0,265.9,505.8,249.9,276.5
19900.0,267.8,515.0,257.2,302.8
20000.0,259.6,502.1,243.0,331.4
20100.0,272.5,519.7,261.4,382.9
20200.0,267.8,528.9,264.0,372.5
20300.0,277.7,533.4,259.8,398.8
20400.0,268.8,517.0,260.9,322.7
20500.0,265.7,491.0,240.8,242.3
20600.0,286.1,558.0,283.0,412.0
20700.0,275.0,518.8,262.3,369.9
20800.0,271.3,528.7,262.6,448.4
20900.0,270.1,541.2,270.5,366.4
21000.0,278.4,522.6,260.2,358.8
21100.0,273.7,531.2,267.6,370.1
21200.0,263.0,509.2,237.2,313.0
21300.0,269.6,526.0,250.1,326.3
21400.0,262.4,505.4,242.6,322.9
21500.0,280.7,543.4,262.9,387.1
21600.0,272.0,509.9,251.5,317.8
21700.0,282.5,539.7,266.3,393.5
21800.0,279.1,532.5,261.6,372.6
21900.0,277.6,525.4,255.5,341.2
