timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,301.9,563.9,290.8,400.9
100.0,294.9,543.4,282.4,330.7
200.0,298.0,562.8,281.5,361.7
300.0,307.2,554.6,285.4,392.6
400.0,291.2,548.7,291.0,407.3
500.0,295.4,544.2,270.1,305.3
600.0,292.5,542.5,279.3,352.4
700.0,301.4,596.0,291.9,460.3
800.0,292.3,567.7,286.8,434.5
900.0,292.0,541.8,290.7,354.7
1000.0,309.0,576.7,296.8,384.2
1100.0,291.2,536.9,286.8,384.4
1200.0,292.0,549.4,283.3,336.7
1300.0,290.3,552.4,273.0,327.1
1400.0,290.8,535.4,280.5,339.3
1500.0,309.0,554.1,277.4,322.8
1600.0,293.7,560.2,294.1,375.5
1700.0,293.9,541.1,291.0,406.0
1800.0,307.6,573.5,297.5,377.6
1900.0,294.0,540.2,271.8,345.7
2000.0,303.2,572.2,294.6,378.1
2100.0,293.2,552.4,283.1,348.3
2200.0,298.2,594.8,302.7,463.0
2300.0,292.5,566.2,299.2,427.8
2400.0,301.5,564.8,292.0,348.5
2500.0,290.0,543.3,277.0,333.3
2600.0,309.0,573.4,298.3,370.2
2700.0,301.4,588.5,305.7,455.0
2800.0,296.6,556.3,290.1,403.9
2900.0,296.5,576.9,286.7,388.1
3000.0,292.9,535.4,273.8,279.1
3100.0,292.5,537.8,277.9,326.3
3200.0,294.5,560.7,289.1,358.0
3300.0,299.3,574.0,285.4,391.5
3400.0,290.8,546.3,278.9,327.4
3500.0,299.3,579.6,290.2,449.7
3600.0,307.7,580.9,305.8,435.1
3700.0,295.8,585.1,280.9,397.5
3800.0,305.7,560.7,294.8,384.3
3900.0,292.9,571.5,293.7,437.5
4000.0,300.9,569.7,293.2,345.1
4100.0,290.3,550.5,285.5,379.9
4200.0,308.4,596.0,306.4,419.7
4300.0,300.2,565.5,296.4,386.9
4400.0,299.3,563.6,298.9,408.8
4500.0,303.6,569.1,279.5,383.1
4600.0,298.1,529.0,269.0,302.8
4700.0,292.1,552.1,282.5,320.1
4800.0,297.3,543.7,273.4,271.2
4900.0,302.1,569.5,288.9,407.8
5000.0,295.1,551.3,282.7,352.7
5100.0,301.5,552.1,276.8,291.7
5200.0,293.3,564.7,290.9,375.0
5300.0,300.2,569.0,283.6,448.0
5400.0,298.4,565.2,283.5,392.2
5500.0,296.9,532.2,272.2,323.3
5600.0,304.8,538.1,277.6,306.4
5700.0,290.0,544.4,281.6,341.8
5800.0,292.4,547.5,278.3,386.7
5900.0,290.0,550.4,284.4,347.5
6000.0,299.4,535.3,279.2,275.1
6100.0,297.6,534.4,269.6,281.1
6200.0,295.7,538.4,277.4,343.9
6300.0,302.8,564.9,286.6,368.6
6400.0,295.8,568.5,288.7,413.0
6500.0,305.9,567.4,289.3,344.2
6600.0,295.9,565.8,294.4,450.7
6700.0,292.7,540.3,285.3,358.9
6800.0,308.7,560.9,281.3,346.9
6900.0,290.0,537.6,276.5,313.1
7000.0,293.9,550.3,277.8,354.7
7100.0,292.2,570.5,296.7,441.1
7200.0,300.4,556.5,276.7,341.9
7300.0,290.0,541.9,281.1,360.2
7400.0,297.6,546.4,281.4,355.5
7500.0,300.5,546.6,286.3,434.7
7600.0,297.2,561.2,281.1,443.5
7700.0,302.4,562.3,279.2,329.8
7800.0,290.0,542.8,279.7,334.6
7900.0,295.6,533.2,280.0,327.8
8000.0,301.0,536.4,283.5,301.4
8100.0,291.3,556.5,281.8,318.5
8200.0,290.0,529.0,269.0,272.1
8300.0,291.8,533.0,276.7,326.9
8400.0,294.0,542.1,278.1,368.2
8500.0,295.8,549.9,284.9,381.7
8600.0,308.3,560.0,283.5,385.9
8700.0,295.6,555.5,284.6,343.7
8800.0,296.6,547.9,281.5,281.6
8900.0,301.9,596.0,300.3,442.5
9000.0,305.4,570.9,292.9,386.9
9100.0,302.0,593.3,298.5,400.1
9200.0,297.0,529.0,272.0,307.9
9300.0,292.4,552.4,280.9,316.1
9400.0,309.0,575.4,293.8,375.7
9500.0,302.2,558.2,298.5,384.6
9600.0,292.0,576.9,287.3,395.5
9700.0,290.0,535.7,282.3,372.6
9800.0,292.7,572.8,282.7,390.0
9900.0,295.4,555.3,286.1,353.2
10000.0,293.9,549.3,287.4,425.3
10100.0,293.3,558.4,279.0,390.1
10200.0,295.2,539.5,269.0,321.3
10300.0,296.3,576.8,300.3,423.5
10400.0,290.2,535.6,273.4,308.9
10500.0,309.0,578.1,300.3,393.0
10600.0,299.6,546.2,285.3,412.6
10700.0,290.5,558.1,298.4,425.2
10800.0,296.0,561.7,284.7,339.6
10900.0,290.0,552.9,285.1,395.6
11000.0,304.2,565.3,289.7,378.1
11100.0,294.1,590.6,293.6,444.8
11200.0,301.6,583.1,297.8,446.7
11300.0,297.8,536.6,282.1,276.7
11400.0,295.2,537.6,273.3,301.4
11500.0,292.0,547.2,278.9,354.4
11600.0,290.5,557.7,295.8,391.5
11700.0,297.2,544.6,284.3,284.4
11800.0,297.8,569.0,286.9,364.8
11900.0,306.6,552.7,285.0,312.9
12000.0,295.1,583.3,292.2,430.7
12100.0,290.0,543.9,277.7,341.8
12200.0,293.7,545.0,283.5,363.0
12300.0,300.6,563.0,288.1,385.8
12400.0,300.7,571.8,292.1,404.9
12500.0,309.0,564.0,289.7,362.2
12600.0,290.7,542.6,277.0,340.0
12700.0,296.8,554.4,279.9,321.3
12800.0,296.5,536.5,283.8,337.9
12900.0,303.0,565.7,281.4,396.0
13000.0,302.3,596.0,297.8,435.1
13100.0,295.8,535.9,273.6,334.9
13200.0,290.0,548.6,284.1,358.7
13300.0,298.2,548.7,282.8,329.5
13400.0,299.1,570.3,296.0,434.5
13500.0,304.0,551.6,276.9,313.8
13600.0,298.4,570.7,299.4,410.1
13700.0,298.6,540.8,282.7,362.4
13800.0,296.7,548.9,275.4,350.0
13900.0,306.5,555.6,276.1,327.4
14000.0,290.0,530.0,274.8,281.4
14100.0,305.0,553.7,293.0,366.3
14200.0,292.2,533.3,275.4,278.6
14300.0,298.5,537.6,285.6,386.3
14400.0,290.6,534.5,272.9,335.1
14500.0,296.2,542.9,273.8,352.2
14600.0,301.5,588.6,300.0,437.5
14700.0,306.8,590.5,301.2,439.5
14800.0,295.7,557.2,290.8,354.9
14900.0,302.1,563.1,291.3,380.8
15000.0,292.1,535.7,273.9,342.5
15100.0,295.8,552.7,290.1,384.6
15200.0,290.0,554.6,283.4,391.9
15300.0,298.0,535.4,271.5,324.3
15400.0,299.3,534.4,279.1,280.8
15500.0,290.0,537.3,279.8,366.2
15600.0,309.0,569.6,294.2,386.2
15700.0,294.1,529.2,280.2,270.0
15800.0,290.0,544.1,280.8,368.9
15900.0,303.5,555.2,277.5,329.2
16000.0,290.0,542.8,271.7,372.2
16100.0,304.8,551.1,274.1,281.0
16200.0,301.6,567.7,293.6,433.4
16300.0,304.7,529.2,269.8,276.9
16400.0,308.7,551.0,281.3,299.8
16500.0,294.1,549.0,276.7,279.5
16600.0,296.4,534.1,273.3,279.3
16700.0,298.3,569.9,294.4,443.8
16800.0,290.9,567.2,301.5,426.5
16900.0,299.2,550.5,273.3,316.1
17000.0,299.7,594.9,303.4,463.0
17100.0,300.0,547.3,279.5,320.2
17200.0,300.6,574.9,289.1,369.7
17300.0,306.8,560.2,297.8,385.2
17400.0,299.2,552.9,277.2,333.9
17500.0,295.1,574.8,290.5,409.2
17600.0,294.5,549.9,289.3,378.2
17700.0,303.7,584.5,304.4,397.6
17800.0,303.9,560.8,290.0,346.0
17900.0,309.0,596.0,297.2,392.5
18000.0,290.7,538.8,279.9,383.9
18100.0,290.0,557.7,292.4,438.6
18200.0,300.4,531.8,273.7,291.6
18300.0,297.2,539.9,281.0,338.4
18400.0,294.0,557.7,287.4,351.0
18500.0,296.0,543.6,283.1,282.3
18600.0,308.4,577.2,299.7,382.1
18700.0,290.0,551.2,279.4,376.2
18800.0,291.1,558.9,286.3,345.5
18900.0,295.0,542.3,282.3,318.3
19000.0,290.0,536.9,275.2,275.2
19100.0,297.7,531.3,273.8,273.6
19200.0,294.7,549.2,280.6,327.4
19300.0,290.4,538.5,277.6,347.0
19400.0,290.0,533.9,280.0,334.0
19500.0,307.3,561.9,292.7,375.2
19600.0,304.0,556.3,290.7,390.1
19700.0,309.0,568.0,281.5,347.4
19800.0,292.4,548.6,279.7,324.2
19900.0,295.1,561.2,282.3,410.3
20000.0,293.6,546.5,271.5,341.6
20100.0,298.7,580.0,298.5,456.0
20200.0,306.1,570.4,288.0,384.9
20300.0,297.4,551.9,285.2,375.1
20400.0,298.4,576.3,292.4,450.0
20500.0,295.6,551.9,289.3,387.5
20600.0,293.5,576.1,285.5,361.1
20700.0,291.0,544.1,285.4,352.0
20800.0,290.0,537.9,273.6,310.4
20900.0,303.1,561.5,287.1,358.5
21000.0,309.0,555.5,292.4,378.9
21100.0,294.4,548.4,293.3,424.7
21200.0,295.3,545.2,279.8,390.1
21300.0,297.6,551.4,280.5,320.2
21400.0,292.8,546.2,282.2,427.3
21500.0,306.5,574.9,297.2,379.6
21600.0,309.0,561.6,290.7,385.0
21700.0,305.8,566.3,291.6,353.4
21800.0,296.2,565.1,286.1,348.2
21900.0,304.7,554.8,291.3,349.7
22000.0,308.1,553.5,280.3,296.3
22100.0,293.4,565.6,298.1,407.8
22200.0,302.2,564.4,293.9,398.8
22300.0,294.1,547.8,274.7,345.7
22400.0,306.4,588.9,303.9,410.8
22500.0,293.8,543.6,277.6,272.9
22600.0,296.6,555.5,290.9,370.7
22700.0,305.6,560.9,282.4,345.0
22800.0,294.5,577.6,297.0,403.4
22900.0,300.6,566.5,291.8,396.2
23000.0,309.0,571.7,298.0,386.4
23100.0,299.4,559.7,279.2,313.2
23200.0,292.3,538.1,280.9,339.4
23300.0,296.6,550.8,288.9,416.7
23400.0,290.0,567.0,292.8,428.7
23500.0,308.4,596.0,307.0,420.0
23600.0,295.5,546.6,276.7,272.2
23700.0,309.0,564.3,287.0,373.7
23800.0,295.6,561.2,282.2,366.9
23900.0,306.7,550.8,286.6,340.3
24000.0,303.5,570.5,291.8,384.0
24100.0,298.7,547.5,276.5,356.8
24200.0,302.8,552.4,282.6,308.2
24300.0,296.2,551.8,278.3,343.5
24400.0,298.7,546.8,278.6,327.9
24500.0,301.8,579.0,297.6,385.4
24600.0,290.0,561.4,282.9,420.0
24700.0,298.6,551.8,287.9,353.4
24800.0,290.6,536.6,284.9,367.0
24900.0,308.9,570.5,293.0,371.0
25000.0,291.7,560.5,292.0,422.2
25100.0,292.4,544.1,278.0,321.1
25200.0,291.1,536.8,272.1,344.2
25300.0,301.8,546.5,275.3,309.1
25400.0,300.7,554.3,277.7,339.5
25500.0,290.0,539.5,282.5,358.4
25600.0,303.8,596.0,307.0,427.1
25700.0,298.8,552.6,284.3,394.4
25800.0,309.0,573.5,280.5,376.5
25900.0,294.4,555.0,281.0,368.1
26000.0,300.8,543.7,274.6,327.2
26100.0,303.4,565.1,285.1,354.4
26200.0,301.9,596.0,303.6,432.2
26300.0,309.0,574.1,293.7,374.3
26400.0,292.8,543.2,280.9,389.4
26500.0,309.0,569.3,290.7,385.7
26600.0,299.2,550.1,283.8,346.9
26700.0,293.0,548.0,285.1,316.7
26800.0,296.5,555.2,288.3,357.7
26900.0,293.7,570.6,288.7,391.1
27000.0,297.4,536.4,277.9,281.5
27100.0,296.2,544.0,284.9,350.4
27200.0,301.0,530.6,269.8,273.3
27300.0,300.6,541.9,280.9,333.3
27400.0,296.0,551.9,274.1,278.5
27500.0,295.9,555.3,286.1,391.6
27600.0,302.7,565.2,291.0,385.7
27700.0,298.8,544.7,283.0,322.9
27800.0,296.0,570.9,295.3,402.3
27900.0,299.9,557.8,285.4,311.8
28000.0,309.0,584.8,301.0,421.9
28100.0,290.0,554.5,287.8,439.0
28200.0,290.1,546.6,281.9,362.2
28300.0,298.4,557.1,287.5,414.7
28400.0,302.7,569.5,286.3,332.2
28500.0,293.0,561.0,287.7,374.0
28600.0,302.2,562.0,296.6,386.1
28700.0,299.9,551.3,281.2,299.8
28800.0,299.8,571.3,291.5,435.5
