timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,750.0,877.0,804.0,832.3
100.0,754.0,877.0,808.0,823.0
200.0,754.0,875.0,808.0,835.4
300.0,754.0,876.1,804.0,837.0
400.0,750.0,877.0,808.0,821.0
500.0,754.0,877.0,808.0,834.7
600.0,750.0,877.0,808.0,821.0
700.0,754.0,876.7,804.0,823.3
800.0,754.0,877.0,804.0,837.0
900.0,750.0,877.0,808.0,826.5
1000.0,751.7,877.0,804.0,837.0
1100.0,750.0,877.0,806.4,834.1
1200.0,753.6,875.0,808.0,821.0
1300.0,754.0,875.0,804.0,833.2
1400.0,750.0,877.0,804.0,837.0
1500.0,750.0,877.0,805.6,837.0
1600.0,754.0,877.0,804.0,821.0
1700.0,754.0,875.0,804.0,837.0
1800.0,754.0,875.0,804.0,837.0
1900.0,754.0,875.0,804.7,832.7
2000.0,750.0,875.5,808.0,827.4
2100.0,750.8,877.0,808.0,837.0
2200.0,750.0,877.0,808.0,828.0
2300.0,754.0,877.0,808.0,821.8
2400.0,750.0,877.0,808.0,821.0
2500.0,754.0,875.0,808.0,834.5
2600.0,754.0,875.0,804.2,830.2
2700.0,750.0,877.0,808.0,824.5
2800.0,750.0,877.0,804.0,837.0
2900.0,750.0,877.0,808.0,821.0
3000.0,751.3,875.0,808.0,835.7
3100.0,753.6,875.0,804.0,830.5
3200.0,750.0,875.0,808.0,831.1
3300.0,750.0,877.0,808.0,821.0
3400.0,754.0,877.0,808.0,821.2
3500.0,750.0,875.0,804.0,830.6
3600.0,750.0,877.0,804.0,821.0
3700.0,750.0,877.0,808.0,821.0
3800.0,753.5,875.0,804.0,821.0
3900.0,750.0,875.0,808.0,826.5
4000.0,750.0,877.0,804.0,837.0
4100.0,751.4,875.0,804.0,827.7
4200.0,754.0,877.0,808.0,837.0
4300.0,754.0,877.0,808.0,821.0
4400.0,750.0,877.0,808.0,821.0
4500.0,754.0,877.0,804.1,829.0
4600.0,750.0,877.0,808.0,824.2
4700.0,754.0,875.0,804.0,822.0
4800.0,750.0,877.0,804.0,830.1
4900.0,754.0,877.0,806.6,835.4
5000.0,750.0,877.0,804.0,826.9
5100.0,750.0,875.0,804.0,837.0
5200.0,750.0,875.0,808.0,837.0
5300.0,754.0,875.0,808.0,837.0
5400.0,754.0,875.0,804.0,828.1
5500.0,750.0,875.0,804.0,833.8
5600.0,750.0,875.0,808.0,830.9
5700.0,754.0,875.0,804.0,821.0
5800.0,750.0,877.0,804.0,837.0
5900.0,754.0,875.0,804.0,821.0
6000.0,754.0,877.0,808.0,823.4
6100.0,750.0,877.0,808.0,823.3
6200.0,754.0,875.0,808.0,837.0
6300.0,754.0,877.0,804.0,836.9
6400.0,750.8,875.0,804.0,824.2
6500.0,750.0,877.0,808.0,821.0
6600.0,754.0,875.0,808.0,833.9
6700.0,750.0,875.0,804.0,837.0
6800.0,754.0,877.0,804.0,837.0
6900.0,751.2,877.0,804.0,837.0
7000.0,753.8,877.0,808.0,821.0
7100.0,750.0,877.0,804.0,821.0
7200.0,754.0,877.0,804.0,825.6
7300.0,750.0,875.0,804.0,821.0
7400.0,750.3,877.0,808.0,837.0
7500.0,750.0,875.0,804.0,829.7
7600.0,750.0,875.0,804.0,822.5
7700.0,754.0,877.0,804.0,831.2
7800.0,750.0,875.0,804.0,836.2
7900.0,754.0,877.0,808.0,836.3
8000.0,750.0,875.0,808.0,837.0
8100.0,754.0,875.0,808.0,837.0
8200.0,754.0,877.0,806.2,837.0
8300.0,750.0,877.0,804.0,826.5
8400.0,754.0,875.0,808.0,837.0
8500.0,754.0,877.0,808.0,821.0
8600.0,754.0,877.0,804.0,821.0
8700.0,754.0,875.0,804.0,829.3
8800.0,750.0,875.0,804.0,836.9
8900.0,754.0,876.7,804.0,821.4
9000.0,754.0,875.0,808.0,830.2
9100.0,750.0,877.0,804.0,831.1
9200.0,754.0,875.0,804.0,821.0
9300.0,754.0,877.0,808.0,832.9
9400.0,752.1,875.0,804.0,837.0
9500.0,750.0,875.0,804.0,827.1
9600.0,754.0,877.0,808.0,822.0
9700.0,754.0,875.0,805.0,837.0
9800.0,754.0,877.0,808.0,833.7
9900.0,754.0,875.0,804.0,837.0
10000.0,754.0,877.0,808.0,825.6
10100.0,750.0,875.0,808.0,835.5
10200.0,754.0,875.0,808.0,833.0
10300.0,750.0,877.0,804.0,837.0
10400.0,750.0,877.0,805.8,829.3
