timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,513.7,742.5,479.2,339.3
100.0,561.4,764.3,543.6,496.9
200.0,586.0,791.3,565.6,373.7
300.0,568.1,779.4,543.9,440.8
400.0,584.5,792.2,563.3,444.0
500.0,555.6,770.6,532.1,508.6
600.0,529.8,754.2,505.7,398.0
700.0,579.3,810.3,566.9,458.3
800.0,525.8,742.0,490.5,362.0
900.0,530.3,725.7,495.1,391.8
1000.0,576.8,805.9,540.2,413.3
1100.0,598.2,812.0,573.1,440.8
1200.0,590.0,795.3,573.4,367.0
1300.0,538.6,761.5,505.1,391.4
1400.0,511.5,735.0,472.0,341.7
1500.0,579.4,812.0,554.9,486.1
1600.0,574.6,789.0,543.2,403.7
1700.0,525.3,756.8,497.6,404.0
1800.0,591.5,812.0,575.1,407.7
1900.0,582.9,799.3,558.7,428.5
2000.0,600.0,791.9,558.9,375.1
2100.0,597.5,794.2,582.0,428.4
2200.0,596.5,812.0,571.5,454.6
2300.0,575.2,807.2,551.1,430.8
2400.0,579.7,787.8,531.3,400.8
2500.0,587.3,812.0,576.7,418.6
2600.0,564.0,777.7,533.1,416.5
2700.0,529.2,743.5,479.3,336.7
2800.0,600.0,797.1,563.4,386.4
2900.0,596.0,802.0,566.0,393.9
3000.0,580.8,809.1,562.9,415.6
3100.0,600.0,801.5,582.0,430.5
3200.0,578.3,803.0,540.9,434.1
3300.0,600.0,812.0,569.6,447.7
3400.0,515.9,723.0,481.9,376.6
3500.0,588.1,812.0,582.0,407.8
3600.0,583.5,790.1,569.9,435.8
3700.0,584.8,812.0,556.5,439.7
3800.0,526.5,733.2,472.0,344.9
3900.0,591.8,812.0,569.6,435.0
4000.0,536.3,755.2,509.0,434.8
4100.0,510.9,723.0,482.5,339.1
4200.0,599.8,808.2,573.4,470.8
4300.0,574.5,811.1,574.4,504.5
4400.0,582.4,812.0,566.5,490.6
4500.0,600.0,812.0,581.1,426.0
4600.0,561.0,789.4,526.8,500.1
4700.0,512.4,740.1,485.4,359.8
4800.0,559.7,769.1,533.2,502.3
4900.0,600.0,810.6,559.0,423.5
5000.0,533.4,725.9,479.7,378.8
5100.0,588.0,805.3,571.1,445.6
5200.0,540.4,760.7,496.2,394.1
5300.0,588.1,805.2,575.9,406.4
5400.0,545.1,744.7,507.8,415.7
5500.0,600.0,811.4,576.3,414.5
5600.0,563.1,774.0,548.0,410.7
5700.0,522.7,744.5,485.0,398.2
5800.0,579.0,788.5,547.0,434.5
5900.0,597.2,797.5,562.3,383.8
6000.0,598.2,810.8,568.0,429.8
6100.0,513.6,730.0,484.1,327.0
6200.0,596.0,812.0,570.8,425.7
6300.0,511.4,723.0,481.1,327.0
6400.0,536.3,750.9,500.9,379.5
6500.0,543.3,763.1,528.9,492.1
6600.0,600.0,805.8,582.0,426.5
6700.0,543.4,781.4,514.9,493.5
6800.0,598.2,794.8,582.0,411.0
