timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,606.8,802.0,593.4,425.8
100.0,603.8,816.0,587.3,431.2
200.0,596.6,816.0,594.0,423.4
300.0,603.7,816.0,594.0,392.4
400.0,610.0,807.7,590.5,396.8
500.0,606.7,805.1,579.8,384.9
600.0,602.3,815.7,580.4,415.5
700.0,610.0,802.0,594.0,439.8
800.0,607.9,810.7,582.3,424.3
900.0,608.5,802.6,583.3,438.7
1000.0,610.0,803.0,581.9,401.6
1100.0,595.0,814.4,582.0,430.9
1200.0,595.0,816.0,588.9,414.2
1300.0,604.8,802.0,585.6,448.9
1400.0,596.1,802.0,588.1,391.2
1500.0,602.1,802.0,594.0,398.8
1600.0,610.0,815.1,589.7,398.7
1700.0,610.0,815.9,588.7,425.4
1800.0,610.0,816.0,589.2,409.9
1900.0,599.5,804.5,581.5,403.5
2000.0,597.4,802.0,577.0,385.6
2100.0,595.0,810.9,577.0,437.7
2200.0,610.0,803.2,579.7,409.8
2300.0,597.6,816.0,587.5,438.1
2400.0,610.0,816.0,585.7,421.1
2500.0,607.8,802.0,581.3,424.8
2600.0,610.0,816.0,588.2,477.2
2700.0,605.2,802.0,579.7,418.0
2800.0,610.0,807.4,579.8,381.4
2900.0,598.5,802.0,586.2,474.9
3000.0,608.5,804.7,579.8,460.2
3100.0,595.0,810.7,585.4,431.9
3200.0,595.0,811.3,587.5,432.6
3300.0,605.5,804.9,593.8,433.3
3400.0,609.6,810.4,581.9,385.3
3500.0,604.5,816.0,577.0,408.2
3600.0,610.0,802.0,581.4,376.7
3700.0,598.7,802.0,579.4,395.4
3800.0,605.1,815.9,581.5,399.4
3900.0,604.8,816.0,589.4,375.5
4000.0,595.0,802.0,577.0,429.0
4100.0,599.7,802.0,583.8,380.9
4200.0,610.0,802.0,577.0,386.4
4300.0,606.8,802.0,586.0,497.0
4400.0,610.0,816.0,592.7,409.2
4500.0,610.0,802.0,590.4,386.1
4600.0,605.8,802.0,594.0,372.5
4700.0,610.0,802.0,580.1,421.5
4800.0,595.4,816.0,593.9,447.8
4900.0,610.0,816.0,594.0,411.0
5000.0,602.5,811.5,584.1,424.7
5100.0,607.9,808.5,577.0,381.0
5200.0,610.0,816.0,587.6,414.1
5300.0,600.8,816.0,589.0,426.1
5400.0,605.9,806.4,586.8,488.4
5500.0,610.0,802.0,591.0,398.5
5600.0,604.1,816.0,594.0,450.4
5700.0,601.1,816.0,594.0,417.9
5800.0,610.0,816.0,578.1,413.4
5900.0,609.9,802.0,580.0,408.7
6000.0,610.0,816.0,579.4,394.7
6100.0,600.2,808.0,594.0,411.1
6200.0,597.8,802.0,578.8,431.5
6300.0,607.8,816.0,594.0,407.3
6400.0,600.3,816.0,594.0,424.2
6500.0,604.4,802.0,589.6,382.0
6600.0,610.0,802.0,585.0,406.8
6700.0,603.0,815.1,577.0,386.0
