timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,595.0,798.6,579.5,375.2
100.0,597.6,797.5,578.6,446.9
200.0,601.7,794.6,571.3,383.1
300.0,606.9,792.7,593.0,393.6
400.0,595.0,792.9,572.0,347.1
500.0,606.3,806.6,573.9,451.4
600.0,602.9,800.3,575.8,403.9
700.0,607.0,812.4,578.9,434.6
800.0,607.0,799.6,571.0,356.8
900.0,595.0,792.0,574.2,338.9
1000.0,606.9,799.1,572.1,451.1
1100.0,600.3,804.8,581.9,394.9
1200.0,607.0,817.0,584.3,401.2
1300.0,604.6,809.5,590.1,450.2
1400.0,595.0,792.0,590.5,423.1
1500.0,597.0,808.9,576.7,398.1
1600.0,607.0,804.5,577.5,402.5
1700.0,595.0,796.1,583.0,387.1
1800.0,595.0,792.0,574.4,347.8
1900.0,607.0,798.9,571.0,363.2
2000.0,595.0,803.8,591.2,442.2
2100.0,599.0,792.0,580.3,326.0
2200.0,607.0,800.2,591.9,372.1
2300.0,596.9,795.5,592.3,396.6
2400.0,607.0,817.0,593.0,401.0
2500.0,599.3,801.9,577.0,364.2
2600.0,605.4,816.2,583.4,421.9
2700.0,607.0,796.5,571.0,358.6
2800.0,595.0,816.2,580.0,443.4
2900.0,607.0,802.5,593.0,452.2
3000.0,601.1,805.2,581.5,410.2
3100.0,595.0,810.4,591.4,443.9
3200.0,607.0,807.0,580.6,405.7
3300.0,603.3,792.0,575.5,365.1
3400.0,599.0,810.3,575.8,361.0
3500.0,607.0,814.5,574.6,390.8
3600.0,595.0,812.9,589.4,424.5
3700.0,595.0,807.2,582.3,469.9
3800.0,597.4,792.0,571.0,342.7
3900.0,607.0,801.3,580.8,434.0
4000.0,603.0,807.2,581.0,432.4
4100.0,607.0,808.6,593.0,453.4
4200.0,604.4,810.8,579.1,412.2
4300.0,607.0,801.2,584.3,336.3
4400.0,607.0,808.4,571.0,357.5
4500.0,601.7,797.6,577.5,404.8
4600.0,607.0,792.0,585.5,369.6
4700.0,595.7,813.2,581.3,433.3
4800.0,605.7,815.7,592.1,373.7
4900.0,607.0,809.9,589.1,435.7
5000.0,600.6,813.4,575.0,329.9
5100.0,605.7,802.5,585.8,378.6
5200.0,603.0,801.5,585.5,408.5
5300.0,607.0,814.4,581.5,409.3
