timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,462.0,736.0,455.0,337.3
100.0,550.4,813.4,507.7,475.1
200.0,548.9,807.9,519.4,482.2
300.0,479.1,739.9,463.4,390.0
400.0,470.0,764.7,466.7,376.8
500.0,503.1,760.0,508.6,422.2
600.0,457.8,742.7,466.5,319.5
700.0,551.6,810.3,543.6,530.1
800.0,514.6,778.0,502.5,404.9
900.0,535.0,756.5,548.9,456.9
1000.0,531.8,781.2,515.0,411.4
1100.0,564.4,798.8,515.7,466.4
1200.0,557.2,775.4,555.2,471.4
1300.0,538.5,762.1,518.7,419.8
1400.0,533.9,774.5,557.3,541.2
1500.0,462.9,745.7,464.4,351.9
1600.0,480.7,775.7,470.6,306.6
1700.0,528.4,766.1,540.2,509.3
1800.0,588.1,816.5,535.1,586.0
1900.0,527.8,787.3,503.3,399.4
2000.0,550.5,780.8,537.2,479.9
2100.0,564.7,804.9,520.5,485.5
2200.0,555.8,795.6,511.6,547.4
2300.0,473.9,751.4,459.3,388.9
2400.0,526.1,760.7,514.8,416.1
2500.0,552.1,820.7,529.0,514.9
2600.0,546.7,819.7,509.3,493.0
2700.0,558.6,814.6,513.4,504.0
2800.0,513.0,756.8,506.1,385.8
2900.0,555.2,807.9,521.3,506.6
3000.0,542.4,826.0,527.0,536.8
3100.0,510.3,755.1,515.9,398.7
3200.0,468.1,749.3,454.6,337.5
3300.0,522.7,766.4,500.6,393.2
3400.0,516.3,792.9,497.4,530.4
3500.0,522.2,771.8,494.6,375.5
3600.0,537.6,778.5,518.9,413.8
3700.0,463.9,745.0,458.1,343.2
3800.0,523.6,799.0,516.7,405.4
3900.0,555.0,806.1,499.8,446.5
4000.0,550.1,820.8,524.2,507.0
4100.0,563.1,774.3,554.9,483.4
4200.0,571.5,781.1,510.3,553.5
4300.0,497.9,751.5,510.5,392.9
4400.0,551.4,776.5,527.7,454.8
4500.0,526.9,776.0,539.7,435.6
4600.0,557.9,759.4,539.1,478.0
4700.0,577.6,792.6,524.7,486.1
4800.0,476.4,739.1,463.8,378.4
4900.0,508.2,750.2,507.7,377.9
5000.0,553.3,826.0,524.2,497.0
5100.0,537.9,770.9,550.8,491.8
5200.0,514.0,753.4,507.1,408.7
5300.0,506.7,779.1,512.9,464.0
5400.0,524.6,767.0,513.4,445.7
5500.0,550.4,783.0,507.0,441.7
5600.0,457.0,752.8,470.5,321.3
5700.0,555.2,771.4,514.7,536.9
5800.0,540.4,826.0,536.6,528.4
5900.0,520.8,745.3,505.5,370.6
6000.0,555.4,785.0,526.6,484.4
6100.0,511.6,776.0,497.5,443.4
6200.0,581.2,810.1,537.4,576.9
6300.0,483.9,750.1,474.2,363.4
6400.0,507.8,777.1,509.3,414.8
