timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,456.0,750.0,453.0,332.0
100.0,457.0,750.0,453.0,331.0
200.0,456.0,749.0,453.0,329.0
300.0,455.0,749.0,453.0,327.0
400.0,454.0,749.0,452.0,326.0
500.0,454.0,750.0,452.0,326.0
600.0,453.0,749.0,450.0,325.0
700.0,452.0,749.0,451.0,324.0
800.0,451.0,750.0,450.0,326.0
900.0,450.0,749.0,451.0,328.0
1000.0,451.0,750.0,451.0,330.0
1100.0,451.0,751.0,450.0,336.0
1200.0,451.0,751.0,450.0,338.0
1300.0,451.0,751.0,451.0,342.0
1400.0,452.0,751.0,451.0,347.0
1500.0,452.0,752.0,452.0,350.0
1600.0,453.0,752.0,452.0,354.0
1700.0,454.0,752.0,453.0,358.0
1800.0,455.0,752.0,454.0,361.0
1900.0,456.0,752.0,453.0,359.0
2000.0,456.0,753.0,455.0,362.0
2100.0,457.0,754.0,454.0,363.0
2200.0,457.0,754.0,455.0,365.0
2300.0,459.0,755.0,455.0,368.0
2400.0,459.0,756.0,456.0,371.0
2500.0,460.0,758.0,457.0,376.0
2600.0,461.0,758.0,457.0,379.0
2700.0,461.0,760.0,457.0,384.0
2800.0,462.0,760.0,459.0,389.0
2900.0,464.0,762.0,459.0,394.0
3000.0,464.0,764.0,460.0,399.0
3100.0,466.0,765.0,462.0,404.0
3200.0,467.0,766.0,462.0,408.0
3300.0,469.0,766.0,464.0,415.0
3400.0,470.0,767.0,464.0,419.0
3500.0,472.0,768.0,466.0,421.0
3600.0,472.0,768.0,467.0,424.0
3700.0,473.0,768.0,467.0,427.0
3800.0,475.0,769.0,467.0,427.0
3900.0,477.0,769.0,470.0,427.0
4000.0,478.0,770.0,470.0,428.0
4100.0,478.0,770.0,471.0,427.0
4200.0,479.0,770.0,471.0,424.0
4300.0,480.0,769.0,471.0,425.0
4400.0,481.0,770.0,471.0,423.0
4500.0,482.0,768.0,473.0,421.0
4600.0,483.0,769.0,472.0,417.0
4700.0,483.0,768.0,473.0,416.0
4800.0,483.0,768.0,473.0,413.0
4900.0,483.0,768.0,472.0,411.0
5000.0,483.0,767.0,472.0,409.0
5100.0,484.0,767.0,472.0,407.0
5200.0,484.0,768.0,473.0,405.0
5300.0,483.0,767.0,473.0,404.0
5400.0,484.0,767.0,473.0,403.0
5500.0,485.0,767.0,474.0,402.0
5600.0,486.0,766.0,473.0,402.0
5700.0,486.0,767.0,474.0,402.0
5800.0,487.0,766.0,474.0,400.0
5900.0,487.0,767.0,474.0,401.0
6000.0,487.0,767.0,474.0,403.0
6100.0,488.0,766.0,474.0,401.0
6200.0,488.0,766.0,473.0,400.0
6300.0,488.0,766.0,474.0,401.0
6400.0,489.0,765.0,473.0,401.0
6500.0,489.0,766.0,475.0,401.0
6600.0,488.0,764.0,473.0,401.0
6700.0,489.0,765.0,474.0,400.0
6800.0,489.0,765.0,474.0,399.0
6900.0,489.0,764.0,474.0,398.0
7000.0,489.0,764.0,474.0,396.0
7100.0,489.0,763.0,474.0,396.0
7200.0,489.0,763.0,473.0,394.0
7300.0,488.0,762.0,473.0,391.0
7400.0,488.0,762.0,472.0,389.0
7500.0,488.0,762.0,473.0,386.0
7600.0,487.0,762.0,471.0,384.0
7700.0,487.0,760.0,472.0,381.0
7800.0,487.0,760.0,470.0,380.0
7900.0,486.0,760.0,470.0,377.0
8000.0,485.0,760.0,470.0,377.0
8100.0,484.0,760.0,470.0,374.0
8200.0,483.0,759.0,470.0,375.0
8300.0,482.0,759.0,470.0,376.0
8400.0,482.0,759.0,470.0,376.0
8500.0,481.0,760.0,469.0,378.0
8600.0,481.0,760.0,469.0,378.0
8700.0,480.0,760.0,468.0,380.0
8800.0,479.0,760.0,469.0,381.0
8900.0,479.0,760.0,469.0,384.0
9000.0,478.0,760.0,469.0,385.0
9100.0,478.0,760.0,469.0,389.0
9200.0,478.0,760.0,468.0,389.0
9300.0,478.0,762.0,468.0,394.0
9400.0,477.0,762.0,469.0,398.0
9500.0,478.0,764.0,470.0,401.0
9600.0,478.0,764.0,469.0,405.0
9700.0,478.0,765.0,470.0,406.0
9800.0,480.0,766.0,470.0,411.0
9900.0,482.0,767.0,472.0,413.0
10000.0,483.0,768.0,472.0,416.0
10100.0,485.0,769.0,474.0,418.0
10200.0,486.0,770.0,474.0,420.0
10300.0,487.0,770.0,476.0,423.0
10400.0,490.0,771.0,477.0,425.0
10500.0,492.0,773.0,477.0,427.0
10600.0,492.0,774.0,478.0,429.0
10700.0,495.0,774.0,479.0,433.0
10800.0,497.0,775.0,480.0,435.0
10900.0,498.0,777.0,481.0,438.0
11000.0,500.0,778.0,482.0,439.0
11100.0,501.0,778.0,483.0,442.0
11200.0,503.0,779.0,483.0,445.0
11300.0,504.0,779.0,485.0,446.0
11400.0,506.0,781.0,486.0,447.0
11500.0,508.0,780.0,486.0,448.0
11600.0,509.0,781.0,487.0,450.0
11700.0,510.0,782.0,488.0,449.0
11800.0,510.0,781.0,489.0,450.0
11900.0,512.0,783.0,490.0,450.0
12000.0,514.0,783.0,490.0,449.0
12100.0,515.0,782.0,490.0,448.0
12200.0,515.0,783.0,491.0,449.0
12300.0,516.0,783.0,491.0,447.0
12400.0,517.0,783.0,491.0,445.0
12500.0,518.0,782.0,492.0,444.0
12600.0,519.0,782.0,491.0,443.0
12700.0,518.0,782.0,491.0,442.0
12800.0,518.0,782.0,491.0,442.0
12900.0,519.0,781.0,491.0,438.0
13000.0,519.0,780.0,491.0,439.0
13100.0,519.0,780.0,490.0,436.0
13200.0,519.0,780.0,491.0,434.0
13300.0,518.0,779.0,490.0,431.0
13400.0,517.0,778.0,490.0,428.0
13500.0,518.0,777.0,490.0,427.0
13600.0,517.0,777.0,489.0,423.0
13700.0,516.0,776.0,488.0,421.0
13800.0,516.0,776.0,488.0,417.0
13900.0,515.0,775.0,488.0,415.0
14000.0,514.0,774.0,486.0,410.0
14100.0,513.0,774.0,486.0,407.0
14200.0,512.0,773.0,486.0,405.0
14300.0,511.0,772.0,485.0,403.0
14400.0,509.0,772.0,484.0,399.0
14500.0,508.0,771.0,483.0,397.0
14600.0,508.0,770.0,484.0,393.0
14700.0,506.0,770.0,483.0,392.0
14800.0,505.0,770.0,481.0,388.0
14900.0,504.0,769.0,481.0,387.0
15000.0,502.0,769.0,480.0,385.0
15100.0,502.0,767.0,480.0,382.0
15200.0,500.0,767.0,479.0,381.0
15300.0,500.0,767.0,479.0,379.0
15400.0,498.0,767.0,478.0,377.0
15500.0,497.0,766.0,478.0,375.0
15600.0,496.0,765.0,477.0,372.0
15700.0,495.0,765.0,476.0,371.0
15800.0,492.0,765.0,476.0,371.0
15900.0,492.0,764.0,475.0,370.0
16000.0,492.0,763.0,476.0,368.0
16100.0,490.0,763.0,474.0,366.0
16200.0,489.0,763.0,474.0,364.0
16300.0,488.0,762.0,474.0,362.0
16400.0,486.0,761.0,473.0,361.0
16500.0,485.0,760.0,473.0,358.0
16600.0,484.0,760.0,472.0,356.0
16700.0,484.0,760.0,472.0,353.0
16800.0,483.0,759.0,472.0,353.0
16900.0,481.0,759.0,470.0,351.0
17000.0,480.0,758.0,470.0,350.0
17100.0,479.0,758.0,470.0,351.0
17200.0,478.0,757.0,471.0,351.0
17300.0,477.0,756.0,470.0,352.0
17400.0,476.0,757.0,470.0,351.0
17500.0,475.0,756.0,469.0,353.0
17600.0,474.0,756.0,469.0,353.0
17700.0,473.0,756.0,469.0,355.0
17800.0,472.0,755.0,470.0,354.0
17900.0,472.0,754.0,469.0,355.0
18000.0,471.0,753.0,469.0,355.0
18100.0,471.0,753.0,470.0,354.0
18200.0,470.0,753.0,470.0,353.0
18300.0,469.0,752.0,470.0,353.0
18400.0,468.0,752.0,469.0,351.0
18500.0,467.0,752.0,468.0,350.0
18600.0,466.0,751.0,468.0,348.0
18700.0,466.0,751.0,468.0,347.0
18800.0,464.0,750.0,467.0,345.0
18900.0,464.0,750.0,467.0,343.0
19000.0,463.0,750.0,467.0,341.0
19100.0,462.0,749.0,465.0,341.0
19200.0,461.0,749.0,465.0,339.0
19300.0,459.0,748.0,465.0,339.0
19400.0,459.0,748.0,465.0,338.0
19500.0,458.0,749.0,464.0,337.0
19600.0,458.0,748.0,463.0,336.0
19700.0,457.0,747.0,463.0,336.0
19800.0,457.0,747.0,462.0,335.0
19900.0,456.0,747.0,462.0,335.0
20000.0,456.0,747.0,462.0,335.0
20100.0,455.0,746.0,462.0,333.0
20200.0,454.0,747.0,461.0,332.0
20300.0,454.0,746.0,460.0,331.0
20400.0,454.0,746.0,460.0,330.0
20500.0,453.0,746.0,459.0,331.0
20600.0,453.0,746.0,459.0,330.0
20700.0,453.0,745.0,458.0,331.0
20800.0,452.0,746.0,459.0,330.0
20900.0,453.0,745.0,459.0,331.0
21000.0,453.0,746.0,458.0,333.0
21100.0,453.0,745.0,458.0,332.0
21200.0,454.0,746.0,459.0,333.0
21300.0,454.0,746.0,458.0,335.0
21400.0,453.0,747.0,459.0,338.0
21500.0,454.0,746.0,458.0,339.0
21600.0,454.0,748.0,459.0,344.0
21700.0,454.0,747.0,460.0,347.0
21800.0,455.0,748.0,460.0,351.0
21900.0,456.0,748.0,460.0,355.0
22000.0,456.0,749.0,461.0,361.0
22100.0,458.0,751.0,462.0,365.0
22200.0,459.0,751.0,463.0,370.0
22300.0,461.0,751.0,464.0,375.0
22400.0,463.0,752.0,465.0,380.0
22500.0,464.0,753.0,466.0,383.0
22600.0,466.0,753.0,467.0,389.0
22700.0,467.0,754.0,467.0,393.0
22800.0,468.0,754.0,469.0,397.0
22900.0,470.0,755.0,470.0,400.0
23000.0,471.0,755.0,472.0,402.0
23100.0,473.0,756.0,472.0,405.0
23200.0,475.0,755.0,473.0,407.0
23300.0,476.0,756.0,475.0,410.0
23400.0,477.0,755.0,476.0,412.0
23500.0,479.0,755.0,475.0,412.0
23600.0,479.0,756.0,477.0,415.0
23700.0,480.0,755.0,478.0,417.0
23800.0,480.0,756.0,478.0,418.0
23900.0,481.0,756.0,478.0,420.0
24000.0,481.0,756.0,480.0,421.0
24100.0,482.0,755.0,480.0,421.0
24200.0,482.0,755.0,480.0,421.0
24300.0,482.0,754.0,480.0,420.0
24400.0,482.0,753.0,481.0,421.0
24500.0,482.0,753.0,480.0,420.0
24600.0,482.0,753.0,480.0,419.0
24700.0,483.0,752.0,480.0,417.0
24800.0,482.0,752.0,480.0,415.0
24900.0,482.0,753.0,478.0,412.0
25000.0,482.0,751.0,479.0,410.0
25100.0,481.0,751.0,478.0,407.0
25200.0,481.0,751.0,478.0,404.0
25300.0,481.0,750.0,478.0,402.0
25400.0,480.0,750.0,478.0,399.0
25500.0,479.0,750.0,476.0,395.0
25600.0,479.0,749.0,476.0,392.0
25700.0,478.0,750.0,475.0,388.0
25800.0,477.0,749.0,475.0,387.0
25900.0,477.0,749.0,474.0,384.0
26000.0,477.0,748.0,474.0,381.0
26100.0,476.0,748.0,472.0,379.0
26200.0,474.0,748.0,473.0,378.0
26300.0,474.0,748.0,471.0,377.0
26400.0,473.0,747.0,471.0,376.0
26500.0,472.0,748.0,471.0,376.0
26600.0,471.0,748.0,469.0,376.0
26700.0,471.0,747.0,469.0,377.0
26800.0,469.0,747.0,470.0,379.0
26900.0,468.0,747.0,468.0,381.0
27000.0,468.0,746.0,469.0,384.0
27100.0,468.0,746.0,468.0,386.0
27200.0,466.0,747.0,467.0,387.0
27300.0,465.0,746.0,468.0,388.0
27400.0,464.0,747.0,468.0,391.0
27500.0,465.0,746.0,467.0,393.0
27600.0,465.0,746.0,468.0,394.0
27700.0,464.0,746.0,468.0,395.0
27800.0,464.0,746.0,467.0,396.0
27900.0,463.0,746.0,466.0,396.0
28000.0,462.0,746.0,466.0,396.0
28100.0,463.0,746.0,465.0,394.0
28200.0,462.0,745.0,466.0,394.0
