timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,476.2,760.6,482.7,430.0
100.0,457.0,746.5,470.7,410.6
200.0,414.5,713.8,419.0,325.9
300.0,458.0,746.5,458.3,373.7
400.0,443.7,725.6,432.5,393.2
500.0,416.0,701.9,419.8,311.9
600.0,428.5,717.4,435.3,291.1
700.0,441.2,728.4,427.0,401.8
800.0,466.1,733.0,439.7,364.0
900.0,451.5,723.4,436.7,353.7
1000.0,494.6,748.1,463.2,433.4
1100.0,449.2,732.3,425.5,370.0
1200.0,478.1,743.4,483.6,412.7
1300.0,435.6,709.3,452.3,330.2
1400.0,462.3,771.9,454.3,484.0
1500.0,435.9,730.4,429.4,365.8
1600.0,487.6,760.2,489.0,414.1
1700.0,446.9,761.7,432.6,460.3
1800.0,440.2,733.6,424.8,314.5
1900.0,493.6,775.5,461.3,453.7
2000.0,409.0,701.4,437.9,336.7
2100.0,478.5,758.5,479.2,430.7
2200.0,489.5,754.0,465.4,420.9
2300.0,467.1,738.5,446.2,389.5
2400.0,464.1,746.4,477.9,418.5
2500.0,430.1,732.3,426.2,371.6
2600.0,481.5,754.7,466.1,392.9
2700.0,509.5,777.1,481.9,397.0
2800.0,486.0,757.9,480.1,422.8
2900.0,452.8,750.2,453.2,322.7
3000.0,429.4,735.4,450.4,322.0
3100.0,442.6,726.2,422.1,351.7
3200.0,426.9,718.6,445.8,355.6
3300.0,487.5,768.5,474.2,383.9
3400.0,430.8,703.0,421.2,331.0
3500.0,427.7,735.3,448.7,324.4
3600.0,441.5,725.6,437.6,409.5
3700.0,455.2,736.2,441.3,351.5
3800.0,484.6,751.4,463.8,416.2
3900.0,499.6,775.8,459.6,459.9
4000.0,451.5,746.3,439.1,475.9
4100.0,463.2,731.5,469.7,397.6
4200.0,489.0,745.7,478.4,423.8
4300.0,478.1,736.2,477.7,390.0
4400.0,432.7,725.5,441.9,353.7
4500.0,489.6,766.4,469.6,464.5
4600.0,447.0,724.3,470.8,361.3
4700.0,457.4,760.8,458.4,358.4
4800.0,517.1,783.0,492.0,441.3
4900.0,421.4,717.3,433.2,349.2
5000.0,457.1,754.6,435.6,456.6
5100.0,410.8,704.7,419.0,305.5
5200.0,465.2,742.5,459.6,396.7
5300.0,472.6,747.6,448.0,466.5
5400.0,456.8,741.8,434.2,444.9
5500.0,442.6,723.2,445.3,358.9
5600.0,443.2,719.4,425.9,370.5
5700.0,476.7,751.6,472.1,422.0
5800.0,416.4,732.2,419.0,317.6
5900.0,492.4,765.7,471.5,379.5
6000.0,451.9,740.6,434.1,447.2
6100.0,480.7,747.4,483.4,422.1
6200.0,432.7,710.6,440.4,340.7
6300.0,464.3,748.1,468.6,358.2
6400.0,492.0,781.8,474.1,395.9
6500.0,487.9,769.5,461.8,377.1
6600.0,456.6,737.7,456.9,390.1
6700.0,487.2,766.4,463.7,488.0
6800.0,467.6,776.4,453.1,473.3
6900.0,495.6,751.5,473.0,445.6
7000.0,430.5,722.9,452.0,327.4
7100.0,447.0,736.0,456.3,337.4
7200.0,435.3,731.3,431.3,406.6
7300.0,442.5,735.6,424.6,304.4
7400.0,432.1,727.5,432.5,376.1
7500.0,458.2,735.2,463.0,380.1
7600.0,475.6,749.3,460.1,361.2
7700.0,451.3,730.3,431.1,367.6
7800.0,441.7,717.4,427.9,376.6
7900.0,428.4,732.5,435.1,301.3
8000.0,478.5,761.2,482.0,377.3
8100.0,482.2,761.8,466.6,395.5
8200.0,499.2,764.1,465.5,465.4
8300.0,472.4,758.7,482.7,422.1
8400.0,453.2,736.9,452.4,338.5
8500.0,440.5,726.6,438.0,370.7
8600.0,494.9,756.0,479.3,427.3
8700.0,479.0,773.9,479.1,397.7
8800.0,438.5,742.0,426.5,374.4
8900.0,459.0,744.4,468.3,345.3
9000.0,467.1,736.4,451.2,373.9
9100.0,409.2,699.2,429.6,305.9
9200.0,445.0,750.6,433.3,442.4
9300.0,434.9,741.9,419.0,365.2
9400.0,492.7,767.0,461.1,446.6
9500.0,444.5,758.7,447.2,340.3
9600.0,443.1,728.8,426.2,369.7
9700.0,438.3,725.0,437.5,370.6
9800.0,435.1,720.5,425.3,301.8
9900.0,458.6,760.2,461.5,334.4
10000.0,475.5,756.5,472.8,397.4
10100.0,468.1,741.7,478.9,383.3
10200.0,501.7,762.5,470.0,430.6
10300.0,444.5,721.8,425.4,361.6
10400.0,409.0,710.6,424.4,286.1
10500.0,415.9,708.2,430.7,286.1
10600.0,465.0,761.3,470.4,418.1
10700.0,454.8,731.7,426.1,365.2
10800.0,467.5,767.4,466.5,433.6
10900.0,508.2,776.8,486.2,441.0
11000.0,458.1,755.0,452.5,462.9
11100.0,477.9,780.7,468.4,418.6
11200.0,422.3,720.6,429.6,290.2
11300.0,440.1,740.4,453.9,339.4
11400.0,425.4,740.3,440.2,360.2
11500.0,508.6,760.6,486.9,419.5
11600.0,487.6,768.5,485.6,372.4
11700.0,444.4,740.9,432.8,365.4
11800.0,481.8,756.8,451.3,399.1
11900.0,420.6,714.1,452.4,341.0
12000.0,466.3,750.3,458.3,366.9
12100.0,410.9,706.4,426.0,329.4
12200.0,444.9,730.2,431.8,378.8
12300.0,477.3,748.8,471.3,356.6
12400.0,419.8,700.7,423.7,287.7
12500.0,409.0,700.2,425.0,290.0
12600.0,496.7,783.0,473.9,440.4
12700.0,421.4,717.9,428.9,289.6
12800.0,421.4,707.7,434.1,313.1
12900.0,442.2,718.9,423.3,312.5
13000.0,409.0,705.8,432.3,324.5
13100.0,445.2,736.5,444.4,319.0
13200.0,412.0,725.1,419.0,302.2
13300.0,493.3,763.8,470.4,371.8
13400.0,411.2,718.6,437.2,336.9
13500.0,465.4,748.7,462.8,389.9
13600.0,460.7,763.4,437.3,463.4
13700.0,488.3,757.7,455.0,409.3
13800.0,473.9,761.2,486.2,418.5
13900.0,456.7,746.3,442.2,333.8
14000.0,415.3,727.1,436.5,315.5
14100.0,488.2,774.1,459.3,478.1
