timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,439.5,769.0,427.6,424.2
100.0,437.7,749.3,450.2,365.7
200.0,436.0,750.4,434.2,373.2
300.0,464.3,767.7,443.2,458.6
400.0,420.2,714.0,426.6,340.5
500.0,454.8,746.2,446.4,381.1
600.0,421.2,717.6,437.8,399.8
700.0,452.9,763.6,438.3,355.0
800.0,428.5,714.1,423.9,334.3
900.0,417.5,756.1,420.1,377.7
1000.0,441.5,719.6,437.8,351.2
1100.0,444.8,748.1,428.1,382.9
1200.0,459.2,768.6,450.1,463.0
1300.0,466.2,756.7,451.5,441.9
1400.0,454.0,742.2,447.3,468.0
1500.0,442.4,761.1,422.1,419.5
1600.0,432.8,735.1,431.9,411.5
1700.0,443.8,715.7,444.5,432.5
1800.0,449.7,742.8,440.8,431.8
1900.0,423.0,718.6,435.9,377.9
2000.0,475.0,763.5,440.4,450.7
2100.0,434.3,737.8,434.4,437.2
2200.0,421.2,714.0,421.6,378.4
2300.0,440.5,744.0,430.5,372.1
2400.0,467.8,756.5,442.2,408.2
2500.0,427.9,742.3,439.2,358.8
2600.0,471.4,749.9,439.8,385.3
2700.0,426.0,758.6,427.2,376.0
2800.0,445.7,735.7,435.7,390.3
2900.0,439.4,732.4,438.1,343.2
3000.0,463.5,769.0,455.0,428.8
3100.0,475.0,769.0,446.4,390.6
3200.0,442.7,744.0,445.8,424.2
3300.0,448.4,735.0,442.4,378.4
3400.0,447.7,769.0,439.4,448.3
3500.0,431.5,714.0,438.6,398.2
3600.0,450.4,745.1,433.5,375.0
3700.0,466.6,769.0,442.5,450.4
3800.0,459.4,749.3,447.5,468.0
3900.0,462.9,769.0,449.2,451.2
4000.0,415.5,735.8,437.1,374.9
4100.0,432.6,740.7,439.9,434.7
4200.0,414.9,721.3,430.6,360.7
4300.0,445.1,721.4,444.5,360.0
4400.0,445.4,739.4,432.8,353.6
4500.0,475.0,765.0,439.3,395.0
4600.0,436.0,746.0,451.6,382.9
4700.0,422.8,722.0,425.2,339.6
4800.0,455.7,768.0,447.8,457.5
4900.0,435.4,725.6,445.2,367.7
5000.0,438.8,728.2,450.4,378.6
5100.0,449.8,726.4,443.1,389.5
5200.0,440.6,764.7,425.7,418.9
5300.0,438.2,732.5,445.9,410.9
5400.0,425.1,721.0,437.0,414.6
5500.0,449.3,747.5,444.7,446.9
5600.0,431.9,727.4,435.9,395.8
5700.0,423.0,722.8,431.2,347.5
5800.0,424.0,729.3,426.1,372.4
5900.0,443.5,769.0,421.6,429.8
6000.0,431.3,747.0,420.0,392.9
6100.0,435.4,722.5,436.3,388.6
6200.0,437.7,719.8,442.4,339.0
6300.0,447.6,769.0,421.6,422.8
6400.0,424.1,728.9,447.6,433.8
6500.0,444.3,728.7,431.6,384.5
6600.0,444.0,728.3,432.9,359.3
6700.0,413.7,714.0,425.7,389.3
6800.0,456.0,742.3,448.9,398.3
6900.0,422.5,725.3,432.4,367.1
7000.0,437.9,733.6,435.0,417.1
7100.0,423.5,733.9,433.0,407.7
