timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,473.6,673.1,526.6,619.0
100.0,436.3,616.3,422.8,570.8
200.0,485.6,683.4,534.0,635.1
300.0,474.6,684.8,526.8,632.2
400.0,444.1,634.1,474.6,593.6
500.0,483.5,686.0,530.4,644.7
600.0,469.7,660.5,495.9,617.8
700.0,392.7,486.8,333.4,588.3
800.0,489.0,699.5,545.8,647.0
900.0,461.3,649.3,493.3,616.0
1000.0,485.3,675.4,526.9,638.3
1100.0,436.3,585.4,419.6,571.6
1200.0,410.8,542.2,371.2,556.4
1300.0,484.0,685.3,523.8,640.4
1400.0,458.1,668.4,493.8,608.3
1500.0,473.9,678.4,510.0,618.0
1600.0,436.7,589.9,413.5,577.6
1700.0,412.4,536.3,371.6,563.2
1800.0,489.0,700.9,561.0,647.0
1900.0,449.3,624.0,464.8,599.5
2000.0,463.6,650.4,499.9,606.4
2100.0,403.0,533.9,367.1,545.3
2200.0,480.2,686.9,531.7,643.8
2300.0,450.3,598.8,430.4,586.5
2400.0,454.6,641.0,491.5,604.9
2500.0,478.5,702.2,542.3,643.0
2600.0,454.7,636.2,486.8,615.0
2700.0,485.9,684.2,537.1,635.0
2800.0,442.7,610.5,434.9,591.8
2900.0,485.1,674.2,541.2,635.2
3000.0,428.5,573.7,397.0,573.2
3100.0,472.3,688.4,514.0,626.7
3200.0,483.7,691.8,543.1,638.4
3300.0,431.8,602.2,420.8,575.4
3400.0,403.3,523.3,362.3,555.3
3500.0,471.3,662.4,499.7,626.9
3600.0,441.7,618.4,440.6,589.0
3700.0,457.0,644.4,480.8,609.6
3800.0,484.9,697.2,532.0,646.4
3900.0,458.1,648.3,469.4,598.3
4000.0,489.0,694.5,556.5,643.8
4100.0,475.6,693.9,539.7,635.3
4200.0,388.2,475.4,325.6,589.8
4300.0,474.7,661.1,495.1,631.4
4400.0,396.8,510.5,351.4,577.1
4500.0,484.3,693.7,554.6,647.0
4600.0,445.0,621.6,447.3,590.3
4700.0,428.2,557.8,389.7,572.0
4800.0,477.2,679.0,543.1,637.1
4900.0,447.0,613.6,432.1,580.5
5000.0,457.8,659.3,484.3,606.6
5100.0,472.0,677.5,530.3,633.5
5200.0,387.4,463.5,313.7,571.7
5300.0,435.2,598.8,422.0,565.0
5400.0,463.4,664.8,483.1,611.4
5500.0,397.8,486.6,330.9,583.4
5600.0,489.0,706.0,557.3,647.0
5700.0,444.8,597.1,430.3,588.5
5800.0,475.6,675.3,515.5,631.8
5900.0,457.8,662.7,487.2,609.6
6000.0,383.7,470.1,312.8,578.5
6100.0,458.2,661.0,498.4,600.9
6200.0,477.7,706.0,539.5,642.4
6300.0,384.0,463.2,322.0,574.0
6400.0,416.7,564.0,388.3,572.1
6500.0,457.6,645.5,492.1,603.9
6600.0,486.6,705.4,561.0,636.2
6700.0,475.9,693.3,555.4,640.3
6800.0,483.6,688.7,537.2,637.8
6900.0,489.0,692.8,561.0,647.0
7000.0,456.5,642.6,469.5,599.2
7100.0,443.4,600.0,433.3,574.7
