timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,502.4,746.0,620.5,672.5
100.0,507.0,734.0,609.4,680.0
200.0,507.0,726.0,604.2,680.0
300.0,498.0,746.0,605.6,677.7
400.0,507.0,746.0,628.0,670.6
500.0,506.1,727.5,605.1,674.9
600.0,507.0,728.8,627.0,662.0
700.0,498.0,726.0,594.9,666.7
800.0,507.0,726.0,614.1,680.0
900.0,500.0,726.0,598.0,673.1
1000.0,506.6,738.4,615.7,666.8
1100.0,503.7,732.9,614.5,662.0
1200.0,507.0,742.5,611.5,662.3
1300.0,498.0,729.3,623.4,678.0
1400.0,507.0,734.1,625.9,663.6
1500.0,501.6,726.0,599.3,676.6
1600.0,498.0,746.0,614.1,664.7
1700.0,498.0,740.1,593.0,676.0
1800.0,507.0,746.0,620.3,670.5
1900.0,507.0,738.8,598.5,674.3
2000.0,507.0,727.8,620.0,680.0
2100.0,507.0,728.5,603.2,662.0
2200.0,507.0,730.9,616.9,675.9
2300.0,498.0,726.0,594.2,662.0
2400.0,506.6,746.0,628.0,680.0
2500.0,500.1,741.2,628.0,673.3
2600.0,499.7,728.4,598.4,664.7
2700.0,505.9,746.0,614.7,662.0
2800.0,504.6,737.7,593.0,677.4
2900.0,507.0,739.0,604.1,680.0
3000.0,505.0,746.0,627.1,678.8
3100.0,505.0,733.0,605.4,663.6
3200.0,505.5,740.1,626.0,678.4
3300.0,507.0,746.0,620.7,672.1
3400.0,506.6,741.9,600.7,671.5
3500.0,498.0,730.2,604.3,662.0
3600.0,507.0,733.5,614.4,672.2
3700.0,504.6,735.9,616.7,668.7
3800.0,507.0,741.1,623.8,664.2
3900.0,498.0,735.3,628.0,680.0
4000.0,499.4,744.0,621.9,665.3
4100.0,507.0,742.1,618.4,679.0
4200.0,498.0,740.6,609.1,662.0
4300.0,506.6,738.2,623.5,673.8
4400.0,503.7,746.0,628.0,671.1
4500.0,507.0,738.2,619.8,678.2
4600.0,498.0,726.2,604.5,680.0
4700.0,506.7,737.2,625.0,666.8
4800.0,507.0,733.2,596.2,664.8
4900.0,507.0,726.8,619.8,671.0
5000.0,505.8,746.0,615.7,680.0
5100.0,498.0,726.0,593.0,662.0
5200.0,498.1,744.3,617.3,667.3
5300.0,505.0,736.8,593.0,674.8
5400.0,507.0,743.3,628.0,672.9
5500.0,507.0,732.7,626.1,674.1
5600.0,500.5,743.9,627.9,677.4
5700.0,507.0,746.0,628.0,670.2
5800.0,505.8,746.0,611.1,680.0
5900.0,498.0,739.1,613.3,673.4
6000.0,507.0,736.5,618.9,680.0
6100.0,507.0,743.7,620.1,680.0
6200.0,507.0,738.8,628.0,663.4
6300.0,500.4,738.2,593.0,668.4
6400.0,507.0,746.0,614.2,676.6
6500.0,506.9,746.0,622.4,671.0
6600.0,504.5,731.8,628.0,680.0
6700.0,498.0,742.1,600.9,663.6
6800.0,502.1,735.2,615.3,673.6
6900.0,507.0,746.0,628.0,673.5
7000.0,498.0,742.4,628.0,665.7
7100.0,503.9,728.6,625.5,670.1
7200.0,499.3,736.4,617.3,673.9
7300.0,498.0,744.2,597.4,667.8
7400.0,498.7,746.0,617.9,680.0
7500.0,501.6,746.0,628.0,677.2
7600.0,499.9,734.2,616.7,679.6
7700.0,507.0,726.0,598.3,665.2
7800.0,498.0,738.9,615.8,680.0
7900.0,498.0,726.0,618.1,666.1
8000.0,507.0,743.1,614.9,680.0
8100.0,498.0,726.8,615.6,665.4
8200.0,507.0,746.0,624.2,680.0
8300.0,502.0,741.7,603.8,670.6
8400.0,498.0,746.0,622.3,676.8
8500.0,499.4,732.9,615.4,675.2
8600.0,507.0,732.9,609.4,672.7
8700.0,499.0,743.3,597.3,664.1
8800.0,502.6,741.9,621.3,680.0
8900.0,503.0,738.3,625.0,672.0
9000.0,498.9,733.7,620.3,680.0
9100.0,498.0,746.0,613.5,680.0
9200.0,507.0,739.8,601.0,676.9
9300.0,502.8,742.4,605.9,669.9
9400.0,507.0,726.0,600.3,662.0
9500.0,507.0,746.0,617.8,680.0
9600.0,507.0,735.0,621.6,663.6
9700.0,507.0,735.7,619.8,664.1
9800.0,499.7,726.0,593.0,676.7
9900.0,499.5,746.0,628.0,680.0
10000.0,507.0,746.0,628.0,666.9
10100.0,507.0,735.4,627.8,675.4
10200.0,507.0,734.5,607.1,670.9
10300.0,506.2,746.0,617.3,667.8
10400.0,506.1,729.3,598.3,662.5
10500.0,507.0,740.8,609.9,680.0
10600.0,499.3,730.7,598.3,668.3
10700.0,502.9,746.0,621.5,672.1
10800.0,499.4,744.3,628.0,680.0
10900.0,507.0,735.7,607.9,680.0
11000.0,498.6,745.6,600.8,680.0
11100.0,507.0,730.9,628.0,668.8
11200.0,507.0,727.0,612.5,672.4
11300.0,507.0,746.0,614.9,669.0
11400.0,498.0,733.6,596.7,662.0
11500.0,500.6,726.0,606.1,662.9
11600.0,498.0,726.0,598.3,673.1
11700.0,498.0,726.0,597.8,662.0
11800.0,498.0,726.0,595.4,662.0
11900.0,498.0,729.3,628.0,680.0
12000.0,499.2,737.0,624.4,671.1
12100.0,498.0,726.0,607.5,662.0
12200.0,507.0,746.0,628.0,666.7
12300.0,507.0,742.7,600.3,662.0
12400.0,498.0,728.7,610.1,680.0
12500.0,507.0,732.1,628.0,665.3
12600.0,503.1,730.8,594.3,673.5
12700.0,507.0,741.6,617.6,668.5
12800.0,507.0,745.0,622.9,680.0
12900.0,507.0,746.0,618.5,666.6
13000.0,498.0,746.0,628.0,680.0
13100.0,504.6,726.4,593.8,662.0
13200.0,503.0,732.2,607.8,662.0
13300.0,507.0,730.9,611.5,676.0
13400.0,507.0,745.8,611.2,662.0
13500.0,507.0,746.0,628.0,679.5
13600.0,500.4,738.5,613.6,662.4
13700.0,507.0,740.5,628.0,680.0
13800.0,498.0,737.7,601.0,666.6
13900.0,507.0,745.4,619.0,680.0
14000.0,506.1,737.8,624.7,680.0
14100.0,507.0,745.7,614.7,672.7
14200.0,499.7,746.0,616.9,662.0
14300.0,507.0,729.5,628.0,676.4
14400.0,507.0,726.0,603.8,673.3
14500.0,503.3,738.1,610.0,672.6
14600.0,502.5,726.0,608.9,680.0
14700.0,499.2,746.0,625.1,680.0
14800.0,507.0,746.0,613.3,675.8
14900.0,507.0,740.7,613.3,680.0
15000.0,498.0,730.7,594.0,674.6
15100.0,498.0,735.9,603.8,678.1
15200.0,507.0,740.8,628.0,666.8
15300.0,507.0,743.8,610.6,669.2
15400.0,499.8,734.0,595.7,662.0
15500.0,506.1,726.0,598.4,662.0
15600.0,503.3,734.2,624.8,662.0
15700.0,507.0,738.4,621.2,672.4
15800.0,507.0,746.0,628.0,670.0
15900.0,502.8,746.0,628.0,664.2
16000.0,498.0,730.9,612.1,665.0
16100.0,498.0,745.7,613.9,673.0
16200.0,507.0,729.1,628.0,678.2
16300.0,505.9,746.0,628.0,670.9
16400.0,507.0,737.2,599.9,662.6
16500.0,505.5,732.5,607.9,680.0
16600.0,498.7,737.7,604.9,671.4
16700.0,505.3,746.0,612.8,679.5
16800.0,502.6,746.0,622.8,680.0
16900.0,498.0,740.7,593.0,662.0
17000.0,498.2,740.7,599.4,672.6
17100.0,507.0,726.0,605.5,662.7
17200.0,498.0,743.7,616.1,670.2
17300.0,507.0,732.8,628.0,663.6
17400.0,507.0,746.0,616.6,664.1
17500.0,507.0,746.0,610.1,667.5
17600.0,505.5,726.0,606.9,669.9
17700.0,504.0,743.8,613.3,677.5
17800.0,507.0,746.0,605.5,674.6
17900.0,499.4,742.5,616.3,666.1
18000.0,498.6,738.3,628.0,678.1
18100.0,500.6,746.0,628.0,677.7
18200.0,502.9,732.9,610.5,680.0
18300.0,498.0,729.4,619.7,680.0
18400.0,500.4,738.3,621.1,680.0
18500.0,498.0,746.0,623.0,679.8
18600.0,502.4,731.8,628.0,680.0
18700.0,505.3,742.5,615.4,678.3
18800.0,498.0,740.9,625.2,664.9
18900.0,507.0,732.9,616.3,669.9
19000.0,503.6,746.0,603.6,670.4
19100.0,500.8,742.3,610.8,680.0
19200.0,507.0,744.9,625.2,680.0
19300.0,505.7,726.0,607.8,673.9
19400.0,500.4,746.0,603.6,680.0
19500.0,498.2,740.0,614.5,664.4
19600.0,507.0,743.6,618.3,675.8
19700.0,501.0,739.7,628.0,678.0
19800.0,498.3,737.0,613.5,678.2
19900.0,507.0,735.4,604.5,677.4
20000.0,506.1,746.0,614.0,680.0
20100.0,507.0,732.6,624.5,674.0
20200.0,504.3,732.5,611.5,678.8
20300.0,507.0,745.7,617.7,667.4
20400.0,500.7,736.8,626.9,680.0
20500.0,499.2,746.0,628.0,680.0
20600.0,500.0,746.0,628.0,674.8
20700.0,498.0,735.9,593.0,668.7
20800.0,504.7,726.4,594.9,680.0
20900.0,505.6,740.9,611.5,663.3
21000.0,507.0,739.0,627.2,669.2
21100.0,502.2,726.0,605.5,662.0
21200.0,507.0,730.3,626.2,680.0
21300.0,498.0,728.3,602.7,673.3
21400.0,507.0,734.9,628.0,664.5
21500.0,499.6,739.2,617.2,677.0
21600.0,504.7,726.0,603.7,662.0
21700.0,503.9,746.0,618.9,680.0
21800.0,505.4,746.0,628.0,680.0
21900.0,498.0,744.5,609.4,675.8
22000.0,504.0,726.0,601.5,664.0
22100.0,507.0,729.5,617.2,671.0
22200.0,498.0,742.3,608.6,676.6
22300.0,507.0,746.0,616.1,680.0
22400.0,504.9,730.5,608.7,670.0
22500.0,503.7,740.2,622.8,674.0
22600.0,498.0,746.0,606.1,680.0
22700.0,503.0,746.0,626.2,671.6
22800.0,507.0,744.5,628.0,663.6
22900.0,498.0,733.1,628.0,680.0
23000.0,505.9,746.0,616.6,662.0
23100.0,498.0,730.7,605.7,680.0
23200.0,506.7,743.1,609.0,666.7
23300.0,507.0,726.0,609.3,662.0
23400.0,498.0,737.6,613.7,672.7
23500.0,507.0,732.9,621.0,680.0
23600.0,498.0,729.3,628.0,670.3
23700.0,507.0,746.0,625.3,672.9
23800.0,507.0,746.0,628.0,677.7
23900.0,507.0,742.0,625.1,669.3
24000.0,506.3,739.0,605.8,680.0
24100.0,501.5,729.3,610.4,664.5
24200.0,501.7,746.0,619.8,665.5
24300.0,499.6,746.0,610.4,680.0
24400.0,507.0,746.0,621.7,669.7
24500.0,501.8,731.8,619.7,676.5
24600.0,504.4,739.2,615.7,662.5
24700.0,498.5,740.6,612.6,680.0
24800.0,505.5,733.1,594.9,673.5
24900.0,498.0,734.2,628.0,680.0
25000.0,505.6,726.0,598.5,662.2
25100.0,498.0,746.0,606.4,666.7
25200.0,502.6,729.1,628.0,662.0
25300.0,498.0,732.9,603.1,677.2
25400.0,504.5,732.6,622.6,670.0
25500.0,507.0,728.0,616.1,680.0
25600.0,503.1,739.6,602.7,680.0
25700.0,507.0,726.0,622.7,672.9
25800.0,499.7,737.5,602.9,662.0
25900.0,507.0,742.3,619.3,664.6
26000.0,502.3,728.0,611.0,669.1
26100.0,507.0,746.0,616.1,677.2
26200.0,504.5,746.0,619.0,662.0
26300.0,507.0,743.7,612.5,680.0
26400.0,504.7,733.7,602.5,675.0
26500.0,506.3,738.5,612.9,680.0
26600.0,503.3,742.7,619.4,667.5
26700.0,498.0,737.1,625.2,680.0
26800.0,498.0,726.0,605.2,671.1
26900.0,499.2,728.3,608.5,662.0
27000.0,499.9,743.8,617.0,680.0
27100.0,505.0,741.9,628.0,670.7
27200.0,498.0,732.0,598.5,677.3
27300.0,507.0,744.0,617.0,680.0
27400.0,498.0,731.3,612.2,669.1
27500.0,498.0,739.4,621.7,680.0
27600.0,498.0,734.5,613.2,679.0
27700.0,502.8,732.8,606.8,680.0
27800.0,498.0,726.0,593.0,665.5
27900.0,503.5,737.8,621.0,677.8
28000.0,507.0,737.3,612.4,680.0
28100.0,507.0,746.0,611.9,680.0
28200.0,498.0,726.0,593.0,671.1
28300.0,498.0,732.4,593.6,662.0
28400.0,501.9,743.5,612.9,666.0
28500.0,501.3,746.0,619.4,678.3
28600.0,500.6,732.5,619.4,664.5
28700.0,507.0,736.6,618.0,671.3
28800.0,498.0,726.0,595.7,664.1
28900.0,502.9,746.0,628.0,679.6
29000.0,507.0,726.0,600.6,673.5
29100.0,507.0,731.9,604.5,671.6
29200.0,504.0,740.1,618.8,665.7
29300.0,507.0,744.4,615.7,675.4
29400.0,507.0,734.6,628.0,680.0
29500.0,507.0,744.4,628.0,680.0
29600.0,498.1,735.9,614.6,668.3
29700.0,507.0,733.4,621.6,668.9
29800.0,498.0,731.7,628.0,680.0
29900.0,498.0,726.0,605.5,662.0
30000.0,498.0,726.0,593.4,662.0
30100.0,504.8,745.3,614.9,669.3
30200.0,507.0,746.0,627.2,678.3
30300.0,505.7,738.1,610.0,664.9
30400.0,507.0,746.0,598.3,662.0
30500.0,500.1,729.4,604.7,668.9
30600.0,507.0,746.0,622.8,670.0
30700.0,501.2,726.0,598.9,668.8
30800.0,507.0,746.0,622.8,667.5
30900.0,498.0,736.3,596.4,662.0
