timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,507.4,744.0,638.1,670.0
100.0,511.0,745.7,628.0,670.0
200.0,505.0,748.0,640.2,690.3
300.0,505.2,744.0,628.0,670.0
400.0,511.0,744.0,637.8,679.6
500.0,505.0,744.0,628.0,679.7
600.0,507.1,751.3,631.6,670.0
700.0,506.8,744.0,635.7,680.0
800.0,511.0,744.0,628.0,687.6
900.0,505.0,754.0,628.0,673.3
1000.0,508.4,747.3,642.0,670.0
1100.0,505.9,744.0,633.2,675.4
1200.0,511.0,751.1,642.0,695.9
1300.0,505.0,747.9,633.1,670.0
1400.0,511.0,753.9,633.9,695.9
1500.0,505.0,754.0,630.7,692.7
1600.0,505.0,744.0,638.5,681.8
1700.0,510.8,744.0,642.0,674.3
1800.0,505.0,746.0,636.9,674.6
1900.0,511.0,744.0,628.0,678.6
2000.0,511.0,754.0,628.0,670.0
2100.0,505.0,752.7,631.6,681.0
2200.0,505.0,744.0,642.0,696.0
2300.0,505.0,754.0,642.0,675.9
2400.0,505.0,744.0,642.0,686.5
2500.0,511.0,754.0,633.5,681.1
2600.0,505.0,752.3,642.0,685.2
2700.0,511.0,752.9,638.9,673.8
2800.0,511.0,752.2,639.8,684.8
2900.0,507.5,744.0,642.0,681.9
3000.0,505.2,744.0,634.3,686.5
3100.0,505.0,744.0,630.0,677.2
3200.0,505.0,754.0,642.0,686.4
3300.0,505.0,744.0,628.0,671.7
3400.0,511.0,744.8,631.9,679.1
3500.0,508.9,744.2,634.1,686.4
3600.0,511.0,744.0,628.0,670.0
3700.0,511.0,750.9,632.2,675.0
3800.0,511.0,748.0,641.7,674.7
3900.0,505.0,746.9,634.2,670.9
4000.0,505.0,746.3,629.1,677.1
4100.0,505.3,752.0,628.0,670.0
4200.0,505.0,744.0,639.8,670.0
4300.0,511.0,748.2,635.5,671.7
4400.0,508.1,744.0,628.0,670.0
4500.0,511.0,744.0,628.3,695.7
4600.0,511.0,744.0,635.4,688.6
4700.0,505.0,744.5,628.0,677.2
4800.0,510.1,753.1,628.0,670.0
4900.0,506.7,749.1,631.5,692.0
5000.0,511.0,751.6,631.3,696.0
5100.0,506.8,745.7,628.0,673.0
5200.0,511.0,744.0,642.0,691.5
5300.0,511.0,754.0,642.0,673.7
5400.0,511.0,754.0,638.0,672.1
5500.0,511.0,744.0,631.6,671.4
5600.0,507.3,754.0,637.5,696.0
5700.0,505.0,754.0,628.0,680.4
5800.0,505.0,751.5,628.0,670.0
5900.0,505.0,744.8,640.0,670.0
6000.0,509.5,754.0,635.8,683.3
6100.0,511.0,744.0,634.1,670.0
6200.0,511.0,754.0,628.0,670.0
6300.0,508.9,746.8,631.9,670.0
6400.0,507.7,754.0,636.7,676.4
6500.0,505.0,749.0,631.0,679.0
6600.0,505.0,744.0,642.0,670.0
6700.0,508.9,754.0,641.6,670.5
6800.0,507.4,744.0,628.0,682.4
6900.0,508.5,744.0,631.0,678.7
7000.0,505.0,744.0,628.0,670.0
7100.0,505.0,744.0,628.0,670.0
7200.0,505.0,745.1,628.0,676.4
7300.0,508.4,744.0,628.7,684.4
7400.0,506.5,753.5,628.8,681.0
7500.0,510.4,754.0,642.0,696.0
7600.0,511.0,744.0,629.8,691.6
7700.0,505.0,744.0,628.9,684.6
7800.0,509.1,744.6,634.7,693.2
7900.0,511.0,744.0,639.2,685.7
8000.0,511.0,744.0,637.9,696.0
8100.0,505.0,744.0,632.2,689.7
8200.0,505.0,749.6,641.1,679.5
8300.0,511.0,749.6,642.0,696.0
8400.0,505.0,754.0,630.5,696.0
8500.0,511.0,744.0,628.0,694.7
8600.0,505.0,747.0,628.0,683.2
8700.0,511.0,754.0,628.7,674.9
8800.0,505.0,744.0,628.0,670.0
8900.0,505.0,744.0,633.9,670.0
9000.0,505.0,753.9,628.0,680.3
9100.0,511.0,744.0,642.0,696.0
9200.0,505.0,751.3,640.4,670.0
9300.0,505.0,744.0,641.1,670.0
9400.0,511.0,746.4,642.0,696.0
9500.0,505.0,754.0,629.8,677.8
9600.0,511.0,751.6,641.9,688.5
9700.0,508.6,754.0,637.8,683.3
9800.0,511.0,750.3,628.0,670.0
9900.0,505.3,744.0,632.4,670.0
10000.0,510.4,744.0,628.0,670.0
10100.0,511.0,754.0,629.3,696.0
10200.0,505.0,753.3,642.0,670.0
10300.0,511.0,754.0,635.3,679.9
10400.0,505.0,754.0,642.0,670.0
10500.0,505.3,754.0,642.0,693.7
10600.0,511.0,754.0,630.3,683.3
10700.0,505.0,744.0,628.7,670.0
10800.0,505.0,744.0,632.4,680.7
10900.0,509.0,752.1,628.0,670.0
11000.0,511.0,744.0,642.0,680.3
11100.0,507.2,753.7,634.3,690.8
11200.0,508.2,754.0,642.0,691.1
11300.0,505.0,744.1,628.0,670.0
11400.0,505.0,754.0,637.5,691.4
11500.0,507.6,744.0,636.3,676.6
11600.0,505.0,744.0,628.0,670.1
11700.0,505.5,744.0,628.0,670.0
11800.0,510.0,750.2,629.5,684.8
11900.0,505.0,754.0,641.1,693.0
12000.0,505.0,744.0,628.0,675.3
12100.0,505.0,754.0,628.0,677.7
12200.0,505.0,744.7,635.8,682.1
12300.0,509.7,754.0,628.0,682.8
12400.0,511.0,754.0,631.8,670.0
12500.0,505.3,744.0,628.0,684.8
12600.0,509.7,754.0,628.1,690.3
12700.0,505.0,745.4,628.3,696.0
12800.0,505.0,744.3,637.0,696.0
12900.0,505.0,747.4,628.0,671.8
13000.0,511.0,744.0,628.0,679.0
13100.0,509.9,754.0,640.0,696.0
13200.0,511.0,754.0,642.0,692.3
13300.0,511.0,744.0,642.0,688.0
13400.0,511.0,747.4,642.0,680.4
13500.0,511.0,744.0,628.0,670.0
13600.0,505.7,744.0,630.7,670.6
13700.0,506.8,744.5,641.6,696.0
13800.0,509.5,754.0,642.0,687.1
13900.0,511.0,754.0,638.8,694.0
14000.0,505.0,745.0,635.6,680.5
14100.0,506.3,746.8,635.7,686.4
14200.0,505.0,744.0,636.7,679.3
14300.0,505.9,744.0,641.4,692.1
14400.0,505.0,753.2,628.0,670.0
14500.0,505.0,754.0,634.6,670.0
14600.0,508.8,748.7,628.0,686.5
14700.0,505.3,744.0,637.9,682.5
14800.0,511.0,754.0,628.0,670.3
14900.0,505.0,751.9,634.6,684.7
15000.0,508.7,744.0,642.0,680.5
15100.0,511.0,752.2,642.0,684.0
15200.0,510.6,754.0,628.1,696.0
15300.0,511.0,744.0,642.0,679.5
15400.0,511.0,754.0,642.0,696.0
15500.0,509.5,745.5,636.0,678.9
15600.0,511.0,754.0,642.0,696.0
15700.0,505.0,744.0,633.9,679.5
15800.0,506.3,752.9,633.5,685.4
15900.0,511.0,744.0,637.7,686.6
16000.0,511.0,744.0,628.6,673.6
16100.0,511.0,751.8,637.1,673.4
16200.0,506.3,754.0,637.9,694.4
16300.0,511.0,744.0,628.0,686.9
16400.0,505.0,754.0,638.9,671.4
16500.0,505.0,754.0,639.7,676.9
16600.0,505.0,744.0,639.9,694.1
16700.0,511.0,754.0,636.4,682.0
16800.0,505.0,744.0,640.3,679.1
16900.0,510.7,754.0,639.4,683.3
17000.0,511.0,753.4,635.6,692.3
17100.0,505.0,754.0,642.0,696.0
17200.0,511.0,744.0,634.3,681.3
17300.0,508.0,744.0,628.0,673.5
17400.0,511.0,744.0,628.0,676.0
17500.0,511.0,750.7,628.0,670.0
17600.0,510.9,754.0,632.6,691.3
17700.0,505.0,754.0,639.8,670.0
17800.0,505.0,754.0,642.0,690.8
17900.0,505.0,747.1,639.3,670.0
18000.0,505.0,745.7,631.3,684.0
18100.0,505.0,744.0,642.0,691.7
18200.0,511.0,744.0,637.8,690.2
18300.0,511.0,753.7,642.0,696.0
18400.0,510.4,754.0,632.3,685.7
18500.0,510.0,744.0,642.0,684.0
18600.0,505.0,744.0,642.0,686.4
18700.0,505.0,744.0,635.6,690.8
18800.0,505.0,744.0,631.8,675.2
18900.0,511.0,744.1,631.0,673.9
19000.0,511.0,744.0,642.0,696.0
19100.0,506.9,752.8,628.0,670.0
19200.0,511.0,744.0,633.4,685.9
19300.0,510.6,744.0,628.0,670.0
19400.0,505.0,754.0,642.0,672.1
19500.0,511.0,754.0,642.0,688.5
19600.0,505.0,744.0,636.6,681.5
19700.0,505.6,744.0,633.7,670.0
19800.0,505.0,744.0,642.0,690.1
19900.0,511.0,744.0,635.5,680.6
20000.0,511.0,744.0,631.8,676.4
