timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,514.0,760.8,652.0,706.0
100.0,511.3,762.0,652.0,688.8
200.0,509.0,753.0,652.0,688.3
300.0,509.0,753.0,652.0,685.0
400.0,513.2,762.0,652.0,692.1
500.0,509.0,762.0,646.0,685.1
600.0,512.2,753.0,646.0,693.1
700.0,509.0,753.0,652.0,695.7
800.0,514.0,753.0,646.0,699.9
900.0,509.0,762.0,646.0,685.0
1000.0,509.3,753.0,646.0,685.0
1100.0,512.4,755.9,652.0,694.8
1200.0,514.0,753.0,652.0,691.2
1300.0,509.0,754.5,646.7,702.3
1400.0,514.0,758.8,652.0,692.2
1500.0,509.0,761.1,650.8,689.8
1600.0,514.0,758.4,646.0,699.3
1700.0,509.0,755.6,646.0,685.0
1800.0,512.8,753.0,652.0,685.0
1900.0,513.3,754.7,652.0,706.0
2000.0,509.0,755.4,649.8,696.4
2100.0,512.7,756.7,652.0,685.0
2200.0,514.0,757.5,646.1,685.0
2300.0,514.0,762.0,652.0,702.9
2400.0,509.0,762.0,646.0,688.0
2500.0,514.0,762.0,649.7,706.0
2600.0,514.0,753.0,647.2,699.2
2700.0,514.0,758.2,652.0,706.0
2800.0,509.0,755.7,646.0,702.7
2900.0,509.9,753.0,646.0,685.0
3000.0,512.1,755.1,646.0,702.3
3100.0,509.0,753.0,646.0,699.9
3200.0,514.0,753.0,646.0,685.0
3300.0,514.0,753.0,646.0,692.5
3400.0,509.0,753.0,646.0,688.0
3500.0,514.0,762.0,646.0,685.0
3600.0,510.0,756.3,646.0,692.8
3700.0,514.0,753.0,646.0,689.4
3800.0,513.3,753.0,652.0,687.7
3900.0,509.0,761.5,652.0,688.7
4000.0,509.0,753.0,646.0,700.2
4100.0,509.0,762.0,646.0,685.5
4200.0,513.9,762.0,646.0,703.2
4300.0,509.0,758.6,652.0,688.3
4400.0,512.8,762.0,646.0,697.7
4500.0,509.0,761.1,647.0,687.7
4600.0,509.0,753.9,646.0,706.0
4700.0,509.0,753.0,652.0,689.1
4800.0,509.0,754.9,652.0,692.8
4900.0,509.0,762.0,652.0,704.4
5000.0,509.0,753.0,652.0,691.7
5100.0,510.3,753.0,652.0,690.2
5200.0,509.0,761.6,652.0,685.0
5300.0,509.0,753.0,649.6,685.0
5400.0,513.2,762.0,652.0,706.0
5500.0,511.5,762.0,646.0,696.6
5600.0,509.0,758.8,646.0,685.0
5700.0,510.7,753.0,646.0,685.0
5800.0,511.9,753.0,646.0,706.0
5900.0,509.0,753.7,652.0,685.0
6000.0,509.0,754.6,652.0,696.5
6100.0,514.0,762.0,648.2,700.3
6200.0,513.0,753.0,646.0,692.9
6300.0,509.9,753.0,646.0,693.2
6400.0,509.0,755.9,651.2,706.0
6500.0,509.0,762.0,646.2,705.6
6600.0,514.0,753.0,646.0,706.0
6700.0,514.0,753.0,646.0,706.0
6800.0,509.0,755.3,652.0,700.6
6900.0,513.0,753.0,646.0,695.2
7000.0,514.0,756.0,646.0,698.5
7100.0,510.0,753.0,652.0,696.5
7200.0,514.0,753.0,652.0,685.0
7300.0,509.0,762.0,650.7,685.0
7400.0,510.7,762.0,651.0,700.4
7500.0,509.0,757.9,646.0,698.7
7600.0,509.0,757.2,647.5,695.7
7700.0,509.0,762.0,650.6,693.9
7800.0,509.0,762.0,646.0,685.1
7900.0,509.0,753.0,646.0,706.0
8000.0,511.5,755.2,652.0,685.0
8100.0,509.0,753.0,652.0,685.0
8200.0,514.0,753.0,646.0,696.0
8300.0,509.0,762.0,646.0,703.8
8400.0,509.0,753.0,646.0,685.0
8500.0,509.0,762.0,652.0,689.2
8600.0,509.0,762.0,649.4,706.0
8700.0,514.0,753.0,652.0,691.5
8800.0,513.7,753.6,647.5,685.0
8900.0,514.0,762.0,646.0,703.3
9000.0,509.0,757.6,646.0,685.0
9100.0,514.0,762.0,646.0,693.6
9200.0,509.0,753.0,646.0,694.8
9300.0,511.9,753.0,651.1,685.0
9400.0,512.2,759.0,648.4,687.0
9500.0,512.2,753.0,648.5,695.2
9600.0,512.6,762.0,650.4,691.0
9700.0,509.9,753.0,646.0,685.5
9800.0,514.0,762.0,651.0,697.8
9900.0,510.1,754.2,647.0,686.6
10000.0,514.0,757.6,646.0,685.0
10100.0,509.0,753.0,651.8,689.0
10200.0,509.0,753.0,652.0,690.3
10300.0,513.5,753.0,652.0,685.0
10400.0,510.1,762.0,652.0,694.7
10500.0,509.0,762.0,646.1,705.4
10600.0,511.2,762.0,649.5,706.0
10700.0,511.4,762.0,652.0,685.4
10800.0,509.2,753.0,646.0,700.6
10900.0,509.0,753.0,651.7,685.0
11000.0,509.0,753.0,646.0,700.4
11100.0,514.0,762.0,646.0,706.0
11200.0,514.0,762.0,646.0,688.7
11300.0,509.0,762.0,652.0,692.5
11400.0,514.0,762.0,649.2,696.1
11500.0,509.0,760.2,647.5,706.0
11600.0,509.0,753.0,652.0,705.1
11700.0,509.0,760.8,649.6,685.0
11800.0,514.0,759.7,649.5,697.3
11900.0,514.0,753.0,647.2,685.0
12000.0,510.0,753.0,652.0,706.0
12100.0,509.6,753.0,652.0,685.0
12200.0,510.1,753.0,646.0,686.0
12300.0,514.0,753.0,652.0,694.1
12400.0,514.0,753.0,652.0,685.0
12500.0,514.0,753.0,652.0,706.0
12600.0,509.0,762.0,646.0,699.6
12700.0,510.9,762.0,647.1,685.9
12800.0,509.0,753.0,646.0,687.2
12900.0,509.0,758.5,647.1,686.5
13000.0,509.0,753.0,646.0,704.9
13100.0,510.9,754.4,652.0,692.9
13200.0,509.0,762.0,646.0,685.0
13300.0,509.0,762.0,646.0,685.0
13400.0,509.0,754.9,649.4,685.0
13500.0,514.0,753.7,646.0,690.0
13600.0,509.0,762.0,652.0,695.2
13700.0,514.0,753.0,646.0,699.7
13800.0,509.0,762.0,652.0,701.7
13900.0,514.0,758.4,652.0,686.0
14000.0,514.0,753.0,649.4,691.9
14100.0,514.0,757.0,646.0,685.0
14200.0,514.0,756.6,646.0,692.3
14300.0,509.0,762.0,652.0,690.2
14400.0,510.8,753.0,652.0,687.3
14500.0,509.0,753.0,646.0,686.5
14600.0,514.0,762.0,647.8,699.3
14700.0,509.0,758.5,652.0,694.8
14800.0,509.4,762.0,646.0,695.9
14900.0,509.0,753.0,652.0,688.7
15000.0,509.0,762.0,646.0,685.0
15100.0,514.0,762.0,652.0,688.7
15200.0,511.0,753.0,650.7,697.6
15300.0,514.0,753.0,652.0,691.6
15400.0,513.1,762.0,652.0,685.3
15500.0,510.8,762.0,652.0,703.1
15600.0,509.0,756.7,650.7,692.3
15700.0,513.4,753.9,651.4,686.3
15800.0,509.0,758.3,647.9,706.0
15900.0,514.0,762.0,652.0,693.0
16000.0,509.0,762.0,646.0,685.0
16100.0,511.8,762.0,646.0,696.0
16200.0,514.0,753.0,646.0,706.0
16300.0,509.0,753.0,651.7,706.0
16400.0,514.0,753.0,652.0,706.0
16500.0,513.6,753.7,650.5,699.0
16600.0,509.7,755.4,646.0,690.1
16700.0,514.0,762.0,652.0,705.8
16800.0,514.0,753.0,646.0,685.0
16900.0,509.5,760.9,649.5,706.0
17000.0,511.6,755.4,646.0,700.3
17100.0,509.0,753.0,652.0,695.3
17200.0,514.0,762.0,652.0,685.0
17300.0,509.0,757.3,651.2,685.0
17400.0,509.0,762.0,652.0,685.0
17500.0,512.2,753.6,646.0,685.0
17600.0,509.0,753.0,652.0,685.0
17700.0,509.0,762.0,652.0,706.0
17800.0,510.5,753.0,646.0,706.0
17900.0,514.0,759.5,647.6,688.9
18000.0,509.0,753.0,646.0,697.1
18100.0,514.0,762.0,652.0,685.0
18200.0,513.7,753.0,646.0,691.6
18300.0,510.5,761.9,646.0,703.7
18400.0,514.0,762.0,652.0,694.6
18500.0,509.0,753.0,652.0,695.9
18600.0,509.9,753.0,646.0,686.3
18700.0,510.6,753.0,650.2,685.0
18800.0,513.2,753.0,646.0,685.0
18900.0,509.0,762.0,646.0,692.3
19000.0,509.0,760.1,651.4,690.9
19100.0,514.0,762.0,646.0,706.0
19200.0,514.0,762.0,652.0,692.5
19300.0,514.0,756.1,647.3,697.2
19400.0,509.0,753.0,646.2,697.7
19500.0,514.0,753.0,652.0,691.4
19600.0,509.0,753.0,651.6,690.0
19700.0,509.0,753.0,646.0,685.0
19800.0,514.0,762.0,646.0,699.0
19900.0,514.0,753.0,649.9,685.0
20000.0,509.0,754.0,646.8,685.0
20100.0,509.0,753.0,646.0,693.2
20200.0,512.3,762.0,648.5,701.1
20300.0,509.0,762.0,652.0,689.4
20400.0,514.0,753.0,652.0,694.9
20500.0,509.0,753.0,646.0,693.6
20600.0,514.0,754.8,651.1,706.0
20700.0,512.5,760.3,646.0,685.0
20800.0,514.0,759.9,646.0,685.0
20900.0,514.0,753.0,646.0,687.3
21000.0,509.0,753.0,647.4,685.0
21100.0,512.8,756.2,652.0,687.4
21200.0,514.0,762.0,647.8,703.3
21300.0,509.5,762.0,652.0,706.0
21400.0,514.0,753.0,650.2,692.9
21500.0,510.6,762.0,646.1,688.6
21600.0,509.0,756.3,646.0,701.3
21700.0,514.0,762.0,646.0,687.3
21800.0,513.7,753.0,646.0,703.9
21900.0,511.5,753.0,650.6,698.6
22000.0,509.0,753.0,650.9,685.0
22100.0,509.4,753.0,652.0,685.0
22200.0,514.0,762.0,646.0,706.0
22300.0,514.0,762.0,652.0,706.0
22400.0,509.0,758.7,652.0,688.5
22500.0,509.0,757.0,652.0,685.0
22600.0,514.0,762.0,650.2,706.0
22700.0,514.0,761.6,652.0,706.0
22800.0,509.0,753.0,652.0,698.1
22900.0,514.0,762.0,646.0,706.0
23000.0,510.9,753.0,652.0,696.5
23100.0,514.0,753.0,652.0,685.0
23200.0,514.0,753.0,646.0,686.7
23300.0,514.0,762.0,652.0,695.3
23400.0,514.0,753.0,646.0,685.0
23500.0,514.0,754.0,652.0,685.0
23600.0,509.0,756.2,647.6,685.0
23700.0,513.7,753.0,646.6,685.0
23800.0,514.0,756.0,646.0,685.0
23900.0,514.0,758.8,651.4,704.4
24000.0,513.7,762.0,652.0,689.6
24100.0,512.0,753.0,646.0,685.0
24200.0,514.0,761.4,646.0,695.6
24300.0,514.0,753.0,646.0,685.0
24400.0,514.0,761.3,646.0,685.0
24500.0,514.0,753.0,646.0,699.2
24600.0,509.0,762.0,646.0,706.0
24700.0,514.0,762.0,647.0,699.4
24800.0,514.0,759.4,646.0,702.2
24900.0,514.0,762.0,646.0,703.6
25000.0,514.0,753.0,652.0,690.9
25100.0,511.7,762.0,646.0,689.9
25200.0,509.0,762.0,649.9,700.3
25300.0,509.0,757.3,652.0,685.0
25400.0,509.0,753.0,647.6,685.0
25500.0,509.0,753.0,646.0,685.0
25600.0,513.9,756.6,652.0,685.0
25700.0,509.0,762.0,652.0,694.8
25800.0,511.7,753.9,652.0,699.4
25900.0,509.0,755.1,649.4,685.0
26000.0,509.0,762.0,652.0,685.0
26100.0,510.3,756.3,652.0,706.0
26200.0,509.4,756.9,652.0,685.0
26300.0,513.7,757.3,646.0,686.1
26400.0,514.0,762.0,652.0,685.0
26500.0,511.8,753.0,651.1,688.6
26600.0,512.1,762.0,652.0,704.8
26700.0,509.0,753.0,646.0,697.8
26800.0,511.9,757.0,652.0,685.0
26900.0,514.0,762.0,646.0,698.3
27000.0,513.0,753.0,652.0,697.5
27100.0,514.0,762.0,646.0,689.4
27200.0,514.0,762.0,646.0,706.0
27300.0,509.0,760.8,649.1,688.1
27400.0,514.0,761.6,650.2,706.0
27500.0,514.0,762.0,652.0,689.3
27600.0,509.0,753.0,646.0,686.0
27700.0,514.0,753.0,652.0,706.0
27800.0,509.9,759.7,648.5,706.0
27900.0,509.0,762.0,652.0,698.9
28000.0,509.0,753.0,652.0,687.9
28100.0,509.0,753.0,646.0,685.0
28200.0,514.0,762.0,646.0,701.1
28300.0,509.0,755.0,649.5,685.0
28400.0,511.3,753.0,646.0,691.0
28500.0,512.6,753.0,652.0,689.9
28600.0,514.0,753.0,646.0,691.4
28700.0,509.0,760.7,648.2,696.6
28800.0,509.0,753.0,646.0,693.3
28900.0,514.0,762.0,652.0,685.0
29000.0,509.0,753.0,650.8,685.0
29100.0,514.0,762.0,646.0,701.3
29200.0,514.0,761.7,652.0,693.4
29300.0,514.0,758.9,652.0,685.7
29400.0,509.0,753.0,646.0,695.8
29500.0,514.0,762.0,652.0,701.8
29600.0,509.0,753.0,652.0,695.3
29700.0,514.0,753.0,649.3,685.9
29800.0,511.1,759.2,652.0,702.5
29900.0,509.0,753.5,652.0,706.0
30000.0,509.0,753.0,652.0,706.0
30100.0,509.0,761.8,646.0,685.0
30200.0,509.0,753.0,646.3,695.2
30300.0,509.0,753.0,652.0,703.0
30400.0,514.0,762.0,652.0,692.3
30500.0,509.0,762.0,646.0,703.8
30600.0,512.8,753.0,646.0,685.0
30700.0,509.0,762.0,646.0,685.0
30800.0,509.5,753.0,646.0,699.6
30900.0,509.0,755.7,646.0,685.0
31000.0,514.0,753.0,651.1,703.9
31100.0,514.0,753.0,648.6,691.9
31200.0,514.0,753.0,648.2,706.0
31300.0,512.1,761.9,652.0,685.0
31400.0,509.0,753.0,646.0,694.3
31500.0,509.4,753.0,649.1,700.1
31600.0,513.0,762.0,646.0,696.8
31700.0,510.4,757.1,646.0,697.3
31800.0,514.0,757.5,646.0,694.9
31900.0,514.0,757.0,649.8,685.0
32000.0,512.2,762.0,652.0,706.0
32100.0,514.0,753.0,652.0,692.4
32200.0,509.0,762.0,652.0,696.5
32300.0,514.0,762.0,647.3,698.2
32400.0,514.0,753.3,652.0,690.0
32500.0,514.0,759.4,652.0,706.0
32600.0,509.0,762.0,652.0,687.5
32700.0,514.0,762.0,646.0,692.6
32800.0,509.0,753.0,652.0,698.1
32900.0,512.8,762.0,649.0,706.0
33000.0,511.2,762.0,652.0,685.0
33100.0,511.3,753.0,652.0,685.0
33200.0,514.0,753.0,652.0,694.7
33300.0,514.0,753.0,646.0,685.0
33400.0,511.6,762.0,652.0,706.0
33500.0,509.0,758.3,646.0,685.0
33600.0,514.0,753.0,652.0,691.0
