timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,705.0,848.0,734.0,652.0
100.0,700.3,848.0,739.0,640.1
200.0,705.0,848.0,739.0,652.0
300.0,698.2,848.0,736.2,652.0
400.0,696.0,848.0,734.0,641.0
500.0,705.0,848.0,734.0,640.4
600.0,705.0,844.0,739.0,637.0
700.0,696.0,848.0,734.0,652.0
800.0,696.0,847.8,736.6,638.4
900.0,696.0,848.0,736.1,652.0
1000.0,705.0,846.5,734.0,652.0
1100.0,696.0,844.0,739.0,643.8
1200.0,705.0,844.0,734.0,637.0
1300.0,699.8,848.0,734.7,641.9
1400.0,705.0,844.0,739.0,640.4
1500.0,696.0,848.0,737.9,649.0
1600.0,698.0,846.2,734.0,639.2
1700.0,696.0,848.0,739.0,652.0
1800.0,705.0,844.0,739.0,646.9
1900.0,705.0,844.0,739.0,641.9
2000.0,700.4,846.7,739.0,641.9
2100.0,705.0,844.0,739.0,652.0
2200.0,696.0,848.0,734.0,640.9
2300.0,696.0,848.0,734.0,646.4
2400.0,703.4,844.0,739.0,644.3
2500.0,700.4,848.0,739.0,637.0
2600.0,705.0,844.7,738.6,638.5
2700.0,705.0,844.0,737.8,652.0
2800.0,705.0,844.0,739.0,637.0
2900.0,704.7,844.0,734.4,637.0
3000.0,705.0,845.6,739.0,652.0
3100.0,705.0,844.2,739.0,638.8
3200.0,705.0,848.0,739.0,652.0
3300.0,696.0,847.6,734.7,648.5
3400.0,705.0,844.0,734.0,652.0
3500.0,701.9,848.0,739.0,637.0
3600.0,696.0,848.0,736.3,642.1
3700.0,705.0,844.0,739.0,639.5
3800.0,705.0,848.0,738.8,643.6
3900.0,696.0,848.0,739.0,637.0
4000.0,696.0,844.0,734.0,652.0
4100.0,699.3,844.8,739.0,637.0
4200.0,701.9,844.0,739.0,637.0
4300.0,696.0,848.0,739.0,645.4
4400.0,699.4,848.0,734.0,651.5
4500.0,705.0,844.0,734.0,650.3
4600.0,704.1,848.0,739.0,637.0
4700.0,696.0,848.0,739.0,644.5
4800.0,697.1,848.0,734.0,647.2
4900.0,699.6,845.0,739.0,643.7
5000.0,698.5,848.0,738.7,652.0
5100.0,705.0,844.9,734.0,650.9
5200.0,705.0,848.0,734.0,646.0
5300.0,702.3,844.0,734.0,640.9
5400.0,696.0,844.0,739.0,645.8
5500.0,696.0,844.0,739.0,639.0
5600.0,700.4,844.0,734.0,644.9
5700.0,696.0,848.0,734.0,649.7
5800.0,696.0,848.0,739.0,652.0
5900.0,696.0,844.0,734.0,646.4
6000.0,696.0,848.0,739.0,644.5
6100.0,697.0,848.0,739.0,652.0
6200.0,705.0,844.0,739.0,643.7
6300.0,696.0,848.0,734.0,637.7
6400.0,698.1,844.0,734.0,645.6
6500.0,705.0,844.0,737.0,651.9
6600.0,699.4,846.4,739.0,637.0
6700.0,705.0,848.0,734.9,637.0
6800.0,698.4,844.0,739.0,650.4
6900.0,705.0,848.0,734.0,644.0
7000.0,703.3,848.0,734.0,652.0
7100.0,705.0,848.0,734.0,640.1
7200.0,696.0,844.0,737.2,643.8
7300.0,697.1,848.0,739.0,637.0
7400.0,705.0,847.6,736.5,640.0
7500.0,696.0,846.0,734.0,650.5
7600.0,705.0,847.2,734.0,652.0
7700.0,702.2,848.0,734.0,641.9
7800.0,705.0,848.0,734.0,637.0
7900.0,704.7,844.8,737.6,640.0
8000.0,696.0,848.0,739.0,642.1
8100.0,705.0,844.0,739.0,637.0
8200.0,696.0,844.0,739.0,652.0
8300.0,697.2,848.0,737.5,637.0
8400.0,705.0,844.0,739.0,637.0
8500.0,705.0,844.3,734.0,637.0
8600.0,704.2,846.3,734.0,637.0
8700.0,702.0,844.0,739.0,650.7
8800.0,705.0,844.0,738.3,642.5
8900.0,705.0,844.0,735.5,648.6
9000.0,696.0,846.0,736.9,637.0
9100.0,696.0,844.0,738.0,637.0
9200.0,699.5,845.8,734.0,637.0
9300.0,705.0,844.0,734.0,637.0
9400.0,705.0,848.0,734.8,637.9
9500.0,696.0,844.0,734.0,637.0
9600.0,703.8,844.0,734.0,637.0
9700.0,696.0,848.0,734.0,652.0
9800.0,705.0,844.0,739.0,643.2
9900.0,696.0,844.0,739.0,652.0
10000.0,696.0,848.0,739.0,643.5
10100.0,700.2,844.0,739.0,652.0
10200.0,696.0,848.0,734.0,650.0
10300.0,696.0,848.0,734.0,652.0
10400.0,703.5,844.0,734.0,644.2
10500.0,697.3,848.0,734.0,637.0
10600.0,696.0,848.0,739.0,652.0
10700.0,703.1,848.0,739.0,652.0
10800.0,703.3,844.0,736.9,652.0
10900.0,705.0,844.0,734.0,641.5
11000.0,702.1,848.0,734.0,639.9
11100.0,701.0,847.9,734.0,641.2
11200.0,700.7,848.0,739.0,637.0
11300.0,705.0,844.0,739.0,644.0
11400.0,704.1,844.0,734.0,648.1
11500.0,696.0,848.0,739.0,643.1
11600.0,696.0,844.0,735.0,637.0
11700.0,696.5,844.0,734.0,641.7
11800.0,705.0,844.0,737.9,650.5
11900.0,705.0,848.0,734.0,643.1
12000.0,700.6,848.0,737.6,645.7
12100.0,699.4,844.0,737.4,637.4
12200.0,705.0,848.0,739.0,652.0
12300.0,696.0,848.0,739.0,647.9
12400.0,696.0,844.0,734.0,642.5
12500.0,704.7,848.0,734.0,637.0
12600.0,705.0,844.0,735.8,650.5
12700.0,696.0,848.0,737.5,637.0
12800.0,705.0,848.0,739.0,637.0
