timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,683.0,838.7,730.0,661.7
100.0,683.0,835.0,735.0,662.0
200.0,676.8,839.0,735.0,658.0
300.0,676.0,838.8,735.0,658.0
400.0,683.0,835.0,735.0,658.0
500.0,676.0,837.0,735.0,658.0
600.0,676.0,839.0,730.0,662.0
700.0,676.0,835.0,732.5,658.0
800.0,683.0,835.0,735.0,662.0
900.0,680.0,839.0,735.0,662.0
1000.0,676.0,835.0,730.0,661.9
1100.0,676.0,839.0,735.0,662.0
1200.0,679.9,835.0,730.0,662.0
1300.0,679.6,837.9,735.0,662.0
1400.0,681.2,839.0,730.0,658.0
1500.0,683.0,839.0,735.0,658.0
1600.0,682.7,839.0,735.0,662.0
1700.0,677.4,835.0,730.0,658.0
1800.0,683.0,835.0,735.0,658.0
1900.0,678.8,839.0,735.0,658.0
2000.0,676.0,839.0,732.1,658.0
2100.0,676.0,839.0,735.0,662.0
2200.0,680.0,835.0,730.0,659.2
2300.0,676.0,839.0,735.0,658.0
2400.0,681.3,839.0,735.0,661.5
2500.0,679.5,839.0,732.7,658.0
2600.0,676.0,839.0,730.0,658.0
2700.0,676.0,835.0,732.5,662.0
2800.0,683.0,835.0,735.0,662.0
2900.0,683.0,835.0,735.0,662.0
3000.0,676.0,835.0,735.0,658.0
3100.0,676.0,839.0,735.0,658.0
3200.0,683.0,839.0,730.0,662.0
3300.0,683.0,839.0,730.7,662.0
3400.0,676.0,835.0,730.0,658.0
3500.0,676.0,835.0,730.1,662.0
3600.0,676.0,835.0,730.0,658.0
3700.0,681.3,835.0,734.5,658.8
3800.0,676.0,835.0,735.0,658.0
3900.0,676.0,835.0,730.0,658.0
4000.0,676.0,835.0,730.0,661.7
4100.0,676.0,839.0,730.9,662.0
4200.0,682.4,838.6,730.0,658.0
4300.0,676.0,838.1,734.5,658.0
4400.0,678.9,835.0,730.0,662.0
4500.0,683.0,835.0,730.0,662.0
4600.0,676.0,835.0,735.0,658.0
4700.0,678.0,839.0,734.5,662.0
4800.0,676.0,835.0,730.0,662.0
4900.0,683.0,835.0,730.0,658.0
5000.0,676.3,839.0,735.0,662.0
