timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,840.0,936.4,878.0,866.0
100.0,836.1,939.0,881.0,866.1
200.0,834.0,936.0,881.0,878.0
300.0,834.0,936.0,878.0,878.0
400.0,840.0,936.0,881.0,878.0
500.0,840.0,939.0,881.0,866.2
600.0,834.0,936.0,881.0,875.8
700.0,834.0,939.0,881.0,878.0
800.0,834.0,938.4,881.0,866.8
900.0,840.0,936.0,881.0,878.0
1000.0,840.0,939.0,881.0,866.0
1100.0,836.4,939.0,878.0,875.3
1200.0,840.0,939.0,880.1,876.1
1300.0,840.0,936.0,881.0,873.9
1400.0,834.0,939.0,881.0,878.0
1500.0,840.0,939.0,881.0,878.0
1600.0,834.0,939.0,878.0,873.7
1700.0,834.0,937.4,878.0,873.1
1800.0,836.0,938.4,881.0,866.0
1900.0,834.0,939.0,878.0,866.0
2000.0,834.0,936.0,881.0,876.2
2100.0,840.0,936.0,878.0,870.9
2200.0,834.0,939.0,881.0,878.0
2300.0,834.0,939.0,881.0,872.7
2400.0,834.0,939.0,878.0,866.0
2500.0,840.0,939.0,881.0,878.0
2600.0,834.0,939.0,878.0,878.0
2700.0,840.0,939.0,881.0,871.4
2800.0,840.0,936.0,880.9,866.0
2900.0,840.0,939.0,878.0,867.1
3000.0,840.0,938.5,878.0,871.7
3100.0,834.0,939.0,881.0,878.0
3200.0,837.3,939.0,881.0,878.0
3300.0,840.0,939.0,881.0,871.6
3400.0,840.0,936.0,881.0,878.0
3500.0,840.0,936.0,878.0,878.0
3600.0,835.9,936.0,878.0,878.0
3700.0,834.0,936.0,881.0,866.0
3800.0,839.0,939.0,881.0,878.0
3900.0,840.0,939.0,881.0,866.0
4000.0,840.0,936.0,881.0,866.0
4100.0,838.7,939.0,881.0,871.1
4200.0,840.0,936.0,878.0,866.0
4300.0,834.0,936.0,878.0,872.3
4400.0,840.0,939.0,878.0,867.3
4500.0,834.0,939.0,881.0,877.4
4600.0,840.0,936.0,881.0,868.6
4700.0,840.0,939.0,878.0,866.0
4800.0,834.0,939.0,881.0,866.0
4900.0,840.0,939.0,878.0,878.0
5000.0,834.0,939.0,881.0,866.0
5100.0,840.0,936.0,878.0,866.1
5200.0,834.0,939.0,878.0,872.5
5300.0,835.7,939.0,878.0,866.0
5400.0,834.0,936.0,881.0,878.0
5500.0,840.0,939.0,881.0,871.6
5600.0,840.0,939.0,878.0,874.0
5700.0,834.0,939.0,878.0,878.0
5800.0,840.0,939.0,878.0,878.0
5900.0,834.0,939.0,880.3,867.2
6000.0,840.0,936.0,881.0,878.0
6100.0,840.0,939.0,881.0,867.6
6200.0,834.0,939.0,878.0,872.3
6300.0,834.0,936.0,878.0,875.8
6400.0,834.0,936.0,881.0,875.9
6500.0,840.0,939.0,881.0,866.0
6600.0,836.5,939.0,879.0,867.2
6700.0,834.0,939.0,881.0,878.0
6800.0,835.9,936.0,880.0,866.9
6900.0,840.0,939.0,881.0,866.0
7000.0,840.0,936.0,881.0,878.0
7100.0,840.0,939.0,881.0,878.0
7200.0,834.0,939.0,878.0,878.0
7300.0,836.7,936.0,878.0,878.0
7400.0,834.0,936.0,881.0,878.0
7500.0,834.0,939.0,881.0,866.0
7600.0,834.0,936.0,881.0,878.0
7700.0,834.0,939.0,881.0,878.0
7800.0,840.0,939.0,881.0,878.0
7900.0,834.0,936.0,881.0,866.0
8000.0,840.0,939.0,878.0,867.1
8100.0,840.0,939.0,881.0,878.0
8200.0,840.0,939.0,881.0,878.0
8300.0,840.0,939.0,880.9,870.0
8400.0,838.9,939.0,878.0,878.0
8500.0,840.0,936.0,878.0,878.0
8600.0,840.0,936.0,878.0,866.0
8700.0,840.0,939.0,881.0,878.0
8800.0,840.0,936.0,881.0,871.1
8900.0,834.0,936.0,881.0,878.0
9000.0,840.0,936.0,881.0,878.0
9100.0,834.0,939.0,878.0,871.7
9200.0,840.0,939.0,878.0,874.7
9300.0,834.0,939.0,878.0,869.5
9400.0,834.0,936.0,878.0,876.1
9500.0,835.5,936.0,881.0,866.0
9600.0,834.0,936.0,878.0,867.8
9700.0,840.0,939.0,881.0,876.5
9800.0,839.5,936.0,878.0,878.0
9900.0,840.0,939.0,881.0,872.1
10000.0,834.0,939.0,878.0,878.0
