timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,858.1,952.0,904.0,902.0
100.0,856.0,949.0,904.0,892.0
200.0,860.0,949.0,904.0,902.0
300.0,860.0,952.0,900.0,892.0
400.0,856.0,949.0,900.0,902.0
500.0,856.0,949.0,900.0,902.0
600.0,856.0,952.0,900.0,902.0
700.0,856.0,952.0,904.0,892.0
800.0,856.0,949.0,900.0,892.0
900.0,856.0,949.0,904.0,892.0
1000.0,856.0,949.0,904.0,892.0
1100.0,860.0,949.0,904.0,902.0
1200.0,856.0,949.0,900.0,902.0
1300.0,859.9,952.0,900.0,892.0
1400.0,860.0,949.0,900.0,896.6
1500.0,860.0,949.0,904.0,892.0
1600.0,856.0,949.0,902.4,902.0
1700.0,860.0,949.0,904.0,892.0
1800.0,860.0,949.0,900.0,902.0
1900.0,860.0,952.0,900.0,902.0
2000.0,860.0,952.0,900.0,900.8
2100.0,856.0,949.0,900.0,894.3
2200.0,856.0,952.0,900.0,894.2
2300.0,860.0,949.0,904.0,892.0
2400.0,856.0,949.0,900.9,892.0
2500.0,856.0,949.0,900.0,893.3
2600.0,856.0,952.0,900.0,902.0
2700.0,860.0,952.0,900.0,902.0
2800.0,860.0,949.9,904.0,902.0
2900.0,856.0,952.0,904.0,902.0
3000.0,856.0,951.0,900.0,892.0
3100.0,856.0,949.0,904.0,902.0
3200.0,856.0,949.0,900.0,902.0
3300.0,856.0,952.0,900.0,902.0
3400.0,856.0,952.0,904.0,892.0
3500.0,860.0,952.0,900.1,898.5
3600.0,856.0,952.0,903.2,902.0
3700.0,856.0,949.0,904.0,898.5
3800.0,860.0,952.0,904.0,902.0
3900.0,856.4,949.0,900.9,902.0
4000.0,856.0,949.0,900.0,902.0
4100.0,858.6,952.0,900.0,902.0
4200.0,860.0,949.0,904.0,902.0
4300.0,860.0,949.0,900.0,893.6
4400.0,860.0,952.0,900.0,902.0
4500.0,856.5,950.9,904.0,902.0
4600.0,856.0,952.0,904.0,893.0
4700.0,860.0,952.0,902.4,892.0
4800.0,856.0,949.0,900.0,892.0
4900.0,860.0,952.0,900.0,897.0
5000.0,860.0,952.0,900.0,902.0
5100.0,856.0,949.0,900.0,892.0
5200.0,856.0,952.0,904.0,902.0
