timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,627.1,813.0,687.0,645.0
100.0,626.8,813.5,696.0,651.0
200.0,628.7,819.0,696.0,648.3
300.0,630.0,813.7,688.5,652.3
400.0,630.0,819.0,696.0,645.8
500.0,630.0,813.0,687.0,657.0
600.0,625.0,819.0,689.1,654.1
700.0,630.0,813.5,696.0,650.5
800.0,630.0,813.0,687.0,663.0
900.0,630.0,819.0,696.0,654.5
1000.0,626.0,819.0,696.0,663.0
1100.0,630.0,813.0,696.0,663.0
1200.0,630.0,819.0,687.0,645.0
1300.0,630.0,819.0,688.7,653.0
1400.0,625.0,813.0,696.0,656.6
1500.0,627.0,819.0,693.6,662.2
1600.0,630.0,813.0,696.0,654.1
1700.0,625.0,813.0,687.0,653.9
1800.0,628.7,819.0,694.9,658.8
1900.0,628.0,813.0,696.0,647.1
2000.0,625.0,813.0,696.0,652.8
2100.0,628.8,815.0,696.0,645.0
2200.0,630.0,819.0,696.0,645.0
2300.0,625.0,813.0,687.0,655.9
2400.0,630.0,815.1,696.0,660.1
2500.0,625.0,813.0,692.4,645.0
2600.0,630.0,813.0,687.0,650.3
2700.0,625.0,813.0,687.0,649.0
2800.0,630.0,813.0,696.0,661.0
2900.0,630.0,819.0,689.7,657.1
3000.0,630.0,819.0,687.0,648.6
3100.0,625.0,819.0,696.0,663.0
3200.0,630.0,819.0,696.0,648.7
3300.0,630.0,819.0,696.0,648.2
3400.0,630.0,816.4,687.0,661.5
3500.0,625.0,813.0,696.0,663.0
3600.0,627.8,819.0,696.0,663.0
3700.0,630.0,813.1,687.0,663.0
3800.0,625.0,813.0,687.0,645.0
3900.0,630.0,819.0,687.0,663.0
4000.0,625.0,813.0,687.0,662.9
4100.0,630.0,819.0,696.0,663.0
4200.0,625.0,813.0,696.0,661.8
4300.0,630.0,813.0,696.0,650.8
4400.0,625.0,814.6,696.0,651.6
4500.0,626.3,819.0,689.8,656.5
4600.0,625.0,819.0,691.0,663.0
4700.0,625.0,813.0,689.6,645.6
4800.0,630.0,813.0,696.0,651.2
4900.0,630.0,813.0,693.2,663.0
5000.0,625.0,813.5,696.0,656.2
5100.0,625.0,819.0,687.0,662.0
5200.0,630.0,819.0,689.9,663.0
5300.0,625.0,813.0,687.0,656.0
5400.0,630.0,819.0,687.0,646.0
5500.0,630.0,813.0,687.0,645.0
5600.0,625.0,813.0,695.4,662.2
5700.0,630.0,819.0,696.0,658.9
5800.0,625.0,816.6,687.0,659.7
5900.0,625.0,819.0,688.2,663.0
6000.0,630.0,819.0,696.0,663.0
6100.0,625.0,813.0,696.0,661.0
6200.0,625.0,819.0,696.0,663.0
6300.0,630.0,813.0,687.6,649.8
6400.0,630.0,819.0,687.0,653.5
6500.0,625.0,819.0,690.0,663.0
6600.0,630.0,819.0,696.0,659.9
6700.0,630.0,813.0,696.0,660.4
6800.0,625.0,813.0,696.0,649.5
6900.0,625.0,819.0,687.0,657.8
7000.0,630.0,813.0,696.0,648.2
7100.0,630.0,813.0,687.0,650.9
7200.0,626.6,819.0,689.9,663.0
7300.0,625.0,813.0,691.0,660.7
7400.0,628.2,819.0,696.0,650.3
7500.0,630.0,813.0,696.0,645.7
7600.0,625.0,819.0,696.0,663.0
7700.0,630.0,819.0,690.1,649.6
7800.0,629.1,815.7,687.0,653.3
7900.0,630.0,819.0,689.4,647.3
8000.0,630.0,813.0,690.7,656.6
8100.0,625.0,819.0,691.9,651.3
8200.0,625.0,813.0,696.0,662.4
8300.0,630.0,819.0,687.0,663.0
8400.0,630.0,813.0,687.2,650.5
8500.0,626.0,813.0,696.0,655.0
8600.0,625.0,819.0,696.0,647.4
8700.0,630.0,813.8,687.0,646.0
8800.0,630.0,819.0,696.0,657.5
8900.0,625.0,819.0,687.0,663.0
9000.0,625.0,819.0,687.0,658.0
9100.0,626.0,813.0,687.0,656.9
9200.0,626.7,819.0,691.5,663.0
9300.0,628.0,819.0,696.0,653.5
9400.0,627.0,819.0,687.0,653.4
9500.0,625.0,813.0,696.0,658.1
9600.0,630.0,819.0,687.0,658.8
9700.0,625.0,819.0,692.5,663.0
9800.0,630.0,813.0,696.0,657.3
9900.0,628.6,813.0,696.0,646.8
10000.0,625.1,815.8,687.0,645.0
10100.0,625.0,813.6,687.0,661.4
10200.0,625.0,819.0,696.0,652.2
10300.0,625.0,819.0,687.0,645.0
10400.0,630.0,813.0,687.0,660.3
10500.0,630.0,813.0,687.0,663.0
10600.0,630.0,819.0,687.0,647.7
10700.0,630.0,819.0,687.0,663.0
10800.0,627.9,813.0,687.0,645.0
10900.0,625.0,819.0,696.0,662.2
11000.0,625.0,819.0,696.0,653.8
11100.0,630.0,813.0,687.0,657.2
