timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,599.6,763.0,664.0,651.0
100.0,599.5,766.0,664.0,652.1
200.0,599.0,763.0,664.0,659.0
300.0,599.0,763.0,668.0,659.0
400.0,602.0,766.0,664.0,651.0
500.0,602.0,763.0,664.0,651.0
600.0,602.0,763.0,668.0,659.0
700.0,602.0,765.9,664.3,659.0
800.0,602.0,766.0,668.0,657.7
900.0,602.0,763.0,668.0,659.0
1000.0,602.0,766.0,668.0,658.7
1100.0,599.0,766.0,665.7,651.0
1200.0,602.0,763.0,664.0,651.0
1300.0,599.0,763.0,668.0,659.0
1400.0,602.0,766.0,664.0,658.0
1500.0,602.0,763.0,664.9,651.0
1600.0,602.0,766.0,664.0,659.0
1700.0,599.0,763.0,666.9,651.0
1800.0,599.0,763.0,668.0,651.7
1900.0,602.0,766.0,667.7,654.9
2000.0,602.0,763.0,668.0,651.0
2100.0,602.0,764.8,668.0,659.0
2200.0,602.0,763.0,664.0,659.0
2300.0,602.0,763.0,668.0,651.0
2400.0,599.0,766.0,664.0,651.0
2500.0,599.9,763.0,668.0,651.0
2600.0,599.0,763.0,667.4,659.0
2700.0,599.0,766.0,664.0,659.0
2800.0,599.0,766.0,668.0,651.0
2900.0,599.2,766.0,668.0,651.0
3000.0,599.0,763.0,668.0,651.0
3100.0,600.1,763.0,664.0,651.0
3200.0,602.0,766.0,668.0,652.9
3300.0,599.0,763.0,668.0,659.0
3400.0,602.0,766.0,665.6,655.6
3500.0,602.0,763.0,664.0,651.0
3600.0,602.0,763.0,664.0,651.0
3700.0,599.0,763.0,668.0,659.0
3800.0,599.0,766.0,664.0,659.0
3900.0,599.0,763.0,668.0,659.0
4000.0,599.0,766.0,668.0,657.0
4100.0,602.0,766.0,664.0,659.0
4200.0,602.0,764.7,664.0,659.0
4300.0,599.0,763.0,664.0,651.0
4400.0,602.0,763.0,665.0,651.0
4500.0,602.0,763.0,664.0,651.9
4600.0,599.0,763.0,668.0,651.0
4700.0,602.0,763.7,668.0,659.0
4800.0,599.0,766.0,667.3,659.0
4900.0,599.0,764.8,668.0,651.0
5000.0,599.0,766.0,664.0,651.0
5100.0,602.0,766.0,664.0,651.0
5200.0,599.0,763.0,664.0,651.0
5300.0,599.0,766.0,668.0,655.9
5400.0,599.0,763.0,666.0,651.0
5500.0,599.0,766.0,664.0,651.0
5600.0,599.0,763.0,664.4,658.7
5700.0,600.1,763.0,664.0,651.0
5800.0,599.0,766.0,668.0,651.0
5900.0,599.0,763.0,667.3,658.4
6000.0,602.0,766.0,664.0,651.0
6100.0,599.0,763.0,664.3,659.0
6200.0,602.0,766.0,664.0,659.0
6300.0,602.0,763.0,664.4,651.0
6400.0,599.0,766.0,664.0,659.0
6500.0,599.0,763.0,664.0,659.0
