timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,595.0,763.0,664.0,650.0
100.0,595.0,767.0,668.0,650.2
200.0,595.0,763.1,666.7,656.6
300.0,600.0,763.0,664.0,659.0
400.0,595.0,763.0,668.0,650.0
500.0,595.0,764.5,668.0,654.7
600.0,595.7,763.0,664.0,659.0
700.0,600.0,763.0,665.8,657.4
800.0,600.0,767.0,668.0,655.5
900.0,595.0,763.0,665.7,653.0
1000.0,599.9,767.0,668.0,650.0
1100.0,595.0,767.0,665.9,659.0
1200.0,600.0,767.0,668.0,659.0
1300.0,600.0,767.0,668.0,650.0
1400.0,595.0,763.0,668.0,659.0
1500.0,600.0,767.0,668.0,650.0
1600.0,595.0,765.4,668.0,658.2
1700.0,595.0,766.1,668.0,652.1
1800.0,599.4,766.0,664.0,650.0
1900.0,600.0,763.0,668.0,659.0
2000.0,600.0,763.0,664.0,650.0
2100.0,595.0,763.0,668.0,659.0
2200.0,600.0,767.0,668.0,655.6
2300.0,600.0,763.0,668.0,659.0
2400.0,600.0,763.0,668.0,657.2
2500.0,600.0,767.0,668.0,650.0
2600.0,600.0,763.0,664.0,659.0
2700.0,595.0,766.3,668.0,659.0
2800.0,600.0,763.0,668.0,651.2
2900.0,595.0,763.0,668.0,659.0
3000.0,595.0,763.0,664.0,650.0
3100.0,595.0,767.0,668.0,654.1
3200.0,598.1,763.0,667.2,659.0
3300.0,599.0,767.0,664.0,650.0
3400.0,600.0,763.0,664.0,657.8
3500.0,595.0,767.0,664.0,659.0
3600.0,595.0,767.0,668.0,659.0
3700.0,595.0,767.0,664.0,650.0
3800.0,595.0,767.0,668.0,652.1
3900.0,598.5,767.0,664.0,659.0
4000.0,600.0,763.0,668.0,655.3
4100.0,597.5,766.7,664.0,650.0
4200.0,595.0,767.0,665.6,659.0
4300.0,595.0,767.0,668.0,656.5
4400.0,600.0,763.0,668.0,650.0
4500.0,600.0,767.0,664.0,659.0
4600.0,595.0,765.1,664.0,650.0
4700.0,595.0,767.0,664.0,650.0
4800.0,595.0,767.0,665.3,650.0
4900.0,595.0,763.4,668.0,659.0
5000.0,600.0,767.0,664.0,654.5
5100.0,597.0,767.0,664.0,650.0
5200.0,600.0,763.0,668.0,657.9
5300.0,600.0,767.0,668.0,650.1
5400.0,595.0,763.0,664.0,651.2
5500.0,600.0,763.0,664.0,659.0
5600.0,600.0,763.0,668.0,650.0
5700.0,600.0,767.0,668.0,654.6
5800.0,600.0,767.0,664.0,659.0
5900.0,595.0,767.0,667.4,659.0
6000.0,600.0,767.0,668.0,650.0
6100.0,595.0,763.0,664.0,650.0
6200.0,595.0,767.0,667.8,650.0
6300.0,595.0,763.0,668.0,650.0
6400.0,595.0,763.0,664.0,650.0
6500.0,600.0,767.0,664.0,650.0
6600.0,595.0,763.0,664.0,658.5
6700.0,598.9,763.0,664.0,659.0
6800.0,595.0,767.0,664.0,650.0
6900.0,598.1,763.0,666.7,659.0
7000.0,600.0,763.0,664.0,650.0
7100.0,597.9,767.0,668.0,655.1
7200.0,595.0,767.0,668.0,650.5
7300.0,595.5,767.0,664.0,659.0
7400.0,600.0,767.0,667.4,654.5
7500.0,595.0,763.0,668.0,659.0
7600.0,595.0,767.0,665.8,657.0
7700.0,600.0,763.0,664.0,658.3
7800.0,600.0,767.0,667.6,653.1
7900.0,595.0,767.0,668.0,650.0
8000.0,600.0,763.0,668.0,654.0
8100.0,600.0,767.0,664.0,650.3
8200.0,600.0,767.0,668.0,650.0
8300.0,598.4,763.0,667.2,650.0
8400.0,595.0,767.0,666.8,650.0
8500.0,600.0,763.0,668.0,650.0
8600.0,600.0,763.0,668.0,659.0
8700.0,600.0,763.0,664.0,650.0
8800.0,595.0,763.0,668.0,657.5
8900.0,600.0,767.0,668.0,658.4
9000.0,595.0,763.0,668.0,654.9
9100.0,595.0,767.0,668.0,654.3
9200.0,600.0,763.0,668.0,650.0
9300.0,595.0,763.0,665.2,650.0
9400.0,595.0,767.0,666.5,659.0
9500.0,595.0,763.0,664.0,650.0
9600.0,595.0,766.1,667.9,657.7
