timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,586.3,770.0,666.0,664.7
100.0,599.1,770.0,671.0,677.0
200.0,594.7,770.2,671.0,671.3
300.0,586.0,770.0,666.0,674.4
400.0,586.0,781.0,666.0,672.7
500.0,586.0,781.0,666.0,677.0
600.0,593.9,780.5,671.0,667.3
700.0,601.0,770.9,666.0,664.2
800.0,594.3,770.0,666.0,664.4
900.0,586.7,781.0,671.0,675.0
1000.0,586.0,781.0,666.0,677.0
1100.0,601.0,770.0,666.0,677.0
1200.0,601.0,770.0,671.0,674.7
1300.0,586.0,780.9,671.0,676.0
1400.0,587.4,770.0,666.0,677.0
1500.0,586.0,770.0,666.0,668.3
1600.0,586.0,770.0,666.0,662.0
1700.0,592.4,781.0,666.0,674.9
1800.0,586.0,781.0,671.0,663.4
1900.0,588.9,778.6,671.0,662.0
2000.0,595.9,770.0,666.0,677.0
2100.0,597.0,781.0,671.0,667.4
2200.0,601.0,781.0,669.5,662.0
2300.0,601.0,781.0,666.0,662.0
2400.0,586.0,773.0,671.0,677.0
2500.0,591.2,770.0,666.3,662.0
2600.0,586.0,770.0,666.0,675.4
2700.0,587.8,781.0,666.0,665.0
2800.0,586.8,772.1,671.0,676.1
2900.0,586.7,770.0,666.0,677.0
3000.0,591.9,781.0,669.3,671.6
3100.0,586.0,770.0,667.3,667.5
3200.0,601.0,774.6,671.0,662.0
3300.0,601.0,780.5,671.0,662.0
3400.0,590.7,770.0,666.0,662.0
3500.0,593.0,781.0,671.0,668.3
3600.0,595.4,781.0,671.0,677.0
3700.0,586.0,781.0,671.0,662.0
3800.0,591.8,770.0,666.0,677.0
3900.0,589.6,778.4,670.4,665.1
4000.0,594.5,777.7,666.0,665.6
4100.0,586.0,773.1,666.0,662.0
4200.0,587.7,777.1,666.0,677.0
4300.0,586.0,781.0,671.0,672.0
4400.0,586.0,770.0,671.0,673.9
4500.0,600.8,781.0,671.0,665.8
4600.0,586.0,770.0,667.2,672.9
4700.0,596.7,781.0,668.7,677.0
4800.0,592.5,770.0,671.0,677.0
4900.0,586.0,770.0,669.0,674.7
5000.0,586.0,778.0,671.0,662.0
5100.0,596.1,771.9,671.0,662.0
5200.0,586.0,770.0,668.3,672.6
5300.0,598.9,781.0,671.0,662.0
5400.0,601.0,770.0,666.0,662.0
5500.0,597.6,781.0,666.0,676.4
5600.0,590.7,770.0,666.0,677.0
5700.0,586.0,770.0,666.0,677.0
5800.0,599.4,781.0,670.9,662.2
5900.0,586.4,781.0,666.0,662.0
6000.0,594.1,772.0,666.0,662.0
6100.0,591.7,770.0,671.0,667.0
6200.0,590.5,770.0,671.0,663.6
6300.0,600.6,781.0,671.0,666.3
6400.0,601.0,781.0,671.0,662.0
6500.0,601.0,779.6,666.0,673.3
6600.0,586.0,770.0,667.7,677.0
6700.0,600.7,770.0,666.0,677.0
6800.0,594.7,770.0,671.0,677.0
6900.0,589.0,778.2,666.0,677.0
7000.0,597.0,772.8,667.6,672.0
7100.0,587.9,770.2,666.0,673.6
7200.0,595.8,770.0,671.0,673.3
7300.0,595.8,770.0,671.0,662.0
7400.0,586.0,781.0,666.0,662.0
7500.0,593.9,781.0,671.0,662.7
7600.0,586.0,775.6,666.0,677.0
7700.0,586.0,781.0,666.0,662.0
7800.0,591.4,781.0,670.9,662.0
7900.0,586.0,770.0,669.3,677.0
8000.0,592.7,771.9,669.6,662.0
8100.0,586.0,781.0,666.0,663.2
8200.0,586.8,781.0,666.0,677.0
8300.0,591.6,770.0,666.0,672.0
8400.0,586.0,781.0,668.3,664.8
8500.0,593.5,777.9,666.0,665.3
8600.0,590.6,770.0,666.0,677.0
8700.0,597.4,781.0,671.0,677.0
8800.0,588.4,771.1,669.0,669.4
8900.0,593.3,780.9,666.0,662.0
9000.0,587.0,781.0,671.0,677.0
9100.0,597.0,770.0,666.0,662.0
9200.0,595.6,773.0,666.0,667.1
9300.0,588.2,770.0,671.0,677.0
9400.0,601.0,770.0,666.0,677.0
9500.0,586.0,770.0,670.8,662.0
9600.0,593.1,770.0,666.0,673.2
9700.0,586.0,770.0,671.0,668.3
9800.0,589.4,774.7,666.0,662.0
9900.0,589.2,770.0,671.0,677.0
10000.0,593.7,781.0,666.0,665.0
10100.0,586.0,781.0,666.0,662.0
