timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,535.7,720.0,567.9,375.0
100.0,556.0,710.1,579.8,368.2
200.0,546.4,720.0,580.0,374.2
300.0,552.2,713.7,576.8,377.7
400.0,544.4,715.2,579.3,366.6
500.0,556.0,709.0,580.0,365.8
600.0,546.6,720.0,579.7,366.5
700.0,531.9,720.0,575.8,373.0
800.0,547.7,709.0,565.8,383.0
900.0,540.1,712.6,580.0,371.2
1000.0,551.9,709.0,565.6,383.0
1100.0,537.9,715.7,580.0,374.5
1200.0,555.3,715.4,577.8,362.1
1300.0,532.9,709.0,575.7,374.4
1400.0,538.1,717.6,576.0,365.7
1500.0,556.0,718.3,565.0,379.8
1600.0,544.8,717.6,571.6,378.8
1700.0,556.0,720.0,568.9,375.0
1800.0,553.7,720.0,565.0,380.6
1900.0,540.9,713.0,571.8,376.5
2000.0,540.2,720.0,573.3,367.0
2100.0,543.3,710.7,573.0,367.4
2200.0,556.0,716.3,565.0,379.7
2300.0,556.0,720.0,580.0,363.1
2400.0,536.7,720.0,579.5,383.0
2500.0,544.7,719.4,565.0,378.3
2600.0,556.0,720.0,570.9,370.8
2700.0,548.7,720.0,566.3,368.1
2800.0,534.5,714.9,570.6,374.5
2900.0,541.5,709.0,572.7,379.5
3000.0,543.6,709.4,577.6,383.0
3100.0,556.0,711.9,578.5,374.1
3200.0,542.6,720.0,573.7,369.9
3300.0,547.0,720.0,580.0,372.0
3400.0,535.7,709.0,568.7,372.4
3500.0,552.0,720.0,580.0,369.6
3600.0,556.0,709.0,580.0,371.5
3700.0,553.2,720.0,580.0,378.3
3800.0,556.0,709.0,580.0,377.5
3900.0,556.0,709.0,567.7,367.5
4000.0,533.4,710.0,573.0,369.3
4100.0,547.1,720.0,571.2,370.6
4200.0,556.0,712.2,572.6,354.0
4300.0,542.0,720.0,580.0,370.5
4400.0,556.0,709.0,567.8,381.7
4500.0,556.0,720.0,570.4,367.4
4600.0,545.8,719.5,580.0,355.4
4700.0,556.0,720.0,569.1,369.2
4800.0,549.9,714.4,580.0,375.3
4900.0,551.5,720.0,566.6,377.0
5000.0,551.4,720.0,580.0,377.1
5100.0,548.2,718.4,572.9,368.8
5200.0,541.0,714.3,569.7,367.3
5300.0,555.1,709.0,580.0,360.5
5400.0,535.5,715.2,573.7,375.8
5500.0,544.0,709.0,580.0,368.2
5600.0,550.1,717.9,571.3,383.0
5700.0,535.1,709.0,580.0,356.4
5800.0,556.0,720.0,569.8,378.4
5900.0,541.9,720.0,573.4,376.4
6000.0,543.4,709.0,568.2,363.3
6100.0,549.3,720.0,577.5,361.1
6200.0,549.6,709.0,574.4,375.5
6300.0,554.1,720.0,569.5,374.0
6400.0,551.1,720.0,579.5,366.0
6500.0,543.5,717.2,580.0,380.7
6600.0,555.4,709.0,576.8,376.3
6700.0,541.0,720.0,574.8,380.6
6800.0,541.3,715.5,577.6,368.0
6900.0,556.0,717.6,576.4,376.9
7000.0,552.4,720.0,572.2,373.9
7100.0,549.2,720.0,579.2,367.3
7200.0,542.6,720.0,577.5,370.6
7300.0,539.8,720.0,575.7,376.7
7400.0,544.8,710.7,580.0,382.8
7500.0,530.0,709.0,565.0,369.0
7600.0,556.0,716.1,565.0,375.8
7700.0,556.0,709.0,565.0,372.9
7800.0,539.2,720.0,573.5,368.4
7900.0,549.4,710.5,567.2,356.5
8000.0,554.5,709.0,568.1,378.6
8100.0,556.0,718.2,576.1,375.3
8200.0,553.7,716.4,566.7,382.6
8300.0,555.1,709.0,579.1,358.7
8400.0,531.7,714.2,571.6,380.0
8500.0,556.0,720.0,580.0,371.1
8600.0,540.9,712.2,569.4,371.9
8700.0,545.6,720.0,570.6,358.9
8800.0,535.2,709.0,578.9,373.7
8900.0,530.0,718.1,580.0,354.3
9000.0,541.1,711.8,578.4,379.7
9100.0,550.7,714.7,569.0,362.2
9200.0,544.8,709.0,580.0,364.5
9300.0,556.0,719.3,580.0,365.6
9400.0,556.0,720.0,568.8,355.0
9500.0,556.0,720.0,580.0,359.0
9600.0,553.2,720.0,568.7,371.1
9700.0,554.1,714.7,580.0,368.3
9800.0,540.4,715.1,565.0,383.0
9900.0,530.0,709.0,569.1,376.5
10000.0,554.9,720.0,573.5,371.0
10100.0,541.2,719.2,566.8,366.1
10200.0,548.8,711.7,569.1,358.4
10300.0,548.7,709.0,580.0,379.3
10400.0,543.4,720.0,573.4,354.0
10500.0,543.9,713.8,573.7,358.4
10600.0,550.8,720.0,580.0,377.7
10700.0,548.1,709.0,579.2,370.5
10800.0,549.1,715.4,575.9,376.6
10900.0,554.4,720.0,580.0,383.0
11000.0,548.5,709.0,576.8,366.4
11100.0,534.4,720.0,578.4,364.0
11200.0,543.7,713.6,572.1,360.1
11300.0,540.3,709.0,575.7,367.4
11400.0,556.0,720.0,580.0,366.9
11500.0,554.1,720.0,573.5,368.2
11600.0,550.7,720.0,568.4,370.9
11700.0,530.0,720.0,570.9,374.6
11800.0,532.7,720.0,569.0,383.0
11900.0,540.6,711.9,568.3,366.7
12000.0,545.2,711.6,580.0,374.2
12100.0,541.3,709.0,576.8,371.1
12200.0,546.1,712.6,580.0,381.1
12300.0,540.9,709.9,573.3,365.3
12400.0,545.6,720.0,580.0,373.8
12500.0,530.0,720.0,580.0,372.4
12600.0,556.0,709.0,576.3,368.8
12700.0,543.6,719.6,579.6,365.0
12800.0,556.0,709.0,572.0,356.0
12900.0,537.6,716.4,565.0,380.1
13000.0,549.9,711.4,580.0,375.4
13100.0,552.6,717.7,580.0,367.3
13200.0,551.6,709.0,565.0,366.1
13300.0,545.3,720.0,569.2,364.7
