timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,784.0,842.0,735.0,499.0
100.0,784.0,843.0,735.0,500.0
200.0,784.0,843.0,734.0,498.0
300.0,784.0,842.0,735.0,501.0
400.0,785.0,843.0,735.0,499.0
500.0,784.0,842.0,735.0,499.0
600.0,785.0,843.0,735.0,499.0
700.0,784.0,842.0,735.0,500.0
800.0,785.0,842.0,735.0,499.0
900.0,784.0,843.0,735.0,501.0
1000.0,783.0,843.0,736.0,502.0
1100.0,784.0,843.0,736.0,501.0
1200.0,784.0,843.0,735.0,501.0
1300.0,784.0,843.0,735.0,501.0
1400.0,785.0,842.0,736.0,502.0
1500.0,784.0,843.0,736.0,501.0
1600.0,785.0,843.0,736.0,502.0
1700.0,785.0,843.0,735.0,502.0
1800.0,784.0,843.0,736.0,502.0
1900.0,784.0,844.0,735.0,503.0
2000.0,784.0,843.0,736.0,501.0
2100.0,784.0,843.0,736.0,503.0
2200.0,785.0,843.0,736.0,503.0
2300.0,784.0,842.0,736.0,503.0
2400.0,784.0,843.0,737.0,504.0
2500.0,784.0,843.0,736.0,503.0
2600.0,784.0,843.0,736.0,503.0
2700.0,784.0,842.0,737.0,503.0
2800.0,784.0,843.0,736.0,503.0
2900.0,784.0,843.0,737.0,504.0
3000.0,785.0,843.0,736.0,505.0
3100.0,785.0,843.0,736.0,505.0
3200.0,784.0,843.0,737.0,506.0
3300.0,784.0,843.0,736.0,505.0
3400.0,784.0,843.0,737.0,507.0
3500.0,784.0,843.0,737.0,506.0
3600.0,784.0,844.0,736.0,505.0
3700.0,784.0,843.0,736.0,504.0
3800.0,784.0,843.0,737.0,506.0
3900.0,784.0,843.0,737.0,506.0
4000.0,784.0,843.0,737.0,507.0
4100.0,784.0,843.0,737.0,507.0
4200.0,784.0,842.0,737.0,507.0
4300.0,783.0,843.0,737.0,508.0
4400.0,784.0,843.0,737.0,505.0
4500.0,784.0,843.0,737.0,507.0
4600.0,785.0,843.0,737.0,508.0
4700.0,785.0,844.0,738.0,507.0
4800.0,784.0,843.0,737.0,508.0
4900.0,784.0,842.0,738.0,508.0
5000.0,784.0,843.0,737.0,507.0
5100.0,784.0,843.0,738.0,508.0
5200.0,785.0,843.0,738.0,508.0
5300.0,784.0,842.0,737.0,508.0
5400.0,784.0,843.0,738.0,510.0
5500.0,784.0,844.0,738.0,509.0
5600.0,784.0,843.0,738.0,510.0
5700.0,784.0,843.0,738.0,508.0
5800.0,784.0,843.0,738.0,510.0
5900.0,785.0,843.0,737.0,509.0
6000.0,784.0,842.0,738.0,510.0
6100.0,784.0,843.0,737.0,510.0
6200.0,784.0,844.0,738.0,509.0
6300.0,784.0,844.0,739.0,510.0
6400.0,784.0,843.0,737.0,511.0
6500.0,785.0,843.0,739.0,511.0
6600.0,784.0,843.0,738.0,510.0
6700.0,784.0,843.0,738.0,511.0
6800.0,784.0,843.0,739.0,510.0
6900.0,784.0,843.0,739.0,511.0
7000.0,784.0,844.0,738.0,511.0
7100.0,784.0,844.0,738.0,511.0
7200.0,783.0,843.0,738.0,510.0
7300.0,784.0,843.0,739.0,511.0
7400.0,784.0,843.0,739.0,512.0
7500.0,785.0,843.0,739.0,512.0
7600.0,785.0,842.0,738.0,512.0
7700.0,785.0,842.0,739.0,512.0
7800.0,785.0,843.0,738.0,513.0
7900.0,785.0,844.0,739.0,512.0
8000.0,785.0,843.0,739.0,512.0
8100.0,785.0,843.0,739.0,513.0
8200.0,786.0,843.0,740.0,514.0
8300.0,786.0,844.0,740.0,514.0
8400.0,785.0,843.0,740.0,514.0
8500.0,785.0,843.0,739.0,514.0
8600.0,786.0,844.0,739.0,514.0
8700.0,786.0,843.0,739.0,513.0
8800.0,785.0,844.0,739.0,514.0
8900.0,786.0,843.0,740.0,515.0
9000.0,786.0,844.0,739.0,515.0
9100.0,786.0,844.0,740.0,515.0
9200.0,786.0,844.0,739.0,515.0
9300.0,786.0,844.0,739.0,514.0
9400.0,785.0,844.0,740.0,515.0
9500.0,785.0,844.0,740.0,515.0
9600.0,786.0,844.0,739.0,516.0
9700.0,786.0,844.0,739.0,516.0
9800.0,786.0,844.0,740.0,517.0
9900.0,787.0,843.0,740.0,516.0
10000.0,786.0,844.0,740.0,515.0
10100.0,785.0,844.0,740.0,517.0
10200.0,785.0,844.0,740.0,518.0
10300.0,786.0,844.0,740.0,517.0
10400.0,786.0,845.0,740.0,517.0
10500.0,785.0,843.0,740.0,518.0
10600.0,785.0,843.0,739.0,518.0
10700.0,786.0,844.0,741.0,518.0
10800.0,786.0,845.0,740.0,519.0
10900.0,787.0,844.0,741.0,518.0
11000.0,787.0,845.0,740.0,518.0
11100.0,786.0,844.0,740.0,519.0
11200.0,786.0,844.0,740.0,519.0
11300.0,785.0,844.0,740.0,521.0
11400.0,787.0,844.0,741.0,519.0
11500.0,786.0,844.0,741.0,520.0
11600.0,787.0,844.0,741.0,518.0
11700.0,786.0,845.0,740.0,520.0
11800.0,786.0,845.0,741.0,520.0
11900.0,787.0,844.0,740.0,521.0
12000.0,787.0,844.0,741.0,520.0
12100.0,786.0,844.0,741.0,521.0
12200.0,787.0,844.0,742.0,520.0
12300.0,786.0,845.0,741.0,521.0
12400.0,787.0,845.0,741.0,522.0
12500.0,786.0,845.0,741.0,521.0
12600.0,787.0,845.0,741.0,521.0
12700.0,786.0,845.0,742.0,521.0
12800.0,786.0,845.0,741.0,522.0
12900.0,787.0,844.0,741.0,521.0
13000.0,786.0,845.0,741.0,522.0
13100.0,786.0,844.0,741.0,523.0
13200.0,786.0,845.0,741.0,522.0
13300.0,786.0,845.0,742.0,524.0
13400.0,786.0,845.0,742.0,523.0
13500.0,786.0,845.0,742.0,522.0
