timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,737.0,666.0,418.0,285.0
100.0,737.0,666.0,419.0,284.0
200.0,736.0,667.0,421.0,286.0
300.0,736.0,668.0,421.0,286.0
400.0,736.0,669.0,422.0,287.0
500.0,736.0,670.0,424.0,288.0
600.0,736.0,671.0,424.0,289.0
700.0,736.0,671.0,426.0,289.0
800.0,736.0,672.0,426.0,290.0
900.0,736.0,672.0,428.0,291.0
1000.0,735.0,674.0,429.0,291.0
1100.0,734.0,675.0,429.0,292.0
1200.0,735.0,675.0,430.0,292.0
1300.0,734.0,676.0,431.0,292.0
1400.0,733.0,676.0,433.0,293.0
1500.0,734.0,677.0,433.0,293.0
1600.0,733.0,677.0,434.0,293.0
1700.0,733.0,677.0,435.0,292.0
1800.0,732.0,678.0,436.0,293.0
1900.0,731.0,678.0,436.0,293.0
2000.0,731.0,679.0,437.0,293.0
2100.0,729.0,679.0,438.0,293.0
2200.0,730.0,680.0,439.0,292.0
2300.0,730.0,679.0,440.0,293.0
2400.0,729.0,680.0,440.0,293.0
2500.0,729.0,680.0,440.0,292.0
2600.0,728.0,681.0,441.0,293.0
2700.0,727.0,680.0,442.0,293.0
2800.0,727.0,681.0,443.0,292.0
2900.0,727.0,681.0,443.0,291.0
3000.0,726.0,681.0,445.0,293.0
3100.0,725.0,683.0,445.0,293.0
3200.0,725.0,683.0,446.0,292.0
3300.0,724.0,683.0,446.0,293.0
3400.0,724.0,684.0,447.0,293.0
3500.0,724.0,684.0,448.0,293.0
3600.0,724.0,685.0,448.0,294.0
3700.0,723.0,686.0,450.0,295.0
3800.0,724.0,687.0,450.0,294.0
3900.0,723.0,686.0,451.0,294.0
4000.0,723.0,688.0,452.0,295.0
4100.0,723.0,688.0,452.0,295.0
4200.0,722.0,689.0,454.0,295.0
4300.0,722.0,689.0,455.0,295.0
4400.0,722.0,690.0,455.0,295.0
4500.0,722.0,691.0,456.0,295.0
4600.0,722.0,691.0,458.0,295.0
4700.0,721.0,690.0,457.0,295.0
4800.0,722.0,691.0,458.0,295.0
4900.0,721.0,693.0,459.0,294.0
5000.0,722.0,692.0,459.0,293.0
5100.0,721.0,692.0,461.0,294.0
5200.0,720.0,692.0,461.0,293.0
5300.0,721.0,694.0,462.0,293.0
5400.0,720.0,694.0,462.0,292.0
5500.0,721.0,694.0,463.0,292.0
5600.0,720.0,694.0,463.0,291.0
5700.0,720.0,694.0,464.0,291.0
5800.0,720.0,694.0,465.0,290.0
5900.0,720.0,694.0,466.0,289.0
6000.0,719.0,694.0,465.0,289.0
6100.0,718.0,694.0,466.0,289.0
6200.0,718.0,694.0,467.0,288.0
6300.0,717.0,694.0,467.0,288.0
6400.0,717.0,694.0,467.0,287.0
6500.0,717.0,694.0,467.0,287.0
6600.0,717.0,694.0,467.0,286.0
6700.0,716.0,694.0,468.0,286.0
6800.0,716.0,694.0,468.0,285.0
6900.0,716.0,694.0,469.0,285.0
7000.0,716.0,694.0,469.0,284.0
7100.0,715.0,694.0,470.0,284.0
7200.0,715.0,693.0,469.0,283.0
7300.0,714.0,693.0,468.0,283.0
7400.0,714.0,693.0,470.0,282.0
7500.0,714.0,694.0,470.0,282.0
7600.0,713.0,693.0,470.0,282.0
7700.0,713.0,693.0,471.0,281.0
7800.0,713.0,694.0,471.0,281.0
