timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,420.0,609.0,373.0,212.8
100.0,420.0,620.0,368.0,212.6
200.0,418.0,609.0,368.0,212.3
300.0,417.0,620.0,373.0,215.0
400.0,420.0,616.8,368.0,212.6
500.0,420.0,614.9,369.8,212.7
600.0,417.0,609.0,373.0,212.1
700.0,417.0,609.0,371.8,215.0
800.0,418.2,617.8,368.0,212.0
900.0,420.0,620.0,373.0,215.0
1000.0,420.0,616.8,373.0,212.5
1100.0,417.0,609.0,373.0,212.0
1200.0,420.0,612.1,373.0,212.0
1300.0,420.0,609.0,368.0,212.0
1400.0,417.0,613.6,368.0,212.0
1500.0,420.0,609.0,373.0,213.6
1600.0,417.0,609.0,369.8,212.0
1700.0,418.6,613.8,373.0,212.0
1800.0,420.0,620.0,368.0,214.0
1900.0,417.0,614.8,368.0,214.6
2000.0,418.1,610.4,368.0,215.0
2100.0,417.0,609.0,368.0,215.0
2200.0,417.0,609.0,368.0,212.0
2300.0,417.0,611.6,368.0,212.0
2400.0,417.0,611.3,373.0,215.0
2500.0,420.0,620.0,368.8,215.0
2600.0,418.4,612.8,373.0,215.0
2700.0,420.0,620.0,372.9,213.2
2800.0,418.7,610.0,368.0,215.0
2900.0,417.0,609.0,373.0,215.0
3000.0,420.0,610.6,368.0,215.0
3100.0,419.0,620.0,368.0,215.0
3200.0,420.0,620.0,373.0,212.0
3300.0,420.0,618.3,370.1,212.3
3400.0,419.2,620.0,368.0,215.0
3500.0,420.0,612.7,373.0,214.4
3600.0,420.0,614.0,373.0,212.4
3700.0,417.0,609.0,373.0,215.0
3800.0,417.0,620.0,373.0,214.0
3900.0,420.0,609.0,372.7,214.6
4000.0,417.9,618.9,368.0,212.0
4100.0,420.0,615.1,373.0,212.3
4200.0,417.0,620.0,368.0,215.0
4300.0,417.0,609.8,372.2,215.0
4400.0,420.0,620.0,373.0,212.0
4500.0,417.0,619.5,373.0,213.8
4600.0,417.0,620.0,373.0,215.0
4700.0,420.0,614.4,368.0,212.0
4800.0,420.0,616.5,373.0,215.0
4900.0,420.0,612.8,373.0,212.9
5000.0,418.3,615.4,368.9,212.0
5100.0,417.0,609.0,373.0,213.1
5200.0,418.1,609.5,368.0,212.6
5300.0,420.0,609.7,372.2,214.2
5400.0,420.0,609.1,371.6,212.6
5500.0,420.0,620.0,369.6,212.0
5600.0,420.0,617.8,370.0,212.0
5700.0,417.0,612.4,370.9,215.0
5800.0,418.2,614.5,368.0,212.0
5900.0,419.2,609.0,370.2,212.0
6000.0,420.0,614.3,373.0,214.4
6100.0,417.0,618.1,373.0,215.0
6200.0,417.0,620.0,373.0,215.0
6300.0,417.0,620.0,373.0,213.3
6400.0,417.0,609.0,368.0,213.4
6500.0,417.0,618.4,370.0,212.5
6600.0,417.0,620.0,373.0,215.0
6700.0,417.0,609.0,372.0,213.3
6800.0,417.0,609.2,368.0,212.2
6900.0,420.0,620.0,372.3,213.1
7000.0,420.0,620.0,373.0,213.5
7100.0,417.0,613.3,373.0,212.8
7200.0,419.6,609.6,371.3,215.0
7300.0,417.0,609.0,373.0,212.0
7400.0,420.0,609.0,372.6,215.0
7500.0,420.0,619.3,371.4,212.9
7600.0,417.0,619.1,372.1,215.0
7700.0,417.0,618.9,368.0,214.1
7800.0,420.0,620.0,368.0,213.0
7900.0,417.0,615.2,368.0,214.9
8000.0,417.0,612.0,373.0,215.0
8100.0,417.0,609.0,373.0,214.7
8200.0,420.0,620.0,370.4,212.0
8300.0,420.0,612.6,370.3,215.0
8400.0,417.0,609.0,369.7,215.0
8500.0,417.0,609.0,370.8,215.0
8600.0,417.0,620.0,368.8,212.0
8700.0,420.0,620.0,371.1,213.7
8800.0,420.0,620.0,373.0,212.0
8900.0,417.0,620.0,369.1,212.0
9000.0,417.0,610.7,368.0,212.6
9100.0,420.0,609.0,370.6,213.8
9200.0,417.9,612.0,368.0,212.2
9300.0,417.0,609.0,368.0,214.7
9400.0,420.0,609.0,373.0,212.0
9500.0,418.3,609.0,370.4,214.5
9600.0,420.0,620.0,373.0,215.0
9700.0,417.0,613.4,373.0,215.0
9800.0,417.0,620.0,373.0,212.7
9900.0,420.0,618.0,368.0,212.8
10000.0,420.0,615.5,373.0,215.0
10100.0,417.0,609.0,368.0,212.0
10200.0,419.1,617.3,368.0,215.0
10300.0,417.0,609.1,371.5,212.1
10400.0,417.0,611.6,373.0,214.5
10500.0,417.0,620.0,373.0,215.0
10600.0,417.8,612.7,368.0,214.7
10700.0,417.7,616.3,370.9,215.0
10800.0,420.0,620.0,371.8,214.9
10900.0,417.0,609.0,369.6,212.0
11000.0,417.0,609.0,373.0,212.0
11100.0,420.0,620.0,372.5,213.3
11200.0,417.0,610.3,373.0,215.0
11300.0,417.0,618.5,373.0,212.2
11400.0,417.0,620.0,373.0,215.0
11500.0,417.0,618.0,371.7,215.0
11600.0,417.0,611.2,368.0,212.0
11700.0,420.0,619.9,371.2,215.0
11800.0,420.0,614.3,373.0,213.4
11900.0,417.0,609.6,373.0,212.1
12000.0,417.0,618.2,371.3,213.2
12100.0,420.0,613.7,373.0,214.3
12200.0,420.0,609.0,370.8,212.0
12300.0,417.0,620.0,368.0,215.0
12400.0,417.0,616.6,373.0,215.0
12500.0,420.0,617.0,370.5,215.0
12600.0,420.0,609.0,372.8,212.7
12700.0,417.0,620.0,371.1,214.2
12800.0,420.0,617.5,368.4,215.0
12900.0,420.0,609.0,373.0,215.0
13000.0,417.7,609.0,368.0,215.0
13100.0,417.0,620.0,373.0,215.0
13200.0,420.0,620.0,372.5,212.4
13300.0,417.0,614.1,368.0,213.4
13400.0,418.2,620.0,373.0,215.0
13500.0,417.0,609.2,368.4,213.2
13600.0,417.0,609.0,371.6,215.0
13700.0,420.0,620.0,368.6,213.1
13800.0,420.0,610.2,373.0,215.0
13900.0,417.0,617.9,373.0,215.0
14000.0,420.0,620.0,370.8,214.2
14100.0,417.0,609.0,372.8,214.0
14200.0,420.0,612.3,372.9,214.8
14300.0,417.0,617.1,372.9,212.0
14400.0,420.0,620.0,372.8,215.0
14500.0,420.0,620.0,373.0,215.0
14600.0,420.0,609.0,368.0,215.0
14700.0,420.0,620.0,373.0,213.9
14800.0,420.0,609.0,373.0,215.0
14900.0,417.0,609.0,368.0,212.0
15000.0,419.9,620.0,370.9,212.3
15100.0,417.0,611.5,372.4,213.6
15200.0,417.0,617.8,373.0,215.0
15300.0,419.8,609.0,368.0,215.0
15400.0,420.0,618.1,370.9,213.1
15500.0,417.0,620.0,368.0,213.3
15600.0,420.0,620.0,368.0,212.0
15700.0,420.0,609.0,368.0,214.0
15800.0,420.0,618.9,373.0,215.0
15900.0,417.0,611.3,373.0,212.7
16000.0,417.0,618.5,368.0,215.0
16100.0,420.0,609.0,368.0,212.0
16200.0,417.0,620.0,368.0,215.0
16300.0,417.0,620.0,373.0,214.5
16400.0,420.0,620.0,368.0,212.0
16500.0,420.0,612.7,373.0,212.0
16600.0,417.0,620.0,368.5,212.0
16700.0,417.0,609.0,373.0,215.0
16800.0,420.0,618.5,368.0,212.5
16900.0,417.4,610.0,368.0,212.0
17000.0,420.0,620.0,371.1,212.0
17100.0,417.0,620.0,372.0,215.0
17200.0,420.0,609.0,373.0,213.7
