timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,414.0,610.8,362.0,199.4
100.0,412.7,603.0,362.0,202.5
200.0,411.0,611.0,369.0,198.9
300.0,412.0,606.0,362.0,203.0
400.0,413.0,611.0,364.6,200.1
500.0,411.0,611.0,368.0,200.8
600.0,414.0,611.0,369.0,199.8
700.0,414.0,610.6,364.1,195.9
800.0,414.0,605.2,369.0,203.0
900.0,411.3,611.0,362.0,195.0
1000.0,414.0,611.0,367.4,195.0
1100.0,411.0,611.0,362.0,196.1
1200.0,411.7,605.3,362.0,199.6
1300.0,414.0,605.2,366.4,196.6
1400.0,413.7,611.0,362.0,195.0
1500.0,414.0,611.0,368.0,197.1
1600.0,414.0,611.0,369.0,202.0
1700.0,411.0,610.1,362.0,197.2
1800.0,411.0,611.0,362.0,199.6
1900.0,411.0,603.0,362.6,201.0
2000.0,411.0,607.3,362.0,199.2
2100.0,414.0,603.0,369.0,197.1
2200.0,411.0,603.0,362.1,195.0
2300.0,411.0,611.0,366.0,203.0
2400.0,411.0,611.0,368.8,197.4
2500.0,414.0,611.0,362.0,197.0
2600.0,412.6,603.0,368.4,202.6
2700.0,411.0,603.0,364.7,196.6
2800.0,414.0,611.0,367.7,201.0
2900.0,413.4,608.4,369.0,198.0
3000.0,414.0,611.0,369.0,197.4
3100.0,411.0,610.6,362.0,198.4
3200.0,414.0,611.0,362.0,201.9
3300.0,414.0,606.8,365.6,203.0
3400.0,412.1,609.9,369.0,203.0
3500.0,414.0,603.0,368.5,198.8
3600.0,414.0,611.0,362.3,198.3
3700.0,411.0,611.0,366.1,195.7
3800.0,414.0,611.0,362.0,200.3
3900.0,411.0,604.2,362.4,199.0
4000.0,413.8,603.0,369.0,199.1
4100.0,411.0,611.0,366.1,197.4
4200.0,411.0,603.9,367.8,199.3
4300.0,411.0,603.0,367.3,203.0
4400.0,411.0,611.0,363.8,200.0
4500.0,411.0,606.8,369.0,200.8
4600.0,411.0,606.8,362.0,202.8
4700.0,411.0,609.7,369.0,201.7
