timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,429.9,641.3,303.6,494.8
100.0,422.9,674.4,338.1,555.6
200.0,440.0,657.3,321.1,615.8
300.0,425.5,693.1,369.2,577.0
400.0,431.9,718.0,391.8,577.4
500.0,439.7,705.7,380.8,527.8
600.0,417.6,716.5,389.8,521.3
700.0,437.2,665.6,322.8,617.3
800.0,417.4,714.8,391.2,530.6
900.0,440.1,704.9,390.1,522.0
1000.0,437.8,694.8,378.9,537.2
1100.0,454.0,687.1,354.0,584.7
1200.0,408.0,678.3,359.0,541.2
1300.0,410.3,689.1,364.1,545.5
1400.0,434.3,713.1,398.0,530.5
1500.0,454.0,718.0,386.2,587.7
1600.0,441.5,718.0,383.9,548.0
1700.0,426.8,628.0,298.0,502.5
1800.0,444.2,707.9,382.8,578.6
1900.0,437.3,710.4,388.4,547.9
2000.0,454.0,686.6,369.9,614.9
2100.0,452.6,704.8,366.9,602.8
2200.0,443.6,710.2,390.9,604.7
2300.0,433.8,700.2,371.4,582.4
2400.0,435.9,716.0,398.0,557.4
2500.0,416.5,628.0,305.8,500.8
2600.0,433.1,718.0,385.1,551.5
2700.0,440.8,708.6,392.2,561.7
2800.0,432.6,708.6,395.9,529.8
2900.0,441.4,701.4,386.0,598.6
3000.0,445.8,688.1,365.4,613.4
3100.0,447.7,701.9,382.4,580.9
3200.0,423.1,628.0,300.8,510.7
3300.0,433.4,700.3,369.5,574.5
3400.0,437.0,713.9,377.2,534.1
3500.0,445.3,663.4,341.1,588.5
3600.0,427.7,674.5,370.9,575.7
3700.0,433.7,666.7,341.5,579.7
3800.0,429.4,717.7,397.1,562.4
3900.0,439.6,710.2,372.6,536.4
4000.0,411.7,676.6,367.5,538.1
4100.0,429.7,652.7,309.5,579.3
4200.0,432.8,699.6,367.1,589.0
4300.0,442.9,655.2,322.4,616.1
4400.0,444.1,718.0,387.4,588.9
4500.0,445.9,702.3,398.0,547.1
4600.0,437.4,682.2,371.2,574.9
4700.0,433.9,711.6,398.0,552.2
4800.0,436.4,700.0,396.0,556.7
4900.0,433.1,660.6,318.1,623.0
5000.0,427.3,697.9,379.1,586.1
5100.0,421.7,702.1,377.9,580.4
5200.0,435.3,628.0,306.5,508.0
5300.0,422.3,684.0,372.2,577.5
5400.0,442.2,695.7,375.9,555.4
5500.0,436.0,690.2,359.9,588.9
5600.0,439.1,677.2,362.6,581.9
5700.0,442.1,700.7,374.4,545.1
5800.0,436.4,676.1,351.9,599.7
5900.0,427.4,713.9,396.0,572.0
6000.0,436.6,713.1,398.0,579.4
6100.0,429.1,696.2,393.6,564.0
6200.0,447.3,688.4,350.8,598.4
6300.0,427.8,659.9,333.0,557.0
6400.0,435.6,703.8,389.8,523.8
6500.0,420.7,681.3,370.4,541.8
6600.0,430.1,691.0,381.6,572.5
6700.0,415.5,642.0,299.1,504.2
6800.0,424.8,709.4,398.0,601.3
6900.0,434.3,700.4,366.3,585.3
7000.0,452.5,708.8,388.6,580.7
7100.0,434.3,709.4,395.6,568.9
7200.0,444.5,690.8,373.9,540.6
7300.0,415.2,631.8,300.8,492.0
7400.0,437.0,694.9,354.0,563.7
7500.0,434.3,699.2,372.0,586.8
7600.0,429.0,705.1,388.4,567.0
7700.0,428.9,699.2,381.9,547.9
7800.0,444.3,658.4,321.4,623.0
7900.0,436.6,718.0,375.0,545.3
8000.0,446.3,690.3,362.1,606.1
8100.0,436.6,714.0,398.0,576.0
8200.0,422.4,639.3,309.2,532.6
8300.0,443.6,718.0,382.3,582.2
8400.0,404.6,682.1,359.4,531.5
8500.0,442.2,715.7,394.6,523.5
8600.0,441.1,669.3,339.5,570.0
8700.0,447.6,705.5,389.3,594.5
8800.0,426.4,638.3,298.0,501.7
8900.0,436.2,680.8,357.5,599.2
9000.0,439.2,713.3,389.9,559.2
9100.0,429.8,689.4,390.1,496.6
9200.0,433.0,692.4,372.3,525.5
9300.0,432.7,647.2,318.9,610.2
9400.0,417.2,677.2,365.6,566.6
9500.0,451.0,669.6,354.4,586.9
9600.0,416.6,628.0,298.0,492.0
9700.0,437.8,695.1,374.5,599.7
9800.0,444.9,696.9,369.7,558.3
9900.0,433.4,694.8,379.2,562.6
10000.0,440.8,700.2,353.1,583.9
10100.0,431.3,698.1,392.6,558.0
10200.0,433.7,707.1,390.8,528.4
10300.0,430.7,718.0,390.8,503.6
10400.0,434.4,697.4,374.9,529.2
10500.0,445.9,668.7,353.3,574.5
10600.0,421.7,641.3,302.2,516.8
10700.0,442.0,718.0,385.7,521.8
10800.0,424.4,718.0,392.4,566.5
10900.0,433.2,702.2,390.9,532.8
11000.0,426.5,711.9,386.8,552.8
11100.0,454.0,705.2,393.4,593.1
11200.0,422.3,718.0,384.7,558.9
11300.0,430.2,710.8,386.5,602.3
11400.0,429.4,690.3,362.3,590.2
11500.0,428.0,676.1,345.8,577.4
11600.0,408.6,676.9,358.5,512.1
11700.0,426.9,674.5,332.6,563.3
11800.0,427.4,708.9,393.9,510.5
11900.0,433.9,711.9,398.0,526.7
12000.0,439.7,718.0,392.9,598.2
12100.0,453.8,714.0,391.4,590.3
12200.0,432.5,672.2,344.8,586.7
12300.0,404.0,668.3,359.7,503.5
12400.0,433.3,710.0,395.1,558.4
12500.0,444.4,701.5,390.2,592.9
12600.0,454.0,710.0,386.4,581.6
12700.0,439.7,718.0,389.2,539.6
12800.0,438.2,699.8,381.4,530.4
12900.0,429.7,705.3,388.5,530.6
13000.0,435.9,704.6,397.0,530.9
13100.0,446.9,689.9,359.6,593.2
13200.0,446.6,709.1,358.0,609.8
13300.0,431.5,628.0,300.3,507.8
13400.0,454.0,718.0,393.0,597.2
13500.0,437.3,698.2,398.0,559.6
13600.0,436.3,701.2,364.1,579.1
13700.0,438.8,718.0,393.7,552.4
13800.0,446.4,686.3,361.8,575.2
