timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,430.5,713.3,398.2,548.3
100.0,424.3,717.3,397.8,485.5
200.0,420.9,721.4,388.0,507.4
300.0,419.9,706.8,401.8,516.7
400.0,440.6,717.4,407.4,551.9
500.0,440.8,719.3,401.7,565.9
600.0,438.1,722.2,406.7,584.9
700.0,431.0,715.9,410.9,585.3
800.0,449.3,715.4,414.6,561.7
900.0,433.7,726.0,411.7,595.3
1000.0,428.6,703.2,408.7,556.6
1100.0,427.3,690.0,397.3,567.2
1200.0,418.6,702.2,397.5,524.0
1300.0,438.7,712.7,407.0,553.5
1400.0,440.1,720.5,394.8,537.6
1500.0,442.1,718.3,408.4,563.0
1600.0,443.1,704.8,409.3,559.5
1700.0,421.2,710.8,400.9,590.1
1800.0,425.7,699.8,397.1,513.3
1900.0,417.9,697.0,411.3,523.9
2000.0,430.9,724.8,410.6,520.7
2100.0,449.6,714.0,410.4,629.0
2200.0,432.0,699.2,404.7,599.9
2300.0,445.6,701.6,406.5,586.7
2400.0,424.8,709.5,405.4,605.3
2500.0,444.6,726.0,404.5,582.0
2600.0,443.2,711.4,399.0,545.1
2700.0,426.9,719.5,402.5,541.0
2800.0,425.1,710.4,400.9,535.7
2900.0,430.6,714.4,407.3,489.0
3000.0,432.6,699.8,393.6,503.6
3100.0,452.2,712.1,416.0,620.9
3200.0,406.3,701.7,398.6,506.5
3300.0,433.6,713.5,408.2,516.4
3400.0,430.2,717.2,407.5,544.2
3500.0,418.1,716.0,405.4,526.0
3600.0,437.5,712.2,414.9,605.7
3700.0,423.4,709.7,395.9,488.9
3800.0,440.6,717.1,415.0,600.5
3900.0,414.0,703.0,399.0,560.8
4000.0,437.4,717.2,409.4,587.9
4100.0,427.4,707.5,395.5,520.2
4200.0,434.1,703.2,401.8,543.4
4300.0,427.7,708.0,399.8,511.7
4400.0,433.8,717.2,400.1,514.3
4500.0,431.9,704.9,388.0,517.7
4600.0,432.1,710.9,411.9,584.7
4700.0,458.0,726.0,416.0,614.1
4800.0,457.6,716.5,405.8,579.8
4900.0,422.5,717.6,391.8,482.7
5000.0,416.6,700.9,397.4,501.7
5100.0,400.7,699.9,397.5,520.0
5200.0,423.5,718.1,403.1,541.2
5300.0,412.1,719.2,408.1,539.2
5400.0,427.9,698.8,407.5,590.2
5500.0,440.0,713.3,401.4,563.9
5600.0,420.1,693.8,407.8,596.2
5700.0,426.0,708.0,412.8,601.1
5800.0,406.7,703.6,402.6,525.5
5900.0,440.2,713.2,398.1,580.7
6000.0,430.8,711.9,397.8,503.4
6100.0,444.7,712.4,388.0,508.4
6200.0,433.2,702.5,403.6,543.6
6300.0,422.7,717.5,404.9,591.3
6400.0,447.8,711.7,401.1,550.5
6500.0,438.9,704.7,398.2,534.6
6600.0,446.5,714.6,405.4,580.6
6700.0,430.6,709.0,409.8,571.6
6800.0,419.5,713.7,410.6,553.4
6900.0,430.2,706.5,410.7,597.9
7000.0,422.6,707.4,403.6,493.2
7100.0,427.9,708.3,399.3,508.7
7200.0,430.8,705.8,407.1,530.1
7300.0,428.2,697.8,411.4,512.0
7400.0,427.7,709.9,399.8,504.8
7500.0,426.1,707.0,403.2,554.5
7600.0,430.7,712.2,395.6,536.1
7700.0,446.7,718.0,402.2,545.4
7800.0,428.8,721.1,407.5,504.8
7900.0,434.7,719.6,410.9,580.6
8000.0,423.8,690.0,395.8,512.0
8100.0,437.4,716.5,400.9,549.3
8200.0,452.4,716.0,397.3,580.8
8300.0,429.4,715.1,411.9,590.3
8400.0,413.8,706.9,406.1,594.4
8500.0,434.2,701.6,399.7,511.2
8600.0,426.1,697.1,406.3,573.3
8700.0,454.2,725.6,406.4,591.9
8800.0,446.2,700.5,410.2,543.6
8900.0,437.3,713.6,405.4,532.7
9000.0,430.9,716.4,408.3,592.7
9100.0,403.9,691.4,400.7,523.1
9200.0,407.7,698.1,389.7,527.9
9300.0,424.9,697.6,388.0,499.2
9400.0,435.3,707.8,406.4,571.3
9500.0,433.5,711.0,406.2,566.9
9600.0,430.8,711.4,404.8,524.8
9700.0,423.9,699.1,390.2,555.9
9800.0,421.8,698.0,391.3,494.3
9900.0,429.9,702.7,405.9,499.0
10000.0,429.6,700.1,403.7,496.5
10100.0,417.4,700.0,401.2,526.3
10200.0,424.5,692.5,396.4,544.3
10300.0,423.7,690.0,401.4,513.3
10400.0,425.8,695.6,403.9,527.9
10500.0,437.7,701.0,412.6,539.5
10600.0,428.2,725.2,388.0,496.9
10700.0,420.0,716.3,408.6,521.5
10800.0,404.1,698.8,400.4,507.7
10900.0,444.8,697.7,409.1,531.7
11000.0,441.2,723.5,406.6,588.2
11100.0,423.3,710.3,406.5,520.9
11200.0,418.7,720.6,392.1,485.7
11300.0,451.8,709.8,408.4,590.2
11400.0,417.1,699.9,401.3,547.5
11500.0,400.4,690.0,398.6,547.5
11600.0,453.8,726.0,404.2,596.1
11700.0,428.1,697.9,398.2,515.1
11800.0,423.2,704.3,388.5,564.7
11900.0,448.6,715.7,400.8,601.0
12000.0,427.2,711.9,390.8,511.2
12100.0,429.5,693.4,403.5,526.1
12200.0,413.1,699.8,408.7,523.3
12300.0,415.3,706.1,411.3,549.9
12400.0,426.3,698.9,407.4,536.8
12500.0,451.0,720.1,416.0,587.8
12600.0,441.0,709.5,408.6,602.6
12700.0,426.7,707.3,405.7,535.4
12800.0,423.0,706.2,400.8,534.9
12900.0,442.7,725.1,401.4,577.9
13000.0,424.2,695.4,388.0,493.2
13100.0,435.6,712.0,401.3,554.5
13200.0,413.0,694.6,407.1,568.3
13300.0,418.7,701.1,408.6,581.9
13400.0,436.5,706.9,398.9,517.2
13500.0,412.6,701.3,401.8,567.7
13600.0,407.1,690.0,399.0,510.1
13700.0,422.7,710.3,400.6,502.9
13800.0,422.8,708.9,414.4,585.3
13900.0,444.7,704.4,416.0,556.5
14000.0,445.1,714.0,411.9,556.5
14100.0,417.0,695.4,409.8,519.6
14200.0,435.1,723.2,402.8,591.5
14300.0,425.0,693.1,414.0,589.7
14400.0,423.5,711.6,393.1,497.0
14500.0,427.1,712.0,402.9,586.5
14600.0,413.8,703.7,393.4,516.3
14700.0,435.8,721.2,403.9,595.4
14800.0,429.6,723.3,406.3,523.1
14900.0,414.0,698.5,399.3,529.9
15000.0,443.5,716.9,409.0,531.7
15100.0,439.7,700.8,400.5,526.7
15200.0,409.1,700.6,393.0,512.5
15300.0,454.2,706.4,395.9,556.7
15400.0,443.0,716.6,399.2,562.0
15500.0,453.9,708.7,406.3,545.6
15600.0,456.3,724.4,410.4,597.8
15700.0,424.7,699.0,399.4,603.2
15800.0,445.4,722.2,400.8,544.2
15900.0,441.1,722.5,397.3,559.5
16000.0,424.9,707.8,404.7,603.8
16100.0,420.5,703.2,404.4,543.4
16200.0,430.3,717.0,391.5,514.6
16300.0,442.3,717.8,401.9,521.4
16400.0,443.2,726.0,408.0,610.4
16500.0,420.5,711.1,388.8,480.8
16600.0,429.9,720.4,405.3,608.9
16700.0,426.7,714.0,410.9,593.4
16800.0,433.3,707.0,394.5,576.5
16900.0,444.6,717.3,400.5,559.3
17000.0,439.6,713.2,405.0,559.4
17100.0,447.1,703.4,409.7,557.8
17200.0,435.7,710.9,403.8,590.0
17300.0,428.3,697.6,388.5,506.0
17400.0,429.1,714.0,397.7,516.5
17500.0,416.1,712.4,400.8,514.4
17600.0,442.4,722.1,402.8,542.0
17700.0,420.5,716.5,402.1,522.2
17800.0,450.7,713.0,397.7,509.1
17900.0,427.6,703.8,402.7,559.0
18000.0,415.7,713.1,399.3,514.6
18100.0,398.0,699.3,399.9,549.4
18200.0,445.8,704.0,395.9,501.6
18300.0,432.7,726.0,396.8,541.5
18400.0,421.2,715.5,395.8,506.4
18500.0,434.5,715.3,409.4,560.3
18600.0,423.5,694.7,396.7,536.6
18700.0,421.6,706.9,390.4,488.6
18800.0,416.9,704.9,390.8,502.2
18900.0,424.0,709.0,405.5,517.5
