timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,436.6,706.9,408.3,584.5
100.0,449.5,711.3,402.7,512.4
200.0,444.3,728.8,410.3,594.6
300.0,433.1,719.0,412.5,557.9
400.0,433.9,709.8,407.0,484.0
500.0,443.8,703.3,412.3,544.6
600.0,433.7,718.8,404.4,562.8
700.0,458.0,730.7,404.3,544.5
800.0,451.7,719.3,398.2,511.2
900.0,421.2,690.0,408.7,580.5
1000.0,439.6,733.0,392.5,498.9
1100.0,437.3,703.3,404.2,570.8
1200.0,424.8,719.3,401.6,485.4
1300.0,458.0,722.0,391.0,498.8
1400.0,451.1,733.0,402.6,503.6
1500.0,425.3,694.2,402.0,598.8
1600.0,434.6,714.6,416.0,576.5
1700.0,440.3,733.0,413.8,510.4
1800.0,448.0,733.0,406.4,565.5
1900.0,443.8,722.8,413.4,571.9
2000.0,442.6,707.4,416.0,590.6
2100.0,417.0,708.2,402.3,574.2
2200.0,432.0,708.5,413.4,548.7
2300.0,421.9,729.3,400.0,492.2
2400.0,432.4,707.8,413.3,550.7
2500.0,434.3,697.1,413.1,573.0
2600.0,432.6,711.0,399.9,499.1
2700.0,429.4,718.8,407.2,514.0
2800.0,458.0,733.0,411.1,568.6
2900.0,446.9,733.0,415.5,544.6
3000.0,433.3,698.6,413.0,528.4
3100.0,407.1,695.7,391.0,506.8
3200.0,432.2,717.5,416.0,594.0
3300.0,442.6,721.8,408.1,507.9
3400.0,443.1,709.6,406.6,598.4
3500.0,444.6,713.5,412.5,542.2
3600.0,433.6,713.6,416.0,567.8
3700.0,421.4,704.3,392.3,539.6
3800.0,447.9,728.6,396.3,543.4
3900.0,439.9,710.1,414.2,564.0
4000.0,445.8,718.7,416.0,575.7
4100.0,433.2,699.3,408.9,586.9
4200.0,438.2,724.0,414.6,565.6
4300.0,424.4,690.9,397.5,553.7
4400.0,456.5,725.8,406.8,534.7
4500.0,424.5,690.0,394.1,570.9
4600.0,422.5,691.2,391.0,554.0
4700.0,449.7,698.6,408.8,568.6
4800.0,439.9,709.9,405.5,548.0
4900.0,437.6,698.4,413.9,564.9
5000.0,444.6,727.1,416.0,559.3
5100.0,446.2,710.6,410.8,529.4
5200.0,409.5,692.9,391.0,538.0
5300.0,438.9,713.9,403.8,607.8
5400.0,444.3,725.4,412.9,560.1
5500.0,458.0,733.0,416.0,560.0
5600.0,423.6,690.0,404.4,589.5
5700.0,436.8,714.4,416.0,577.5
5800.0,457.5,733.0,395.6,530.2
5900.0,445.0,728.1,416.0,587.2
6000.0,441.4,720.3,391.8,491.4
6100.0,446.7,733.0,407.7,551.7
6200.0,432.0,729.6,415.6,562.9
6300.0,436.4,691.4,406.2,604.8
6400.0,451.6,733.0,403.9,535.1
6500.0,404.0,693.6,398.9,500.2
6600.0,447.9,709.8,399.0,535.0
6700.0,446.9,733.0,406.5,541.0
6800.0,446.6,723.9,392.1,522.2
6900.0,443.2,708.2,411.3,567.9
7000.0,449.4,719.9,412.2,553.1
7100.0,440.3,724.0,415.1,570.6
7200.0,433.5,718.4,405.8,562.6
7300.0,407.9,701.2,393.0,501.5
7400.0,433.3,704.2,408.3,534.8
7500.0,414.0,690.6,391.0,545.5
7600.0,450.1,715.5,415.4,621.2
7700.0,413.8,707.1,397.0,526.0
7800.0,441.0,725.7,396.3,495.6
7900.0,443.7,719.8,392.1,492.8
8000.0,435.4,709.0,406.3,578.6
8100.0,437.9,712.7,405.4,527.3
8200.0,406.5,699.0,391.0,509.4
8300.0,448.4,715.8,402.5,499.2
8400.0,436.7,721.3,416.0,533.0
8500.0,442.2,724.6,416.0,570.9
8600.0,442.1,725.7,401.0,533.6
8700.0,404.0,702.8,397.7,507.4
8800.0,435.6,733.0,408.5,563.1
8900.0,437.9,716.4,395.5,498.3
9000.0,449.3,722.1,403.6,524.9
9100.0,443.3,718.6,406.3,570.3
9200.0,447.4,721.8,403.3,513.7
9300.0,449.3,718.9,404.2,570.3
