timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,434.9,725.7,363.0,494.1
100.0,438.9,699.8,378.3,482.5
200.0,404.6,670.0,339.0,411.3
300.0,456.0,718.9,387.8,558.1
400.0,482.7,734.1,395.0,618.3
500.0,413.1,688.3,357.1,390.9
600.0,430.1,709.1,373.6,450.7
700.0,417.9,691.7,351.3,426.5
800.0,413.8,682.1,369.4,387.4
900.0,447.3,721.7,389.7,525.0
1000.0,417.6,707.4,372.8,382.4
1100.0,412.7,692.1,360.2,396.6
1200.0,408.7,694.0,367.0,399.9
1300.0,394.0,670.0,344.2,346.0
1400.0,443.5,716.8,394.6,485.4
1500.0,438.2,718.8,377.7,498.5
1600.0,395.8,688.7,352.1,372.8
1700.0,444.3,704.0,361.3,484.1
1800.0,414.6,700.6,365.5,428.6
1900.0,402.8,674.6,344.4,358.5
2000.0,474.9,735.1,399.9,612.6
2100.0,425.3,697.8,361.3,497.7
2200.0,429.6,710.4,371.1,504.1
2300.0,436.3,702.7,380.6,499.7
2400.0,407.9,689.3,373.1,371.5
2500.0,415.9,691.3,367.9,388.4
2600.0,425.1,691.8,357.0,479.6
2700.0,418.5,687.7,360.6,441.5
2800.0,417.0,688.9,369.0,455.4
2900.0,409.2,671.2,339.0,405.2
3000.0,450.3,693.3,368.4,559.5
3100.0,425.2,692.2,362.8,443.2
3200.0,460.5,742.0,407.1,536.1
3300.0,394.0,670.0,339.0,346.8
3400.0,467.7,726.4,391.1,580.0
3500.0,423.8,715.4,374.5,429.5
3600.0,412.9,674.9,367.6,426.2
3700.0,460.3,716.6,384.5,576.1
3800.0,430.8,698.8,364.3,505.0
3900.0,418.7,682.4,364.1,419.3
4000.0,401.1,682.5,343.9,408.3
4100.0,454.6,710.1,383.0,581.2
4200.0,406.6,700.5,354.7,403.3
4300.0,457.0,737.7,399.8,553.0
4400.0,404.9,685.6,364.4,419.7
4500.0,463.0,721.0,402.4,543.1
4600.0,468.8,719.9,385.5,580.2
4700.0,483.3,740.9,408.5,604.4
4800.0,485.4,739.1,398.4,604.2
4900.0,433.0,710.3,394.0,482.2
5000.0,442.1,709.8,361.2,453.8
5100.0,479.2,741.2,404.5,581.0
5200.0,444.5,712.1,380.3,531.8
5300.0,425.9,711.5,360.8,507.2
5400.0,406.0,703.5,369.1,424.5
5500.0,394.0,670.0,344.2,353.2
5600.0,434.6,703.5,374.6,525.0
5700.0,417.3,697.9,366.6,442.0
5800.0,409.2,697.4,349.4,388.7
5900.0,447.6,725.1,361.0,484.1
6000.0,457.2,717.6,385.3,574.8
6100.0,418.4,697.6,380.1,450.5
6200.0,453.0,711.5,389.8,576.2
6300.0,401.3,679.0,345.7,378.9
6400.0,413.4,694.7,370.2,413.6
6500.0,401.5,670.8,344.1,348.0
6600.0,414.7,699.7,377.9,408.4
6700.0,405.8,695.3,353.1,420.8
6800.0,452.5,715.1,387.2,558.2
6900.0,424.7,695.4,371.8,496.3
7000.0,413.2,687.5,358.8,447.8
7100.0,415.1,703.9,369.3,391.8
7200.0,432.3,701.9,363.2,481.0
7300.0,420.7,685.1,369.8,414.4
7400.0,425.0,706.3,366.5,456.4
7500.0,424.2,714.1,369.7,477.4
7600.0,414.9,675.4,353.1,414.1
7700.0,403.5,692.3,342.4,383.3
7800.0,439.9,711.8,362.5,470.7
7900.0,411.9,675.0,347.2,390.4
8000.0,421.0,688.0,355.0,443.6
8100.0,396.7,670.0,339.1,362.0
8200.0,453.6,687.8,376.9,560.7
8300.0,408.7,686.0,367.5,436.0
8400.0,440.0,715.1,369.2,502.6
8500.0,410.0,688.4,368.0,429.4
8600.0,436.6,710.7,387.6,458.0
8700.0,435.7,710.0,386.3,462.6
8800.0,411.9,682.2,361.6,393.9
8900.0,394.0,687.4,339.0,361.1
9000.0,423.3,714.0,381.7,470.5
9100.0,473.5,726.3,404.5,612.1
9200.0,422.2,684.6,370.6,435.4
9300.0,422.1,692.6,368.9,473.1
9400.0,485.6,724.2,399.1,597.3
9500.0,420.1,693.2,370.9,433.7
9600.0,469.5,736.5,403.5,575.7
9700.0,398.6,674.3,342.0,354.0
9800.0,414.5,686.9,375.1,419.0
9900.0,418.7,694.3,369.7,405.5
10000.0,440.3,701.9,358.4,504.0
10100.0,417.1,703.6,368.8,426.7
10200.0,435.4,699.0,365.9,531.4
10300.0,425.1,702.6,363.8,485.0
10400.0,423.7,707.4,361.5,496.4
10500.0,462.4,742.0,406.5,548.8
10600.0,394.0,670.0,339.0,366.7
10700.0,428.9,703.9,365.5,512.9
10800.0,394.0,670.7,340.9,346.0
10900.0,410.1,704.7,363.5,387.5
11000.0,481.1,742.0,391.4,614.6
11100.0,465.9,728.3,404.3,559.3
11200.0,452.5,718.0,364.4,484.6
11300.0,436.9,717.7,364.7,515.9
11400.0,445.8,705.9,369.7,514.9
11500.0,414.1,682.3,360.6,410.7
11600.0,486.0,741.3,409.0,617.7
11700.0,397.4,670.0,339.0,424.0
11800.0,410.7,681.2,367.6,457.6
11900.0,486.0,742.0,394.5,603.9
12000.0,458.1,727.6,391.4,558.6
12100.0,475.2,718.3,391.7,613.5
12200.0,408.1,685.8,377.3,435.2
12300.0,409.4,703.8,357.5,426.9
12400.0,484.7,731.3,392.1,597.6
12500.0,452.9,735.3,385.5,567.8
12600.0,413.2,682.9,369.3,425.7
12700.0,455.2,721.9,395.4,541.3
12800.0,413.6,694.3,356.8,459.4
12900.0,470.7,732.7,397.4,589.2
13000.0,397.4,680.2,339.0,366.1
13100.0,479.6,730.2,409.0,610.4
13200.0,412.2,702.6,364.4,391.4
13300.0,420.1,680.6,370.1,499.4
13400.0,479.4,731.1,407.0,617.3
13500.0,450.6,733.1,389.3,530.8
13600.0,412.2,695.1,368.1,457.9
13700.0,450.1,724.4,378.6,531.4
13800.0,447.6,710.8,368.8,519.7
13900.0,394.5,682.3,345.2,376.2
14000.0,473.1,706.5,388.3,581.0
14100.0,422.9,701.2,365.4,392.3
14200.0,417.4,696.9,367.2,370.0
14300.0,420.7,704.2,375.9,435.1
14400.0,411.7,699.9,373.1,378.7
14500.0,413.9,680.2,361.9,398.7
14600.0,446.5,702.8,381.1,544.0
14700.0,460.9,718.8,401.7,541.7
14800.0,443.4,694.6,361.8,447.4
14900.0,420.9,687.4,356.9,436.7
15000.0,458.9,742.0,392.5,540.9
15100.0,448.1,706.5,377.8,525.4
15200.0,429.3,696.6,365.4,491.2
15300.0,459.5,738.8,397.5,549.3
15400.0,399.8,691.9,358.8,399.0
15500.0,401.0,685.7,339.0,387.9
15600.0,397.0,677.8,347.4,367.4
15700.0,411.7,684.2,356.3,388.1
15800.0,431.5,696.3,367.5,507.3
15900.0,433.9,692.6,360.0,516.8
16000.0,477.7,742.0,403.9,623.0
16100.0,455.4,721.0,381.4,563.2
16200.0,424.7,698.3,359.2,491.5
16300.0,401.6,670.0,342.8,368.7
16400.0,406.6,690.7,366.4,398.9
16500.0,421.1,691.8,367.0,392.7
16600.0,455.2,707.9,376.8,561.5
16700.0,418.8,679.8,368.8,424.1
16800.0,453.5,716.1,382.6,544.9
16900.0,401.3,670.0,349.5,355.4
17000.0,461.3,724.7,395.9,536.2
17100.0,462.7,736.5,392.2,555.7
17200.0,434.8,707.1,356.9,503.7
17300.0,427.3,716.6,386.9,461.9
17400.0,459.5,697.3,382.1,576.5
17500.0,456.9,741.7,399.5,547.7
17600.0,440.3,708.5,366.6,523.8
17700.0,417.3,699.0,360.2,454.9
17800.0,422.3,687.6,368.0,458.5
17900.0,413.3,702.0,369.6,384.6
18000.0,415.4,683.1,370.1,435.9
18100.0,436.8,721.6,385.4,469.6
18200.0,442.1,709.8,380.3,501.0
18300.0,459.6,698.3,387.0,576.0
18400.0,440.8,697.6,383.4,500.4
18500.0,427.4,702.7,377.4,445.6
18600.0,409.8,692.4,363.6,393.7
18700.0,441.2,705.1,375.2,499.9
18800.0,456.9,715.5,371.1,546.8
18900.0,458.3,723.6,391.8,559.5
19000.0,418.0,683.2,362.9,445.3
19100.0,452.8,717.7,379.1,559.7
19200.0,439.5,714.5,357.8,508.0
19300.0,418.4,688.3,370.1,380.5
19400.0,442.6,696.8,379.5,534.3
19500.0,396.3,673.5,339.0,352.5
19600.0,445.7,718.9,379.6,535.5
19700.0,432.1,716.6,378.3,499.8
19800.0,435.9,725.8,385.1,501.4
19900.0,403.6,679.7,343.0,382.3
20000.0,436.2,719.0,361.9,484.2
20100.0,401.1,677.5,350.7,379.7
20200.0,447.8,715.0,375.5,541.2
20300.0,434.5,700.8,375.0,449.2
20400.0,434.7,701.4,386.5,468.4
20500.0,406.6,690.5,356.1,419.6
20600.0,443.4,728.7,395.7,507.9
20700.0,462.6,705.0,392.5,573.5
20800.0,478.9,736.3,407.5,617.9
20900.0,424.7,691.8,360.0,460.6
21000.0,429.8,696.3,358.9,514.5
21100.0,450.0,695.5,379.1,516.1
21200.0,443.4,704.4,363.9,521.6
21300.0,433.9,724.5,367.3,498.5
21400.0,410.0,681.7,355.2,392.6
21500.0,486.0,730.2,401.3,611.6
21600.0,430.1,693.0,355.8,468.3
21700.0,412.9,674.9,367.5,415.9
21800.0,451.0,701.3,385.5,581.2
21900.0,436.0,701.1,364.5,506.0
22000.0,453.3,705.4,382.4,578.5
22100.0,410.6,688.7,370.8,375.9
22200.0,415.4,696.0,362.2,392.4
22300.0,408.7,697.8,355.1,417.1
22400.0,447.4,734.2,394.3,513.6
22500.0,466.1,712.1,391.0,564.2
22600.0,452.2,711.7,376.1,519.2
22700.0,432.2,701.6,363.9,497.4
22800.0,429.7,690.3,378.3,490.6
22900.0,426.8,713.9,363.7,495.5
23000.0,440.4,730.3,388.5,463.9
23100.0,426.3,715.3,376.4,440.4
23200.0,417.0,700.5,365.7,433.5
23300.0,470.0,725.8,392.7,608.6
23400.0,451.7,710.3,395.5,550.2
23500.0,408.0,680.1,345.6,424.5
23600.0,439.2,714.8,369.2,472.7
23700.0,439.2,694.4,362.5,464.1
23800.0,433.5,704.8,365.0,496.8
23900.0,446.0,711.6,378.0,555.7
24000.0,424.1,694.5,359.2,488.0
24100.0,477.0,742.0,407.3,621.8
24200.0,433.5,725.1,379.8,448.1
24300.0,419.2,687.9,362.3,388.7
24400.0,439.5,693.1,368.8,514.6
24500.0,414.5,712.3,370.0,435.6
24600.0,445.4,727.9,386.5,509.3
24700.0,429.9,698.1,378.7,467.6
24800.0,431.2,708.9,377.3,466.8
24900.0,425.2,683.4,360.2,391.0
25000.0,394.0,685.2,348.8,355.3
25100.0,418.2,691.2,360.0,384.1
25200.0,420.9,707.2,368.1,430.2
25300.0,475.5,742.0,409.0,603.6
25400.0,453.0,693.9,388.9,576.0
25500.0,459.7,738.1,381.5,557.8
25600.0,405.8,689.0,344.8,369.2
25700.0,415.5,695.4,369.4,427.8
25800.0,462.8,733.4,391.3,562.4
25900.0,450.3,709.8,375.2,576.8
26000.0,428.8,700.2,382.5,501.9
26100.0,405.9,693.9,354.9,375.2
26200.0,411.5,670.7,365.7,406.8
26300.0,484.5,742.0,401.8,599.2
26400.0,486.0,734.0,391.5,603.3
26500.0,454.3,731.3,392.4,558.9
26600.0,417.9,701.0,362.0,399.1
26700.0,412.8,698.5,364.0,396.5
26800.0,424.6,684.8,367.2,431.5
26900.0,405.9,695.3,373.9,414.6
27000.0,429.6,717.0,386.8,499.1
27100.0,427.9,709.5,373.3,497.3
27200.0,436.1,708.0,359.0,466.7
27300.0,403.9,673.1,340.2,417.7
27400.0,428.8,712.4,382.7,471.3
27500.0,436.7,705.3,372.9,531.6
27600.0,417.1,679.6,369.9,418.9
27700.0,473.1,727.0,400.8,582.6
27800.0,433.3,702.8,363.6,463.1
27900.0,415.4,687.6,377.2,433.2
28000.0,430.5,715.1,356.5,440.2
28100.0,473.1,715.0,395.6,589.0
28200.0,398.5,676.2,351.1,372.5
28300.0,436.2,689.2,370.2,490.7
28400.0,434.5,689.0,372.3,490.1
28500.0,432.5,702.5,363.0,509.4
28600.0,433.2,705.3,368.2,419.1
28700.0,479.1,731.6,408.6,607.7
28800.0,440.7,721.2,390.5,469.1
28900.0,454.8,729.2,405.9,552.8
29000.0,473.7,725.0,392.2,605.2
29100.0,438.8,689.7,361.0,511.6
29200.0,485.3,726.9,401.1,600.1
29300.0,423.4,703.1,371.9,481.1
29400.0,434.1,717.5,363.7,475.8
29500.0,410.0,681.2,358.0,409.2
29600.0,462.2,724.1,398.7,559.2
29700.0,448.4,698.7,376.5,533.4
29800.0,459.5,716.0,381.7,581.5
29900.0,413.7,670.0,360.7,386.9
30000.0,439.6,710.6,359.7,507.7
30100.0,414.8,695.9,356.3,418.4
30200.0,441.2,719.0,387.2,502.8
30300.0,450.8,711.9,379.0,557.1
30400.0,415.5,706.9,353.0,386.8
30500.0,399.3,670.0,339.0,363.3
30600.0,435.4,711.5,377.6,457.5
30700.0,441.9,704.2,373.3,517.6
30800.0,408.6,690.5,367.1,425.3
30900.0,433.5,703.2,354.8,465.5
31000.0,409.5,679.5,359.5,419.7
31100.0,420.0,685.5,357.4,465.4
31200.0,419.4,698.9,371.2,393.7
31300.0,425.2,689.4,361.5,393.9
31400.0,472.6,718.3,393.7,552.6
31500.0,413.4,702.8,371.6,397.1
31600.0,414.8,708.8,378.4,439.2
31700.0,452.2,716.6,381.3,577.2
31800.0,437.8,714.9,373.4,538.1
31900.0,410.0,687.9,356.0,415.7
32000.0,415.7,691.7,367.4,387.5
32100.0,486.0,742.0,407.9,606.9
32200.0,427.1,696.7,370.0,504.8
32300.0,394.0,692.5,340.7,358.2
32400.0,407.5,702.5,368.1,375.7
32500.0,415.2,690.9,369.3,395.9
32600.0,457.0,715.9,383.6,559.2
32700.0,397.8,681.0,347.3,346.0
32800.0,471.9,719.1,395.9,549.9
32900.0,440.6,715.2,367.7,490.3
33000.0,400.1,688.9,347.2,357.1
33100.0,437.1,692.6,367.1,495.1
33200.0,409.6,697.3,369.5,393.8
33300.0,466.8,718.3,397.1,558.6
33400.0,448.5,694.8,374.1,559.9
33500.0,414.8,705.6,363.3,380.8
33600.0,473.8,742.0,407.8,591.7
33700.0,394.8,687.8,351.3,357.2
33800.0,460.1,725.2,396.5,534.3
33900.0,429.8,730.1,386.1,473.2
34000.0,422.9,698.0,357.5,471.2
34100.0,398.2,670.0,339.0,354.8
34200.0,481.1,720.6,390.9,599.3
34300.0,471.9,727.5,385.9,573.8
34400.0,411.5,688.0,364.1,424.7
34500.0,424.2,707.6,361.3,393.7
34600.0,437.5,705.7,369.4,507.3
34700.0,421.6,686.9,371.7,380.3
34800.0,450.3,732.8,388.7,492.5
34900.0,466.5,742.0,405.4,567.6
35000.0,403.3,683.6,339.0,369.9
35100.0,411.8,681.6,373.8,420.8
35200.0,476.0,725.6,386.0,596.4
35300.0,441.7,728.7,385.2,518.7
35400.0,420.9,693.8,364.4,471.9
35500.0,437.9,692.3,371.3,508.6
35600.0,483.6,725.0,395.8,611.5
35700.0,438.6,726.8,358.7,496.3
35800.0,471.4,728.1,406.4,561.6
35900.0,472.3,742.0,394.3,602.2
36000.0,455.8,718.0,382.4,545.9
36100.0,460.5,703.8,381.5,581.2
36200.0,412.4,696.6,359.7,379.4
36300.0,434.6,711.6,383.3,464.4
36400.0,436.0,699.9,369.8,511.9
36500.0,416.6,704.5,366.6,387.7
36600.0,454.7,730.1,387.4,556.6
36700.0,404.0,696.6,360.1,408.2
36800.0,394.0,679.5,339.0,362.1
36900.0,444.1,695.0,368.2,463.7
37000.0,445.2,719.6,374.8,517.6
37100.0,432.2,698.4,370.7,453.0
37200.0,404.9,670.0,342.3,407.7
37300.0,478.8,734.8,384.2,591.7
37400.0,426.6,716.4,361.4,489.4
37500.0,410.4,680.4,341.4,411.3
37600.0,465.5,730.7,407.3,533.5
37700.0,441.4,717.7,380.3,514.7
37800.0,438.7,722.5,362.2,506.4
37900.0,406.3,677.5,371.9,426.9
38000.0,462.1,731.1,377.5,561.9
38100.0,414.2,707.2,362.5,394.6
38200.0,433.1,689.3,375.5,487.8
38300.0,403.3,680.7,342.4,378.5
38400.0,419.9,686.4,365.7,388.4
38500.0,437.3,702.7,374.0,494.3
38600.0,460.6,725.7,401.1,554.3
38700.0,433.5,705.6,365.2,503.8
38800.0,421.0,672.2,365.3,420.2
38900.0,470.6,716.5,383.2,576.7
39000.0,434.7,701.5,369.3,485.0
39100.0,410.2,702.8,367.5,386.4
39200.0,418.1,686.1,372.2,493.3
39300.0,437.3,710.6,376.9,493.2
39400.0,428.8,708.9,362.9,446.1
39500.0,486.0,716.9,390.1,617.5
39600.0,414.7,696.2,370.3,387.4
39700.0,418.6,696.2,353.0,407.4
39800.0,417.9,690.7,357.9,405.9
39900.0,449.2,715.5,390.8,516.9
40000.0,418.3,717.3,372.0,430.0
40100.0,421.1,690.8,362.7,389.7
40200.0,400.9,686.8,344.8,353.7
40300.0,432.5,694.5,372.5,503.6
40400.0,428.4,695.6,379.4,506.1
40500.0,400.8,696.8,347.8,388.7
40600.0,444.6,730.5,384.9,479.5
40700.0,394.1,677.1,339.0,353.8
40800.0,486.0,723.8,407.7,596.0
40900.0,413.0,685.3,362.7,457.3
41000.0,431.3,698.0,357.7,485.5
41100.0,453.4,734.3,392.1,497.8
41200.0,433.0,711.3,362.2,522.1
41300.0,430.3,702.3,368.4,490.4
41400.0,457.5,728.0,381.3,547.5
41500.0,421.2,690.1,366.3,432.6
41600.0,430.5,712.4,388.1,435.2
41700.0,414.0,676.8,367.8,465.8
41800.0,481.7,716.7,399.6,590.6
41900.0,436.8,702.4,374.6,561.1
42000.0,440.7,719.4,377.8,525.4
42100.0,448.0,702.1,376.0,573.7
42200.0,443.0,708.1,366.8,521.5
42300.0,416.1,708.2,364.2,397.5
42400.0,394.0,671.1,344.4,364.5
42500.0,407.0,695.4,365.9,401.9
42600.0,448.8,725.7,390.8,534.8
42700.0,439.4,712.1,392.2,498.8
42800.0,423.0,712.3,371.9,443.4
42900.0,441.4,705.8,387.6,466.6
43000.0,477.5,729.4,403.2,611.6
43100.0,414.5,693.6,374.3,415.1
43200.0,434.9,703.5,380.2,496.3
43300.0,486.0,730.6,409.0,613.7
43400.0,430.0,712.0,364.8,517.4
43500.0,479.0,735.5,387.6,613.4
43600.0,486.0,739.4,401.4,623.0
43700.0,411.5,702.5,355.6,457.9
43800.0,401.8,670.0,344.0,357.2
43900.0,402.9,674.8,339.4,394.4
44000.0,438.9,709.8,363.8,490.2
44100.0,458.2,742.0,404.7,577.0
44200.0,469.5,724.5,388.4,568.2
44300.0,439.3,709.5,375.2,497.4
44400.0,437.9,697.6,372.0,513.0
44500.0,423.2,699.3,363.6,387.5
44600.0,472.0,720.9,404.7,611.9
44700.0,422.0,679.4,375.7,427.9
44800.0,430.4,694.9,362.4,517.2
44900.0,397.2,670.0,339.1,363.0
45000.0,399.4,684.7,346.3,358.1
45100.0,419.7,697.0,357.0,434.3
45200.0,434.7,707.0,360.8,442.2
45300.0,419.2,692.5,376.8,394.9
45400.0,425.7,691.0,355.2,394.4
45500.0,418.6,687.8,361.2,459.0
45600.0,414.1,692.1,355.6,395.4
45700.0,453.5,714.2,395.5,561.9
45800.0,461.2,739.5,398.7,539.6
45900.0,421.6,694.2,366.6,397.5
46000.0,486.0,740.6,408.9,606.9
46100.0,411.5,695.9,372.8,416.1
46200.0,410.7,675.2,359.2,394.7
46300.0,470.6,742.0,393.1,565.1
46400.0,417.8,690.3,360.2,376.7
46500.0,424.5,700.2,375.0,477.6
46600.0,418.2,712.1,377.4,436.3
46700.0,411.6,691.0,351.2,392.0
46800.0,408.9,703.1,356.6,422.5
46900.0,417.8,690.7,355.6,404.0
47000.0,443.6,704.7,387.9,467.1
47100.0,411.7,703.4,377.3,388.6
47200.0,420.7,713.9,384.1,445.8
47300.0,395.2,674.7,339.9,355.8
47400.0,430.7,711.4,384.4,433.8
47500.0,451.7,706.0,380.8,529.7
47600.0,437.8,698.1,363.1,500.4
47700.0,473.5,742.0,403.6,611.9
47800.0,394.0,683.8,342.3,348.4
47900.0,413.6,698.1,353.3,401.6
48000.0,467.7,739.8,388.8,565.5
48100.0,394.0,679.7,339.0,361.3
