timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,409.4,675.0,360.1,393.6
100.0,449.1,700.3,392.8,498.6
200.0,442.6,721.8,392.1,518.9
300.0,430.8,707.8,379.6,504.9
400.0,410.0,700.5,376.4,408.9
500.0,456.2,707.3,389.3,538.4
600.0,432.7,697.6,376.9,455.5
700.0,439.1,694.2,375.9,509.5
800.0,422.9,697.5,363.4,464.0
900.0,408.7,680.2,366.5,392.1
1000.0,448.9,717.3,390.6,528.7
1100.0,418.4,704.5,374.6,443.7
1200.0,422.8,688.9,373.4,485.7
1300.0,419.0,696.0,367.2,425.2
1400.0,413.8,687.4,353.6,419.3
1500.0,454.5,707.1,384.2,570.6
1600.0,407.0,688.7,362.6,431.0
1700.0,428.2,698.3,377.6,418.3
1800.0,451.6,724.0,383.3,535.3
1900.0,420.2,706.8,372.9,438.9
2000.0,405.0,689.6,359.6,418.5
2100.0,425.1,688.4,384.5,453.2
2200.0,434.8,694.6,375.7,520.5
2300.0,418.3,700.0,372.7,431.5
2400.0,416.1,676.0,363.3,423.0
2500.0,415.6,716.9,366.9,451.2
2600.0,421.1,702.2,377.0,440.7
2700.0,464.0,724.0,392.4,564.3
2800.0,416.4,686.6,369.9,476.6
2900.0,448.7,705.5,391.5,532.5
3000.0,433.5,693.2,371.1,484.0
3100.0,455.2,705.1,389.6,524.3
3200.0,453.0,724.0,384.4,538.9
3300.0,405.0,675.0,359.9,375.0
3400.0,432.7,712.7,370.4,427.3
3500.0,420.5,692.8,367.1,454.3
3600.0,413.7,685.6,363.5,449.5
3700.0,442.8,719.2,385.5,537.8
3800.0,415.0,700.7,374.5,440.1
3900.0,454.9,724.0,384.0,527.1
4000.0,413.5,681.5,356.1,415.5
4100.0,411.3,679.0,377.3,376.0
4200.0,438.3,707.7,377.3,501.2
4300.0,428.9,694.5,388.3,435.2
4400.0,426.1,699.2,374.4,461.4
4500.0,407.4,675.0,355.3,401.4
4600.0,448.1,712.1,383.9,519.9
4700.0,417.8,695.9,364.3,448.8
4800.0,457.8,724.0,391.8,538.1
4900.0,413.5,676.2,354.9,415.9
5000.0,430.8,683.4,368.9,464.3
5100.0,437.3,709.1,387.6,460.8
5200.0,406.6,680.3,373.0,416.1
5300.0,419.0,681.6,373.0,410.4
5400.0,406.5,686.7,378.3,375.0
5500.0,424.9,703.7,375.4,446.9
5600.0,441.3,716.0,385.9,513.8
5700.0,422.8,703.9,375.9,481.2
5800.0,420.9,697.4,366.8,441.3
5900.0,453.9,707.6,393.9,566.4
6000.0,432.4,707.7,374.6,514.7
6100.0,456.9,717.4,394.0,538.7
6200.0,410.4,688.5,357.4,416.6
6300.0,415.2,682.8,361.5,407.1
6400.0,442.4,710.2,393.4,524.7
6500.0,434.4,686.7,363.6,496.3
6600.0,412.3,692.1,353.0,415.2
6700.0,431.7,717.1,368.2,418.5
6800.0,423.1,688.9,364.4,452.2
6900.0,432.1,686.0,374.6,488.0
7000.0,427.5,701.0,369.5,415.2
7100.0,456.8,722.2,387.0,576.7
7200.0,414.8,675.0,361.6,410.5
7300.0,447.5,710.7,394.0,546.1
7400.0,407.7,678.8,359.1,416.1
7500.0,405.0,675.0,361.3,416.1
7600.0,426.0,706.1,371.3,449.2
7700.0,451.0,719.0,392.6,520.8
7800.0,415.1,692.2,370.2,450.7
7900.0,438.7,709.3,368.7,546.4
8000.0,426.0,686.6,384.5,418.9
8100.0,438.1,714.7,381.8,474.3
8200.0,412.2,675.5,361.9,410.7
8300.0,416.9,690.4,364.2,444.0
8400.0,431.1,703.3,380.3,465.6
8500.0,443.1,708.0,385.4,548.7
8600.0,405.2,675.0,355.6,419.2
8700.0,423.5,698.7,366.1,450.3
8800.0,437.6,704.5,393.1,511.6
8900.0,434.7,697.6,381.0,540.2
9000.0,459.3,709.5,391.7,563.8
9100.0,432.1,686.5,366.6,452.2
9200.0,415.9,678.6,360.6,421.7
9300.0,421.4,714.5,374.9,425.5
9400.0,425.5,683.9,372.5,413.6
