timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,821.0,904.0,775.0,463.0
100.0,821.0,904.0,776.0,464.0
200.0,821.0,905.0,777.0,468.0
300.0,820.0,906.0,776.0,470.0
400.0,820.0,906.0,777.0,474.0
500.0,821.0,906.0,778.0,477.0
600.0,821.0,906.0,779.0,481.0
700.0,820.0,906.0,779.0,485.0
800.0,820.0,906.0,781.0,489.0
900.0,820.0,907.0,782.0,492.0
1000.0,819.0,907.0,782.0,496.0
1100.0,820.0,907.0,782.0,498.0
1200.0,820.0,908.0,784.0,505.0
1300.0,819.0,907.0,784.0,508.0
1400.0,820.0,908.0,785.0,513.0
1500.0,820.0,908.0,785.0,518.0
1600.0,821.0,907.0,787.0,521.0
1700.0,820.0,909.0,787.0,527.0
1800.0,821.0,908.0,788.0,530.0
1900.0,820.0,909.0,788.0,533.0
2000.0,821.0,908.0,789.0,539.0
2100.0,820.0,908.0,790.0,542.0
2200.0,820.0,910.0,791.0,544.0
2300.0,821.0,910.0,791.0,548.0
2400.0,820.0,909.0,793.0,552.0
2500.0,820.0,910.0,793.0,554.0
2600.0,820.0,911.0,793.0,558.0
2700.0,821.0,910.0,794.0,560.0
2800.0,820.0,910.0,795.0,562.0
2900.0,820.0,911.0,795.0,563.0
3000.0,819.0,911.0,796.0,567.0
3100.0,820.0,911.0,797.0,567.0
3200.0,820.0,911.0,798.0,569.0
3300.0,820.0,911.0,798.0,569.0
3400.0,820.0,911.0,798.0,571.0
3500.0,820.0,911.0,799.0,569.0
3600.0,820.0,911.0,798.0,572.0
3700.0,819.0,911.0,800.0,572.0
3800.0,819.0,911.0,801.0,573.0
3900.0,819.0,912.0,801.0,575.0
4000.0,820.0,912.0,802.0,573.0
4100.0,819.0,912.0,802.0,575.0
4200.0,820.0,912.0,802.0,571.0
4300.0,820.0,913.0,804.0,575.0
4400.0,819.0,912.0,803.0,574.0
4500.0,819.0,912.0,805.0,572.0
4600.0,819.0,913.0,805.0,572.0
4700.0,818.0,913.0,805.0,571.0
4800.0,818.0,913.0,805.0,571.0
4900.0,818.0,913.0,806.0,568.0
5000.0,818.0,912.0,806.0,570.0
5100.0,819.0,913.0,807.0,570.0
5200.0,819.0,914.0,806.0,567.0
5300.0,818.0,913.0,807.0,566.0
5400.0,819.0,914.0,807.0,565.0
5500.0,818.0,914.0,808.0,566.0
5600.0,818.0,913.0,807.0,562.0
5700.0,818.0,914.0,808.0,561.0
5800.0,818.0,913.0,808.0,561.0
5900.0,818.0,913.0,809.0,559.0
6000.0,817.0,913.0,809.0,560.0
6100.0,818.0,914.0,810.0,557.0
6200.0,817.0,913.0,809.0,557.0
6300.0,818.0,914.0,809.0,555.0
6400.0,817.0,913.0,810.0,554.0
6500.0,817.0,913.0,810.0,552.0
6600.0,816.0,913.0,811.0,551.0
6700.0,817.0,913.0,810.0,550.0
6800.0,818.0,913.0,810.0,550.0
6900.0,817.0,913.0,812.0,546.0
7000.0,817.0,913.0,811.0,546.0
7100.0,817.0,914.0,811.0,546.0
7200.0,816.0,914.0,811.0,544.0
7300.0,816.0,913.0,811.0,544.0
7400.0,816.0,914.0,811.0,543.0
7500.0,816.0,913.0,811.0,541.0
7600.0,816.0,914.0,812.0,540.0
7700.0,816.0,915.0,813.0,539.0
7800.0,816.0,913.0,813.0,537.0
7900.0,816.0,913.0,812.0,538.0
8000.0,814.0,914.0,813.0,534.0
8100.0,815.0,915.0,812.0,535.0
8200.0,815.0,914.0,813.0,534.0
8300.0,814.0,914.0,813.0,532.0
8400.0,815.0,914.0,812.0,531.0
8500.0,815.0,914.0,813.0,531.0
8600.0,815.0,914.0,813.0,528.0
8700.0,815.0,914.0,814.0,528.0
8800.0,815.0,914.0,814.0,527.0
8900.0,814.0,914.0,814.0,525.0
