timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,390.5,576.9,253.9,375.9
100.0,438.9,597.8,240.9,486.4
200.0,386.9,559.8,256.4,404.1
300.0,394.2,487.2,179.1,452.5
400.0,415.6,630.7,291.2,470.6
500.0,393.1,583.2,256.2,373.6
600.0,400.2,581.6,247.3,392.8
700.0,410.9,638.5,283.1,466.7
800.0,391.6,578.1,242.7,427.6
900.0,427.1,605.3,239.2,463.4
1000.0,438.1,624.3,274.7,507.6
1100.0,394.9,575.3,253.6,388.2
1200.0,426.0,607.0,269.8,450.7
1300.0,399.2,631.9,282.3,410.8
1400.0,437.2,633.1,286.6,487.1
1500.0,376.4,558.4,254.9,383.1
1600.0,391.8,570.0,240.6,443.6
1700.0,390.6,585.5,249.1,421.8
1800.0,435.0,599.3,232.4,494.4
1900.0,423.1,641.0,287.2,466.9
2000.0,375.0,557.3,254.8,373.9
2100.0,388.4,565.6,243.6,436.0
2200.0,408.1,621.3,294.1,485.4
2300.0,447.1,571.6,223.4,545.6
2400.0,391.6,578.3,250.6,423.2
2500.0,406.2,576.6,256.9,443.0
2600.0,376.5,562.7,250.1,356.6
2700.0,416.8,639.2,280.1,432.3
2800.0,397.3,587.0,240.7,449.9
2900.0,376.3,560.5,258.6,382.8
3000.0,432.0,596.5,235.3,491.3
3100.0,419.3,644.0,281.2,457.2
3200.0,411.5,631.9,287.9,445.1
3300.0,419.2,587.5,235.9,464.9
3400.0,443.7,610.6,234.9,523.7
3500.0,414.8,640.1,290.6,446.3
3600.0,408.3,642.7,291.3,458.8
3700.0,399.2,490.6,176.2,438.7
3800.0,422.4,624.3,288.3,455.0
3900.0,399.4,584.6,238.8,443.1
4000.0,422.4,596.9,232.6,487.3
4100.0,453.9,595.4,238.4,515.5
4200.0,458.0,598.0,230.7,524.5
4300.0,398.9,582.9,241.9,460.7
4400.0,440.2,646.8,284.2,529.2
4500.0,430.2,622.7,277.1,508.6
4600.0,420.0,627.7,293.0,491.0
4700.0,437.4,537.2,186.7,485.8
4800.0,448.9,559.4,218.6,551.7
4900.0,440.4,655.0,283.8,496.6
5000.0,388.9,564.6,239.3,427.8
5100.0,451.3,566.3,222.8,572.5
5200.0,408.6,588.6,247.8,443.1
5300.0,411.8,646.7,285.7,463.5
5400.0,458.0,593.5,230.5,533.6
5500.0,410.0,625.0,299.0,481.9
5600.0,403.4,592.7,263.4,482.9
5700.0,392.3,574.9,250.2,394.4
5800.0,403.9,592.4,245.0,380.9
5900.0,408.5,632.4,284.7,460.1
6000.0,390.7,586.1,253.9,398.5
6100.0,399.3,572.4,250.4,391.8
6200.0,424.1,652.0,280.5,485.6
6300.0,390.5,583.3,261.0,386.7
6400.0,403.8,615.9,291.8,472.8
6500.0,443.0,654.5,278.1,503.9
6600.0,411.4,633.0,290.8,456.6
6700.0,413.1,629.8,298.5,483.5
6800.0,454.7,592.4,230.1,552.7
6900.0,395.4,577.7,249.8,384.2
7000.0,409.9,620.3,299.0,464.2
7100.0,407.7,588.3,234.8,446.9
7200.0,387.3,572.4,258.2,414.7
7300.0,436.4,644.1,277.6,517.8
7400.0,456.3,566.4,202.3,575.4
7500.0,388.0,582.2,260.8,386.3
7600.0,405.8,596.3,242.5,450.7
7700.0,451.4,587.9,234.6,508.9
7800.0,417.8,587.1,245.5,452.1
7900.0,414.4,637.2,281.1,465.8
8000.0,402.0,579.9,246.8,393.7
8100.0,405.5,578.0,255.4,449.1
8200.0,417.2,607.2,238.2,472.9
8300.0,426.8,588.2,237.7,491.4
8400.0,416.6,627.3,289.0,476.5
8500.0,385.3,582.1,238.6,433.9
8600.0,421.1,599.9,266.0,429.9
8700.0,442.4,655.0,279.5,508.4
8800.0,427.6,590.4,241.6,467.2
8900.0,396.2,571.4,252.6,384.9
9000.0,405.2,586.9,250.4,424.6
9100.0,425.9,609.4,262.8,424.3
9200.0,406.2,591.4,251.8,397.9
9300.0,411.3,636.4,280.8,409.7
9400.0,458.0,583.7,225.8,538.2
9500.0,429.7,626.6,284.3,486.4
9600.0,391.6,578.2,243.8,438.7
9700.0,421.5,638.4,279.3,441.2
9800.0,417.2,593.7,237.7,478.1
9900.0,420.7,643.6,287.7,473.4
10000.0,422.3,619.7,260.5,420.4
10100.0,441.6,650.4,285.1,504.1
10200.0,386.8,574.8,259.3,428.7
10300.0,414.3,634.1,290.4,465.8
10400.0,449.2,584.7,231.7,555.9
10500.0,416.4,638.1,290.8,455.1
10600.0,387.1,588.4,244.0,428.0
10700.0,456.4,568.4,221.4,575.6
10800.0,420.3,530.4,184.1,467.0
10900.0,381.5,561.1,256.7,365.3
11000.0,458.0,562.0,222.6,558.3
11100.0,405.6,578.3,248.7,442.3
11200.0,378.5,575.5,253.6,387.3
11300.0,414.9,599.0,249.6,443.5
11400.0,406.0,604.3,250.6,460.2
11500.0,453.3,604.0,232.7,536.4
11600.0,414.5,643.7,291.7,456.6
11700.0,394.4,570.8,248.5,393.9
11800.0,433.5,620.2,273.2,472.6
11900.0,443.6,604.4,236.2,491.9
12000.0,416.2,637.8,288.7,466.5
12100.0,432.4,593.0,237.5,466.7
12200.0,412.6,601.4,265.4,437.7
12300.0,432.5,623.0,271.0,496.7
12400.0,421.3,616.0,261.6,439.1
12500.0,387.7,567.0,241.1,443.5
12600.0,391.7,478.0,175.0,440.6
12700.0,401.0,587.7,234.6,446.8
12800.0,417.2,589.2,249.6,434.4
12900.0,429.9,619.6,262.2,463.9
13000.0,396.4,587.9,240.0,456.8
13100.0,402.0,594.6,269.7,478.4
13200.0,436.3,655.0,281.4,478.7
13300.0,419.4,607.5,260.3,437.5
13400.0,444.4,641.7,275.2,530.6
13500.0,379.7,559.8,253.1,381.2
13600.0,420.7,646.7,291.8,454.5
13700.0,410.2,618.4,278.8,432.3
13800.0,394.0,577.0,244.3,425.0
13900.0,416.4,624.6,285.1,462.3
14000.0,390.6,588.6,249.2,420.5
14100.0,426.1,539.4,186.1,491.0
14200.0,410.6,632.3,291.3,471.8
14300.0,419.5,634.1,299.0,486.6
14400.0,429.2,624.1,272.0,473.3
14500.0,383.6,576.2,254.5,383.6
14600.0,401.5,585.4,266.6,472.9
14700.0,418.9,587.8,250.3,482.2
14800.0,397.0,586.8,256.5,441.8
14900.0,417.9,616.4,265.3,424.7
15000.0,458.0,573.5,233.2,556.8
15100.0,416.5,628.6,286.2,480.7
15200.0,428.8,604.7,237.6,475.3
15300.0,419.3,607.6,273.0,470.7
15400.0,382.8,571.1,256.1,368.7
15500.0,392.2,566.0,236.4,446.9
15600.0,424.2,640.9,289.4,462.4
15700.0,458.0,594.3,236.9,530.9
15800.0,423.5,647.9,287.7,471.4
